idxCompression,T,B,F,dx,dy,dz,D2,D3
0,0.661,6.15369,80.2786310979979,4.17424050632911,2.0373417721519,-1.16114579086741,4.6448945414545,4.78782882410001
0,1.261,6.15369,80.8185065905061,4.16493670886076,2.03867088607595,-1.15572421771374,4.63711944751799,4.77897219472551
0,1.861,6.15369,81.3292209890541,4.18120253164557,2.01898734177215,-1.15044828037055,4.64314166237425,4.78354426578066
0,2.461,6.15492,83.8580501988955,4.27943037974683,1.88645569620253,-1.14423359555591,4.67677661096135,4.81471805924645
0,3.061,6.15369,85.5670210140519,4.29696202531646,1.84183544303798,-1.13469258551773,4.67506582266417,4.81079699320929
0,3.661,6.15369,85.9427210045024,4.30860759493671,1.81727848101266,-1.14296678001214,4.6761737012966,4.81383148281172
1,3.791,3.69492,40.0645603350264,4.33689873417721,1.84791139240506,-1.14733146504203,4.71417725002872,4.85178695280036
1,3.805,3.69369,40.2788515487174,4.32835443037975,1.84601265822785,-1.14978686975346,4.70557273977626,4.84400915102179
1,3.821,3.70599,40.4058694048285,4.32677215189873,1.84905063291139,-1.15228521932298,4.70531035081815,4.8443479152706
1,3.835,3.73797,40.7608334654634,4.33069620253165,1.84512658227848,-1.16236349067829,4.70737949428902,4.84876382057474
1,3.851,3.79455,40.8852242068468,4.34101265822785,1.84405063291139,-1.19604960703351,4.71645138166772,4.86574231727496
1,3.865,3.87573,41.767175713927,4.33386075949367,1.84582278481012,-1.22969033642471,4.71056374923461,4.86842368319558
1,3.881,3.97659,43.2933248927788,4.33898734177215,1.84405063291139,-1.22920799296487,4.71458735085054,4.87219521148
1,3.895,4.10082,45.2449392664935,4.33550632911392,1.84088607594937,-1.24193083542468,4.71014614151314,4.87112603762105
1,3.911,4.24965,46.9560710825867,4.34006329113924,1.83803797468354,-1.27492759099394,4.71322956872176,4.88261951515278
1,3.925,4.41939,49.1412762748858,4.34601265822785,1.82860759493671,-1.30601525354965,4.71504313466345,4.89257678572767
1,3.941,4.61373,51.7478427844695,4.33955696202532,1.83164556962025,-1.33464981208103,4.71027389005904,4.89570937048553
1,3.955,4.82775,54.6258718937197,4.34335443037975,1.82518987341772,-1.36192628276323,4.71126795904521,4.90417057019913
1,3.971,5.0676,60.0611553741585,4.33917721518987,1.82075949367088,-1.31357429506155,4.7057012270878,4.88560144375921
1,3.985,5.32836,65.9610936124466,4.34221518987342,1.82322784810126,-1.24950883632889,4.7094577757168,4.87239826710865
1,4.001,5.61126,71.8620505019221,4.34898734177215,1.80689873417721,-1.22812593101077,4.70941333230219,4.86691557733301
1,4.015,5.91876,79.1394372950231,4.34392405063291,1.79873417721519,-1.18947393324583,4.70160832034624,4.84973906883869
1,4.031,6.2484,87.4674062939315,4.33974683544304,1.79120253164557,-1.13860382699035,4.69487050994075,4.83096551218785
1,4.046,6.60018,94.3435796773084,4.34348101265823,1.78284810126582,-1.13853895071092,4.69514373150702,4.83121574780051
1,4.06,6.97533,102.041363445484,4.33810126582278,1.77930379746835,-1.13885664771355,4.68882123739203,4.8251465325169
1,4.076,7.37139,109.489942656742,4.34379746835443,1.77392405063291,-1.14135778319345,4.69205530482072,4.82887984658477
1,4.09,7.79205,118.737736121697,4.34303797468354,1.75632911392405,-1.14423349335343,4.68472739932225,4.82244140381948
