 	Profile_Slice_1	Profile_Slice_2	Profile_Slice_3	Profile_Slice_4	Profile_Slice_5	Profile_Slice_6	Profile_Slice_7
1	514.264	508.264	499.244	519.792	504.934	510.578	510.674
2	507.030	510.189	499.302	510.803	505.143	516.417	510.000
3	510.261	515.710	492.905	512.904	512.745	509.658	521.726
4	514.818	516.831	493.839	525.529	508.239	501.189	519.162
5	518.065	504.517	492.287	519.898	515.057	504.328	513.746
6	519.344	511.919	507.900	517.920	516.602	518.528	517.885
7	514.941	511.041	500.270	505.459	512.665	515.756	522.924
8	522.318	514.642	502.738	512.289	508.192	497.796	511.306
9	510.309	513.452	505.548	520.351	510.979	506.786	508.957
10	503.946	506.810	499.893	510.054	524.196	519.650	516.395
11	518.289	518.275	496.747	509.387	521.121	522.115	521.030
12	506.970	509.654	501.979	525.564	510.089	515.655	523.978
13	509.312	508.577	514.212	520.456	509.088	509.010	513.423
14	506.659	523.511	517.188	509.936	516.364	515.892	519.615
15	526.553	523.112	503.761	507.838	513.526	512.429	514.044
16	523.072	520.213	502.298	521.184	525.318	508.564	526.307
17	521.584	510.408	508.597	515.151	520.573	504.538	521.077
18	503.986	511.090	509.522	513.803	505.626	503.358	519.855
19	514.554	522.012	511.320	518.082	522.136	506.953	516.381
20	525.395	515.874	522.701	513.986	517.043	516.821	522.295
21	521.754	501.166	510.866	519.828	520.874	527.135	509.422
22	516.845	507.202	514.194	524.639	516.963	526.589	507.951
23	525.766	505.407	507.973	515.279	519.536	506.612	518.876
24	509.131	513.356	519.036	517.679	512.341	515.006	528.849
25	510.899	528.657	523.591	525.482	511.120	527.851	525.733
26	515.810	517.684	511.667	525.589	524.007	529.271	510.500
27	528.823	502.349	514.472	519.538	515.484	520.030	516.095
28	522.660	515.900	519.307	523.909	513.232	522.273	509.360
29	523.857	519.661	522.698	519.725	512.194	534.149	503.218
30	515.267	510.068	504.064	515.264	507.052	521.506	503.757
31	519.072	517.256	503.055	516.049	515.236	524.839	519.298
32	522.920	519.119	515.950	513.550	526.837	532.717	522.508
33	521.265	515.146	522.855	512.260	520.155	528.781	519.183
34	530.552	509.930	505.951	509.503	526.275	518.997	519.661
35	514.306	505.977	500.574	515.165	524.626	520.556	535.266
36	524.402	517.757	510.266	513.261	514.623	524.761	520.145
37	527.319	514.006	513.506	518.030	522.854	531.336	527.276
38	518.215	521.592	520.293	516.514	522.953	518.548	531.208
39	520.523	525.264	511.459	513.750	517.668	520.922	521.978
40	528.104	521.680	513.420	507.451	516.949	517.667	535.020
41	514.897	507.183	508.919	523.784	529.525	518.492	524.009
42	515.367	520.088	513.926	517.570	533.715	534.232	523.714
43	514.352	529.365	517.547	512.054	529.950	529.790	522.240
44	514.303	524.719	510.917	528.635	522.777	526.237	523.930
45	518.545	524.272	500.847	531.004	518.441	526.310	527.415
46	508.369	523.007	502.854	521.875	529.815	525.998	530.349
47	523.539	530.010	519.829	531.298	520.908	539.367	534.846
48	524.140	524.798	527.639	529.322	521.865	529.999	527.556
49	507.277	511.192	518.714	532.846	527.223	521.871	526.086
50	514.812	520.563	502.574	534.047	512.335	522.332	533.858
51	524.748	528.146	512.356	527.218	517.085	519.379	529.740
52	528.749	517.528	518.534	532.789	528.237	537.780	536.082
53	527.444	519.600	516.885	536.041	539.183	524.260	527.373
54	532.918	522.686	522.203	531.713	531.476	534.145	520.485
55	514.753	516.540	527.239	525.980	529.114	533.046	525.106
56	525.070	526.060	519.435	533.366	516.143	534.046	525.643
57	524.779	522.661	531.511	539.768	523.231	529.523	533.093
58	523.805	525.838	524.394	528.662	517.582	523.441	532.268
59	530.138	519.176	533.683	521.420	528.613	519.987	526.810
60	536.820	527.105	532.411	527.628	524.565	531.824	538.510
61	526.575	538.459	512.791	529.591	534.235	526.312	538.724
62	535.874	526.559	520.394	537.211	524.153	526.260	543.089
63	527.718	527.309	530.294	542.044	532.552	525.533	540.077
64	532.118	538.317	536.098	530.721	534.055	526.294	537.760
65	543.886	532.061	535.789	532.737	552.591	527.911	537.535
66	531.052	526.504	535.433	536.275	538.785	531.850	531.934
67	531.351	525.393	532.597	532.335	532.064	537.191	533.406
68	533.796	527.022	525.433	543.841	540.243	535.585	533.715
69	538.049	531.983	524.774	536.369	546.675	540.274	546.267
70	538.875	530.691	539.208	534.146	545.935	536.615	551.828
71	535.931	536.985	532.661	534.021	539.635	536.739	544.344
72	534.020	537.750	519.608	545.678	547.805	541.183	547.394
73	547.996	534.692	530.544	529.962	542.833	535.101	553.138
74	553.665	542.774	536.062	537.256	533.124	555.887	553.770
75	546.114	535.585	535.925	543.324	538.562	543.804	549.692
76	541.486	534.557	540.570	543.768	544.017	550.062	542.960
77	531.714	543.187	521.872	535.803	545.203	534.711	546.340
78	533.903	537.786	535.538	548.338	543.746	536.024	535.928
79	542.810	540.352	543.914	541.404	544.360	541.393	544.788
80	546.445	548.808	534.642	556.434	536.891	543.998	548.185
81	537.594	549.002	533.141	558.913	535.726	546.310	539.030
82	537.629	529.079	540.371	542.564	536.275	540.187	547.869
83	541.827	535.770	546.293	541.547	545.034	545.608	548.556
84	553.307	545.948	528.669	542.238	548.580	551.510	542.120
85	554.388	544.499	536.962	544.749	543.348	536.906	557.088
86	543.632	543.376	543.201	533.061	552.994	550.781	546.337
87	541.510	548.113	543.415	545.467	545.235	542.796	537.570
88	558.622	539.757	539.126	552.002	543.638	557.196	553.867
89	550.291	545.681	540.448	543.551	547.772	544.425	561.591
90	544.249	546.817	541.515	557.421	549.740	546.316	543.795
91	554.616	542.068	555.595	553.902	557.946	553.339	550.552
92	550.609	542.494	555.060	545.841	553.447	560.763	544.098
93	558.133	548.835	548.047	554.947	539.261	555.232	542.332
94	555.202	550.113	542.752	561.824	552.602	548.286	551.833
95	553.127	557.060	537.870	561.340	545.312	548.881	570.681
96	551.354	548.148	538.703	554.371	551.940	541.083	562.408
97	556.757	554.307	553.995	570.958	555.498	555.902	564.145
98	549.573	559.034	554.450	563.634	560.797	554.607	555.922
99	557.253	563.573	549.937	568.019	571.443	560.646	559.776
100	564.663	554.500	554.645	576.681	577.401	565.356	564.062
101	569.627	561.154	565.278	585.822	576.081	564.092	568.322
102	557.225	559.189	564.401	587.302	586.819	558.302	578.163
