 	Profile_Slice_1	Profile_Slice_2	Profile_Slice_3	Profile_Slice_4	Profile_Slice_5	Profile_Slice_6	Profile_Slice_7	Profile_Slice_8	Profile_Slice_9	Profile_Slice_10	Profile_Slice_11	Profile_Slice_12	Profile_Slice_13	Profile_Slice_14	Profile_Slice_15	Profile_Slice_16
47	187.600	187.600	181.241	185.159	176.998	187.384	181.812	187.538	187.019	190.713	193.762	192.606	194.373	197.388	199.901	197.315
48	187.170	187.170	181.525	182.789	178.367	184.758	178.783	184.700	187.345	191.699	194.958	196.838	193.277	197.671	193.202	198.409
49	182.885	182.885	182.716	185.267	176.262	187.444	189.137	189.941	188.108	192.222	188.724	190.819	193.543	196.158	193.369	199.871
50	190.726	190.726	185.478	191.420	180.729	189.307	187.612	193.622	187.817	199.980	188.135	192.599	191.908	197.479	201.334	203.146
51	189.054	189.054	180.544	183.873	176.980	194.962	193.142	189.103	195.050	193.011	189.383	189.579	199.027	192.560	198.847	199.588
52	190.139	190.139	181.204	182.273	175.375	194.038	183.277	192.475	189.150	197.924	193.129	188.081	189.140	193.843	196.860	203.537
53	185.824	185.824	186.171	189.674	179.594	187.108	183.119	189.416	192.579	189.087	192.592	185.317	189.767	193.439	196.273	194.981
54	187.115	187.115	184.803	186.829	182.538	188.302	186.539	191.466	194.060	196.704	195.073	187.132	188.436	192.985	189.139	195.764
55	188.532	188.532	184.604	186.148	178.511	187.306	184.459	195.910	191.990	191.505	193.023	189.457	187.023	197.172	195.724	196.503
56	187.977	187.977	182.524	183.368	177.427	187.065	182.523	192.386	189.301	189.412	192.690	188.902	184.355	191.842	191.120	192.738
57	189.309	189.309	178.734	181.494	179.385	187.083	183.811	192.606	195.408	189.424	191.060	194.428	188.672	187.680	194.274	195.596
58	189.472	189.472	180.822	181.649	175.378	182.826	183.236	195.631	192.714	195.235	197.401	190.691	183.697	190.270	198.602	193.179
59	189.966	189.966	185.990	183.956	176.977	181.572	184.124	190.700	191.670	188.918	192.657	192.633	188.510	193.759	196.206	188.692
60	189.382	189.382	182.918	181.090	174.208	178.909	187.150	193.591	191.592	195.565	190.605	190.327	188.470	195.389	195.820	193.751
61	190.347	190.347	182.945	183.547	173.647	186.949	177.740	191.791	192.559	192.421	191.284	193.493	186.043	188.816	196.534	190.224
62	186.314	186.314	186.134	188.524	181.391	191.221	184.680	196.655	194.592	193.542	185.312	191.690	191.152	192.868	193.509	199.020
63	188.076	188.076	184.968	181.553	177.127	188.822	182.792	195.841	192.917	193.585	187.070	197.581	188.214	191.746	191.482	201.343
64	187.058	187.058	185.713	183.889	175.851	180.354	189.940	196.924	189.398	192.361	191.874	191.096	193.149	193.472	196.232	197.419
65	189.061	189.061	181.933	179.563	175.854	184.461	187.940	192.391	188.650	189.510	189.736	194.278	190.015	197.826	193.834	194.137
66	191.418	191.418	183.001	176.676	172.883	188.174	189.984	189.856	189.947	185.723	185.002	191.838	191.337	196.996	198.342	195.215
67	181.950	181.950	179.782	177.735	169.420	185.295	184.088	186.809	188.426	191.732	192.365	191.940	191.835	193.251	194.838	195.797
68	187.487	187.487	187.120	185.445	171.439	181.163	182.400	194.851	192.357	190.609	194.551	195.831	195.623	193.707	189.262	202.358
69	187.667	187.667	183.398	184.056	179.738	186.716	186.308	193.603	191.118	190.215	187.997	191.636	190.026	192.659	195.855	200.316
70	192.379	192.379	189.900	183.000	175.500	186.296	184.000	194.862	193.986	187.391	181.802	192.189	189.953	193.981	194.167	193.271
71	190.901	190.901	187.639	184.296	177.337	186.670	186.631	196.072	193.171	188.038	190.239	191.510	189.431	191.964	194.385	196.453
72	187.062	187.062	183.953	186.190	180.210	189.063	185.090	186.628	190.398	189.424	187.335	189.186	191.277	197.569	191.693	196.311
73	186.278	186.278	186.529	186.197	179.617	182.909	181.192	192.052	191.550	190.709	189.094	195.476	189.026	197.349	199.322	196.004
74	194.217	194.217	187.128	189.037	174.774	187.759	185.800	196.340	192.234	190.703	193.696	188.415	188.341	189.497	196.031	200.715
75	192.794	192.794	182.663	182.882	177.878	188.086	185.611	197.324	198.792	188.308	188.784	191.567	189.672	199.046	192.259	197.618
76	186.041	186.041	183.032	179.220	182.140	187.639	183.902	190.898	188.701	196.984	186.980	184.696	192.486	195.628	197.968	204.354
77	190.821	190.821	181.190	185.131	180.826	185.446	187.593	189.991	188.999	192.881	185.783	182.689	189.345	193.861	194.794	204.289
78	189.808	189.808	185.895	185.719	179.038	187.731	185.991	188.437	192.458	183.596	184.688	189.202	180.570	191.946	199.843	196.368
79	183.109	183.109	182.033	180.801	174.243	191.150	183.021	184.269	191.413	188.343	186.286	189.521	186.679	190.672	196.531	199.729
80	187.779	187.779	185.220	183.286	173.553	186.294	184.503	187.752	187.989	189.672	191.034	189.720	189.373	191.669	192.792	198.943
81	187.811	187.811	183.135	181.989	176.046	183.871	185.850	189.915	188.895	187.901	184.809	190.138	188.331	192.138	194.576	193.158
82	179.978	179.978	178.681	182.577	176.355	185.136	187.698	192.211	187.033	187.720	177.717	181.957	182.245	189.172	191.775	191.439
83	178.605	178.605	176.974	177.737	174.812	181.479	181.349	184.124	184.963	186.387	184.536	181.583	183.838	187.539	193.764	194.176
84	174.451	174.451	178.147	178.420	174.293	176.276	182.872	186.317	187.773	186.118	182.676	185.762	182.237	189.785	194.364	193.619
85	176.741	176.741	184.440	174.936	173.095	180.212	181.958	186.091	183.618	179.965	178.952	180.976	181.424	185.045	188.472	192.062
86	183.530	183.530	177.735	179.055	177.579	176.834	182.443	184.258	184.387	180.372	183.304	179.959	181.819	190.521	191.898	189.052
87	183.159	183.159	177.062	173.855	172.504	178.108	178.625	183.756	184.516	183.763	181.889	181.854	181.753	184.066	186.174	189.073
88	182.511	182.511	170.758	173.340	171.717	179.346	176.560	184.313	183.938	183.259	182.546	179.411	184.480	191.129	192.431	190.689
