 	Profile_Slice_1	Profile_Slice_2	Profile_Slice_3	Profile_Slice_4	Profile_Slice_5	Profile_Slice_6	Profile_Slice_7	Profile_Slice_8	Profile_Slice_9	Profile_Slice_10	Profile_Slice_11	Profile_Slice_12
62	205.148	205.148	205.937	208.205	196.855	204.210	200.557	199.785	207.363	198.232	193.493	197.982
63	214.062	214.062	208.954	193.437	198.196	207.597	203.490	199.993	196.600	196.220	197.616	197.381
64	208.160	208.160	206.145	203.228	201.695	203.845	199.032	198.746	213.675	193.663	199.701	200.991
65	207.160	207.160	207.161	209.440	204.153	202.331	201.904	200.507	210.252	202.337	194.126	198.363
66	210.460	210.460	205.063	210.403	207.189	200.891	201.903	206.332	204.218	203.697	189.349	196.989
67	214.390	214.390	206.845	212.548	208.150	206.003	214.756	210.363	199.359	199.916	201.907	202.387
68	212.349	212.349	208.678	211.334	203.569	211.341	213.192	209.279	198.935	201.310	200.812	206.088
69	210.215	210.215	204.934	210.002	212.001	210.590	221.213	205.294	201.169	208.688	201.317	205.473
70	215.194	215.194	214.201	206.857	215.584	216.058	211.258	201.118	205.500	208.279	207.172	203.939
71	218.370	218.370	216.332	212.671	211.017	210.432	217.919	208.911	212.632	210.293	212.021	204.504
72	217.579	217.579	218.142	215.884	214.188	216.753	212.603	216.579	217.339	212.616	204.376	209.511
73	227.128	227.128	209.910	213.998	212.600	214.008	211.883	217.928	210.945	204.522	208.137	197.164
74	225.128	225.128	212.308	219.016	212.668	216.057	215.841	212.290	207.218	209.470	207.814	201.587
75	222.014	222.014	211.749	222.670	212.618	215.059	206.818	207.362	204.124	212.053	209.272	202.025
76	218.777	218.777	210.116	215.973	212.066	214.245	211.655	207.785	216.117	213.002	202.705	206.582
77	225.350	225.350	211.347	215.635	214.616	222.763	214.978	215.527	216.796	215.294	209.785	212.640
78	222.928	222.928	222.879	219.329	218.873	216.908	217.763	217.771	209.400	210.556	213.577	210.498
79	223.113	223.113	222.341	215.410	220.003	205.789	206.804	215.452	215.119	217.862	209.984	208.282
80	225.332	225.332	222.905	211.347	224.762	217.796	212.213	211.470	214.961	209.861	209.690	211.778
81	233.966	233.966	221.962	220.970	212.371	220.006	218.643	212.905	224.458	205.328	203.009	219.067
82	233.281	233.281	222.248	221.780	217.286	219.222	210.097	221.790	219.003	217.196	207.877	212.056
83	239.104	239.104	223.924	218.290	215.765	228.369	219.503	220.756	220.260	218.064	209.493	208.296
84	227.236	227.236	218.951	223.377	217.643	226.414	227.362	222.212	221.628	218.102	210.061	217.372
85	226.997	226.997	224.704	228.898	223.529	227.584	224.516	214.466	218.599	217.595	217.029	219.684
86	232.835	232.835	222.973	229.744	224.280	230.719	215.864	218.004	222.338	226.566	220.282	218.991
87	231.804	231.804	222.797	221.457	217.670	225.911	226.144	214.005	227.157	216.860	218.981	219.631
88	235.352	235.352	230.653	221.825	226.209	232.443	227.359	226.486	220.208	221.623	215.131	216.813
89	233.024	233.024	230.747	226.345	225.355	237.316	237.085	230.213	227.571	223.887	225.980	223.534
90	240.362	240.362	231.817	239.605	224.198	227.919	233.926	229.742	235.470	219.184	227.628	211.907
91	242.427	242.427	225.085	228.303	231.119	228.429	231.961	227.547	227.062	221.526	226.223	219.420
92	241.736	241.736	237.343	230.610	230.347	229.795	230.187	230.248	232.537	233.148	217.875	220.128
93	249.887	249.887	247.814	231.294	234.980	226.164	227.539	232.644	232.644	227.843	229.973	228.925
94	239.079	239.079	245.569	229.187	242.919	235.311	239.573	232.001	225.730	228.478	230.417	225.995
95	245.930	245.930	243.192	238.303	243.078	239.201	239.862	232.962	239.193	225.624	226.677	230.575
