 	Profile_Slice_1	Profile_Slice_2	Profile_Slice_3	Profile_Slice_4	Profile_Slice_5	Profile_Slice_6	Profile_Slice_7	Profile_Slice_8	Profile_Slice_9	Profile_Slice_10
74	626.918	626.918	594.661	617.440	632.227	616.113	627.477	635.496	641.659	630.500
75	608.012	608.012	605.201	612.962	637.237	636.400	622.635	633.667	640.483	631.180
76	616.534	616.534	606.700	622.949	627.024	631.862	627.179	633.873	630.743	622.097
77	632.660	632.660	618.386	600.378	626.420	618.260	629.621	623.736	631.147	642.816
78	638.508	638.508	613.527	605.400	624.934	627.778	628.726	623.517	638.246	626.116
79	624.509	624.509	615.409	614.492	639.587	629.659	624.154	643.112	636.288	629.254
80	629.601	629.601	621.387	624.821	623.349	630.773	632.808	631.282	649.101	641.515
81	645.654	645.654	628.908	622.308	630.228	620.216	632.944	635.616	666.152	645.172
82	632.354	632.354	619.477	624.445	625.687	633.799	627.603	638.423	659.373	644.884
83	632.968	632.968	636.796	620.714	637.295	628.652	631.515	642.710	653.625	654.253
84	635.203	635.203	616.400	612.063	635.203	641.171	619.004	645.546	639.529	655.386
85	628.587	628.587	636.475	614.979	625.406	634.780	623.063	633.960	637.550	655.948
86	632.787	632.787	634.416	622.590	624.908	633.271	618.266	620.796	644.325	642.912
87	632.346	632.346	636.275	609.399	630.181	637.342	616.018	626.145	645.304	653.845
88	635.467	635.467	623.610	600.141	628.862	638.248	625.538	637.009	638.506	652.203
89	643.800	643.800	625.353	620.548	639.540	635.957	629.883	625.878	653.662	646.545
90	637.828	637.828	629.547	622.695	641.288	626.477	640.575	638.698	652.912	658.177
91	645.061	645.061	623.165	627.382	626.442	633.189	619.611	640.011	646.887	653.907
92	630.157	630.157	615.785	623.868	617.770	631.297	619.621	640.780	656.646	639.735
93	635.223	635.223	614.437	621.970	644.456	636.503	622.434	625.684	635.722	644.887
94	633.161	633.161	636.142	616.702	637.799	635.096	619.694	630.112	641.702	645.664
95	646.401	646.401	634.336	636.913	641.799	630.898	630.294	622.578	642.548	640.103
96	641.579	641.579	646.420	639.277	644.205	625.344	634.561	621.079	627.592	656.130
97	660.578	660.578	650.711	640.856	653.169	632.666	625.067	623.760	651.463	643.978
98	659.422	659.422	652.996	637.915	635.653	622.122	614.950	633.297	664.558	652.827
99	680.103	680.103	663.166	643.190	640.553	623.277	634.754	649.665	680.735	669.180
100	682.758	682.758	655.244	643.538	644.996	642.824	635.562	643.795	684.623	665.680
101	696.415	696.415	660.583	652.946	646.090	648.306	640.441	671.144	683.776	671.938
102	694.457	694.457	667.605	674.875	664.381	646.868	661.730	674.174	678.614	678.996
103	694.488	694.488	658.595	681.815	661.735	652.448	680.514	679.443	673.787	692.459
104	678.226	678.226	645.955	663.739	677.521	668.018	673.418	672.953	667.261	693.804
105	664.053	664.053	630.430	651.692	676.662	684.068	675.994	677.879	663.035	685.572
106	661.500	661.500	637.514	648.920	678.123	662.561	676.623	662.953	651.921	678.845
107	646.744	646.744	629.623	644.951	674.856	652.993	649.488	662.570	634.374	665.627
108	651.471	651.471	616.813	642.004	656.882	661.162	653.108	657.962	634.468	663.299
109	632.901	632.901	615.447	641.242	630.888	647.838	624.624	636.414	632.317	666.604
110	621.416	621.416	609.905	626.485	637.006	632.004	625.005	634.324	622.891	642.439
111	604.506	604.506	601.966	624.076	635.606	618.717	624.924	621.648	632.597	650.391
112	618.960	618.960	604.047	601.446	602.869	626.818	616.352	611.974	617.925	635.926
113	603.959	603.959	599.155	592.388	610.381	607.735	591.494	611.939	618.012	639.543
114	607.002	607.002	589.186	595.123	606.957	591.755	603.252	608.063	612.411	647.073
115	595.847	595.847	584.006	589.538	610.977	608.693	589.828	601.372	605.918	628.670
116	591.615	591.615	574.970	586.014	611.910	605.112	592.551	595.860	609.705	628.331
117	594.357	594.357	576.692	577.817	607.472	604.282	595.872	588.931	608.562	612.284
118	594.595	594.595	586.423	587.477	591.818	596.756	587.327	584.382	600.775	607.675
119	594.325	594.325	574.513	584.146	589.303	590.168	589.924	584.132	590.555	618.573
120	576.518	576.518	576.264	591.827	587.197	589.913	583.135	590.826	602.108	602.332
121	583.022	583.022	570.864	584.724	585.700	579.818	583.627	587.335	586.935	603.260
