 	Profile_Slice_1	Profile_Slice_2	Profile_Slice_3	Profile_Slice_4	Profile_Slice_5	Profile_Slice_6	Profile_Slice_7	Profile_Slice_8	Profile_Slice_9
1	212.000	232.000	211.000	235.000	261.000	255.000	237.000	245.000	232.000
2	239.423	234.252	223.191	227.524	242.688	235.065	257.234	241.339	239.164
3	225.426	239.331	245.783	222.370	228.095	236.797	238.040	250.904	233.029
4	227.501	248.462	234.155	242.787	245.884	229.258	234.173	253.570	242.604
5	247.964	260.927	237.502	239.781	219.329	220.150	216.455	251.948	228.473
6	252.291	238.765	238.137	231.623	232.066	242.151	231.271	245.771	228.770
7	245.098	257.157	258.454	244.586	233.244	240.212	238.749	264.306	240.828
8	230.802	253.178	246.476	232.763	232.109	237.947	257.876	238.151	273.379
9	231.276	238.053	259.564	236.762	239.179	239.395	234.292	246.013	239.970
10	223.551	240.976	260.151	241.319	231.953	238.007	238.504	253.062	236.832
11	249.341	220.347	225.761	248.115	226.705	254.878	236.979	233.374	234.802
12	238.040	231.797	237.171	231.029	256.592	260.834	246.525	251.030	222.082
13	233.939	240.495	250.859	236.375	259.783	257.998	239.505	259.414	231.927
14	237.265	243.071	245.429	243.827	239.347	244.980	241.153	253.704	239.857
15	254.160	238.941	245.095	243.272	248.130	270.053	251.107	246.337	228.538
16	251.434	251.772	248.388	259.074	248.018	250.026	245.575	249.367	234.021
17	263.157	231.559	240.665	235.677	234.035	238.452	240.491	242.033	239.471
18	237.924	225.141	224.715	240.546	262.370	239.101	224.137	267.312	247.009
19	247.511	220.231	243.318	238.188	240.245	263.358	237.503	252.458	246.227
20	243.850	231.975	251.534	232.791	251.775	253.147	260.697	228.617	245.772
21	244.660	236.562	247.154	222.420	242.058	262.715	247.559	238.144	242.391
22	252.432	249.018	249.296	239.737	244.601	231.657	242.038	237.240	223.021
23	250.922	259.109	260.061	246.265	245.907	237.278	242.170	243.782	234.427
24	258.436	253.722	262.157	248.373	247.787	247.514	234.691	245.840	226.413
25	267.821	280.234	268.149	228.588	226.623	262.439	201.588	237.322	229.888
26	253.657	248.528	250.655	254.328	254.029	257.974	255.186	252.140	225.560
27	243.959	254.469	258.571	248.469	248.347	263.673	242.959	244.327	229.388
28	257.751	273.707	232.597	205.429	228.148	242.661	245.321	240.517	213.492
29	249.355	252.491	253.976	234.669	250.663	261.888	251.266	236.183	219.219
30	255.003	252.621	255.912	273.951	252.588	255.274	243.969	247.487	240.782
31	269.232	249.693	244.748	291.651	232.355	260.654	248.121	251.922	242.725
32	247.056	249.927	245.976	255.775	245.597	235.386	231.675	239.365	268.632
33	243.029	244.311	254.025	261.843	249.874	240.439	232.709	250.106	252.833
34	231.618	256.466	250.596	247.595	259.544	233.457	255.688	264.976	259.721
35	235.409	241.420	232.591	241.338	250.325	217.187	257.951	251.843	255.702
36	251.627	253.160	235.015	281.030	242.672	246.036	235.240	245.462	237.876
37	254.129	240.718	242.509	266.084	252.025	260.382	238.435	256.653	236.650
38	256.340	243.770	250.266	249.929	238.101	265.459	246.200	239.367	244.566
39	248.025	226.107	244.505	239.428	253.351	258.215	256.258	244.926	221.537
40	253.704	228.878	247.847	244.214	246.245	231.510	248.694	256.224	248.612
41	238.693	258.681	238.996	264.135	270.238	234.802	240.279	240.063	254.020
42	239.147	248.840	243.778	270.461	280.860	244.496	259.228	267.643	264.687
43	258.964	233.953	256.136	248.438	271.124	291.580	230.538	250.178	231.491
44	254.489	244.410	249.025	248.142	255.127	298.000	234.123	258.452	245.909
45	272.097	242.376	252.484	259.431	254.695	255.082	251.634	236.555	266.850
46	273.286	253.749	255.003	255.257	248.278	241.461	257.708	239.901	291.585
47	250.370	253.954	254.007	260.434	252.905	261.781	257.191	240.821	252.345
48	294.667	266.450	248.114	253.817	255.314	254.038	267.168	221.325	243.442
49	270.100	261.027	255.214	255.478	246.617	253.164	262.328	274.649	243.976
50	268.503	262.352	254.964	261.902	252.651	266.109	250.538	241.873	243.506
51	269.458	253.980	249.167	252.120	253.117	252.226	254.371	250.425	252.432
52	265.245	251.537	257.593	256.930	263.080	254.464	269.431	270.979	238.154
53	271.531	264.163	273.510	276.918	292.163	240.163	245.408	263.592	265.939
54	273.206	256.082	260.853	281.343	288.428	235.132	264.292	277.344	267.500
55	290.655	266.946	297.505	279.737	253.899	257.428	277.265	262.001	246.806
56	264.995	272.536	243.947	285.368	285.980	250.611	296.717	251.182	263.200
57	291.077	262.325	257.544	254.438	277.444	288.669	275.746	256.325	255.746
58	277.578	256.982	267.920	245.097	249.519	255.683	271.911	257.295	275.505
59	265.676	280.136	260.233	283.060	239.975	244.632	272.763	260.567	259.265
60	263.472	271.456	257.860	254.707	239.820	269.078	253.980	259.582	250.844
61	277.550	288.662	275.645	269.140	232.858	271.040	257.817	260.602	240.613
62	276.895	285.581	268.267	295.383	250.999	274.675	273.337	265.518	259.950
63	275.221	264.947	249.961	285.111	281.507	251.357	267.892	280.370	255.700
64	262.822	273.385	275.027	262.355	299.098	255.538	276.030	264.109	274.885
65	262.094	265.891	286.549	265.845	303.498	248.555	286.815	286.725	248.311
