 	Profile_Slice_1	Profile_Slice_2	Profile_Slice_3	Profile_Slice_4	Profile_Slice_5	Profile_Slice_6	Profile_Slice_7
1	593.200	593.200	578.275	584.227	590.255	589.245	593.047
2	586.586	586.586	577.131	578.231	591.185	595.870	597.662
3	583.568	583.568	572.271	588.784	586.038	594.211	593.303
4	593.733	593.733	569.036	603.403	593.564	600.285	589.651
5	587.493	587.493	579.892	600.950	586.439	589.209	585.612
6	589.657	589.657	577.802	597.946	600.866	597.689	585.919
7	585.569	585.569	594.997	593.711	600.538	588.798	600.274
8	598.795	598.795	587.741	598.794	584.914	587.589	611.687
9	601.165	601.165	589.941	596.457	587.564	591.202	590.489
10	597.084	597.084	590.862	590.530	597.510	599.664	579.641
11	606.721	606.721	585.793	583.644	593.755	601.036	587.219
12	608.340	608.340	587.768	578.816	594.490	585.483	596.083
13	599.306	599.306	589.367	580.573	591.850	587.229	596.045
14	589.385	589.385	580.726	582.104	585.470	590.884	587.275
15	590.923	590.923	584.129	571.140	598.234	591.618	593.624
16	589.120	589.120	579.980	578.935	597.061	570.396	605.196
17	584.705	584.705	581.468	577.588	598.112	585.843	596.830
18	582.381	582.381	572.604	577.490	582.746	584.329	597.622
19	579.316	579.316	574.652	578.200	589.057	587.530	589.141
20	570.460	570.460	579.048	568.841	580.465	583.360	592.808
21	587.500	587.500	569.961	572.412	567.772	569.910	590.368
22	571.959	571.959	558.402	570.248	573.979	580.955	587.947
23	562.454	562.454	557.040	566.379	567.523	579.616	587.985
24	573.292	573.292	565.290	564.732	588.306	577.999	593.853
25	573.465	573.465	566.890	572.609	564.569	561.295	578.539
26	568.129	568.129	554.142	565.930	560.672	574.315	571.867
27	578.719	578.719	553.742	559.603	562.887	570.638	572.233
28	555.844	555.844	547.106	562.358	571.187	549.939	562.832
29	544.050	544.050	553.252	570.676	570.199	559.047	576.867
30	555.180	555.180	543.701	568.510	574.833	548.693	568.919
31	557.843	557.843	546.068	565.450	563.871	565.569	565.776
32	564.213	564.213	551.554	567.899	564.282	555.490	567.948
33	559.373	559.373	551.213	556.695	555.132	550.256	566.218
34	557.604	557.604	539.074	555.266	550.262	563.764	568.462
35	558.846	558.846	547.237	550.894	551.884	563.053	567.929
36	556.004	556.004	545.085	559.077	549.837	552.379	570.575
37	562.350	562.350	540.164	551.474	562.181	555.195	558.728
38	554.879	554.879	548.802	552.063	553.784	561.751	557.788
39	557.635	557.635	541.804	566.686	545.173	560.058	563.891
40	546.082	546.082	555.107	555.146	544.428	562.739	559.836
