 	Profile_Slice_1	Profile_Slice_2	Profile_Slice_3	Profile_Slice_4	Profile_Slice_5	Profile_Slice_6	Profile_Slice_7	Profile_Slice_8	Profile_Slice_9	Profile_Slice_10	Profile_Slice_11	Profile_Slice_12	Profile_Slice_13	Profile_Slice_14	Profile_Slice_15	Profile_Slice_16	Profile_Slice_17	Profile_Slice_18	Profile_Slice_19	Profile_Slice_20	Profile_Slice_21	Profile_Slice_22	Profile_Slice_23	Profile_Slice_24
31	178.368	178.368	178.220	180.033	176.981	174.066	179.840	182.880	176.991	181.082	178.346	180.471	185.292	185.542	182.727	181.442	189.466	180.122	184.594	179.194	180.823	181.102	182.742	174.002
32	179.908	179.908	179.097	183.398	183.043	177.681	178.444	181.199	180.265	177.493	181.584	177.822	189.521	188.272	179.453	183.890	185.131	180.326	181.444	181.295	182.921	180.846	180.610	179.228
33	181.847	181.847	174.038	180.337	178.876	180.560	179.695	182.667	178.100	178.267	187.444	178.040	190.591	182.853	190.070	183.381	180.439	180.856	179.726	181.111	179.961	180.167	183.601	181.606
34	175.553	175.553	173.678	181.644	176.277	183.613	178.900	180.867	184.642	183.304	187.889	180.480	186.569	182.407	191.007	180.040	182.434	182.536	179.995	178.952	180.299	184.212	187.854	176.660
35	180.323	180.323	179.253	182.735	179.470	178.366	177.397	182.338	179.959	184.420	181.323	178.893	190.162	185.715	183.044	178.896	186.045	180.981	185.086	183.452	185.212	181.728	181.245	179.503
36	180.645	180.645	183.990	182.501	183.040	180.732	180.670	178.965	179.874	188.664	176.448	176.790	188.951	189.815	182.804	182.503	180.396	181.870	181.061	181.777	183.366	185.083	178.759	174.718
37	176.326	176.326	175.433	180.279	183.338	181.724	178.390	181.354	178.340	184.120	177.798	183.774	189.868	183.367	179.420	183.901	183.423	180.532	181.595	177.876	184.552	187.227	187.075	183.323
38	179.542	179.542	179.377	183.548	175.417	184.953	177.566	182.370	178.770	180.292	182.769	184.506	192.503	183.801	182.708	183.398	184.964	180.915	183.246	180.619	183.587	180.469	181.948	180.225
39	179.507	179.507	183.565	181.131	179.468	182.652	181.671	178.697	178.282	185.645	179.366	181.140	190.414	181.189	184.536	181.493	186.892	184.053	184.109	182.262	179.582	179.831	179.482	180.986
40	185.386	185.386	179.098	182.127	181.817	182.604	180.027	176.818	184.461	183.026	186.723	185.776	189.616	184.735	185.284	176.725	185.827	183.114	182.788	183.146	181.987	187.871	185.728	179.603
41	180.192	180.192	177.977	174.622	179.869	182.042	181.604	177.534	184.259	181.799	187.061	188.092	192.896	187.339	182.994	177.923	184.735	180.398	185.020	179.297	180.998	186.805	183.755	178.915
42	183.573	183.573	179.653	175.986	173.976	182.635	182.755	179.851	179.733	181.216	181.327	184.106	195.344	182.707	187.994	180.164	184.070	180.078	183.918	180.322	180.560	182.557	183.538	181.544
43	181.943	181.943	178.569	177.181	170.317	181.371	182.985	179.139	182.594	185.254	182.751	184.657	194.933	186.054	184.049	182.330	184.278	182.971	182.962	185.278	182.746	183.701	181.017	176.164
44	178.857	178.857	181.753	181.456	183.532	184.794	184.376	180.507	184.730	177.508	181.142	185.514	191.638	181.747	186.040	181.411	181.347	180.347	182.657	180.262	183.396	184.433	181.325	176.641
45	179.792	179.792	181.631	183.391	183.601	184.667	181.353	176.492	182.942	178.371	182.838	177.529	190.054	186.377	183.944	184.286	181.662	182.735	181.667	176.073	185.403	184.908	181.448	180.425
46	180.041	180.041	180.389	184.422	184.036	181.397	183.414	180.472	188.099	182.934	184.458	179.972	190.312	182.349	185.631	181.695	184.583	185.779	185.697	184.888	187.002	183.420	184.729	181.320
47	188.189	188.189	177.176	182.400	182.590	186.371	185.568	181.811	186.285	181.829	183.253	183.591	188.611	187.907	185.057	181.233	187.735	177.779	178.112	185.802	183.118	182.873	184.502	182.146
48	180.410	180.410	180.555	184.212	180.543	182.664	184.302	182.245	181.146	181.600	179.667	186.195	190.862	179.435	181.416	184.453	188.863	181.754	182.489	180.129	184.252	184.439	184.262	178.000
49	180.523	180.523	182.808	178.939	187.537	184.615	184.055	184.591	176.310	185.244	183.063	181.303	194.361	182.101	185.752	183.314	189.967	185.614	180.576	180.404	184.694	182.563	188.041	180.657
50	183.921	183.921	182.628	180.985	182.878	181.494	181.218	183.899	184.437	179.019	182.694	183.335	190.284	185.530	189.802	181.205	184.842	186.816	185.841	184.550	183.412	183.969	180.400	180.818
51	183.320	183.320	178.595	183.500	178.647	181.152	176.843	185.313	179.769	180.607	178.233	185.947	192.396	180.780	186.826	188.145	182.962	180.976	185.731	187.073	179.568	187.782	185.464	179.017
52	181.539	181.539	178.822	186.682	182.913	182.179	186.386	181.437	186.380	179.402	181.400	182.514	189.881	181.346	186.008	185.463	175.851	181.225	182.955	185.107	179.077	187.337	183.855	180.383
53	182.755	182.755	177.391	178.344	183.717	179.925	183.922	180.982	183.147	186.730	185.867	181.461	189.360	180.116	180.514	184.863	179.352	178.876	182.805	188.594	180.073	189.465	179.308	180.852
54	183.198	183.198	181.142	179.614	183.003	177.371	182.084	183.415	184.005	182.254	182.428	184.782	193.562	181.568	184.795	184.623	182.724	180.633	181.232	182.758	181.249	182.166	182.342	180.334
55	178.513	178.513	182.636	181.125	182.967	175.803	184.356	183.681	185.880	184.218	180.825	184.609	193.250	186.714	184.022	185.227	184.368	182.016	180.417	191.160	180.678	188.098	180.877	182.553
56	180.727	180.727	180.147	178.364	187.563	177.795	183.178	181.552	181.844	186.223	176.933	183.739	185.524	187.224	187.719	183.594	180.939	180.928	185.862	192.011	182.764	187.970	181.877	177.591
57	182.653	182.653	182.564	174.520	189.593	181.781	182.314	184.465	187.391	179.642	175.532	185.638	187.460	193.609	187.661	183.188	184.939	183.911	186.776	179.650	181.587	186.321	184.577	176.568
58	188.528	188.528	176.234	180.834	185.191	178.105	183.260	184.754	184.759	187.911	180.982	186.666	192.602	185.840	181.836	184.898	184.935	181.260	183.596	178.867	183.872	189.305	180.830	175.604
59	180.116	180.116	180.046	183.241	184.897	175.575	179.294	180.462	182.792	188.235	182.098	183.119	190.180	178.154	182.705	182.640	188.160	185.261	183.295	187.991	180.657	184.494	184.221	180.465
60	180.260	180.260	184.776	188.691	186.164	185.609	180.747	179.619	185.971	188.886	182.970	185.468	195.409	182.666	182.491	181.843	185.974	184.980	183.265	186.502	180.619	187.675	185.660	184.069
61	185.411	185.411	182.203	188.138	180.547	183.139	183.256	178.856	186.651	188.394	185.411	184.726	199.542	180.453	185.745	187.015	184.541	183.730	185.270	185.993	187.118	188.823	185.025	181.983
62	185.964	185.964	181.326	181.222	180.732	185.366	185.571	184.904	187.393	189.749	184.941	180.765	198.505	185.161	180.878	186.799	184.687	188.548	186.552	192.021	182.349	178.462	186.379	182.778
63	179.883	179.883	177.397	179.946	178.657	177.233	175.426	180.786	183.677	183.810	181.766	184.793	191.032	185.880	181.111	182.832	189.362	179.342	183.020	182.641	184.413	184.164	183.309	182.835
