 	Profile_Slice_1	Profile_Slice_2	Profile_Slice_3	Profile_Slice_4	Profile_Slice_5	Profile_Slice_6	Profile_Slice_7	Profile_Slice_8	Profile_Slice_9	Profile_Slice_10	Profile_Slice_11
68	581.133	581.133	594.333	588.733	574.067	587.200	578.800	592.467	593.400	586.267	584.800
69	586.333	586.333	560.067	622.533	576.600	561.267	586.533	576.400	566.933	579.600	591.867
70	589.867	589.867	589.467	597.733	580.667	585.867	572.000	575.267	592.067	578.267	592.333
71	591.933	591.933	599.933	596.933	600.867	580.533	593.800	582.600	578.133	581.733	585.533
72	596.467	596.467	585.400	599.400	585.133	589.267	574.467	575.000	589.400	582.867	601.733
73	585.933	585.933	578.333	588.467	594.400	585.800	568.067	578.600	579.467	581.200	577.467
74	596.000	596.000	583.400	575.467	581.533	588.600	579.133	592.067	587.000	596.400	591.600
75	576.000	576.000	596.800	594.067	572.533	589.200	578.467	594.000	591.667	565.267	590.667
76	586.000	586.000	591.533	601.867	609.600	593.867	591.533	588.800	581.200	587.533	602.400
77	580.067	580.067	588.533	596.200	596.600	582.067	584.200	582.800	580.200	586.067	608.733
78	590.867	590.867	600.333	608.133	588.467	585.400	569.867	600.200	583.733	585.333	600.000
79	590.733	590.733	596.200	590.800	598.600	584.333	580.600	580.867	597.933	581.000	608.067
80	585.200	585.200	587.267	598.667	592.667	588.267	581.467	608.200	609.000	581.800	594.133
81	602.667	602.667	586.267	594.600	587.867	583.200	583.867	586.067	582.000	591.333	591.867
82	565.533	565.533	592.400	608.133	612.667	597.867	590.000	590.067	595.000	583.733	598.800
83	582.933	582.933	600.800	593.400	600.400	593.933	588.400	591.467	589.933	580.000	614.467
84	591.467	591.467	590.200	598.400	602.667	601.867	597.800	590.533	591.400	583.667	595.933
85	578.733	578.733	604.467	586.000	615.133	592.600	567.267	586.667	595.867	586.467	605.067
86	609.533	609.533	604.133	599.133	599.533	600.267	605.267	606.000	589.067	602.133	599.800
87	602.133	602.133	582.133	606.200	601.933	599.867	586.533	611.200	605.333	582.733	591.200
88	607.267	607.267	589.800	588.267	599.133	602.933	603.267	603.067	603.933	592.800	609.733
89	600.400	600.400	603.600	617.333	592.733	582.800	588.200	592.733	618.867	594.133	604.867
90	593.200	593.200	596.000	608.467	601.400	586.000	596.800	603.067	599.267	606.333	604.800
91	611.000	611.000	592.867	620.733	588.867	602.067	580.133	609.533	625.000	592.200	586.600
92	598.667	598.667	605.333	606.667	613.200	603.200	579.800	599.133	588.000	606.733	618.733
93	594.600	594.600	610.400	619.400	605.800	597.867	609.733	601.000	611.467	592.533	590.200
94	603.067	603.067	605.533	616.800	595.133	594.533	610.067	621.600	600.067	601.067	622.133
95	589.467	589.467	592.467	608.467	602.867	603.467	605.067	610.733	596.733	591.400	599.000
96	599.133	599.133	604.733	609.333	620.867	600.733	594.867	603.467	600.467	595.933	603.733
97	598.800	598.800	603.067	609.067	600.600	608.133	592.400	605.200	607.200	608.133	610.600
98	616.333	616.333	611.933	615.333	608.400	621.667	592.600	610.000	605.333	596.600	617.400
99	622.467	622.467	608.867	617.133	622.467	590.533	609.800	616.133	611.400	592.067	604.867
100	609.667	609.667	612.067	625.933	597.533	616.333	605.533	591.333	603.267	617.467	615.533
101	614.000	614.000	610.133	613.533	617.000	621.133	599.333	599.733	614.800	614.533	615.933
102	612.733	612.733	597.733	611.333	609.200	611.200	604.933	609.600	617.333	612.067	627.333
103	629.467	629.467	635.600	624.800	615.933	626.533	612.267	609.400	622.800	605.000	628.267
104	604.800	604.800	621.333	616.600	609.933	615.000	610.067	608.800	632.200	600.200	634.267
