 	Profile_Slice_1	Profile_Slice_2	Profile_Slice_3	Profile_Slice_4	Profile_Slice_5	Profile_Slice_6	Profile_Slice_7	Profile_Slice_8	Profile_Slice_9	Profile_Slice_10	Profile_Slice_11	Profile_Slice_12	Profile_Slice_13	Profile_Slice_14	Profile_Slice_15
1	183.188	187.830	180.130	175.491	189.769	180.972	182.180	185.684	188.344	182.165	182.959	185.721	187.039	181.455	184.369
2	184.858	194.074	179.414	188.090	190.429	185.895	182.181	179.966	184.793	175.529	181.051	179.448	188.776	182.525	180.061
3	182.373	186.875	182.290	184.004	187.211	189.206	189.353	192.010	184.805	178.558	187.417	186.601	189.152	184.518	180.327
4	183.907	182.704	190.447	180.311	187.318	185.466	191.681	189.634	187.709	180.957	186.060	187.940	188.896	185.262	181.504
5	185.319	181.575	184.483	180.702	187.026	180.522	190.139	181.938	186.845	197.231	190.863	184.637	180.822	183.508	189.395
6	182.897	182.404	184.260	185.303	186.457	189.228	191.775	190.985	191.712	183.650	189.018	181.592	182.752	185.703	182.113
7	189.561	186.710	185.808	193.740	189.811	190.798	189.432	186.815	186.968	185.658	185.324	183.018	187.542	177.423	181.189
8	188.845	184.607	183.031	188.449	189.143	179.431	187.414	188.119	191.746	186.409	185.327	187.551	180.797	184.329	181.054
9	182.067	186.631	188.595	182.855	182.412	182.108	188.798	186.607	188.568	192.351	190.720	190.984	188.258	180.187	191.427
10	180.824	182.241	182.261	187.651	181.964	184.174	185.007	184.550	185.043	183.332	188.997	184.646	182.740	189.337	193.700
11	180.779	176.816	180.204	194.671	184.546	192.405	181.991	187.079	184.292	183.844	186.330	186.733	182.866	185.145	180.486
12	181.693	184.835	183.681	191.728	185.648	186.339	183.933	181.545	184.950	188.111	193.466	182.076	185.672	181.571	184.874
13	181.065	185.136	186.734	187.839	182.120	186.577	192.805	183.233	188.571	193.021	190.715	189.309	187.735	184.200	186.733
14	183.097	186.610	181.879	182.775	182.187	181.996	184.483	188.169	191.023	184.048	185.858	186.368	185.857	184.467	187.828
15	186.191	182.639	182.478	184.480	179.844	187.297	186.630	187.676	183.497	182.494	191.917	192.842	183.215	189.572	185.808
16	181.353	183.518	184.132	186.386	186.457	176.803	186.642	186.630	182.491	189.427	181.600	186.983	184.407	188.909	186.046
17	184.504	186.306	184.486	182.079	189.259	173.712	185.427	185.025	186.725	181.344	181.834	180.721	189.570	184.343	189.149
18	186.993	186.485	184.619	187.749	190.645	184.538	179.073	185.765	188.197	186.079	189.240	189.464	182.729	186.409	192.570
19	185.014	187.529	185.394	187.514	188.483	186.212	181.947	188.834	189.338	192.204	194.145	190.110	181.903	187.645	191.041
20	186.860	186.535	187.686	186.723	189.537	182.660	187.699	190.726	189.423	189.066	189.133	182.666	183.072	193.173	182.523
21	192.135	184.891	186.575	194.681	187.752	193.170	186.073	181.131	181.701	189.286	190.889	187.727	185.049	184.391	177.494
22	184.342	189.052	182.613	191.610	190.177	185.733	188.335	182.354	190.151	180.416	187.428	184.290	189.204	184.812	181.809
23	186.496	187.591	183.245	190.367	191.653	186.066	184.690	189.121	189.171	183.608	186.281	191.347	189.081	186.749	185.408
24	184.081	197.758	184.990	194.283	189.248	185.406	188.116	183.648	196.470	192.323	184.648	187.217	191.695	185.353	189.604
25	188.456	188.927	192.367	189.149	187.830	196.857	192.332	188.685	194.763	192.615	186.444	191.448	189.258	188.318	182.603
26	193.568	188.438	184.847	187.349	188.548	189.356	185.227	191.334	192.978	191.998	187.311	189.528	194.651	186.752	182.546
27	187.776	184.946	184.073	192.429	190.115	187.045	190.101	190.790	190.118	189.003	197.716	194.926	191.085	190.782	184.419
28	185.166	186.067	183.295	187.436	189.019	184.559	195.681	188.447	187.614	190.085	187.554	193.393	183.869	185.223	190.688
29	185.504	181.822	184.986	187.531	188.244	186.819	189.378	188.493	191.756	190.992	192.360	188.119	190.969	191.305	189.909
30	186.910	185.723	187.947	184.344	191.798	192.576	189.860	188.464	187.539	182.841	190.670	192.320	194.936	191.496	191.796
31	189.032	188.233	188.499	194.883	189.897	189.062	188.300	187.619	184.197	200.219	190.503	190.630	192.745	195.003	192.867
32	188.078	190.806	185.133	192.818	185.773	197.616	189.748	186.784	187.044	201.927	186.185	195.544	198.546	192.971	194.715
33	194.735	180.611	187.967	191.095	189.139	196.371	189.735	186.373	194.771	194.348	194.912	194.744	188.022	194.107	186.020
34	191.101	191.972	187.846	193.063	192.322	194.583	196.293	193.332	186.422	193.000	196.168	196.508	193.933	190.134	186.437
35	190.513	194.201	190.635	192.797	190.817	190.684	188.844	185.232	184.140	188.149	193.724	193.598	195.583	191.955	188.539
36	183.277	190.682	184.946	195.848	189.826	190.666	195.628	189.404	191.189	188.931	193.120	197.117	190.584	195.383	188.157
37	192.665	184.182	191.653	193.469	196.208	192.852	188.523	190.163	183.338	185.653	194.812	196.479	192.207	186.193	190.071
38	189.790	192.627	186.577	193.191	200.447	189.937	190.733	191.988	188.224	190.051	188.504	190.986	192.490	192.956	189.521
39	192.423	195.149	189.846	192.729	196.284	190.001	196.637	191.836	188.698	188.879	200.768	189.943	194.123	192.608	192.279
40	186.401	190.049	198.280	187.791	196.015	190.923	192.676	181.951	198.317	186.391	190.562	195.645	197.099	192.897	199.279
41	190.903	190.509	196.826	190.923	200.608	188.513	195.947	195.756	196.751	200.641	192.053	195.906	192.938	189.570	195.458
42	189.964	193.955	198.982	192.775	198.570	192.207	198.520	195.890	188.799	200.135	185.742	196.011	189.400	194.761	186.924
43	200.098	192.721	196.581	198.927	193.475	187.470	196.509	195.685	192.212	195.855	192.283	196.279	185.803	190.637	190.285
44	195.801	188.802	199.112	199.292	194.568	189.287	194.746	193.853	198.741	197.163	197.554	198.695	197.644	201.095	191.581
45	191.835	186.530	192.622	191.940	195.100	192.550	195.960	201.313	192.546	191.989	196.353	203.217	201.028	194.686	192.832
46	192.531	188.881	197.614	191.281	195.418	199.272	193.231	199.754	198.312	191.075	195.205	191.759	201.376	191.239	196.496
47	188.101	190.660	191.646	194.149	205.257	192.377	191.289	198.837	195.115	197.933	194.640	188.452	195.496	189.702	198.536
48	189.978	202.108	194.285	190.962	197.598	195.620	193.782	196.344	196.482	195.751	193.971	193.834	196.134	195.024	193.455
49	194.566	198.685	196.822	189.588	188.713	200.639	189.366	188.425	197.772	193.878	194.612	197.618	199.381	192.087	197.765
50	195.604	193.508	193.344	191.853	198.365	190.822	193.743	195.589	206.967	200.829	191.337	190.579	197.307	192.713	194.791
51	193.969	192.888	195.843	194.135	203.399	183.148	198.664	198.080	198.441	199.082	196.909	199.934	201.962	192.173	194.455
52	195.055	197.385	191.002	188.444	194.152	192.237	190.243	190.664	189.096	194.175	197.568	197.648	192.172	196.582	190.693
53	199.533	202.002	190.169	194.855	191.938	194.369	196.184	194.092	198.792	200.471	203.127	196.854	189.209	196.088	193.794
54	199.173	202.596	195.934	189.221	199.045	197.867	200.861	193.081	197.049	194.399	193.819	207.132	198.806	199.591	201.181
55	198.306	201.594	196.115	188.741	199.309	194.741	194.129	196.901	196.888	200.055	198.353	203.856	198.098	197.660	191.609
56	200.483	200.243	199.081	197.566	196.077	196.775	197.949	196.247	199.615	202.339	196.062	200.377	198.269	198.064	201.030
57	197.664	199.097	197.282	202.925	204.140	201.835	200.697	196.703	198.159	201.894	202.248	204.647	194.714	198.453	200.794
58	195.890	195.602	195.553	196.041	198.226	195.264	196.991	195.654	200.783	194.567	191.776	201.676	205.089	195.924	203.067
59	197.510	199.195	194.175	195.092	196.545	185.452	191.541	190.152	194.509	201.375	192.652	200.637	203.238	193.635	200.468
60	197.482	196.461	187.760	197.936	204.776	189.986	201.754	198.861	201.881	205.716	197.956	205.329	202.537	198.771	198.210
61	197.491	199.696	195.512	190.202	198.110	200.232	196.836	203.664	192.574	201.850	198.798	200.046	200.086	194.796	197.785
62	196.914	201.593	199.542	192.242	193.844	207.641	194.977	203.883	201.050	208.698	196.920	206.760	205.219	199.059	201.917
63	192.476	203.185	203.283	193.040	196.915	198.320	208.771	197.578	201.733	211.886	202.891	209.538	201.349	202.409	196.835
64	198.474	196.504	199.867	203.674	186.782	193.721	197.211	201.490	198.177	204.302	199.848	203.154	201.041	199.869	204.805
65	194.255	198.239	197.978	197.091	194.904	205.812	193.720	202.473	204.825	204.533	199.774	204.059	202.102	202.160	196.466
66	200.544	202.113	198.143	205.273	200.007	212.185	204.516	209.283	206.151	201.427	200.219	205.283	200.442	204.918	202.079
67	209.880	198.417	198.558	196.876	202.493	201.645	201.566	199.748	197.481	201.848	206.172	210.859	196.321	208.109	200.095
68	203.193	197.413	201.445	202.604	198.216	203.782	203.551	204.120	207.811	200.375	200.031	211.534	199.261	204.574	202.214
69	201.353	202.406	202.590	200.279	199.226	201.616	199.102	202.888	209.452	203.012	198.810	209.140	199.259	198.511	204.711
70	203.804	206.731	208.306	195.555	200.500	198.502	196.658	200.145	200.078	202.055	202.051	211.045	196.341	195.207	204.607
71	200.777	205.081	199.115	196.957	201.518	203.014	200.653	212.451	195.948	205.863	203.962	212.797	201.601	200.873	202.549
72	203.560	212.327	201.259	195.748	204.254	200.500	206.443	209.226	200.420	210.003	208.959	203.326	204.831	198.612	204.971
73	201.391	208.403	203.667	200.132	200.414	196.796	202.534	203.280	203.146	213.887	207.612	202.452	202.377	201.794	200.575
74	210.364	200.400	201.242	205.585	200.438	198.204	206.898	200.981	204.427	202.312	209.127	208.129	203.466	200.695	204.698
75	202.335	199.070	201.844	201.755	196.300	203.902	204.100	210.377	207.623	216.322	208.127	207.341	210.073	206.001	198.150
76	208.819	202.571	210.148	201.078	211.027	208.791	196.800	205.115	207.027	206.097	213.430	207.634	211.248	207.982	204.145
77	208.145	207.776	205.583	207.869	211.724	206.869	200.924	204.875	205.927	204.825	213.689	215.526	211.154	210.171	205.497
78	207.629	204.567	208.970	195.796	210.181	209.880	211.120	208.234	201.397	214.249	217.264	210.196	213.375	207.211	209.699
79	210.418	205.366	209.538	200.383	213.517	204.292	216.382	206.598	212.363	209.464	215.884	211.324	218.006	211.037	211.465
80	206.959	208.442	205.901	206.018	209.884	207.742	212.511	207.369	211.176	203.692	206.686	208.841	210.076	213.036	204.037
81	209.845	205.781	201.967	206.546	211.321	205.452	206.754	211.581	208.176	207.076	203.370	215.416	208.243	208.495	201.625
82	208.958	210.576	209.948	206.618	209.715	210.819	206.772	215.290	202.684	207.901	211.589	213.017	204.256	209.761	204.657
83	208.922	211.341	212.409	205.060	207.538	208.826	206.597	210.067	208.396	207.532	217.258	212.856	206.737	205.356	206.369
84	206.954	202.869	200.542	202.021	212.930	202.948	210.031	209.595	202.006	213.499	212.286	217.204	210.637	204.797	208.047
85	213.950	205.830	208.945	212.223	214.654	211.997	210.452	203.578	210.382	210.338	213.170	215.195	212.439	212.325	214.834
86	218.935	205.525	211.313	207.030	220.461	205.248	218.354	217.731	209.060	216.579	213.291	222.888	209.134	213.658	214.792
87	211.685	203.786	202.292	207.236	217.764	209.960	214.732	217.442	212.226	211.694	216.837	215.724	201.310	214.662	209.885
88	210.003	213.421	214.658	216.846	216.844	209.471	214.099	221.029	217.233	216.336	209.316	217.377	207.853	214.217	210.288
89	207.640	223.644	216.809	208.541	211.347	217.649	212.310	216.519	219.885	217.146	223.385	223.587	212.803	211.417	212.875
90	202.765	210.171	207.505	210.198	221.876	219.833	206.910	214.647	204.322	223.691	221.062	219.433	211.725	212.370	215.524
91	208.153	212.951	209.251	207.568	217.635	219.657	212.493	217.609	216.714	218.598	221.559	211.080	208.329	225.047	206.329
92	218.417	214.892	212.050	212.197	220.035	218.799	218.474	222.831	220.977	223.146	222.093	224.233	214.217	219.493	211.389
93	214.892	211.535	220.027	219.962	219.916	222.008	222.354	222.510	219.918	226.053	224.667	221.858	219.415	225.072	224.203
94	213.909	212.919	218.643	218.737	216.862	220.894	225.074	218.195	213.347	226.859	215.656	219.723	210.100	216.885	218.995
