 	Profile_Slice_1	Profile_Slice_2	Profile_Slice_3	Profile_Slice_4
1	240.170	240.170	236.725	250.159
2	246.873	246.873	251.992	241.149
3	241.849	241.849	239.460	243.252
4	240.473	240.473	239.914	244.170
5	243.691	243.691	238.996	247.312
6	244.286	244.286	248.885	245.916
7	242.160	242.160	249.008	240.694
8	229.896	229.896	244.289	238.426
9	245.047	245.047	246.622	248.782
10	242.450	242.450	251.319	249.431
11	235.638	235.638	259.000	238.105
12	241.208	241.208	253.898	244.207
13	247.215	247.215	256.317	245.113
14	245.783	245.783	253.294	243.810
15	241.670	241.670	247.211	244.703
16	248.196	248.196	242.737	251.672
17	237.545	237.545	234.421	243.706
18	241.611	241.611	246.284	236.997
19	247.213	247.213	246.025	257.078
20	244.797	244.797	241.361	246.604
21	231.451	231.451	241.529	254.413
22	245.603	245.603	238.949	241.835
23	240.413	240.413	251.570	245.919
24	239.940	239.940	255.282	252.738
25	250.377	250.377	238.157	255.064
26	240.366	240.366	249.566	248.483
27	247.610	247.610	247.830	239.659
28	252.965	252.965	247.217	243.528
29	236.542	236.542	245.107	241.909
30	250.434	250.434	259.933	237.118
31	243.003	243.003	244.250	256.329
32	239.835	239.835	263.157	249.578
33	238.916	238.916	246.162	260.672
34	235.353	235.353	242.559	245.614
35	241.229	241.229	238.389	244.748
36	237.082	237.082	251.182	240.586
37	241.521	241.521	238.884	247.947
38	233.449	233.449	245.349	249.654
39	250.493	250.493	248.241	253.165
40	241.219	241.219	244.012	244.311
41	245.572	245.572	254.993	246.698
42	244.746	244.746	258.167	244.191
43	244.739	244.739	250.499	244.589
44	243.574	243.574	240.378	251.174
45	252.115	252.115	251.020	257.577
46	244.165	244.165	248.963	247.523
47	248.413	248.413	252.681	246.219
48	251.133	251.133	255.527	248.770
49	240.611	240.611	244.273	247.374
50	239.607	239.607	252.635	249.189
51	247.389	247.389	247.209	255.317
52	245.757	245.757	247.096	244.605
53	242.692	242.692	256.047	247.274
54	239.554	239.554	245.343	246.463
55	246.568	246.568	255.444	253.573
56	245.350	245.350	243.909	254.645
57	238.672	238.672	255.008	261.237
58	240.543	240.543	248.949	254.524
59	247.680	247.680	258.652	250.109
60	254.803	254.803	253.168	252.649
61	244.353	244.353	244.060	244.911
62	247.245	247.245	249.589	251.636
63	253.600	253.600	248.699	253.082
64	239.170	239.170	251.909	254.482
65	242.362	242.362	253.546	251.630
66	240.198	240.198	253.649	253.849
67	246.074	246.074	256.977	262.368
68	239.735	239.735	254.847	256.921
69	246.189	246.189	257.847	261.149
70	246.751	246.751	252.300	260.587
71	252.962	252.962	257.763	249.795
72	248.293	248.293	251.897	235.112
73	240.556	240.556	257.322	245.510
74	246.866	246.866	243.803	250.087
75	248.814	248.814	246.773	259.720
76	246.791	246.791	258.496	266.799
77	242.022	242.022	262.580	257.476
78	251.215	251.215	260.097	260.812
79	251.906	251.906	262.219	264.142
80	248.936	248.936	258.821	264.118
81	250.697	250.697	249.430	246.037
82	247.542	247.542	263.320	262.728
83	254.307	254.307	249.287	263.872
84	244.640	244.640	260.581	260.407
85	254.356	254.356	260.258	252.994
86	252.930	252.930	264.422	264.007
87	246.406	246.406	263.588	265.392
88	248.933	248.933	258.908	258.024
89	247.251	247.251	266.205	272.597
90	247.520	247.520	266.420	255.238
91	246.855	246.855	277.202	264.395
92	249.312	249.312	270.282	268.116
93	246.883	246.883	263.401	271.281
94	256.606	256.606	263.730	268.088
95	241.493	241.493	258.815	265.299
96	251.557	251.557	275.549	276.925
97	248.372	248.372	258.838	263.062
98	240.742	240.742	269.610	267.398
99	244.809	244.809	271.192	263.110
100	250.193	250.193	275.701	274.545
101	249.664	249.664	271.294	270.314
102	248.212	248.212	272.350	259.505
103	259.170	259.170	270.050	275.010
104	251.370	251.370	275.968	268.692
105	256.188	256.188	273.126	278.678
106	259.304	259.304	272.879	281.107
107	261.155	261.155	265.757	281.528
108	257.105	257.105	267.546	277.956
109	256.654	256.654	276.785	281.055
110	252.157	252.157	281.003	279.659
111	257.914	257.914	283.947	274.222
112	246.806	246.806	271.867	287.950
113	253.398	253.398	278.598	279.987
114	261.497	261.497	285.686	282.974
115	249.155	249.155	288.814	285.108
116	253.664	253.664	283.450	283.062
117	255.479	255.479	282.984	291.123
118	267.350	267.350	279.730	295.203
119	247.680	247.680	289.303	286.778
120	250.501	250.501	296.621	288.078
121	252.221	252.221	288.917	295.989
122	254.665	254.665	298.301	291.552
123	255.078	255.078	286.167	302.716
124	263.657	263.657	285.894	303.106
125	254.925	254.925	302.710	311.097
126	253.756	253.756	303.279	309.012
127	241.514	241.514	287.583	310.548
128	251.422	251.422	292.279	307.193
129	261.435	261.435	298.406	325.271
130	247.713	247.713	310.224	320.710
131	272.409	272.409	313.549	328.679
132	257.602	257.602	322.578	319.728
133	254.197	254.197	333.547	339.198
134	265.356	265.356	332.371	333.248
135	260.637	260.637	333.661	337.235
136	258.877	258.877	350.126	346.950
137	262.149	262.149	351.427	366.969
138	265.316	265.316	373.710	360.840
139	260.699	260.699	381.549	392.368
140	248.000	248.000	394.083	394.265
141	264.249	264.249	397.733	406.749
142	261.463	261.463	407.436	410.963
143	268.959	268.959	409.896	408.427
144	270.011	270.011	414.400	401.960
145	264.962	264.962	399.031	405.612
146	263.690	263.690	406.403	401.394
147	267.832	267.832	401.761	405.471
148	272.237	272.237	394.151	386.342
149	283.253	283.253	400.050	401.228
150	279.779	279.779	380.271	378.952
151	280.048	280.048	387.253	382.083
152	268.303	268.303	376.389	369.768
153	279.452	279.452	381.784	387.121
154	288.215	288.215	394.535	385.915
155	282.239	282.239	381.253	382.497
156	295.723	295.723	386.211	387.639
157	289.556	289.556	410.851	401.965
158	279.009	279.009	400.527	390.201
159	280.511	280.511	403.517	389.780
160	281.883	281.883	399.078	406.616
161	280.389	280.389	397.858	416.471
162	287.923	287.923	411.029	410.383
163	289.541	289.541	426.501	397.303
164	286.504	286.504	421.012	411.800
165	295.301	295.301	421.248	408.719
166	274.653	274.653	437.868	414.652
167	284.131	284.131	408.184	421.497
168	287.633	287.633	432.707	421.433
169	290.293	290.293	431.053	418.852
170	284.458	284.458	430.453	422.189
171	281.492	281.492	419.397	420.335
172	288.382	288.382	429.041	438.351
173	283.312	283.312	445.411	425.372
174	276.942	276.942	460.771	434.787
175	292.691	292.691	438.863	423.227
176	287.540	287.540	455.695	441.441
177	287.458	287.458	451.493	443.966
178	285.197	285.197	448.486	440.366
179	286.741	286.741	445.615	437.906
180	291.034	291.034	458.849	451.652
181	293.720	293.720	467.960	447.453
182	308.655	308.655	453.463	431.165
183	305.653	305.653	459.568	441.013
184	314.067	314.067	459.929	455.817
185	304.038	304.038	483.734	457.455
186	301.680	301.680	467.856	445.978
187	310.905	310.905	480.759	465.707
188	317.922	317.922	475.039	458.730
189	308.420	308.420	482.692	475.324
190	313.914	313.914	491.627	466.252
191	319.056	319.056	484.491	477.688
192	322.418	322.418	483.247	463.030
193	315.707	315.707	486.204	485.853
194	329.544	329.544	472.213	480.668
195	326.883	326.883	508.151	485.547
196	343.487	343.487	508.115	501.171
197	346.690	346.690	483.912	487.234
198	351.764	351.764	491.786	485.112
199	345.351	345.351	493.896	485.389
200	383.471	383.471	495.519	495.185
201	385.483	385.483	497.211	506.325
202	399.135	399.135	520.023	495.700
203	418.211	418.211	506.438	509.146
204	436.390	436.390	521.090	506.264
205	435.943	435.943	528.440	492.877
206	420.708	420.708	521.680	505.906
207	441.083	441.083	515.315	490.184
208	427.625	427.625	521.573	513.657
209	414.620	414.620	528.035	519.135
210	421.449	421.449	532.244	512.811
211	414.892	414.892	523.155	508.069
212	410.632	410.632	545.705	530.354
213	411.784	411.784	527.734	524.053
214	401.550	401.550	554.630	532.800
215	392.298	392.298	534.270	527.930
216	398.501	398.501	559.136	536.277
217	398.354	398.354	554.566	536.325
218	400.362	400.362	537.311	538.730
219	409.265	409.265	543.706	533.643
220	414.666	414.666	567.191	539.433
221	421.008	421.008	563.990	541.310
222	420.547	420.547	573.208	549.367
223	437.472	437.472	573.324	558.282
224	443.697	443.697	560.581	567.734
225	424.165	424.165	563.604	556.268
226	440.660	440.660	575.234	565.606
227	420.789	420.789	580.572	570.424
228	431.603	431.603	585.829	576.395
229	417.869	417.869	579.619	589.492
230	439.266	439.266	591.421	611.684
231	435.892	435.892	591.674	599.337
232	422.026	422.026	592.426	582.412
233	449.712	449.712	596.830	567.988
234	446.819	446.819	594.444	562.993
235	453.337	453.337	590.896	583.827
236	445.712	445.712	592.266	571.329
237	464.117	464.117	587.497	576.801
238	464.244	464.244	591.400	576.624
239	446.063	446.063	600.533	575.668
240	464.386	464.386	598.158	573.652
241	454.321	454.321	616.988	598.848
242	480.371	480.371	623.616	595.051
243	495.245	495.245	614.620	621.160
244	481.731	481.731	609.388	591.415
245	479.398	479.398	608.119	600.116
246	486.777	486.777	623.881	599.157
247	502.096	502.096	599.832	593.804
248	500.554	500.554	596.342	587.853
249	493.255	493.255	603.576	581.564
250	492.256	492.256	619.990	593.489
251	510.611	510.611	599.342	581.445
252	503.721	503.721	567.626	585.448
