 	Profile_Slice_1	Profile_Slice_2	Profile_Slice_3	Profile_Slice_4	Profile_Slice_5	Profile_Slice_6	Profile_Slice_7	Profile_Slice_8	Profile_Slice_9
67	1163.426	1163.426	1214.540	1249.349	1259.830	1270.989	1301.033	1269.707	1271.547
68	1183.657	1183.657	1223.086	1250.341	1268.862	1286.164	1294.450	1284.805	1265.181
69	1163.037	1163.037	1236.512	1278.511	1262.770	1266.263	1272.257	1300.461	1280.074
70	1181.640	1181.640	1238.294	1264.683	1264.050	1277.900	1287.533	1291.953	1293.388
71	1166.139	1166.139	1235.601	1274.145	1266.031	1278.196	1303.841	1285.567	1292.657
72	1184.813	1184.813	1241.029	1240.772	1278.124	1281.896	1296.493	1309.630	1300.088
73	1185.871	1185.871	1263.031	1240.519	1285.529	1288.457	1293.157	1299.345	1301.993
74	1176.513	1176.513	1241.732	1250.282	1298.040	1294.031	1294.379	1288.373	1301.232
75	1196.991	1196.991	1245.791	1266.555	1278.918	1291.981	1291.237	1312.091	1310.696
76	1197.431	1197.431	1259.679	1255.880	1280.659	1294.631	1287.941	1302.327	1308.248
77	1182.647	1182.647	1255.122	1289.434	1291.909	1309.078	1298.342	1288.133	1315.299
78	1194.088	1194.088	1256.883	1279.768	1296.904	1303.469	1332.096	1300.695	1310.370
79	1216.019	1216.019	1254.946	1277.412	1277.027	1303.035	1313.842	1308.933	1311.203
80	1200.993	1200.993	1247.255	1278.656	1285.924	1322.980	1315.771	1298.474	1328.760
81	1208.564	1208.564	1265.428	1278.617	1278.580	1313.290	1310.604	1321.709	1324.562
82	1198.431	1198.431	1262.493	1264.992	1294.697	1325.123	1316.136	1322.801	1304.760
83	1212.524	1212.524	1256.855	1277.133	1310.500	1319.892	1328.860	1337.765	1304.483
84	1196.651	1196.651	1257.858	1274.334	1309.905	1314.734	1310.603	1324.605	1319.216
85	1200.216	1200.216	1264.561	1295.386	1297.297	1326.550	1320.156	1315.157	1311.743
86	1211.156	1211.156	1284.278	1320.289	1305.781	1330.317	1336.828	1329.675	1335.503
87	1227.984	1227.984	1283.667	1298.755	1326.800	1326.007	1345.812	1340.846	1342.589
88	1223.288	1223.288	1282.906	1317.973	1331.674	1333.993	1325.390	1349.485	1340.893
89	1199.420	1199.420	1283.717	1305.849	1341.581	1342.097	1351.981	1334.271	1327.339
90	1230.995	1230.995	1274.646	1298.721	1336.636	1333.372	1342.272	1344.571	1329.662
91	1235.746	1235.746	1283.028	1294.336	1332.589	1343.599	1335.642	1340.502	1370.891
92	1244.148	1244.148	1281.312	1315.193	1350.455	1348.166	1323.696	1352.702	1357.315
93	1226.057	1226.057	1266.985	1332.867	1345.088	1353.768	1349.493	1362.375	1366.260
94	1229.933	1229.933	1295.347	1333.985	1352.198	1335.996	1347.019	1376.585	1374.362
95	1244.171	1244.171	1294.683	1317.053	1350.698	1346.147	1345.777	1353.770	1349.314
96	1230.877	1230.877	1291.703	1303.495	1357.918	1344.501	1345.141	1341.873	1341.300
97	1255.233	1255.233	1300.577	1331.415	1361.247	1362.056	1350.695	1358.919	1382.717
98	1265.743	1265.743	1314.764	1351.788	1342.768	1374.224	1364.424	1370.010	1373.072
99	1280.846	1280.846	1301.950	1344.369	1333.022	1373.613	1356.219	1363.876	1370.279
100	1270.955	1270.955	1337.731	1357.886	1364.268	1403.778	1386.618	1395.072	1384.977
101	1280.886	1280.886	1318.634	1338.671	1382.405	1402.827	1395.531	1380.209	1401.837
102	1300.203	1300.203	1327.509	1359.780	1382.054	1394.612	1399.148	1387.854	1403.343
103	1291.522	1291.522	1335.245	1339.448	1381.106	1382.156	1395.266	1386.207	1410.921
104	1272.753	1272.753	1342.496	1364.672	1379.180	1409.999	1371.841	1395.780	1408.804
105	1300.827	1300.827	1341.982	1379.732	1399.388	1400.302	1398.263	1413.456	1397.284
106	1311.624	1311.624	1336.264	1386.029	1411.261	1401.706	1402.213	1416.769	1425.420
107	1315.566	1315.566	1336.754	1396.519	1412.579	1409.249	1405.206	1405.778	1414.905
108	1333.230	1333.230	1351.192	1402.336	1446.340	1417.031	1409.264	1416.415	1424.247
109	1328.595	1328.595	1357.646	1427.029	1443.480	1453.509	1420.150	1431.724	1436.444
110	1320.188	1320.188	1376.826	1402.046	1434.467	1460.747	1447.099	1432.494	1458.767
111	1334.675	1334.675	1386.228	1407.312	1442.188	1444.601	1451.961	1417.944	1457.224
112	1342.456	1342.456	1390.767	1437.121	1465.628	1466.513	1444.955	1462.958	1444.327
113	1365.409	1365.409	1400.174	1434.774	1483.590	1470.527	1434.504	1468.389	1457.820
114	1381.623	1381.623	1417.360	1448.035	1494.076	1471.891	1458.394	1469.138	1466.923
115	1360.420	1360.420	1422.625	1446.733	1515.476	1487.717	1465.712	1478.011	1500.560
116	1370.770	1370.770	1444.563	1456.762	1500.443	1524.412	1483.094	1486.092	1524.956
117	1395.055	1395.055	1448.971	1495.111	1535.383	1494.778	1498.929	1500.284	1546.829
118	1397.306	1397.306	1445.645	1482.178	1528.311	1516.819	1507.828	1501.341	1534.440
119	1408.856	1408.856	1469.291	1504.074	1556.798	1530.523	1516.357	1502.623	1538.785
120	1426.073	1426.073	1446.883	1516.190	1571.392	1533.661	1525.006	1526.853	1569.308
121	1431.115	1431.115	1484.899	1536.544	1572.706	1522.538	1513.377	1526.976	1568.291
122	1452.866	1452.866	1486.898	1546.494	1618.754	1531.320	1535.340	1520.631	1584.729
123	1490.315	1490.315	1515.830	1601.730	1591.805	1559.578	1572.246	1549.631	1630.964
124	1539.822	1539.822	1535.370	1606.730	1610.350	1585.302	1576.647	1545.424	1625.321
125	1532.990	1532.990	1552.617	1641.155	1636.861	1594.428	1593.888	1584.475	1643.865
126	1564.150	1564.150	1582.070	1680.123	1644.835	1596.669	1604.990	1572.413	1664.316
127	1595.307	1595.307	1614.429	1662.234	1664.674	1620.568	1625.033	1597.995	1710.105
128	1617.057	1617.057	1633.072	1690.113	1661.759	1656.547	1633.545	1607.303	1740.309
129	1616.262	1616.262	1642.694	1697.743	1653.082	1655.093	1660.613	1631.930	1750.590
130	1641.622	1641.622	1663.196	1693.141	1648.565	1696.876	1659.895	1655.416	1782.219
131	1645.878	1645.878	1653.813	1719.741	1689.752	1671.294	1686.718	1673.640	1816.613
132	1649.678	1649.678	1645.063	1695.979	1701.692	1670.977	1724.020	1685.143	1818.013
133	1665.643	1665.643	1656.879	1688.583	1703.613	1690.306	1734.534	1701.561	1816.016
134	1683.271	1683.271	1667.995	1688.366	1670.602	1701.643	1749.476	1729.851	1821.831
135	1683.031	1683.031	1677.154	1669.804	1699.942	1714.549	1781.757	1750.896	1770.841
136	1666.818	1666.818	1679.246	1661.199	1711.375	1734.503	1775.436	1753.897	1796.260
137	1653.888	1653.888	1686.081	1669.259	1717.807	1750.558	1788.884	1769.744	1774.883
138	1623.230	1623.230	1643.662	1658.777	1706.608	1724.564	1766.117	1762.747	1775.175
