 	Profile_Slice_1	Profile_Slice_2	Profile_Slice_3	Profile_Slice_4	Profile_Slice_5	Profile_Slice_6	Profile_Slice_7
105	536.673	539.812	541.773	537.248	528.769	540.503	546.006
106	532.568	549.139	540.448	536.610	538.196	540.341	557.255
107	539.162	540.114	534.387	527.880	546.889	536.389	559.025
108	546.116	536.379	532.685	539.043	540.097	540.553	530.855
109	533.683	534.901	536.819	540.980	543.407	543.176	542.630
110	528.776	530.798	531.289	538.746	537.012	532.099	534.596
111	540.054	534.800	535.415	530.363	525.678	536.344	527.780
112	537.471	547.041	535.782	538.476	543.725	524.287	535.239
113	539.932	555.264	528.125	537.584	525.393	540.040	536.126
114	542.221	544.669	520.320	525.120	547.721	540.381	539.999
115	532.915	539.119	528.664	531.448	540.125	534.348	519.535
116	536.717	542.628	526.782	528.389	531.747	531.861	550.781
117	537.917	521.041	537.578	533.359	532.701	531.225	533.417
118	537.339	535.353	522.937	539.601	536.128	530.269	518.924
119	548.183	533.802	530.810	534.760	529.029	535.230	537.119
120	540.404	535.961	521.657	537.020	529.353	527.451	547.872
121	532.575	524.830	518.459	521.876	525.785	513.594	535.730
122	549.847	535.617	532.074	533.304	535.912	532.371	535.415
123	536.314	535.253	535.018	538.727	536.583	525.082	543.340
124	532.174	526.701	523.632	529.904	532.251	531.841	534.086
125	530.815	523.662	527.878	538.182	536.390	535.079	532.370
126	540.522	520.665	523.839	543.276	533.664	538.936	538.795
127	517.468	524.225	505.703	534.811	529.573	536.920	531.811
128	519.701	526.902	512.917	527.270	520.379	528.087	542.084
129	534.304	528.844	520.920	539.593	533.305	518.324	542.252
130	533.540	532.638	513.284	533.027	532.671	516.107	538.594
131	538.341	538.358	523.267	522.981	532.911	533.502	535.618
132	526.761	531.016	525.509	529.223	542.462	531.707	537.556
133	533.869	524.957	529.309	523.846	537.804	529.083	534.004
134	530.718	537.797	515.315	529.055	539.268	517.888	532.723
135	535.468	528.597	514.306	530.313	529.857	529.191	510.991
136	534.530	522.514	509.729	522.618	527.174	526.452	531.443
137	529.750	527.793	517.799	517.530	530.802	537.589	535.307
138	520.743	527.724	512.604	521.079	530.740	519.415	536.418
139	514.346	527.338	509.730	526.457	527.137	530.143	534.185
140	518.577	531.946	519.703	518.775	523.563	536.420	527.049
141	530.123	534.008	524.952	537.080	523.445	522.828	537.918
142	524.975	515.574	526.063	524.474	528.505	532.440	519.698
143	526.514	512.856	523.100	513.062	520.689	524.984	524.022
144	537.319	518.585	536.899	520.552	519.019	518.169	538.219
145	528.367	517.352	524.615	517.682	531.024	525.074	534.935
146	511.556	524.366	519.623	512.538	512.260	524.208	532.233
147	519.511	522.878	510.775	527.789	523.404	530.966	531.878
148	519.347	519.666	510.449	514.419	528.738	531.764	529.802
149	518.758	512.381	530.777	517.399	531.036	517.997	531.749
150	522.521	520.622	522.159	531.008	524.296	522.769	528.976
151	516.055	528.537	515.144	534.220	523.075	527.950	524.079
152	526.760	522.366	524.054	532.881	526.702	524.381	524.138
153	517.714	527.267	518.840	525.620	533.001	521.689	531.872
154	523.851	526.805	519.105	527.796	522.397	530.734	523.385
155	528.550	530.464	509.539	522.362	526.652	531.686	527.397
156	537.064	524.171	506.669	524.455	524.108	537.869	524.017
157	519.388	520.589	507.881	529.412	523.658	521.183	524.815
158	515.195	524.664	503.408	521.587	518.794	516.980	523.400
159	522.345	525.529	515.080	532.800	524.746	535.625	528.134
160	524.679	513.803	515.865	523.613	518.702	520.728	521.542
161	536.480	527.451	520.768	512.120	523.605	510.194	531.470
162	520.538	517.007	514.134	514.789	525.915	526.232	532.931
163	514.859	519.455	516.191	528.273	524.871	516.730	526.760
164	521.564	510.940	524.500	526.588	516.879	530.328	532.800
165	519.123	528.228	524.794	523.788	519.456	524.928	524.505
166	535.531	536.043	526.675	524.456	533.572	519.538	524.787
167	525.012	517.447	510.907	524.016	524.360	515.351	533.040
168	525.475	510.372	514.886	521.102	513.658	518.312	526.522
169	517.612	518.131	512.376	516.562	511.559	537.040	536.663
170	514.405	517.613	511.921	519.207	513.587	511.795	510.989
171	520.111	514.241	504.384	539.201	524.283	523.497	512.912
172	511.013	510.822	507.086	519.647	506.212	523.819	521.311
173	522.078	513.137	507.161	518.834	522.065	514.002	524.572
174	522.068	518.899	505.775	510.264	522.377	520.486	523.580
175	523.200	523.975	512.532	513.301	526.006	518.499	526.803
176	525.770	523.040	510.750	519.422	513.740	527.873	519.239
177	514.557	521.249	512.537	513.275	511.799	517.611	517.114
178	511.618	530.072	515.819	518.764	526.350	523.869	513.869
179	518.096	516.709	519.886	515.925	522.214	513.047	531.976
180	514.885	525.769	504.504	514.841	521.513	517.914	521.025
181	514.248	529.889	515.170	523.676	522.929	530.687	520.643
182	512.671	531.802	515.501	516.589	522.057	509.953	523.011
183	514.314	521.753	503.621	517.259	521.324	520.631	518.559
184	515.313	525.808	512.091	517.514	520.304	527.139	525.743
185	530.110	522.095	508.204	519.998	518.705	515.280	516.967
186	523.285	507.892	514.178	519.342	521.676	519.334	519.161
187	534.331	526.806	524.977	523.156	522.845	531.987	524.335
188	523.788	522.723	529.747	515.768	519.304	525.731	516.444
189	508.867	529.864	511.665	509.187	507.232	517.709	503.635
190	522.762	523.867	518.509	514.925	513.700	526.442	506.560
191	513.745	527.682	524.428	512.344	516.892	524.511	517.875
192	513.926	518.251	512.206	521.184	515.245	521.697	506.662
193	499.675	519.845	506.422	532.929	517.534	519.758	523.754
194	517.053	523.661	508.863	530.211	521.165	509.885	515.456
195	522.334	530.470	505.281	519.401	517.017	511.291	516.962
196	506.166	511.357	509.819	518.726	523.249	521.331	522.969
197	511.472	511.474	509.156	528.991	526.804	521.794	513.434
198	514.866	512.638	504.997	526.173	520.960	514.065	520.019
199	520.401	509.790	517.416	513.994	527.337	509.617	518.282
200	503.692	516.296	512.573	517.685	522.566	513.734	524.476
201	504.672	524.480	493.713	514.151	518.193	518.662	519.219
202	510.121	509.483	508.868	514.951	525.916	525.222	525.058
203	514.529	519.981	526.149	513.800	519.919	513.168	524.681
204	520.178	523.427	521.525	517.733	523.108	510.737	528.897
205	513.326	512.035	518.603	517.838	515.715	528.430	535.331
206	508.666	520.240	508.378	525.349	515.196	519.812	528.213
