 	Profile_Slice_1	Profile_Slice_2	Profile_Slice_3	Profile_Slice_4	Profile_Slice_5	Profile_Slice_6	Profile_Slice_7	Profile_Slice_8	Profile_Slice_9	Profile_Slice_10
74	506.952	506.952	502.428	493.819	480.639	480.038	462.669	466.471	476.083	501.324
75	501.221	501.221	495.244	484.152	469.493	478.643	456.556	461.373	462.437	487.783
76	491.124	491.124	481.315	475.892	461.843	464.268	459.249	467.794	458.348	459.490
77	478.901	478.901	468.718	475.386	468.471	451.609	465.593	452.604	455.196	450.267
78	453.044	453.044	460.604	458.752	456.628	454.020	451.005	462.506	454.243	453.257
79	458.012	458.012	451.934	462.820	449.150	436.742	429.634	451.887	435.087	440.971
80	454.317	454.317	451.859	444.782	449.434	441.271	437.490	438.009	435.807	434.928
81	451.876	451.876	435.645	447.508	433.638	434.001	422.220	422.481	429.801	430.132
82	444.141	444.141	438.906	439.989	425.658	419.341	417.725	419.107	411.031	416.603
83	425.052	425.052	405.584	424.413	413.542	398.754	415.857	411.930	405.311	412.014
84	413.936	413.936	418.337	429.178	411.639	402.807	399.692	404.992	402.288	407.594
85	419.328	419.328	422.443	425.323	410.097	393.662	406.145	402.551	387.521	390.804
86	415.533	415.533	394.330	415.840	401.238	384.922	393.905	401.844	405.004	399.855
87	411.441	411.441	398.017	405.517	392.668	388.852	400.258	394.550	381.028	398.857
88	399.534	399.534	399.180	399.887	386.074	399.883	385.633	387.955	391.097	379.155
89	403.581	403.581	385.204	394.512	385.238	387.073	377.822	390.769	387.687	391.599
90	393.562	393.562	389.411	379.072	389.883	377.151	379.737	374.329	380.113	387.731
91	382.907	382.907	382.461	379.803	380.685	373.371	376.536	377.175	374.999	385.046
92	379.680	379.680	374.872	392.760	378.171	372.842	376.663	376.719	364.216	377.964
93	362.408	362.408	377.528	382.637	371.240	363.633	365.052	366.595	379.721	376.122
94	374.272	374.272	367.868	368.892	373.699	362.770	359.873	362.017	369.335	375.653
