 	Profile_Slice_1	Profile_Slice_2
1	274.048	274.048
2	274.698	274.698
3	279.576	279.576
4	273.504	273.504
5	281.475	281.475
6	269.910	269.910
7	266.361	266.361
8	269.962	269.962
9	272.508	272.508
10	266.809	266.809
11	262.994	262.994
12	266.511	266.511
13	273.618	273.618
14	273.337	273.337
15	277.965	277.965
16	273.374	273.374
17	269.612	269.612
18	270.503	270.503
19	267.267	267.267
20	268.678	268.678
21	267.511	267.511
22	272.831	272.831
23	288.258	288.258
24	283.872	283.872
25	268.441	268.441
26	270.197	270.197
27	279.740	279.740
28	271.812	271.812
29	276.205	276.205
30	271.383	271.383
31	268.010	268.010
32	275.919	275.919
33	276.889	276.889
34	280.468	280.468
35	276.074	276.074
36	279.808	279.808
37	279.459	279.459
38	271.449	271.449
39	283.889	283.889
40	277.835	277.835
41	269.892	269.892
42	277.506	277.506
43	278.431	278.431
44	276.439	276.439
45	267.374	267.374
46	277.996	277.996
47	286.821	286.821
48	280.105	280.105
49	275.111	275.111
50	277.681	277.681
51	282.445	282.445
52	277.005	277.005
53	280.335	280.335
54	284.073	284.073
55	288.580	288.580
56	286.512	286.512
57	280.890	280.890
58	276.554	276.554
59	271.197	271.197
60	278.923	278.923
61	273.069	273.069
62	283.692	283.692
63	272.311	272.311
64	273.367	273.367
65	279.564	279.564
66	272.706	272.706
67	275.508	275.508
68	272.013	272.013
69	274.414	274.414
70	282.402	282.402
71	275.169	275.169
72	273.354	273.354
73	270.367	270.367
74	271.562	271.562
75	280.594	280.594
76	272.374	272.374
77	281.267	281.267
78	282.581	282.581
79	281.795	281.795
80	284.890	284.890
81	276.985	276.985
82	274.501	274.501
83	270.673	270.673
84	282.826	282.826
85	286.584	286.584
86	275.460	275.460
87	275.525	275.525
88	279.972	279.972
89	275.488	275.488
90	271.946	271.946
91	274.920	274.920
92	284.313	284.313
93	272.900	272.900
94	282.328	282.328
95	283.146	283.146
96	278.665	278.665
97	276.566	276.566
98	273.053	273.053
99	277.795	277.795
100	282.579	282.579
101	271.016	271.016
102	275.575	275.575
103	285.877	285.877
104	280.659	280.659
105	278.078	278.078
106	275.438	275.438
107	277.426	277.426
108	270.943	270.943
109	279.186	279.186
110	270.526	270.526
111	278.463	278.463
112	282.877	282.877
113	291.980	291.980
114	283.598	283.598
115	284.991	284.991
116	271.276	271.276
117	281.343	281.343
118	284.113	284.113
119	269.134	269.134
120	281.832	281.832
121	282.577	282.577
122	277.910	277.910
123	281.452	281.452
124	287.165	287.165
125	283.680	283.680
126	282.752	282.752
127	288.406	288.406
128	286.445	286.445
129	286.723	286.723
130	273.146	273.146
131	285.863	285.863
132	277.974	277.974
133	276.608	276.608
134	284.455	284.455
135	281.675	281.675
136	279.181	279.181
137	268.112	268.112
138	281.276	281.276
139	278.433	278.433
140	270.170	270.170
141	287.800	287.800
142	280.891	280.891
143	288.458	288.458
144	284.092	284.092
145	277.615	277.615
146	277.312	277.312
147	292.325	292.325
148	284.966	284.966
149	283.673	283.673
150	301.004	301.004
151	289.733	289.733
152	292.170	292.170
153	294.483	294.483
154	287.572	287.572
155	282.360	282.360
156	280.566	280.566
157	292.816	292.816
158	289.642	289.642
159	287.548	287.548
160	292.595	292.595
161	285.622	285.622
162	284.502	284.502
163	285.899	285.899
164	287.404	287.404
165	279.157	279.157
166	279.313	279.313
167	281.208	281.208
168	288.112	288.112
169	287.903	287.903
170	288.799	288.799
171	283.639	283.639
172	284.800	284.800
173	276.960	276.960
174	281.488	281.488
175	286.096	286.096
176	284.888	284.888
177	284.656	284.656
178	283.119	283.119
179	293.971	293.971
180	283.067	283.067
181	275.760	275.760
182	289.584	289.584
183	290.321	290.321
184	295.459	295.459
185	291.259	291.259
186	297.564	297.564
187	295.229	295.229
188	285.897	285.897
189	288.270	288.270
190	299.973	299.973
191	297.068	297.068
192	291.423	291.423
193	276.140	276.140
194	295.588	295.588
195	295.505	295.505
196	294.510	294.510
197	294.679	294.679
198	302.052	302.052
199	294.956	294.956
200	289.866	289.866
201	288.417	288.417
202	295.737	295.737
203	298.365	298.365
204	284.099	284.099
205	288.323	288.323
206	292.160	292.160
207	298.926	298.926
208	305.231	305.231
209	296.722	296.722
210	297.161	297.161
211	302.397	302.397
212	297.498	297.498
213	302.690	302.690
214	303.205	303.205
215	302.181	302.181
216	299.408	299.408
217	303.361	303.361
218	302.199	302.199
219	301.590	301.590
220	306.343	306.343
221	309.945	309.945
222	301.819	301.819
223	301.241	301.241
224	297.406	297.406
225	300.826	300.826
226	298.459	298.459
227	309.374	309.374
228	302.343	302.343
229	301.656	301.656
230	310.048	310.048
231	300.477	300.477
232	308.182	308.182
233	314.250	314.250
234	310.345	310.345
235	311.462	311.462
236	321.644	321.644
237	316.974	316.974
238	319.623	319.623
239	327.770	327.770
240	333.381	333.381
241	336.978	336.978
242	331.669	331.669
243	338.300	338.300
244	320.498	320.498
245	321.390	321.390
246	319.173	319.173
247	319.395	319.395
248	307.202	307.202
249	328.918	328.918
250	319.955	319.955
251	317.013	317.013
252	317.236	317.236
253	314.245	314.245
254	318.642	318.642
255	318.922	318.922
256	331.788	331.788
257	328.235	328.235
258	331.077	331.077
259	333.501	333.501
260	328.203	328.203
261	316.754	316.754
262	330.971	330.971
263	324.858	324.858
264	329.085	329.085
265	330.489	330.489
266	323.274	323.274
267	324.377	324.377
268	321.042	321.042
269	324.273	324.273
270	334.323	334.323
271	334.064	334.064
272	323.041	323.041
273	323.766	323.766
274	319.170	319.170
