 	Profile_Slice_1	Profile_Slice_2	Profile_Slice_3	Profile_Slice_4	Profile_Slice_5	Profile_Slice_6	Profile_Slice_7	Profile_Slice_8	Profile_Slice_9	Profile_Slice_10	Profile_Slice_11	Profile_Slice_12	Profile_Slice_13	Profile_Slice_14
53	193.624	193.624	190.711	196.724	197.940	199.300	192.893	188.293	194.829	195.099	186.149	189.058	193.014	200.840
54	188.103	188.103	187.966	189.180	200.826	195.137	191.119	187.768	186.393	196.352	189.452	191.517	186.555	191.894
55	189.407	189.407	196.011	189.441	192.721	194.943	186.485	190.808	182.693	195.180	193.565	193.482	192.520	188.678
56	188.138	188.138	190.746	192.828	193.316	192.987	187.307	190.264	188.932	191.390	188.488	195.811	187.077	185.648
57	190.695	190.695	191.895	192.569	196.203	194.214	185.697	195.350	187.460	195.642	186.734	194.141	187.489	184.374
58	186.034	186.034	197.492	193.122	187.509	192.271	185.770	193.685	192.111	186.779	182.985	195.968	197.468	191.077
59	188.915	188.915	191.173	193.483	189.428	195.125	187.513	183.742	188.280	192.358	189.120	189.567	189.292	187.779
60	191.272	191.272	188.418	194.219	191.057	187.641	186.030	186.508	189.335	193.509	185.879	192.787	184.983	188.675
61	191.626	191.626	188.691	195.064	189.174	194.410	185.719	186.050	185.365	194.929	194.254	188.459	183.869	184.422
62	188.387	188.387	191.945	195.982	189.627	196.860	184.774	187.231	191.055	187.101	189.707	188.402	181.875	189.264
63	192.368	192.368	192.958	186.047	191.128	189.456	188.893	185.403	191.688	187.131	184.624	186.370	188.298	189.223
64	194.993	194.993	195.887	191.879	194.213	185.284	189.479	190.422	187.821	193.803	193.278	183.243	186.444	190.877
65	188.930	188.930	193.735	191.919	184.532	188.279	186.594	182.896	186.559	187.897	189.716	184.026	187.266	190.350
66	183.315	183.315	190.600	194.305	186.811	185.632	188.307	187.529	185.676	192.456	189.556	189.627	182.778	183.106
67	191.030	191.030	189.918	186.629	183.937	184.192	186.899	184.784	191.790	186.562	192.846	191.285	186.678	184.596
68	188.815	188.815	189.040	187.978	185.047	187.441	185.685	183.248	191.284	189.761	190.672	191.274	183.220	183.909
69	189.401	189.401	191.964	178.859	186.200	189.840	184.476	184.082	188.131	184.705	181.522	190.753	186.054	186.795
70	187.197	187.197	188.602	186.672	189.500	187.832	189.593	181.680	185.419	188.637	181.502	187.945	186.011	185.786
71	188.432	188.432	189.139	192.649	190.872	187.384	188.832	182.780	190.057	191.422	186.641	187.700	183.480	188.575
72	188.728	188.728	187.564	186.204	183.190	188.131	190.972	181.780	184.292	183.104	191.270	186.391	185.415	188.667
73	187.905	187.905	184.370	189.349	187.470	186.326	189.337	184.077	182.242	186.297	185.804	186.289	183.741	186.852
74	187.879	187.879	187.873	188.347	189.341	185.898	184.122	185.024	182.382	182.762	180.935	187.535	186.350	184.928
75	185.179	185.179	185.817	185.405	186.680	182.912	184.114	185.209	190.425	187.873	185.075	187.127	189.256	185.785
76	189.549	189.549	185.679	190.210	189.458	188.638	186.784	185.171	187.454	185.367	189.222	189.151	188.259	187.247
77	192.843	192.843	187.923	186.310	189.406	192.441	186.196	186.591	184.757	186.724	193.835	186.126	186.760	185.398
