 	Profile_Slice_1	Profile_Slice_2	Profile_Slice_3	Profile_Slice_4	Profile_Slice_5
1	244.699	244.267	243.564	240.503	239.231
2	232.781	250.946	243.906	244.206	242.876
3	248.852	246.917	237.646	240.943	246.122
4	244.392	239.186	242.334	245.301	237.162
5	235.885	246.720	242.744	251.200	238.736
6	245.604	250.942	242.914	244.357	249.405
7	245.288	244.381	243.387	240.487	249.658
8	245.015	244.102	255.743	240.408	243.121
9	251.072	249.021	250.098	251.590	243.324
10	246.195	247.842	241.584	243.571	234.447
11	251.464	242.693	248.991	248.096	241.227
12	245.843	251.110	246.624	244.732	242.392
13	247.874	248.063	248.750	249.081	245.752
14	245.153	242.530	247.086	247.585	252.542
15	246.745	255.502	254.498	243.308	252.528
16	249.123	257.308	241.979	245.988	247.931
17	247.026	244.994	247.768	240.989	240.359
18	244.795	243.282	248.341	252.297	255.832
19	247.265	250.740	249.304	254.337	254.600
20	250.612	253.446	249.449	251.875	250.330
21	250.712	243.499	233.084	245.738	246.373
22	241.849	248.456	238.149	250.748	244.111
23	249.757	239.658	240.833	248.575	249.416
24	249.434	246.420	255.974	246.998	246.139
25	251.575	248.395	242.023	247.084	243.968
26	252.440	245.882	240.810	243.704	250.502
27	246.881	244.115	247.383	257.171	250.143
28	262.324	247.926	246.909	244.341	257.090
29	251.460	244.927	255.179	245.674	251.843
30	249.122	240.500	242.803	246.344	245.894
31	242.761	252.610	254.416	248.398	245.799
32	240.229	251.622	254.768	254.411	246.700
33	244.417	241.998	245.794	250.849	242.604
34	253.132	244.162	244.481	251.478	251.343
35	245.717	245.701	243.234	251.835	250.425
36	242.506	251.561	251.419	246.146	250.735
37	253.388	250.959	251.363	242.584	250.510
38	244.768	253.011	245.688	241.657	249.874
39	252.000	251.275	246.177	248.626	254.101
40	252.347	250.600	247.687	251.326	254.595
41	255.043	252.529	250.873	250.981	251.555
42	254.964	264.142	257.876	255.520	254.586
43	261.247	259.278	250.939	257.389	251.644
44	258.860	262.185	247.537	257.643	253.587
45	256.195	259.833	255.348	243.262	248.901
46	253.764	258.124	253.451	253.651	241.559
47	264.756	257.734	252.603	247.176	260.513
48	254.356	261.927	248.276	252.870	259.245
49	261.340	252.830	253.273	249.025	248.986
50	261.688	258.861	246.183	264.468	251.467
51	255.072	256.707	254.528	261.379	257.364
52	257.735	256.812	250.878	251.414	252.077
53	255.276	247.108	253.350	250.941	259.839
54	256.230	255.410	261.538	261.570	250.535
55	252.038	257.280	258.546	257.485	251.263
56	249.364	260.176	255.822	253.551	253.879
57	250.991	252.267	258.253	253.588	252.657
58	255.717	257.851	260.335	254.282	255.512
59	260.899	260.843	253.619	256.208	261.290
60	264.393	261.609	254.247	258.508	262.707
61	259.639	254.413	266.830	257.370	260.348
62	266.180	261.475	272.888	257.902	257.090
63	269.690	263.916	259.462	256.103	261.189
64	264.949	265.245	256.643	256.129	261.344
65	265.955	262.186	259.810	256.560	261.274
66	256.685	259.049	255.649	258.305	263.379
67	262.836	262.247	267.416	253.518	259.486
68	261.533	262.586	266.697	262.216	264.967
69	268.909	271.957	258.229	269.727	270.390
70	263.071	264.394	261.817	256.500	260.370
71	260.264	259.909	271.515	259.331	262.016
72	270.008	257.630	269.553	260.534	262.075
73	260.891	256.544	255.619	263.032	264.879
74	263.691	257.480	255.022	259.608	266.617
75	264.744	264.485	268.298	269.888	268.846
76	265.351	260.977	273.128	265.307	263.043
77	273.485	263.031	269.047	271.685	271.215
78	266.486	276.326	268.762	266.463	273.322
79	268.019	264.602	276.657	264.300	267.622
80	278.111	274.322	280.040	264.377	275.195
81	275.583	283.430	274.425	271.039	280.324
82	274.980	273.757	269.616	271.850	280.037
83	274.349	266.015	274.331	272.775	282.590
84	277.788	278.684	270.576	271.058	277.317
85	287.194	279.512	264.691	272.417	277.673
86	277.754	274.111	271.148	275.045	274.809
87	274.282	276.470	269.424	276.038	273.012
88	281.789	274.012	276.628	280.398	282.566
89	283.593	279.571	272.525	276.696	275.246
90	277.841	271.874	267.883	276.049	273.900
91	277.933	281.414	279.109	278.501	282.923
92	285.147	280.684	282.862	282.753	281.845
93	288.215	276.244	273.342	277.693	281.234
94	286.012	280.401	272.472	277.022	283.322
95	287.909	278.434	280.803	290.673	292.524
96	307.007	282.768	276.266	281.393	284.793
97	297.850	290.652	284.392	285.253	288.553
98	288.729	298.401	290.730	287.059	287.106
99	304.321	288.764	272.013	285.895	278.584
100	284.990	284.089	279.502	289.893	283.478
101	291.701	288.850	288.260	292.155	298.028
102	289.580	292.256	287.232	288.204	296.468
103	295.761	298.310	302.236	296.294	295.742
104	311.191	295.111	296.831	292.058	284.283
105	296.312	286.818	287.321	291.784	295.594
106	296.379	285.532	291.442	289.894	302.969
107	306.033	298.365	295.212	297.692	309.209
108	310.814	285.808	292.600	294.026	301.522
109	317.971	305.573	298.226	298.371	300.681
110	316.520	310.219	310.510	293.185	302.820
111	321.056	307.975	303.240	299.205	301.860
112	307.781	309.267	302.346	291.674	299.842
113	319.851	307.285	299.651	301.032	305.772
114	316.412	305.547	296.624	295.057	301.991
115	310.767	307.749	305.883	300.614	299.721
116	322.678	314.221	317.530	302.567	306.401
117	322.087	324.317	317.607	299.754	308.971
118	319.812	314.797	306.036	310.318	317.697
119	318.098	321.559	301.973	313.275	312.962
120	328.351	320.602	311.575	306.984	327.285
121	325.924	320.212	321.377	322.288	328.541
122	336.639	322.595	314.154	318.082	313.738
123	337.663	321.259	317.510	319.949	324.748
124	339.690	322.943	330.235	319.634	316.319
125	345.612	323.651	334.278	327.266	324.891
126	333.693	318.037	332.709	326.520	333.102
127	333.783	319.897	336.860	333.723	326.799
128	341.259	323.186	330.269	337.653	333.692
129	339.320	336.343	333.708	326.932	335.694
130	344.694	323.918	326.919	326.561	325.557
131	344.245	330.364	333.393	335.023	320.910
