 	Profile_Slice_1	Profile_Slice_2	Profile_Slice_3	Profile_Slice_4	Profile_Slice_5	Profile_Slice_6	Profile_Slice_7	Profile_Slice_8	Profile_Slice_9	Profile_Slice_10
217	234.558	218.755	218.802	229.150	216.580	232.853	212.129	234.558	218.086	233.843
218	233.482	227.071	207.910	213.394	218.327	236.720	207.385	233.482	225.300	231.123
219	229.478	228.551	214.593	213.774	226.196	242.045	211.157	229.478	237.238	202.557
220	203.434	218.242	221.816	232.040	233.076	243.235	211.384	203.434	227.579	223.888
221	219.941	215.004	233.725	227.984	220.527	213.087	228.139	219.941	215.704	228.070
222	217.898	231.972	226.310	223.683	217.867	229.711	226.577	217.898	213.200	215.041
223	205.391	238.624	230.137	226.603	221.999	217.862	247.137	205.391	241.988	214.189
224	213.682	221.664	229.979	233.404	212.197	224.213	228.608	213.682	219.828	215.674
225	224.640	230.204	218.130	206.872	221.520	232.538	234.135	224.640	232.315	218.308
226	218.841	244.319	228.819	227.680	225.828	224.222	255.828	218.841	229.633	220.388
227	222.351	217.736	229.200	201.846	219.136	231.504	235.575	222.351	215.173	217.611
228	218.662	214.551	219.542	208.598	205.436	228.345	220.763	218.662	222.419	202.389
229	223.312	212.574	205.642	223.841	197.283	225.325	217.202	223.312	229.350	210.882
230	245.814	205.523	218.038	223.761	229.396	202.635	222.235	245.814	215.981	233.781
231	230.748	234.442	215.141	223.303	238.708	221.124	225.270	230.748	228.882	231.459
232	216.281	224.739	232.380	236.479	244.798	233.727	225.385	216.281	244.092	229.516
233	228.282	229.493	241.644	230.868	224.248	231.158	210.754	228.282	242.505	229.083
234	225.795	213.640	235.065	227.008	213.946	206.982	228.766	225.795	243.602	213.454
235	207.038	216.061	227.702	226.057	234.886	211.208	240.146	207.038	228.574	222.571
236	204.531	209.890	221.744	216.018	228.071	212.813	222.974	204.531	230.514	225.711
237	213.367	220.887	225.156	208.768	215.607	207.661	219.893	213.367	225.446	213.895
238	228.944	218.399	235.362	228.057	214.377	216.506	215.840	228.944	232.874	221.904
239	240.659	253.156	221.987	218.441	224.558	217.530	226.362	240.659	233.904	216.128
240	226.831	231.568	204.557	221.623	225.433	225.124	226.587	226.831	224.225	214.869
241	226.449	219.416	198.762	232.053	221.158	206.216	219.484	226.449	226.699	203.813
242	244.409	225.005	211.857	201.588	242.925	227.933	216.176	244.409	212.547	218.386
243	233.630	234.520	210.472	218.733	225.856	223.383	219.743	233.630	236.793	218.876
244	218.021	222.753	222.159	219.839	224.697	213.402	214.871	218.021	223.213	228.398
245	203.000	185.000	219.000	242.000	221.000	201.000	203.000	203.000	185.000	204.000
