 	Profile_Slice_1	Profile_Slice_2	Profile_Slice_3	Profile_Slice_4	Profile_Slice_5	Profile_Slice_6	Profile_Slice_7
1	821.035	821.035	811.075	820.822	806.699	776.075	800.021
2	806.417	806.417	815.124	803.441	789.286	788.598	780.653
3	811.750	811.750	802.423	803.491	789.837	787.341	767.424
4	820.674	820.674	801.050	792.828	807.199	786.504	790.321
5	796.197	796.197	783.100	792.555	791.935	783.935	778.286
6	803.720	803.720	785.283	786.561	799.190	801.062	792.799
7	807.883	807.883	786.187	791.414	788.878	786.818	793.590
8	805.205	805.205	809.232	800.878	805.833	789.028	781.870
9	787.062	787.062	790.961	810.603	803.370	793.591	772.055
10	807.412	807.412	814.466	799.804	789.691	784.807	791.766
11	806.507	806.507	806.497	791.265	795.872	789.367	792.035
12	803.729	803.729	805.421	789.610	786.786	801.199	793.495
13	811.633	811.633	816.150	792.932	788.242	817.010	794.056
14	801.806	801.806	807.635	795.415	790.719	794.568	782.050
15	806.393	806.393	814.224	787.988	780.347	780.754	797.388
16	819.655	819.655	805.398	782.536	787.305	783.221	780.868
17	808.036	808.036	800.576	780.557	792.307	779.800	783.532
18	817.057	817.057	784.994	780.748	783.654	765.634	791.627
19	815.176	815.176	812.304	769.816	773.178	787.778	788.680
20	795.845	795.845	781.540	787.341	776.848	778.747	796.944
21	797.956	797.956	791.008	777.508	789.168	771.117	790.318
22	805.596	805.596	763.429	781.694	798.462	770.072	775.093
23	799.312	799.312	780.358	796.696	805.256	764.791	765.225
24	797.215	797.215	791.467	791.756	777.268	769.248	762.757
25	773.475	773.475	801.999	770.171	777.280	775.029	769.728
26	780.895	780.895	787.451	784.725	763.583	781.437	783.577
27	799.129	799.129	792.807	771.186	786.080	769.256	782.360
28	803.200	803.200	799.549	789.451	784.430	777.760	767.846
29	806.475	806.475	804.979	796.079	779.544	767.138	767.823
30	803.510	803.510	804.775	774.940	774.241	781.607	761.652
31	811.838	811.838	790.418	782.608	786.459	780.892	765.750
32	802.337	802.337	793.650	800.892	788.117	781.368	779.695
33	796.078	796.078	802.312	802.573	769.209	780.645	778.019
34	792.574	792.574	805.303	785.338	785.526	785.504	766.615
35	792.873	792.873	824.326	796.569	791.216	785.978	769.349
36	787.313	787.313	803.397	785.774	782.057	796.320	775.538
37	794.905	794.905	799.823	781.588	777.917	805.462	793.946
38	807.006	807.006	814.370	799.086	790.268	816.610	783.196
39	795.954	795.954	808.151	785.187	792.589	796.295	778.345
40	787.320	787.320	809.710	805.720	804.246	805.580	787.512
41	794.908	794.908	812.829	806.250	803.920	805.933	777.923
42	785.515	785.515	800.764	796.551	809.433	803.441	798.410
43	766.470	766.470	807.958	792.290	805.277	796.405	794.387
44	776.897	776.897	798.212	808.058	804.395	806.380	786.938
45	775.129	775.129	792.684	799.881	804.273	799.491	810.918
46	797.931	797.931	790.673	780.274	791.359	798.451	793.191
47	785.332	785.332	787.896	792.492	791.002	783.501	786.871
48	793.581	793.581	786.909	805.630	792.328	790.132	778.226
49	785.211	785.211	796.908	791.055	789.971	809.019	793.499
50	783.026	783.026	806.041	769.656	780.360	790.862	773.808
51	777.485	777.485	806.192	771.228	786.032	788.199	781.718
52	794.257	794.257	808.497	789.027	798.625	792.743	773.136
53	782.932	782.932	798.194	785.655	795.509	790.034	786.106
54	778.985	778.985	798.512	797.527	797.591	787.920	778.162
55	781.341	781.341	808.267	796.559	802.365	802.428	777.906
56	788.123	788.123	783.743	778.260	807.815	794.439	796.495
57	770.246	770.246	784.920	792.466	793.726	781.938	790.527
58	752.867	752.867	787.402	770.819	792.227	781.829	789.860
59	747.663	747.663	781.853	789.320	788.623	785.155	792.682
60	744.442	744.442	763.549	801.722	769.570	771.556	785.016
61	751.267	751.267	753.566	786.585	774.397	763.158	781.130
62	749.015	749.015	750.134	774.276	747.113	747.203	779.054
63	745.501	745.501	757.181	765.876	763.773	743.419	772.037
64	747.236	747.236	751.319	762.356	760.809	746.955	758.445
65	763.941	763.941	750.634	754.335	729.594	752.714	772.231
66	744.377	744.377	751.905	757.267	750.160	742.449	757.267
67	741.267	741.267	759.674	762.251	750.967	738.993	741.441
68	735.863	735.863	756.802	760.850	753.913	745.792	732.183
69	733.750	733.750	745.566	742.604	750.265	743.573	725.300
70	725.528	725.528	741.586	748.153	744.310	733.718	734.626
71	722.470	722.470	727.560	746.209	743.896	736.040	745.490
72	711.718	711.718	718.716	734.813	747.196	724.467	730.915
73	716.823	716.823	735.487	746.361	729.360	724.496	717.252
74	710.043	710.043	726.979	745.886	728.632	735.984	712.317
75	698.658	698.658	739.056	746.048	721.332	720.657	711.685
76	699.967	699.967	722.913	724.774	721.399	723.034	725.007
77	721.351	721.351	707.971	729.877	718.457	716.616	719.109
78	709.209	709.209	725.741	733.046	714.650	711.021	719.400
79	717.918	717.918	730.117	724.157	698.366	713.363	702.312
80	712.595	712.595	708.413	720.031	701.017	707.183	706.921
81	715.207	715.207	725.721	715.069	697.855	690.697	703.421
82	706.867	706.867	735.154	712.036	698.367	703.273	682.546
83	717.424	717.424	726.154	709.099	692.453	697.934	691.536
84	706.840	706.840	706.089	707.975	701.056	690.217	694.579
85	701.020	701.020	702.337	703.081	708.444	684.360	688.308
86	691.201	691.201	688.633	680.744	696.558	686.821	682.969
87	686.291	686.291	685.913	694.421	700.795	678.797	673.953
88	674.161	674.161	675.724	692.931	688.827	660.528	663.394
89	665.534	665.534	676.790	704.141	696.381	665.737	660.161
90	673.416	673.416	682.145	694.355	681.738	671.234	662.513
91	661.403	661.403	670.488	678.882	679.742	666.949	674.141
92	664.363	664.363	667.342	668.376	669.944	640.728	651.952
93	651.999	651.999	661.355	671.442	667.837	629.314	638.282
94	642.272	642.272	669.157	646.431	661.606	619.041	638.563
95	649.494	649.494	664.327	645.258	647.709	613.406	623.131
96	634.349	634.349	651.016	660.737	634.405	634.780	629.528
97	629.702	629.702	650.167	651.647	641.249	631.672	611.624
98	638.922	638.922	638.713	644.011	645.542	623.297	616.066
99	633.558	633.558	640.132	642.079	641.670	620.134	617.937
100	635.817	635.817	622.548	641.634	633.935	624.743	612.725
101	635.654	635.654	626.062	629.881	630.826	614.358	616.022
102	612.361	612.361	633.001	642.184	623.505	617.752	624.230
103	634.045	634.045	644.242	634.277	626.552	607.280	620.615
104	621.417	621.417	627.515	625.870	635.624	621.943	614.353
105	621.685	621.685	637.560	640.040	633.625	607.042	612.689
106	635.482	635.482	625.361	626.680	627.057	609.356	614.515
107	647.860	647.860	616.830	627.675	629.447	617.188	608.068
108	659.553	659.553	640.201	613.897	626.962	594.849	595.274
109	630.001	630.001	640.575	622.767	614.755	591.867	599.491
110	623.729	623.729	643.106	611.477	608.595	580.527	573.311
111	628.633	628.633	642.036	613.637	611.385	575.837	574.963
112	629.332	629.332	620.342	612.084	595.445	551.828	583.501
113	629.975	629.975	625.857	615.616	603.915	577.545	580.853
114	616.278	616.278	620.512	600.871	594.758	558.794	570.349
115	611.953	611.953	597.260	584.766	578.811	562.229	556.410
116	600.731	600.731	606.340	587.935	568.842	553.338	544.262
117	586.131	586.131	595.128	581.139	556.543	556.288	545.440
118	584.965	584.965	589.725	581.099	558.745	547.907	549.593
119	563.913	563.913	573.301	576.801	539.777	545.951	542.385
120	560.079	560.079	561.470	557.099	530.502	521.463	537.274
121	559.927	559.927	562.073	550.894	542.933	526.406	535.898
122	546.037	546.037	566.851	545.853	544.510	543.109	532.240
123	543.385	543.385	563.270	538.508	543.025	537.226	545.881
124	539.829	539.829	548.044	536.123	535.616	524.395	542.186
125	531.677	531.677	539.062	534.135	530.544	529.764	525.886
126	531.997	531.997	537.741	529.580	529.728	525.159	524.978
127	525.949	525.949	519.666	517.565	530.063	525.549	528.150
128	527.975	527.975	532.206	518.616	532.249	513.139	523.705
129	537.607	537.607	523.024	523.100	528.684	524.952	529.455
130	522.195	522.195	518.051	531.567	521.017	521.433	523.806
131	510.116	510.116	521.989	515.918	517.444	519.277	524.874
132	510.098	510.098	513.845	517.444	511.641	505.980	520.083
133	515.908	515.908	521.838	518.991	519.151	514.346	518.338
134	523.177	523.177	520.550	525.746	514.937	502.539	514.749
135	508.604	508.604	516.679	511.214	521.184	508.221	511.877
136	510.058	510.058	517.797	503.704	523.099	504.888	505.711
137	509.944	509.944	516.503	493.725	509.287	501.222	501.272
138	503.702	503.702	514.814	501.224	501.832	505.013	503.569
139	499.504	499.504	509.704	498.952	506.448	496.214	499.678
140	499.363	499.363	507.582	491.817	503.031	492.581	512.339
141	503.377	503.377	504.299	492.995	502.745	490.666	510.752
142	490.065	490.065	503.857	496.543	498.979	507.908	506.192
143	489.828	489.828	504.392	504.822	505.978	514.235	499.377
144	494.843	494.843	491.181	503.051	498.811	497.091	486.139
145	489.224	489.224	498.493	488.914	489.153	500.876	489.603
146	484.166	484.166	503.309	490.367	489.637	494.356	487.120
147	482.392	482.392	494.912	490.843	492.648	492.055	496.014
148	486.491	486.491	496.368	489.508	490.310	500.077	497.299
149	481.937	481.937	487.621	472.959	487.835	494.434	503.037
150	483.456	483.456	490.509	475.110	486.860	485.793	491.021
