 	Profile_Slice_1	Profile_Slice_2	Profile_Slice_3	Profile_Slice_4	Profile_Slice_5	Profile_Slice_6	Profile_Slice_7	Profile_Slice_8	Profile_Slice_9	Profile_Slice_10	Profile_Slice_11
55	1053.487	1249.278	1352.420	1370.272	1336.762	1310.770	1304.758	1265.346	1170.607	1102.056	1039.611
56	1010.467	1311.486	1377.226	1371.740	1311.283	1289.334	1262.780	1212.592	1134.449	1100.442	1010.332
57	997.189	1384.979	1400.553	1400.638	1297.188	1268.476	1212.558	1188.099	1139.900	1030.700	990.536
58	970.108	1427.461	1449.922	1379.582	1299.631	1226.233	1192.366	1175.507	1113.292	999.688	939.235
59	940.345	1448.894	1437.321	1355.985	1264.746	1222.153	1156.281	1133.426	1085.631	967.624	903.146
60	891.888	1474.766	1392.506	1318.370	1232.398	1218.319	1149.242	1113.027	1050.130	955.321	882.904
61	864.633	1433.178	1367.559	1266.769	1208.863	1196.564	1100.656	1061.940	1010.164	919.508	859.324
62	849.818	1373.689	1353.859	1256.437	1176.655	1144.833	1080.194	1029.751	970.323	900.735	832.871
63	841.286	1330.551	1298.955	1252.706	1148.713	1112.523	1062.367	1007.434	948.279	885.239	812.869
64	819.605	1295.561	1300.581	1240.092	1123.188	1082.124	1015.787	997.398	925.967	858.322	803.640
65	789.231	1254.685	1266.492	1190.158	1064.527	1066.926	1018.326	954.896	897.525	824.488	769.505
66	776.122	1244.542	1247.146	1179.006	1053.136	1031.738	983.786	913.650	869.635	798.469	719.777
67	742.292	1245.739	1231.159	1130.315	1023.339	981.089	975.762	902.206	858.185	784.259	718.941
68	720.295	1225.579	1188.809	1101.443	1002.962	982.467	943.254	878.231	850.548	767.704	709.304
69	711.223	1195.657	1184.385	1076.781	962.063	951.420	923.139	854.421	826.361	743.229	697.417
70	688.898	1162.196	1148.305	1039.673	953.319	945.166	878.080	846.381	783.497	722.807	684.229
71	677.880	1156.804	1124.199	1006.701	925.693	906.877	852.234	811.222	772.518	706.319	668.407
72	659.497	1130.899	1077.712	967.675	917.389	874.679	819.671	778.188	749.884	705.065	660.330
73	643.793	1105.129	1061.512	951.319	889.901	831.875	830.056	770.652	731.913	696.499	654.601
74	637.131	1045.164	1027.655	957.155	866.090	825.328	790.668	781.537	701.391	680.842	640.926
75	621.715	1040.780	993.536	901.433	833.449	808.335	758.860	743.661	683.449	655.562	603.441
76	603.249	985.639	943.439	860.391	799.695	783.825	748.681	726.039	667.129	649.329	603.994
77	592.156	955.626	907.336	847.226	776.823	746.551	728.957	705.731	663.600	646.895	595.067
78	578.279	917.673	881.832	833.706	758.253	748.815	730.916	684.887	644.502	629.111	591.375
79	566.819	863.918	863.080	795.061	755.985	717.618	702.217	658.024	629.739	618.481	554.762
80	562.053	843.994	823.696	779.580	741.564	707.423	678.720	646.952	626.192	607.310	560.142
81	553.275	815.991	811.668	738.049	716.940	705.170	669.173	638.537	616.290	580.330	552.359
82	527.274	781.150	758.457	720.100	698.782	706.123	635.994	643.737	590.617	567.203	541.223
83	535.553	757.566	736.258	697.390	672.639	655.746	631.273	636.812	569.061	555.171	541.747
84	521.157	725.818	730.803	695.132	676.558	626.625	619.695	592.912	577.398	541.216	521.404
85	506.486	700.993	699.400	667.524	656.982	614.132	610.305	583.423	558.115	523.210	504.708
86	489.377	681.066	683.196	645.630	630.987	606.333	597.591	573.628	563.560	513.775	482.738
87	487.334	647.878	642.320	648.181	625.276	600.412	579.130	550.079	550.130	506.985	484.967
88	483.142	646.728	631.946	615.638	592.048	571.984	556.328	534.349	538.996	496.777	472.119
89	476.468	621.430	611.669	609.144	582.489	568.809	542.270	531.656	531.178	485.664	484.831
90	473.236	604.089	595.114	597.418	572.668	561.121	536.495	531.070	504.061	473.931	473.758
91	457.714	602.231	575.982	572.554	561.602	550.158	510.113	512.386	508.131	479.175	454.029
92	444.292	580.259	566.979	568.727	547.160	534.630	518.129	512.054	489.579	479.878	443.899
93	444.737	567.594	565.301	540.089	534.884	522.463	509.629	497.296	486.385	463.946	453.954
94	445.170	566.173	556.734	541.246	506.242	505.228	494.861	479.574	482.222	455.360	444.475
95	448.146	539.382	556.357	534.304	506.891	514.077	486.126	466.991	469.787	463.689	431.291
96	437.031	532.627	530.566	523.010	514.880	526.971	494.495	467.022	460.380	458.686	426.606
97	421.194	529.984	526.178	513.374	501.042	491.243	490.129	474.382	460.098	437.273	418.185
98	424.141	517.014	507.200	506.115	490.028	495.685	467.039	456.329	462.617	429.008	412.477
99	418.475	508.659	497.357	513.720	485.594	481.822	461.527	451.872	445.322	438.074	404.743
100	391.440	499.257	488.211	501.844	490.729	466.314	451.761	439.189	432.656	417.364	396.940
101	407.537	490.808	479.538	484.145	476.151	453.906	449.396	421.739	434.086	402.970	408.879
102	399.249	480.354	485.601	470.004	463.904	458.380	436.109	422.535	424.015	416.038	398.384
103	383.571	473.969	483.907	453.612	449.180	452.069	433.586	408.147	404.695	412.085	382.456
