 	Profile_Slice_1	Profile_Slice_2	Profile_Slice_3	Profile_Slice_4	Profile_Slice_5	Profile_Slice_6	Profile_Slice_7	Profile_Slice_8	Profile_Slice_9
1	535.007	535.007	536.003	538.782	536.008	545.819	530.389	543.921	536.031
2	542.824	542.824	532.644	539.208	547.324	535.054	528.387	539.081	541.096
3	530.679	530.679	531.105	537.082	538.029	521.650	538.705	541.516	542.624
4	535.561	535.561	531.328	524.955	538.340	528.503	543.179	545.409	532.315
5	545.239	545.239	528.988	544.965	539.909	525.522	528.581	541.347	540.691
6	533.139	533.139	541.957	524.998	535.517	540.144	539.241	561.967	542.518
7	552.055	552.055	535.519	536.220	549.338	542.772	538.171	553.890	532.960
8	549.735	549.735	541.077	530.395	531.583	534.427	537.376	536.077	540.772
9	542.833	542.833	548.162	535.169	543.038	543.509	551.486	551.660	546.490
10	533.676	533.676	546.335	548.412	549.563	542.824	553.468	542.560	544.766
11	536.082	536.082	535.529	535.673	546.770	544.482	550.608	551.121	550.206
12	544.580	544.580	534.231	527.322	542.023	527.165	543.176	560.148	539.730
13	546.010	546.010	537.370	547.623	544.254	546.619	544.674	546.639	545.120
14	545.443	545.443	535.779	558.130	535.720	542.555	545.729	547.281	548.530
15	543.526	543.526	540.514	550.910	544.977	542.731	542.963	550.810	540.764
16	548.604	548.604	547.732	547.884	555.343	546.651	532.167	547.513	543.087
17	557.720	557.720	533.871	546.087	556.941	537.284	553.507	534.961	542.948
18	543.346	543.346	529.104	548.399	546.009	542.834	552.167	545.135	544.429
19	537.426	537.426	529.027	540.608	559.382	537.545	548.296	544.323	553.381
20	552.781	552.781	547.388	545.922	551.911	558.389	550.933	555.144	550.325
21	541.483	541.483	545.678	544.354	547.652	555.513	547.708	561.797	541.060
22	542.681	542.681	529.300	545.934	560.021	567.572	553.275	554.587	545.232
23	541.720	541.720	539.321	540.082	555.213	562.636	540.589	550.145	552.415
24	549.794	549.794	544.320	537.320	554.161	545.611	553.789	563.346	550.210
25	548.027	548.027	542.432	542.189	549.579	537.977	551.715	566.738	552.678
26	554.278	554.278	538.709	546.444	547.313	546.781	555.097	563.146	559.946
27	542.284	542.284	543.759	555.194	536.788	549.081	550.215	572.853	549.150
28	549.171	549.171	549.583	551.497	551.928	559.488	553.966	566.317	551.426
29	555.786	555.786	556.348	550.630	563.943	549.412	554.995	583.405	556.472
30	542.808	542.808	557.124	548.300	555.096	554.546	550.905	558.777	547.803
31	547.634	547.634	549.937	560.613	547.989	563.802	555.827	554.084	547.353
32	567.162	567.162	555.818	563.370	555.550	555.796	555.949	558.032	553.983
33	551.734	551.734	545.690	553.854	546.133	549.116	554.548	560.821	551.950
34	554.380	554.380	558.146	549.822	556.842	563.548	556.085	555.297	553.749
35	551.680	551.680	555.881	550.833	555.139	565.572	555.584	559.252	559.175
36	540.323	540.323	544.588	565.380	566.879	552.374	554.298	557.014	567.128
37	550.210	550.210	554.073	560.426	564.900	550.094	561.439	550.806	562.318
38	551.047	551.047	559.732	568.823	562.826	556.955	562.921	563.613	565.843
39	563.996	563.996	562.123	576.107	555.236	559.061	563.382	574.064	562.225
40	564.215	564.215	568.285	567.148	554.050	553.799	563.429	574.565	570.015
41	561.541	561.541	559.395	569.458	552.495	556.385	563.996	569.700	562.615
42	554.113	554.113	567.735	569.716	563.257	559.895	557.382	567.376	557.254
43	560.962	560.962	567.653	558.993	554.758	571.639	567.509	567.492	563.695
44	570.343	570.343	559.444	568.984	546.704	572.227	569.150	567.398	570.880
45	576.178	576.178	570.952	559.850	566.237	572.677	564.435	569.379	569.539
46	557.934	557.934	568.473	560.981	570.544	544.968	563.202	578.669	566.325
47	564.023	564.023	565.454	589.171	576.816	570.205	570.989	580.800	558.213
48	565.642	565.642	570.006	581.049	580.427	571.422	580.939	578.608	560.224
49	566.413	566.413	563.757	579.236	573.925	573.823	574.000	574.918	561.582
50	570.641	570.641	570.388	579.277	575.592	566.220	564.688	576.171	580.924
51	562.254	562.254	565.073	570.563	572.567	578.481	573.841	575.853	575.456
52	567.947	567.947	574.209	567.271	575.960	588.972	583.367	592.526	587.205
53	571.215	571.215	564.015	573.642	575.056	590.526	572.981	591.064	577.979
54	583.371	583.371	590.140	575.883	562.073	585.004	583.609	577.514	566.413
