 	Profile_Slice_1	Profile_Slice_2	Profile_Slice_3
1	494.315	505.090	499.148
2	488.742	477.009	489.575
3	482.268	478.750	473.964
4	479.656	480.596	476.659
5	470.321	472.319	474.829
6	465.944	461.114	476.524
7	471.115	472.072	459.278
8	479.103	461.197	469.430
9	480.572	458.780	474.117
10	470.623	475.830	463.985
11	469.236	481.892	472.330
12	478.339	462.428	474.574
13	473.257	465.294	466.121
14	461.552	452.747	460.206
15	468.730	461.704	448.913
16	470.198	472.290	466.300
17	466.175	464.658	462.696
18	463.749	453.400	466.534
19	465.973	446.308	469.302
20	455.245	462.797	458.731
21	452.664	455.061	464.378
22	452.486	453.972	468.812
23	454.232	466.680	457.863
24	457.146	466.532	450.759
25	455.663	455.079	458.194
26	458.535	449.117	455.338
27	453.317	471.039	455.708
28	458.927	458.574	451.029
29	441.506	447.196	442.282
30	447.214	463.062	461.797
31	466.499	448.854	465.140
32	457.026	443.584	460.555
33	457.031	449.253	462.460
34	455.261	466.387	461.035
35	452.746	473.579	460.254
36	457.765	455.664	468.319
37	437.577	454.173	474.566
38	437.411	453.809	457.472
39	440.341	461.623	447.282
40	465.512	456.842	459.352
41	453.082	466.482	472.751
42	464.059	467.970	459.437
43	466.851	464.576	461.134
44	469.432	466.685	468.284
45	468.048	467.968	462.996
46	462.881	457.797	475.181
47	462.424	470.192	453.375
48	467.242	475.166	461.766
49	466.556	467.730	464.144
50	452.281	457.658	467.687
51	458.691	453.474	458.275
52	463.903	474.791	475.222
53	479.518	480.005	486.881
54	489.982	471.722	488.121
55	474.114	474.764	475.215
56	478.600	464.711	475.892
57	483.722	474.632	486.555
58	465.491	484.388	475.236
59	464.006	481.176	475.196
60	473.906	478.221	459.569
61	481.549	479.672	468.684
62	498.363	491.810	479.105
63	484.990	488.742	482.200
64	473.915	488.942	493.351
65	467.205	506.886	501.934
66	476.667	485.499	488.889
67	481.022	503.637	504.237
68	479.117	489.599	485.860
69	483.221	487.622	494.837
70	490.938	485.708	502.666
71	486.254	492.273	481.535
72	482.634	485.066	491.334
73	488.117	490.820	509.948
74	504.755	490.408	496.202
75	486.966	497.011	504.201
76	487.653	499.039	499.048
77	500.345	520.583	504.682
78	498.144	511.067	508.414
79	501.707	504.724	503.716
80	500.046	506.561	518.612
81	509.445	515.422	528.536
82	495.402	510.082	517.276
83	499.509	516.208	527.248
84	493.729	520.329	506.964
85	503.411	536.953	529.148
86	504.099	527.693	516.146
87	518.890	528.660	510.899
88	520.435	524.353	508.408
89	525.053	525.376	527.660
90	524.239	511.859	533.317
91	515.050	532.120	522.354
92	517.084	531.697	532.285
93	523.750	529.647	541.394
94	526.777	539.454	528.366
95	541.831	536.610	529.167
96	556.624	558.621	539.515
97	549.603	558.825	540.925
98	536.952	545.214	548.599
99	561.488	542.950	543.919
100	541.873	544.344	551.498
101	526.657	555.450	567.076
102	550.314	562.174	555.960
103	563.981	555.346	544.712
104	546.526	567.133	565.007
105	575.253	562.390	592.827
106	564.511	562.207	579.556
107	573.147	569.571	583.485
108	567.992	581.836	575.160
109	575.916	597.804	584.357
110	567.898	584.891	584.621
111	568.879	584.799	591.722
112	579.779	597.562	591.620
113	572.069	586.023	602.974
114	582.762	596.764	591.080
115	593.954	617.892	598.191
116	609.950	618.215	594.705
117	610.274	622.508	580.106
118	604.478	628.949	600.370
119	597.677	622.802	608.981
120	604.677	617.109	624.222
121	609.753	635.805	617.118
122	618.602	633.064	638.129
123	617.436	637.781	621.467
124	624.722	633.395	633.878
125	629.108	629.128	625.456
126	634.243	643.705	630.586
127	643.093	653.045	636.778
128	640.292	643.739	644.692
129	634.494	652.122	643.621
130	650.746	671.954	644.516
131	671.587	672.536	662.571
132	646.997	666.833	653.730
133	648.425	676.957	655.536
134	684.817	689.502	672.698
135	687.676	677.906	685.650
136	667.384	668.488	682.441
137	668.202	681.710	689.961
138	678.034	677.345	670.231
139	664.862	690.471	684.863
140	678.701	702.605	685.918
141	706.968	689.313	694.808
142	706.646	700.323	714.914
143	698.448	705.659	710.456
144	703.440	727.465	720.257
145	713.219	719.163	726.351
146	708.097	730.925	727.354
147	726.024	730.749	731.910
148	725.090	734.670	749.051
149	730.591	758.107	752.363
150	736.314	764.452	758.582
151	757.155	780.562	769.588
152	751.324	777.036	764.969
153	768.882	769.747	752.894
154	758.478	779.627	779.979
155	773.348	795.592	800.471
156	797.553	793.723	821.745
157	778.195	787.232	803.089
158	809.088	807.976	801.231
159	823.481	828.035	810.237
160	795.543	842.829	825.866
161	808.072	852.464	809.736
162	822.936	848.491	821.642
163	840.703	849.483	830.738
164	841.488	864.337	849.176
165	851.916	870.541	858.124
166	873.747	883.763	864.169
167	853.606	894.727	878.311
168	879.074	896.071	883.274
169	889.233	902.444	888.220
170	908.484	931.185	902.001
171	907.317	947.800	909.178
172	901.765	919.810	924.908
173	909.946	918.143	924.783
174	925.909	957.295	944.443
175	952.599	961.458	973.603
176	946.336	966.093	961.325
177	976.565	960.427	975.956
178	998.668	1004.337	976.032
179	981.543	1012.130	982.311
180	992.726	1014.133	1027.614
181	1016.766	1013.202	1041.781
182	1032.888	1031.293	1046.903
183	1049.094	1062.066	1072.361
184	1051.912	1062.825	1099.169
185	1075.745	1083.912	1090.762
186	1093.612	1104.926	1090.941
187	1074.765	1118.683	1124.714
188	1108.776	1151.988	1110.552
189	1122.039	1139.175	1151.605
190	1107.323	1160.085	1154.202
191	1143.130	1160.918	1166.285
192	1138.385	1178.507	1175.814
193	1154.340	1187.033	1198.204
194	1192.075	1204.155	1207.412
195	1161.554	1259.783	1216.082
196	1183.530	1256.496	1253.191
197	1214.023	1277.319	1253.213
198	1233.409	1289.893	1263.257
199	1245.516	1312.113	1268.331
200	1273.189	1350.569	1294.269
201	1273.696	1349.659	1291.761
202	1295.984	1362.085	1318.055
203	1304.604	1375.997	1351.655
204	1319.710	1405.921	1369.940
205	1337.514	1436.264	1379.120
206	1332.171	1424.791	1386.226
207	1372.772	1452.091	1430.628
208	1391.307	1468.595	1444.151
209	1410.911	1503.390	1463.421
210	1427.032	1519.948	1466.039
211	1439.402	1530.680	1479.083
212	1465.816	1542.338	1523.374
213	1500.854	1570.662	1571.605
214	1519.125	1603.453	1563.060
215	1527.141	1619.722	1591.441
216	1548.073	1627.577	1606.480
217	1556.544	1661.357	1614.917
218	1598.409	1658.048	1642.166
219	1614.485	1693.189	1672.268
220	1629.939	1747.412	1693.933
221	1644.538	1752.428	1711.019
222	1632.309	1789.377	1716.557
223	1636.429	1795.309	1736.796
224	1671.119	1805.341	1740.129
225	1710.212	1851.942	1785.935
226	1733.251	1893.071	1834.836
227	1788.196	1908.681	1840.548
228	1810.272	1965.065	1884.927
229	1826.957	1994.081	1893.557
230	1818.998	2003.374	1917.877
231	1836.867	2034.964	1921.161
232	1869.177	2094.760	1952.650
233	1875.152	2147.446	2007.156
234	1904.983	2161.438	2023.617
235	1884.675	2163.757	2057.383
236	1917.405	2213.090	2120.620
237	1946.703	2239.835	2142.126
238	1995.290	2231.932	2150.113
239	2022.799	2249.102	2197.017
240	2063.193	2322.135	2247.040
241	2089.340	2361.903	2288.576
242	2154.673	2451.186	2293.664
243	2202.809	2509.883	2364.040
244	2262.605	2522.841	2409.804
245	2358.954	2546.873	2475.240
246	2381.216	2523.545	2510.913
247	2457.648	2506.974	2477.226
248	2512.410	2445.867	2422.274
249	2472.991	2441.556	2405.856
250	2414.811	2391.109	2410.873
251	2425.857	2337.429	2365.787
252	2370.687	2371.365	2330.675
253	2334.976	2337.578	2317.656
254	2308.903	2357.505	2315.058
255	2278.280	2357.427	2311.576
256	2292.202	2367.888	2335.164
257	2268.124	2401.372	2339.047
258	2302.974	2423.077	2326.415
259	2295.487	2427.107	2359.069
260	2306.716	2428.022	2395.354
261	2351.183	2428.484	2417.150
262	2343.944	2443.314	2415.608
263	2396.468	2466.588	2450.399
264	2397.530	2484.334	2487.032
265	2423.033	2480.428	2459.986
266	2426.407	2465.102	2468.914
267	2459.688	2487.746	2515.130
268	2466.170	2500.250	2527.164
269	2478.526	2524.503	2532.026
270	2512.643	2543.214	2554.885
271	2521.445	2571.470	2554.928
272	2576.047	2576.323	2573.350
273	2583.720	2593.768	2576.915
274	2568.824	2621.935	2566.483
275	2599.592	2664.908	2607.197
276	2615.018	2717.339	2613.506
277	2632.460	2738.059	2695.921
278	2656.292	2791.741	2770.804
279	2685.587	2841.136	2768.695
280	2729.777	2902.686	2800.789
281	785.438	828.687	813.550
282	808.222	837.086	821.405
283	833.181	845.264	849.491
284	846.183	832.986	852.754
285	866.533	851.679	852.304
286	858.534	859.704	856.390
287	870.549	872.183	877.166
288	874.279	886.011	891.793
