 	Profile_Slice_1	Profile_Slice_2	Profile_Slice_3	Profile_Slice_4	Profile_Slice_5	Profile_Slice_6	Profile_Slice_7	Profile_Slice_8	Profile_Slice_9	Profile_Slice_10	Profile_Slice_11	Profile_Slice_12	Profile_Slice_13	Profile_Slice_14	Profile_Slice_15	Profile_Slice_16	Profile_Slice_17	Profile_Slice_18	Profile_Slice_19	Profile_Slice_20	Profile_Slice_21	Profile_Slice_22
1	203.342	203.342	206.741	213.015	215.410	207.538	209.880	207.901	213.971	215.621	209.616	228.452	210.343	220.501	225.836	219.925	211.189	212.386	212.681	215.061	216.697	214.897
2	206.411	206.411	210.500	207.671	216.783	203.338	208.368	209.769	212.400	210.489	211.341	219.666	208.565	217.380	213.615	216.291	209.230	212.095	210.190	211.171	208.874	209.369
3	215.107	215.107	203.576	205.372	211.578	206.291	209.872	207.452	214.082	212.026	203.049	218.523	205.883	218.825	217.755	217.238	213.531	211.109	211.828	215.506	217.853	211.305
4	208.785	208.785	207.442	210.094	208.300	197.638	208.749	209.337	206.910	216.406	205.889	215.298	206.092	217.724	223.099	216.874	205.937	212.114	209.528	209.937	213.583	211.740
5	207.412	207.412	206.644	211.648	207.893	205.098	212.620	206.616	212.942	205.450	213.449	213.047	212.263	218.366	219.998	221.012	211.301	210.953	210.975	207.936	216.958	211.167
6	206.017	206.017	200.214	204.017	213.316	198.258	200.711	210.772	214.135	209.333	214.132	209.990	207.462	217.899	222.972	228.437	204.394	218.019	207.348	211.750	212.876	207.715
7	206.605	206.605	211.450	210.070	206.593	205.383	207.699	204.492	207.974	210.005	210.546	212.972	210.628	222.935	224.976	222.124	207.570	218.363	206.031	212.824	214.137	216.176
8	204.436	204.436	208.057	206.601	197.892	204.818	203.905	204.194	210.943	205.817	208.986	217.434	203.530	212.828	216.545	225.022	207.372	214.415	212.333	213.295	214.645	211.228
9	214.553	214.553	213.753	212.163	207.961	209.092	217.554	208.156	213.541	210.598	218.441	211.600	206.407	229.335	226.030	216.042	213.860	217.408	216.676	217.951	218.086	210.497
10	217.554	217.554	211.833	210.734	206.852	203.771	208.902	218.446	213.125	212.556	208.748	212.513	211.939	228.059	223.120	221.398	211.728	215.480	216.058	209.849	215.081	214.079
11	208.619	208.619	205.765	201.135	207.432	210.705	203.990	206.901	210.455	218.248	207.465	210.284	214.143	219.152	218.048	220.999	214.428	211.846	213.289	209.759	220.054	214.831
12	203.429	203.429	205.839	208.396	201.490	198.849	203.905	204.458	216.344	211.575	213.273	210.620	211.033	214.507	223.302	215.390	216.637	211.397	208.076	215.429	213.291	216.766
13	212.925	212.925	208.377	204.977	206.130	201.827	208.425	207.670	217.624	214.902	208.370	216.952	207.022	219.887	221.051	209.822	217.697	215.096	214.978	213.063	210.325	217.611
14	214.284	214.284	211.309	203.813	211.500	204.866	211.525	207.032	216.712	212.152	207.222	209.763	204.566	221.011	218.062	213.528	208.765	212.514	220.144	213.424	221.451	217.315
15	212.080	212.080	205.415	206.388	199.024	207.899	205.614	199.527	210.105	204.964	214.466	216.025	212.882	219.614	212.036	218.253	208.498	210.838	213.473	213.612	216.664	209.342
16	209.962	209.962	207.166	206.220	200.261	212.077	210.611	208.955	211.705	205.933	215.879	213.080	212.650	215.192	218.448	206.393	205.799	209.837	213.911	219.398	218.374	208.850
17	204.182	204.182	214.468	213.579	210.641	204.067	212.560	210.764	208.420	207.679	214.860	208.050	220.335	217.627	215.176	210.403	202.740	218.394	206.962	227.625	213.697	217.526
18	200.811	200.811	208.839	207.954	206.425	208.180	209.219	204.084	209.007	207.802	208.316	213.052	214.047	219.466	216.679	216.773	207.682	221.816	209.027	217.077	215.497	207.440
19	208.133	208.133	208.998	199.235	197.708	205.842	206.370	203.683	210.303	210.778	213.485	212.235	209.909	218.747	217.008	213.138	209.071	215.631	211.942	219.556	215.347	212.987
20	204.409	204.409	201.246	200.837	198.301	213.728	209.371	210.980	207.753	212.365	209.339	213.795	205.916	213.335	217.056	217.683	205.118	211.600	215.400	212.316	214.646	217.728
