 	Profile_Slice_1	Profile_Slice_2	Profile_Slice_3	Profile_Slice_4	Profile_Slice_5
1	232.814	232.814	230.447	243.845	229.398
2	230.451	230.451	229.005	241.186	229.684
3	231.242	231.242	230.651	232.962	237.937
4	233.572	233.572	232.631	236.495	226.547
5	243.284	243.284	230.232	242.558	234.445
6	239.121	239.121	233.674	229.939	237.942
7	228.403	228.403	238.046	229.417	226.261
8	232.952	232.952	237.982	233.396	230.381
9	228.058	228.058	241.580	235.208	225.850
10	230.941	230.941	227.079	241.428	232.083
11	229.192	229.192	230.345	231.115	233.535
12	234.557	234.557	233.239	227.861	234.028
13	233.489	233.489	234.161	231.730	225.209
14	232.453	232.453	233.562	232.423	233.360
15	226.842	226.842	232.496	234.080	235.346
16	235.958	235.958	225.062	231.424	232.694
17	225.555	225.555	233.912	229.474	240.874
18	236.612	236.612	235.142	234.699	236.450
19	246.729	246.729	226.732	233.877	229.532
20	240.963	240.963	226.848	228.346	233.299
21	240.300	240.300	229.677	242.213	239.377
22	236.963	236.963	234.903	232.975	236.493
23	231.261	231.261	227.263	227.762	237.051
24	236.764	236.764	228.717	230.926	233.814
25	229.028	229.028	233.883	230.390	237.206
26	244.479	244.479	233.693	233.349	229.874
27	233.564	233.564	233.250	229.388	223.239
28	234.793	234.793	228.448	229.172	233.941
29	232.285	232.285	234.220	228.840	243.000
30	236.934	236.934	240.800	233.136	237.297
31	235.591	235.591	231.275	233.537	231.747
32	234.037	234.037	237.753	232.116	236.504
33	229.054	229.054	241.267	233.628	223.703
34	235.773	235.773	238.547	228.680	233.097
35	234.925	234.925	227.618	231.005	231.793
36	235.573	235.573	225.668	232.124	234.033
37	240.188	240.188	236.709	231.486	231.470
38	238.682	238.682	238.580	230.639	235.829
39	224.848	224.848	233.491	236.499	245.643
40	232.714	232.714	227.279	230.001	234.866
41	236.883	236.883	231.235	235.867	233.471
42	237.317	237.317	232.903	240.036	239.946
43	239.467	239.467	228.309	236.971	236.463
44	229.061	229.061	239.382	237.317	235.723
45	241.476	241.476	235.105	230.783	236.864
46	236.854	236.854	237.433	237.618	235.510
47	238.766	238.766	240.071	238.201	238.950
48	233.467	233.467	239.985	235.668	236.456
49	231.777	231.777	230.732	235.668	243.230
50	241.203	241.203	227.946	232.570	235.744
51	239.526	239.526	243.208	238.280	233.724
52	240.173	240.173	239.347	232.313	227.652
53	234.765	234.765	233.870	232.346	231.520
54	238.142	238.142	242.478	239.369	232.649
55	233.263	233.263	240.212	237.723	237.670
56	239.009	239.009	233.085	228.415	234.734
57	245.425	245.425	238.853	230.957	242.078
58	241.248	241.248	237.245	230.174	233.658
59	239.390	239.390	233.011	230.935	231.144
60	239.959	239.959	234.238	235.600	240.196
61	232.044	232.044	235.935	232.170	234.721
62	240.979	240.979	233.327	234.478	231.854
63	233.252	233.252	233.874	236.070	234.430
64	237.345	237.345	239.604	233.832	232.402
65	243.865	243.865	241.694	236.459	237.248
66	240.251	240.251	242.746	238.765	234.618
67	240.712	240.712	241.223	237.308	233.279
68	244.316	244.316	238.320	239.690	234.495
69	243.262	243.262	239.530	238.635	239.783
70	241.747	241.747	227.448	231.611	236.539
71	234.462	234.462	243.669	236.497	231.690
72	234.357	234.357	249.640	240.797	227.535
73	233.304	233.304	239.675	238.543	222.515
74	241.261	241.261	237.623	235.835	231.030
75	241.123	241.123	240.156	237.468	233.620
76	234.902	234.902	241.985	238.734	231.047
77	232.383	232.383	246.955	245.347	234.762
