 	Profile_Slice_1	Profile_Slice_2	Profile_Slice_3	Profile_Slice_4	Profile_Slice_5	Profile_Slice_6	Profile_Slice_7	Profile_Slice_8	Profile_Slice_9	Profile_Slice_10	Profile_Slice_11	Profile_Slice_12	Profile_Slice_13	Profile_Slice_14	Profile_Slice_15	Profile_Slice_16	Profile_Slice_17	Profile_Slice_18	Profile_Slice_19
39	747.676	747.676	742.737	689.805	686.252	726.463	730.763	717.364	686.033	673.564	644.145	649.431	647.971	617.866	637.971	620.643	634.784	651.883	652.737
40	731.615	731.615	767.549	706.038	698.051	754.416	764.030	733.308	702.078	669.204	664.722	690.770	651.219	643.180	636.612	610.123	620.822	647.686	658.344
41	710.639	710.639	805.539	744.976	713.079	802.826	792.802	782.866	705.064	670.716	656.933	692.446	654.268	635.736	631.136	635.824	632.912	654.347	658.820
42	671.655	671.655	795.955	766.572	759.375	854.144	827.503	792.144	705.759	668.043	659.581	676.119	648.193	652.151	628.029	649.512	637.527	670.612	634.114
43	627.300	627.300	775.612	794.924	790.499	863.087	861.556	828.438	702.982	682.795	648.376	677.276	669.890	646.994	638.587	611.535	630.546	649.848	647.916
44	586.882	586.882	746.591	819.597	798.552	893.884	873.744	845.834	731.277	668.283	660.348	688.831	666.629	650.429	651.383	631.873	646.485	665.893	662.409
45	597.617	597.617	703.381	836.660	820.383	876.204	856.995	824.142	729.542	675.423	647.334	681.834	687.019	648.257	637.943	633.204	637.609	669.460	652.974
46	573.112	573.112	661.979	789.070	784.842	816.177	842.134	807.948	741.760	678.102	657.658	693.618	667.515	664.095	626.439	623.977	648.584	676.441	651.540
47	554.242	554.242	630.648	744.061	752.548	758.619	815.719	779.638	760.687	688.709	668.155	686.235	671.891	670.810	644.921	624.409	651.924	682.164	662.894
48	542.032	542.032	610.425	700.064	704.721	728.693	754.642	744.987	782.333	699.186	681.454	693.116	710.009	699.319	674.913	648.405	678.232	694.450	655.651
49	508.046	508.046	591.666	651.618	678.898	701.734	699.950	692.671	789.404	736.216	675.638	694.435	700.879	744.822	706.698	650.793	712.284	716.733	662.250
50	509.392	509.392	587.461	624.762	666.228	652.335	674.043	650.828	814.006	736.298	680.210	702.944	714.333	772.496	744.756	671.739	733.033	747.278	666.221
51	500.179	500.179	569.437	610.371	621.815	646.456	643.595	624.736	840.756	756.637	693.551	720.842	731.468	797.259	782.863	702.822	736.274	730.760	703.314
52	502.023	502.023	554.138	589.051	592.530	623.674	633.731	599.065	832.819	795.157	716.599	756.473	782.026	784.835	784.189	738.108	742.301	761.203	751.032
53	497.184	497.184	548.355	585.088	571.619	610.479	603.952	582.118	789.028	831.299	737.091	768.711	824.345	785.225	764.802	738.030	711.666	770.158	755.127
54	478.889	478.889	532.494	572.995	559.508	596.008	589.898	550.358	759.478	826.736	775.241	803.135	850.438	741.843	736.664	731.775	687.182	740.104	762.187
55	478.119	478.119	523.483	545.410	543.120	572.535	585.938	541.711	715.240	805.607	832.143	837.348	853.248	685.675	686.093	711.566	632.820	721.060	754.578
56	465.243	465.243	512.974	540.208	534.211	558.315	546.401	540.464	674.758	780.748	802.651	855.680	839.198	651.241	643.342	687.027	613.630	698.023	719.239
57	450.932	450.932	493.829	530.164	527.311	547.693	538.507	523.864	642.480	722.436	791.012	848.511	801.155	614.899	619.491	668.379	583.408	683.845	711.803
58	450.334	450.334	487.788	507.761	524.920	525.465	528.788	530.790	624.451	671.642	744.848	791.502	753.519	587.037	593.855	635.352	562.662	637.967	670.196
59	449.535	449.535	469.945	503.234	499.175	521.362	530.243	510.352	614.513	642.951	684.777	758.807	707.009	554.037	571.419	597.830	527.256	600.749	634.041
