 	Profile_Slice_1	Profile_Slice_2	Profile_Slice_3	Profile_Slice_4	Profile_Slice_5	Profile_Slice_6	Profile_Slice_7	Profile_Slice_8	Profile_Slice_9	Profile_Slice_10	Profile_Slice_11	Profile_Slice_12
1	591.138	591.138	557.670	553.309	553.590	542.183	547.322	521.048	551.647	539.797	528.251	548.251
2	585.887	585.887	566.666	538.569	549.073	546.155	548.040	542.400	543.232	532.967	529.906	538.447
3	573.898	573.898	560.567	556.925	547.958	538.574	556.029	530.836	526.017	539.554	532.319	534.880
4	586.845	586.845	554.828	548.718	544.539	551.166	552.190	527.784	544.081	535.590	533.646	554.683
5	581.189	581.189	571.737	550.273	554.718	554.164	544.171	538.213	536.993	533.661	544.633	561.361
6	575.188	575.188	571.948	552.025	542.220	540.970	541.040	537.391	532.954	530.637	541.507	551.439
7	569.893	569.893	556.993	547.415	537.147	541.359	538.677	531.543	515.588	532.286	531.655	539.976
8	578.075	578.075	566.577	554.087	544.027	546.207	545.601	544.293	539.503	533.621	539.148	551.597
9	571.445	571.445	569.312	558.734	558.093	545.867	556.797	537.992	530.268	533.645	544.822	551.469
10	576.058	576.058	554.373	550.399	558.001	542.642	541.569	535.647	527.954	536.056	539.558	552.916
11	594.698	594.698	558.832	541.232	564.789	536.713	538.923	524.440	525.328	538.340	542.870	543.696
12	583.260	583.260	576.172	539.411	555.731	538.173	539.626	524.141	529.681	531.549	539.774	538.787
13	579.516	579.516	569.953	535.439	547.269	537.162	539.702	531.255	533.549	525.557	532.348	544.120
14	572.596	572.596	545.620	534.798	561.516	534.627	543.625	522.004	532.653	522.049	530.095	532.602
15	587.613	587.613	552.587	545.799	557.376	528.851	538.784	529.914	529.437	539.056	531.048	531.039
16	570.007	570.007	549.647	531.334	549.026	536.128	527.870	533.886	510.436	530.151	529.255	537.591
17	572.685	572.685	551.066	542.785	542.586	539.001	532.664	517.665	524.647	518.764	531.591	527.961
18	562.595	562.595	562.886	541.496	531.857	543.500	526.555	528.982	532.245	527.415	530.782	540.282
19	572.369	572.369	553.615	554.742	541.089	536.716	523.647	532.514	535.894	517.337	531.641	531.692
20	564.203	564.203	550.031	548.030	537.796	531.239	529.365	528.646	540.438	523.978	530.816	533.450
21	571.167	571.167	554.757	541.833	541.882	538.081	527.887	524.602	522.572	531.527	519.491	518.343
22	564.305	564.305	551.332	542.652	542.501	531.404	528.482	527.202	525.875	532.472	527.035	535.930
23	554.996	554.996	538.258	544.568	547.164	534.773	518.674	533.100	527.230	530.640	523.613	541.794
24	572.589	572.589	537.993	539.968	545.848	531.224	543.004	537.842	518.480	521.537	526.525	544.571
25	562.454	562.454	554.166	531.710	549.584	544.176	531.442	527.777	531.721	530.232	531.762	535.780
26	560.540	560.540	548.445	543.854	532.303	554.275	525.790	532.746	538.197	518.877	535.328	527.057
27	567.536	567.536	556.309	548.949	535.136	538.626	532.217	538.587	535.147	525.322	530.142	528.501
