 	Profile_Slice_1	Profile_Slice_2	Profile_Slice_3	Profile_Slice_4	Profile_Slice_5	Profile_Slice_6	Profile_Slice_7	Profile_Slice_8	Profile_Slice_9	Profile_Slice_10	Profile_Slice_11	Profile_Slice_12	Profile_Slice_13
1	586.584	586.584	587.593	562.471	557.630	562.212	556.474	566.776	576.169	563.389	572.938	552.711	572.518
2	596.258	596.258	573.414	572.759	563.521	572.188	550.259	564.695	571.998	581.707	562.851	566.408	563.700
3	593.676	593.676	575.189	583.616	573.298	563.058	553.475	578.960	578.738	576.982	572.891	569.650	565.954
4	592.972	592.972	572.723	581.236	574.554	554.086	554.952	560.049	561.089	569.481	571.479	557.319	569.325
5	594.481	594.481	575.355	563.120	558.251	554.946	562.971	558.869	572.968	575.336	567.161	563.719	568.521
6	588.085	588.085	577.023	555.274	563.672	566.021	557.404	543.218	572.638	572.137	566.156	565.877	561.367
7	585.470	585.470	572.164	562.617	549.985	563.659	559.620	552.260	565.590	569.945	552.595	569.180	569.936
8	585.955	585.955	578.128	567.523	566.566	556.433	547.855	560.744	585.696	569.112	555.929	564.378	566.926
9	584.594	584.594	565.240	572.780	559.103	561.644	557.359	556.909	567.888	575.586	557.552	569.666	576.674
10	579.240	579.240	570.912	563.589	563.735	552.466	563.160	554.754	574.297	574.043	561.618	570.799	570.757
11	582.852	582.852	558.249	562.435	558.569	551.683	550.241	553.003	580.899	571.669	568.606	558.704	577.033
12	578.162	578.162	558.320	573.426	557.570	559.481	549.706	555.772	564.407	572.095	573.143	565.698	567.526
13	572.397	572.397	571.013	568.641	555.168	562.617	559.218	563.161	569.189	574.840	564.504	555.972	564.399
14	587.773	587.773	567.802	566.827	563.861	566.982	561.903	552.089	579.734	566.251	574.611	564.681	564.452
15	593.119	593.119	555.991	564.766	563.137	581.520	559.437	556.954	571.916	573.327	581.273	566.408	573.921
16	588.420	588.420	567.986	578.540	559.598	570.597	559.357	555.106	580.416	570.563	580.453	566.763	567.914
17	570.525	570.525	582.982	578.614	560.475	568.729	548.758	562.791	583.304	577.691	574.041	582.861	565.908
18	582.823	582.823	586.922	570.310	563.188	577.115	560.126	565.224	573.569	572.190	560.696	572.767	570.100
19	583.683	583.683	579.801	594.713	567.552	572.713	575.377	564.034	567.627	576.384	582.217	573.929	564.796
20	586.964	586.964	579.446	593.917	562.281	566.224	563.344	571.791	585.700	573.975	577.259	580.777	565.795
21	589.853	589.853	582.978	599.114	557.339	567.286	551.652	566.654	584.601	572.617	585.002	574.618	553.995
22	577.070	577.070	571.158	587.754	557.579	563.947	555.372	560.863	573.076	568.810	590.824	590.562	571.833
23	587.419	587.419	577.852	583.253	552.722	564.338	566.971	565.283	582.830	576.167	595.246	551.923	578.563
24	586.268	586.268	589.973	583.964	559.899	562.689	566.182	560.796	571.865	583.261	574.118	560.464	581.317
25	586.766	586.766	574.097	595.179	560.227	565.424	569.281	568.034	579.645	574.896	569.949	568.925	574.804
26	579.228	579.228	579.754	599.098	559.928	560.590	551.150	579.434	578.788	586.680	567.612	561.488	566.433
27	580.325	580.325	588.342	586.035	567.018	554.786	552.080	572.332	590.712	587.480	571.353	579.657	558.272
28	572.422	572.422	590.854	584.303	544.552	550.661	558.808	567.346	595.514	579.383	561.878	570.819	557.594
29	574.121	574.121	580.290	597.206	559.079	557.877	557.159	578.419	595.286	585.813	567.743	570.377	562.163
30	587.684	587.684	575.092	583.482	553.680	559.573	551.191	573.458	589.342	600.576	563.618	569.255	582.661
31	593.576	593.576	591.220	593.036	560.168	545.901	561.634	575.911	571.142	589.903	552.495	573.663	558.965
32	570.284	570.284	583.546	584.900	552.682	558.032	561.478	576.730	589.786	568.067	559.964	573.827	571.217
33	572.373	572.373	575.544	578.587	560.557	555.642	568.931	587.280	592.131	571.478	576.410	574.860	581.101
34	585.267	585.267	591.683	575.177	556.361	568.529	557.994	572.789	578.538	575.307	578.059	582.905	563.776
35	588.774	588.774	593.714	569.985	560.040	569.079	564.496	571.452	573.657	588.109	589.637	581.012	574.785
36	588.990	588.990	586.315	578.020	568.459	556.241	563.447	561.960	576.556	585.151	594.457	589.398	568.713
37	606.025	606.025	571.805	580.955	561.266	564.246	581.730	555.762	570.238	581.907	585.383	576.919	571.995
38	596.384	596.384	585.273	559.723	566.459	559.926	562.897	564.007	564.768	576.805	575.432	571.226	570.199
39	603.427	603.427	587.289	558.169	568.924	557.262	557.874	549.489	567.266	572.109	579.351	560.998	574.664
40	596.926	596.926	573.278	572.066	558.223	551.295	549.684	529.085	566.577	580.205	572.661	565.921	565.006
41	593.393	593.393	580.131	570.969	573.802	550.690	549.539	533.103	561.231	566.747	578.621	574.345	579.299
42	588.578	588.578	583.456	563.104	568.305	563.528	546.191	544.566	554.185	575.813	563.503	553.688	563.576
43	593.845	593.845	586.598	568.691	575.797	560.077	550.405	545.756	568.641	569.145	558.771	562.432	565.726
44	586.734	586.734	584.662	564.555	562.791	564.144	552.154	552.345	573.194	569.400	562.958	571.829	573.205
45	595.208	595.208	573.840	572.344	567.506	569.698	551.318	558.808	573.539	562.065	570.833	553.369	577.212
46	599.458	599.458	583.318	554.712	556.198	558.337	556.822	550.752	568.131	567.217	567.800	571.782	564.813
47	601.257	601.257	576.335	556.543	564.486	557.086	565.406	550.851	574.116	566.077	563.395	573.470	572.552
48	598.809	598.809	580.714	566.175	555.312	557.206	551.443	557.392	569.284	570.867	571.278	564.912	573.672
49	588.869	588.869	592.026	570.447	550.818	552.035	561.052	552.036	557.317	573.502	570.002	573.832	570.719
50	578.373	578.373	591.527	575.020	558.806	557.320	561.393	552.233	565.624	571.081	575.784	578.331	569.665
51	578.816	578.816	581.730	573.658	557.138	553.203	562.073	550.083	575.621	575.017	560.769	568.342	590.940
52	590.262	590.262	577.185	574.243	556.592	548.707	564.272	549.495	567.711	573.284	561.765	548.915	566.710
53	594.075	594.075	579.718	565.521	555.851	547.772	562.917	546.549	576.771	564.309	565.153	556.710	564.073
54	587.108	587.108	577.461	570.025	561.240	556.210	557.638	545.004	567.961	569.872	545.660	558.809	566.366
55	589.673	589.673	587.631	560.572	555.768	545.574	549.124	545.078	555.700	560.933	569.910	550.107	552.855
