 	Profile_Slice_1	Profile_Slice_2	Profile_Slice_3
314	314.700	300.276	314.700
315	306.922	299.136	306.922
316	325.453	290.080	325.453
317	318.346	295.079	318.346
318	310.366	290.264	310.366
319	317.449	291.683	317.449
320	320.499	297.675	320.499
321	327.413	305.746	327.413
322	322.942	297.424	322.942
323	314.030	300.067	314.030
324	309.885	297.563	309.885
325	326.841	298.101	326.841
326	319.682	305.918	319.682
327	332.516	296.798	332.516
328	321.426	296.860	321.426
329	334.473	305.227	334.473
330	342.051	307.185	342.051
331	344.275	311.773	344.275
332	338.877	314.103	338.877
333	330.904	317.151	330.904
334	329.975	319.099	329.975
335	332.056	322.673	332.056
336	337.722	322.148	337.722
337	329.153	327.923	329.153
338	330.455	322.323	330.455
339	330.465	327.113	330.465
340	335.196	319.226	335.196
341	326.912	317.402	326.912
342	342.863	321.501	342.863
343	339.344	318.925	339.344
344	342.272	326.729	342.272
345	347.105	330.887	347.105
346	338.641	332.838	338.641
347	344.758	334.070	344.758
348	338.088	338.402	338.088
349	356.746	331.497	356.746
350	359.293	333.450	359.293
351	354.533	332.726	354.533
352	350.701	333.922	350.701
353	357.615	335.119	357.615
354	340.184	331.869	340.184
355	358.469	342.401	358.469
356	353.252	327.589	353.252
357	360.323	338.145	360.323
358	349.682	337.276	349.682
359	354.990	335.222	354.990
360	351.608	337.018	351.608
361	359.444	338.938	359.444
362	362.505	330.663	362.505
363	355.862	327.061	355.862
364	361.589	327.788	361.589
365	366.709	327.283	366.709
366	359.326	324.275	359.326
367	351.980	329.874	351.980
368	354.028	339.891	354.028
369	368.735	327.455	368.735
370	360.944	339.589	360.944
371	365.187	333.654	365.187
372	362.367	337.680	362.367
373	360.964	350.778	360.964
374	369.631	350.048	369.631
375	365.168	342.500	365.168
376	365.091	342.906	365.091
377	370.465	350.100	370.465
378	370.914	350.393	370.914
379	374.395	348.631	374.395
380	366.054	360.497	366.054
381	365.714	355.597	365.714
382	371.433	361.915	371.433
383	363.936	366.462	363.936
384	366.783	356.944	366.783
