 	Profile_Slice_1	Profile_Slice_2	Profile_Slice_3	Profile_Slice_4	Profile_Slice_5	Profile_Slice_6	Profile_Slice_7	Profile_Slice_8	Profile_Slice_9	Profile_Slice_10	Profile_Slice_11	Profile_Slice_12	Profile_Slice_13	Profile_Slice_14	Profile_Slice_15	Profile_Slice_16	Profile_Slice_17	Profile_Slice_18	Profile_Slice_19
1	212.697	212.697	212.968	211.659	208.683	202.990	210.473	210.399	200.121	218.327	207.260	203.791	209.925	206.991	209.502	204.705	211.362	212.111	206.911
2	217.862	217.862	216.713	215.093	208.406	210.105	208.816	209.418	208.413	207.525	211.811	201.450	207.269	205.666	203.609	204.816	208.496	216.614	214.638
3	211.909	211.909	219.961	214.382	214.703	205.054	209.425	200.271	208.209	210.833	215.255	207.394	208.694	209.512	205.630	208.748	199.886	211.752	206.744
4	211.965	211.965	215.802	214.556	213.227	215.239	204.728	210.912	208.834	211.167	217.278	214.593	209.614	214.859	207.767	210.021	205.313	212.753	210.465
5	210.811	210.811	216.817	216.597	216.996	205.900	213.872	208.800	210.580	213.204	212.535	212.932	211.563	215.046	212.617	209.285	209.981	215.534	211.865
6	213.566	213.566	221.816	212.475	209.848	210.480	210.364	206.340	212.154	219.688	220.022	211.403	219.559	213.465	206.629	215.551	209.615	211.273	207.011
7	218.402	218.402	218.569	216.548	215.068	216.252	209.443	213.347	213.187	217.169	218.945	212.712	212.171	210.243	210.097	219.292	213.177	210.437	207.359
8	221.405	221.405	224.652	212.435	213.285	213.503	212.862	214.460	204.421	220.347	212.846	206.015	215.019	208.098	213.403	219.234	215.588	210.427	209.080
9	227.440	227.440	219.479	214.379	219.658	212.360	220.073	211.230	209.350	224.440	221.268	214.112	217.432	211.587	209.650	221.905	213.601	217.280	209.558
10	222.430	222.430	221.225	215.353	217.355	213.691	215.294	213.425	207.993	217.602	216.417	207.696	214.103	211.226	210.049	214.162	219.425	211.195	212.142
11	214.996	214.996	214.138	211.182	217.854	214.829	216.744	217.513	210.860	211.708	209.576	205.560	221.710	211.974	206.445	212.528	215.399	213.765	224.025
12	217.503	217.503	221.198	219.559	219.885	215.940	218.534	215.489	212.804	221.250	216.103	214.019	222.604	219.407	216.564	217.064	218.901	225.372	219.782
13	218.969	218.969	222.092	219.539	220.849	219.629	221.328	214.446	212.685	219.277	221.303	215.881	221.400	212.274	214.499	220.322	214.971	222.109	213.587
14	226.158	226.158	224.966	217.633	221.256	220.944	213.350	223.937	214.984	215.057	225.053	212.415	213.933	213.689	222.589	214.062	214.904	218.691	210.526
15	220.684	220.684	218.782	218.463	216.546	219.968	211.262	221.557	212.901	228.538	216.853	206.104	214.267	217.009	218.884	221.831	220.951	218.637	219.973
16	224.191	224.191	223.837	224.480	216.455	214.320	216.452	218.411	218.195	222.456	219.563	213.202	211.757	214.114	219.194	223.875	225.286	220.271	219.454
17	224.232	224.232	215.229	230.031	220.065	222.295	216.274	221.362	217.865	224.172	227.256	213.104	215.016	221.233	214.770	215.267	221.922	221.126	221.837
18	226.608	226.608	222.196	224.415	218.384	219.436	223.314	222.749	216.737	219.875	226.894	220.581	215.065	211.056	213.451	219.819	216.222	223.247	224.487
19	226.227	226.227	225.681	224.143	223.259	210.113	229.061	217.814	219.638	218.437	222.108	216.614	222.971	221.307	212.891	213.726	218.689	230.953	216.803
20	218.854	218.854	222.113	226.152	220.092	218.357	234.255	216.774	220.201	219.031	218.015	220.134	227.629	220.313	221.430	222.711	225.629	219.854	220.251
21	217.800	217.800	225.332	225.772	224.568	221.223	224.547	220.282	225.955	220.650	229.666	224.922	224.538	216.760	217.583	225.507	230.685	216.522	221.218
22	223.264	223.264	229.071	224.541	220.153	219.252	219.497	218.721	220.570	225.143	222.200	218.725	222.176	221.854	224.625	227.394	233.132	222.307	226.427
23	227.623	227.623	222.773	224.983	226.243	217.211	223.125	226.656	227.595	227.414	228.276	210.179	227.977	225.800	224.846	223.460	229.288	226.178	223.746
24	228.467	228.467	228.537	229.245	225.792	210.172	232.054	231.125	226.753	226.671	230.830	218.237	227.895	227.061	216.813	226.355	227.313	228.641	221.698
25	229.980	229.980	230.666	229.243	220.318	216.895	229.199	233.297	235.365	223.180	223.914	219.445	225.499	226.113	224.176	221.364	231.332	224.318	216.415
26	227.851	227.851	221.716	228.839	223.893	222.933	231.421	232.546	233.123	228.456	234.504	217.958	221.368	224.284	229.640	225.567	228.093	225.646	227.509
27	226.480	226.480	237.354	224.514	231.162	224.885	226.444	223.696	229.917	235.113	232.934	222.263	228.742	231.200	235.506	221.705	229.927	236.465	220.811
28	230.846	230.846	233.605	224.714	223.959	230.340	214.552	224.744	225.729	235.058	221.717	231.563	229.801	232.632	230.729	227.125	235.767	239.912	222.408
29	230.433	230.433	234.964	238.915	226.514	225.443	229.714	227.669	230.548	231.165	227.652	230.057	221.640	232.108	228.460	230.740	224.707	239.168	225.047
30	230.025	230.025	230.873	239.052	227.442	229.849	234.883	232.441	236.473	230.877	229.896	233.006	233.050	233.791	229.446	229.439	232.171	242.729	230.541
