 	Profile_Slice_1	Profile_Slice_2	Profile_Slice_3	Profile_Slice_4	Profile_Slice_5	Profile_Slice_6	Profile_Slice_7	Profile_Slice_8
92	184.881	184.881	174.274	173.880	177.817	186.733	183.341	179.855
93	186.308	186.308	176.834	175.474	180.856	184.716	182.007	181.105
94	180.806	180.806	177.857	174.507	179.877	182.914	179.052	182.207
95	183.043	183.043	178.023	174.631	175.139	190.261	180.414	181.473
96	178.265	178.265	178.306	175.032	181.391	183.457	181.761	180.414
97	184.132	184.132	177.683	178.600	180.501	177.448	178.689	181.092
98	183.215	183.215	180.781	176.757	176.204	177.851	184.054	186.478
99	187.789	187.789	183.475	175.071	180.108	180.088	183.318	181.511
100	190.757	190.757	178.392	181.586	177.473	181.479	176.039	181.475
101	184.297	184.297	180.781	172.577	174.672	186.091	176.728	185.952
102	176.045	176.045	179.585	174.536	175.525	184.612	180.487	184.828
103	182.623	182.623	176.089	171.919	170.790	183.784	179.873	180.712
104	179.085	179.085	174.500	172.311	172.674	183.067	181.164	179.921
105	178.383	178.383	171.437	174.860	171.729	182.654	177.481	183.262
106	179.750	179.750	173.235	177.174	172.101	180.088	181.718	182.240
107	174.781	174.781	174.446	171.771	168.579	177.279	177.063	177.349
108	180.487	180.487	179.157	167.823	168.973	175.179	179.470	172.834
109	177.999	177.999	176.304	166.135	173.584	172.600	179.406	180.032
110	175.340	175.340	173.950	171.210	171.213	175.709	174.158	173.533
111	176.065	176.065	173.662	170.294	171.011	178.601	172.896	174.880
112	170.848	170.848	169.465	168.575	172.667	179.753	172.376	173.272
113	168.013	168.013	169.352	168.647	169.936	173.566	173.593	165.094
114	173.808	173.808	164.559	163.623	171.186	174.022	173.148	169.740
115	174.522	174.522	167.452	164.378	167.785	170.036	171.713	171.957
116	173.883	173.883	163.336	159.843	163.475	165.181	165.016	169.459
117	172.079	172.079	161.069	156.378	164.310	168.904	162.231	167.276
118	168.504	168.504	167.591	163.449	160.721	169.313	161.099	166.482
119	167.718	167.718	162.777	160.055	160.680	171.276	167.111	165.690
120	167.821	167.821	162.845	157.541	161.579	167.900	167.128	171.050
121	165.344	165.344	158.872	160.947	157.259	164.813	161.716	167.390
122	169.156	169.156	158.914	158.168	157.229	167.090	160.278	166.333
123	163.225	163.225	158.348	160.876	160.622	167.227	165.605	172.929
124	164.695	164.695	158.372	161.146	158.815	165.682	164.005	164.217
125	164.713	164.713	157.623	163.334	162.933	166.491	162.319	163.975
126	161.242	161.242	163.475	158.640	161.244	160.697	169.407	168.781
127	168.285	168.285	161.725	161.806	160.882	166.408	165.371	170.227
128	162.150	162.150	164.080	162.389	164.090	166.653	173.671	170.250
129	166.663	166.663	162.227	160.945	166.045	172.977	176.849	170.332
130	164.106	164.106	165.974	166.722	167.557	166.222	174.393	172.728
131	169.483	169.483	162.788	162.251	168.071	166.388	172.072	178.101
132	169.215	169.215	163.874	166.413	170.598	171.035	173.914	174.773
133	168.845	168.845	166.632	165.846	171.177	169.144	169.818	177.631
134	173.418	173.418	170.087	167.379	166.572	175.347	174.823	177.793
135	177.692	177.692	169.611	168.065	172.377	174.022	174.765	176.049
136	172.835	172.835	172.409	165.722	167.970	171.972	175.214	176.914
137	172.259	172.259	165.112	166.063	168.286	176.066	175.804	172.714
138	175.512	175.512	168.755	167.834	171.778	176.513	170.360	174.118
139	169.492	169.492	169.253	166.260	172.596	178.876	175.904	170.448
140	164.023	164.023	169.882	168.508	163.012	173.520	177.098	171.727
141	174.469	174.469	169.391	167.378	168.568	175.505	174.743	177.676
142	170.669	170.669	162.043	169.229	169.400	170.335	176.485	168.127
143	168.761	168.761	165.588	170.137	170.460	173.837	173.616	171.669
144	163.048	163.048	170.373	166.911	169.479	173.258	176.494	170.389
145	168.835	168.835	165.643	163.834	169.154	172.202	176.693	173.039
146	170.113	170.113	165.536	161.752	167.920	174.829	173.053	170.251
147	168.961	168.961	165.420	165.878	167.481	171.810	175.844	169.759
148	171.843	171.843	160.124	168.713	161.886	169.210	175.868	167.776
149	166.016	166.016	163.421	168.580	169.398	166.105	171.358	173.905
150	169.919	169.919	165.701	164.928	167.756	176.144	172.584	172.275
151	171.765	171.765	162.587	163.319	169.137	168.920	169.239	173.557
152	170.433	170.433	165.137	166.615	169.084	168.758	173.584	172.804
153	172.315	172.315	170.277	173.005	166.876	170.779	173.277	172.759
154	169.696	169.696	169.038	167.346	165.710	174.798	171.458	172.018
155	169.299	169.299	167.113	167.914	165.514	173.661	162.028	170.276
156	174.209	174.209	170.647	167.643	166.020	174.099	167.199	173.786
157	167.787	167.787	164.054	164.500	166.103	169.766	168.134	165.853
158	166.290	166.290	166.097	166.149	171.277	177.247	173.413	168.876
159	171.693	171.693	164.041	172.006	168.004	175.000	170.390	171.045
160	171.464	171.464	164.699	168.228	170.492	168.281	170.828	172.019
161	172.405	172.405	160.585	162.942	165.858	164.127	174.789	167.806
162	173.402	173.402	166.416	166.279	165.284	171.192	174.525	170.935
163	169.459	169.459	169.636	170.732	166.681	176.731	176.781	173.273
164	166.916	166.916	159.976	165.810	167.319	174.227	175.220	168.161
165	167.885	167.885	158.135	166.515	164.075	171.622	174.911	174.109
166	169.690	169.690	162.453	161.088	163.441	171.810	171.479	170.268
167	170.116	170.116	162.699	162.984	168.085	168.350	172.663	165.985
168	169.635	169.635	165.367	167.770	161.831	169.203	173.186	167.323
169	168.645	168.645	166.857	160.432	160.587	166.237	167.022	172.315
170	173.665	173.665	167.546	163.381	166.942	171.713	170.598	172.417
171	168.703	168.703	169.271	164.548	167.626	171.197	167.876	175.703
172	173.482	173.482	163.920	165.786	167.397	172.443	171.784	170.758
173	171.176	171.176	165.786	158.782	168.322	168.267	169.383	168.962
174	168.086	168.086	165.588	164.120	168.256	167.365	170.993	173.287
175	169.143	169.143	164.034	163.422	167.146	169.047	171.200	171.983
176	168.485	168.485	167.391	163.125	166.838	169.602	171.028	167.022
