 	Profile_Slice_1	Profile_Slice_2	Profile_Slice_3
1	317.005	323.770	317.725
2	320.108	323.113	318.319
3	313.992	322.490	307.969
4	306.567	315.817	315.526
5	309.899	313.894	323.037
6	314.592	318.327	329.024
7	309.627	323.799	329.179
8	309.360	322.677	328.428
9	316.282	332.306	326.747
10	304.376	328.949	321.691
11	309.928	329.605	324.142
12	330.577	330.123	322.023
13	321.886	317.059	312.484
14	325.384	324.230	319.028
15	326.108	331.880	321.043
16	327.370	329.448	321.651
17	325.959	328.752	315.709
18	317.366	321.242	321.207
19	311.730	324.953	327.299
20	315.061	329.939	339.281
21	321.152	322.230	330.948
22	318.605	331.670	339.705
23	324.260	329.927	351.346
24	326.310	345.617	356.182
25	352.272	364.005	365.754
26	336.063	391.914	384.210
27	350.236	403.707	381.776
28	357.479	429.000	379.156
29	379.730	447.305	374.112
30	370.848	456.097	388.003
31	376.730	455.367	389.364
32	364.514	459.060	364.356
33	360.773	436.472	363.750
34	355.224	411.149	347.669
35	334.633	389.856	343.015
36	345.112	371.011	336.280
37	327.040	352.262	332.813
38	324.759	358.175	322.655
39	325.785	340.254	320.042
40	330.280	327.131	322.757
41	325.132	328.210	325.623
42	316.465	345.615	322.421
43	315.261	334.701	324.579
44	310.526	323.438	324.340
45	303.409	328.522	319.388
46	315.358	328.880	326.264
47	320.139	319.834	329.078
48	317.643	322.452	316.413
49	307.509	322.630	313.806
50	310.384	320.395	311.351
51	313.389	328.650	316.897
52	314.060	326.490	309.142
53	307.482	310.371	317.661
54	305.953	319.406	320.917
55	304.420	321.568	314.345
56	319.543	324.294	312.519
57	319.143	322.028	313.169
58	298.289	314.248	312.431
59	295.112	311.941	308.420
60	308.129	319.517	310.114
61	310.232	313.474	316.570
62	299.562	306.644	318.420
63	307.833	326.568	315.553
64	309.962	319.828	308.123
65	308.921	312.779	310.063
66	312.772	312.304	323.357
67	317.260	322.251	317.077
68	312.586	324.264	326.406
69	319.215	323.071	341.394
70	327.217	317.724	335.875
71	325.596	323.780	345.267
72	319.059	337.513	344.511
73	331.643	325.448	337.430
74	322.460	325.024	340.088
75	325.881	331.973	333.715
76	320.745	330.732	332.222
77	323.422	326.227	332.692
78	321.617	331.887	326.606
79	316.511	330.330	311.566
80	316.158	324.417	319.652
81	321.190	323.039	307.885
82	319.050	321.057	300.277
83	309.695	324.580	306.467
84	309.252	325.888	311.226
85	301.055	314.690	306.973
86	303.318	308.943	313.532
87	296.491	309.976	291.812
88	300.404	297.978	289.336
89	299.697	299.873	302.383
90	291.951	298.511	302.690
91	298.253	301.885	296.449
92	291.920	297.993	288.938
93	289.342	292.693	284.488
94	289.501	285.947	299.195
95	286.159	291.437	294.655
96	287.010	295.384	287.690
97	287.086	304.038	271.886
98	280.599	300.921	290.454
99	287.849	300.010	281.889
100	280.832	290.054	256.954
101	273.674	294.779	267.685
102	276.089	299.418	263.911
103	279.074	304.287	268.861
104	276.650	297.149	275.962
105	267.567	306.287	274.020
106	282.004	300.474	271.142
107	274.823	298.080	281.133
108	267.921	305.399	272.734
109	277.388	301.007	273.012
110	276.856	289.950	263.627
111	276.121	291.696	267.467
112	275.495	290.297	270.015
113	268.116	287.431	264.841
114	267.081	284.915	262.999
115	268.038	273.271	271.416
116	265.883	262.700	262.020
117	259.754	262.660	262.616
118	264.199	265.801	252.700
119	264.784	271.924	260.445
120	267.606	267.030	259.042
121	267.380	273.761	260.225
122	252.990	267.961	260.144
123	262.320	261.381	261.302
124	269.469	257.906	260.984
125	266.858	265.497	259.544
126	265.260	264.009	252.874
127	267.860	265.919	249.467
128	263.635	263.397	256.832
129	260.291	249.999	247.137
130	258.084	257.660	252.571
