 	Profile_Slice_1	Profile_Slice_2	Profile_Slice_3	Profile_Slice_4	Profile_Slice_5	Profile_Slice_6	Profile_Slice_7	Profile_Slice_8	Profile_Slice_9
1	205.000	226.000	216.000	192.000	209.000	203.000	189.000	223.000	183.000
2	218.255	227.144	221.099	193.524	209.628	194.608	208.775	209.344	220.918
3	210.450	227.976	232.600	205.522	220.657	193.857	200.405	218.359	224.583
4	206.505	207.498	220.802	205.581	229.706	205.515	199.069	217.658	230.408
5	210.444	196.311	196.365	212.551	212.735	205.088	206.412	192.070	220.866
6	193.670	206.356	244.602	204.979	202.496	203.471	198.578	200.453	192.288
7	207.733	195.795	221.177	214.363	197.310	198.555	208.636	209.147	225.950
8	208.783	216.130	208.934	210.230	213.864	199.297	212.389	218.552	206.326
9	204.552	205.204	210.892	202.249	213.915	210.958	195.357	227.018	204.742
10	195.433	220.120	203.597	214.533	218.610	218.898	198.423	212.493	215.676
11	190.755	203.350	218.494	207.752	242.825	229.146	207.334	234.702	205.060
12	206.864	229.375	217.138	234.407	208.937	224.445	213.394	200.264	219.730
13	204.629	216.105	222.992	228.604	200.130	215.634	213.676	224.886	216.981
14	207.278	226.003	216.600	211.798	210.962	211.137	207.596	194.494	217.937
15	215.740	224.434	198.031	216.758	207.181	217.498	193.357	194.633	208.099
16	206.116	196.970	225.673	204.298	206.759	207.681	211.657	201.715	208.520
17	220.474	215.110	208.188	199.435	212.977	207.428	199.949	201.793	203.436
18	221.271	214.996	197.509	212.750	183.944	214.007	187.152	199.658	203.916
19	213.619	213.654	213.686	201.176	206.078	206.141	214.436	207.859	212.895
20	210.583	222.458	210.194	219.861	211.056	216.917	205.250	205.542	203.556
21	222.598	202.178	225.680	217.875	203.579	214.678	179.072	203.985	207.091
22	209.196	218.534	213.045	199.000	200.955	196.262	165.683	207.409	200.039
23	215.398	185.114	198.587	200.601	210.140	205.372	205.274	210.492	185.518
24	212.156	202.401	197.329	207.648	221.593	210.219	199.854	205.177	200.309
25	196.055	200.008	203.058	221.723	212.224	223.834	203.114	215.582	208.008
26	206.348	187.699	223.808	222.358	212.224	202.558	213.323	213.014	214.480
27	203.623	220.830	187.153	208.287	207.929	203.249	206.265	209.214	218.191
28	190.130	198.133	205.653	205.556	235.935	207.748	202.107	206.733	203.652
29	202.372	213.231	209.818	198.792	218.521	216.726	214.792	206.131	199.093
30	207.290	206.188	201.306	198.868	208.248	222.532	214.675	223.572	206.505
31	206.593	202.878	203.855	232.676	201.493	210.370	208.277	218.855	201.406
32	207.640	216.433	189.687	220.014	215.874	214.216	209.277	211.587	212.917
33	185.414	235.711	223.209	201.127	193.840	212.688	229.271	239.167	211.178
34	187.945	218.355	218.932	219.614	192.868	223.069	231.456	205.704	206.116
35	187.542	215.513	212.827	215.950	195.427	203.377	215.543	205.759	207.522
36	203.838	224.997	216.015	219.792	206.450	200.483	213.305	210.575	214.479
37	194.008	208.180	217.341	204.859	199.510	210.651	204.934	216.440	201.105
38	204.292	194.741	208.818	191.809	182.202	234.153	213.790	203.652	212.957
