 	Profile_Slice_1	Profile_Slice_2	Profile_Slice_3	Profile_Slice_4	Profile_Slice_5	Profile_Slice_6	Profile_Slice_7	Profile_Slice_8	Profile_Slice_9	Profile_Slice_10	Profile_Slice_11	Profile_Slice_12
62	497.019	497.019	495.404	512.580	498.599	494.687	502.830	509.725	510.390	493.348	485.228	495.286
63	504.459	504.459	486.177	494.045	493.180	487.119	500.900	510.301	500.271	491.376	497.188	493.124
64	505.113	505.113	501.712	494.360	496.885	494.701	503.970	505.126	491.625	494.095	492.620	495.189
65	499.858	499.858	498.419	502.527	493.857	502.639	510.580	508.526	505.245	508.398	486.871	497.803
66	508.880	508.880	498.311	494.435	504.877	501.994	509.150	502.427	500.471	496.561	495.845	497.396
67	504.034	504.034	500.244	504.717	502.855	490.103	508.766	507.992	499.406	500.396	499.031	502.173
68	503.048	503.048	488.659	497.009	503.100	489.922	496.164	493.518	504.600	484.165	490.264	499.984
69	514.026	514.026	508.009	493.516	499.694	491.717	507.059	500.339	509.241	499.285	499.573	493.837
70	507.334	507.334	508.708	488.456	513.689	482.664	495.723	512.743	495.213	514.041	499.335	498.527
71	503.308	503.308	493.276	495.564	505.043	488.142	485.168	506.536	502.934	506.083	495.525	497.287
72	498.947	498.947	492.382	503.742	504.241	499.005	490.288	504.147	498.408	496.877	502.589	505.187
73	499.624	499.624	500.773	501.709	513.553	493.240	496.258	501.388	494.548	502.351	488.840	499.278
74	509.323	509.323	498.093	488.251	501.193	497.079	484.161	495.189	498.888	497.498	490.881	499.003
75	497.370	497.370	499.358	498.189	484.484	510.507	496.535	488.503	499.808	494.177	506.753	487.221
76	510.549	510.549	508.750	499.065	483.001	501.746	494.921	503.423	486.850	507.879	499.919	498.140
77	504.218	504.218	515.895	501.418	485.056	488.831	513.686	512.223	505.782	505.613	484.714	487.935
78	501.827	501.827	504.495	502.831	505.798	483.114	514.534	496.133	499.340	488.426	502.472	494.809
79	508.861	508.861	499.750	499.217	506.048	495.155	500.040	499.102	499.132	499.655	488.707	506.277
80	510.550	510.550	508.009	508.140	498.091	493.613	502.760	503.763	500.417	502.149	487.653	513.844
81	503.776	503.776	506.591	506.396	505.284	495.614	505.615	509.489	509.371	495.700	502.569	507.821
82	504.035	504.035	497.927	501.632	499.981	495.397	509.109	491.826	511.571	507.264	498.363	485.221
83	508.524	508.524	501.050	504.415	501.728	506.757	504.588	508.102	503.390	496.629	507.050	493.099
84	504.990	504.990	486.310	510.943	499.650	505.540	500.360	500.258	492.453	484.515	507.717	499.808
85	507.190	507.190	501.365	515.447	498.406	499.451	497.287	502.165	485.260	497.057	494.196	508.349
86	514.127	514.127	502.500	511.787	497.366	499.866	500.628	504.480	497.814	502.095	499.967	499.256
87	521.183	521.183	499.964	498.934	505.474	484.421	510.378	506.103	502.121	495.764	503.677	500.388
88	506.806	506.806	509.404	505.019	495.836	496.451	514.353	500.662	500.142	486.873	496.590	491.266
89	505.908	505.908	520.588	505.497	496.642	500.119	500.811	502.778	505.957	494.919	496.795	496.994
90	499.840	499.840	506.783	494.480	509.379	501.441	499.741	508.826	503.848	502.949	495.549	497.959
91	517.673	517.673	515.583	500.702	515.924	497.652	510.067	503.180	510.824	502.773	497.072	512.550
92	518.353	518.353	515.165	496.491	501.387	499.878	505.699	509.885	512.889	494.537	497.031	501.053
93	516.079	516.079	500.614	510.275	517.627	504.417	501.279	525.098	513.877	507.579	497.679	497.141
94	513.123	513.123	513.390	508.170	514.053	506.532	501.480	498.610	505.752	499.556	500.806	501.737
95	516.769	516.769	518.021	492.363	515.430	491.217	500.643	508.620	501.839	497.763	500.540	507.583
96	518.745	518.745	503.818	499.295	511.034	502.112	500.600	505.370	500.783	501.896	504.988	498.485
97	504.367	504.367	507.941	506.111	503.257	502.396	497.181	506.602	501.505	496.700	491.872	502.824
98	509.866	509.866	503.526	503.368	503.496	504.000	500.910	503.237	495.056	498.204	503.222	498.527
99	507.328	507.328	495.404	500.854	497.920	499.490	513.786	510.132	507.530	492.663	501.700	494.953
100	514.429	514.429	507.743	510.575	499.075	503.690	500.127	503.565	507.675	490.902	501.772	498.422
101	508.934	508.934	515.423	511.950	500.171	499.412	496.840	496.856	509.965	507.285	501.217	504.955
102	496.956	496.956	515.865	497.625	513.207	503.271	492.300	505.069	499.552	492.121	509.405	504.900
103	520.082	520.082	507.947	510.290	512.798	502.596	489.206	512.004	501.085	504.861	510.659	507.470
