 	Profile_Slice_1	Profile_Slice_2	Profile_Slice_3	Profile_Slice_4	Profile_Slice_5	Profile_Slice_6	Profile_Slice_7	Profile_Slice_8	Profile_Slice_9	Profile_Slice_10	Profile_Slice_11	Profile_Slice_12	Profile_Slice_13	Profile_Slice_14	Profile_Slice_15
50	186.569	179.308	182.346	183.400	177.908	185.564	179.443	184.056	179.113	181.922	187.324	184.609	182.483	176.486	181.739
51	182.565	183.676	181.177	180.433	176.244	181.498	175.323	177.935	182.682	182.202	182.367	183.978	184.457	177.176	176.910
52	180.612	181.713	176.299	180.513	180.594	185.182	180.948	185.352	187.040	184.993	181.776	187.515	189.402	178.135	176.044
53	185.555	179.796	173.556	183.245	175.300	184.045	178.872	188.129	194.056	179.476	183.876	191.256	184.904	172.757	177.664
54	184.681	184.393	176.232	180.047	179.594	186.546	182.591	183.108	187.162	176.155	187.127	185.999	184.894	180.094	177.768
55	187.715	188.240	177.489	179.400	178.677	182.405	180.415	182.224	182.781	179.065	182.519	182.149	184.086	178.178	178.188
56	185.250	187.371	174.122	181.153	178.449	184.645	179.479	182.724	177.610	181.486	184.085	180.451	185.606	175.226	181.385
57	183.256	176.361	182.612	181.701	180.089	187.079	188.198	182.578	181.895	181.235	183.576	179.762	186.095	179.550	179.086
58	179.199	186.538	183.337	187.780	173.823	179.109	185.904	184.299	183.494	186.206	182.056	182.911	189.888	178.604	179.327
59	184.277	180.749	183.110	187.458	173.044	182.746	184.980	180.410	188.434	185.297	182.168	180.402	182.661	181.415	186.212
60	181.192	177.872	182.308	181.389	177.424	182.013	184.225	181.873	192.058	180.634	179.554	178.961	182.755	182.812	176.103
61	184.893	181.824	175.522	183.491	177.559	181.550	181.828	182.422	180.995	183.940	178.729	179.051	189.992	184.684	173.723
62	185.687	184.894	177.274	178.427	176.551	185.530	186.125	186.602	180.247	186.885	177.656	181.653	189.990	187.337	179.562
63	185.169	184.893	183.275	182.093	179.864	189.891	180.527	184.305	186.307	183.793	186.477	181.327	188.585	185.690	186.029
64	182.835	183.234	186.705	185.132	177.087	193.482	179.533	182.091	183.149	180.170	182.162	187.841	184.619	185.733	184.422
65	185.626	179.475	182.547	186.313	177.365	185.820	181.754	180.549	183.684	179.066	182.166	182.870	182.261	184.546	182.457
66	187.636	183.321	185.857	179.103	176.688	185.932	184.143	182.835	181.242	185.045	184.284	181.005	185.590	184.146	184.354
67	187.598	188.201	178.602	175.130	179.307	183.160	177.932	180.155	176.688	183.168	181.296	181.093	182.139	185.483	183.267
68	188.431	187.724	184.664	176.979	178.306	194.190	179.025	185.852	182.545	185.834	179.117	183.490	188.110	182.264	185.018
69	185.876	179.069	181.681	181.781	180.242	184.366	178.760	185.153	181.811	189.528	181.902	183.355	190.270	182.589	184.413
70	188.255	176.078	183.524	183.659	181.302	188.057	178.420	188.007	180.862	193.852	182.076	183.024	188.749	185.069	189.815
71	196.793	181.255	179.850	180.880	179.791	189.743	183.194	184.339	181.998	186.553	187.957	187.769	188.009	188.020	187.831
72	191.119	182.773	183.011	183.728	180.448	183.592	188.665	187.833	181.312	182.322	186.829	183.547	184.390	188.930	185.209
73	189.478	182.231	180.500	179.151	178.354	183.353	185.072	182.716	183.941	185.807	187.612	181.438	187.504	184.126	183.237
74	184.573	186.126	180.030	183.814	182.792	185.619	183.100	184.730	185.032	190.600	187.070	182.863	182.795	182.467	181.942
75	184.878	185.003	183.220	182.236	178.161	182.032	184.444	184.733	182.239	189.645	183.812	182.602	185.445	188.948	182.746
76	190.202	187.738	185.541	184.411	177.360	186.369	185.527	185.463	186.300	187.858	184.628	185.621	189.053	188.319	180.781
77	191.571	183.061	183.279	178.226	177.933	187.251	185.902	185.980	186.113	184.832	182.828	188.428	186.333	181.342	179.624
78	199.465	185.305	187.985	181.262	177.899	180.591	187.307	186.411	180.026	184.663	183.997	186.976	186.942	184.793	183.076
79	193.571	185.955	180.049	178.931	178.157	187.391	186.149	189.578	182.345	183.086	188.118	187.308	179.725	182.162	182.339
80	190.979	186.378	181.954	180.483	184.837	184.779	183.085	187.178	184.252	188.589	185.297	183.529	181.014	181.771	186.186
81	192.758	185.667	185.062	180.987	182.153	183.962	185.967	183.058	184.508	186.844	189.709	190.420	187.809	179.446	185.192
82	192.857	183.141	179.697	180.535	178.326	181.866	187.170	177.450	184.313	181.534	186.494	186.413	191.036	175.971	188.648
83	199.689	185.276	183.420	180.784	179.251	182.283	185.785	180.748	178.501	184.638	189.625	187.868	185.650	177.109	195.000
84	207.244	186.649	180.953	178.818	177.351	182.508	180.728	181.260	181.488	184.799	185.211	179.175	181.133	173.581	197.360
85	204.091	181.336	183.249	182.206	178.919	184.911	184.584	181.258	184.161	187.953	181.699	181.165	187.482	175.787	195.345
86	208.016	186.612	180.651	182.616	183.043	180.661	186.399	183.320	185.350	183.473	187.766	183.980	188.371	178.107	196.153
87	204.394	181.443	183.322	177.514	178.100	181.405	180.569	190.073	187.107	184.937	180.522	185.678	186.883	177.380	192.144
88	200.789	180.667	177.734	179.487	177.641	183.287	183.524	181.813	178.296	186.086	184.272	178.380	189.067	185.778	190.676
89	197.350	183.383	183.466	179.429	175.538	189.012	182.104	182.677	187.169	183.888	182.164	181.878	182.440	183.934	190.986
90	192.884	185.161	181.466	181.094	173.109	184.742	182.948	178.737	182.723	182.201	179.562	178.997	183.525	184.351	187.610
91	196.837	181.638	181.292	177.348	172.575	184.010	185.353	184.869	184.907	184.581	177.825	179.753	183.814	186.158	188.059
92	200.856	179.953	176.624	174.025	178.292	176.979	177.899	179.374	181.083	182.585	178.818	180.273	183.006	190.793	186.506
93	200.963	180.189	178.227	183.123	182.425	184.572	180.915	182.828	181.994	179.360	181.030	182.823	187.284	183.235	185.537
94	194.773	176.927	178.794	177.940	182.199	183.114	183.299	181.689	176.022	173.523	186.580	187.626	185.309	185.899	188.158
95	193.334	184.146	181.427	183.301	178.701	183.003	181.781	186.340	180.751	181.266	186.688	184.770	180.452	191.688	186.123
96	191.218	184.834	180.949	183.142	179.727	179.143	184.290	180.417	183.993	182.074	179.230	184.595	180.289	191.673	195.234
97	191.296	188.327	180.270	179.557	177.917	187.343	180.106	177.391	182.995	180.495	187.060	177.267	178.792	193.467	191.604
98	196.018	176.766	176.817	176.104	173.009	187.685	175.653	180.622	178.826	173.533	183.669	182.495	183.218	194.156	192.515
99	200.443	176.343	177.562	183.057	177.684	185.964	180.360	187.167	182.980	177.311	182.795	179.044	181.755	193.556	195.363
100	193.764	181.632	178.633	180.930	177.371	185.624	183.322	184.653	183.185	178.975	179.574	181.045	183.825	191.090	197.603
101	188.688	181.458	181.726	176.938	174.386	180.746	186.261	177.572	178.737	177.810	173.891	181.392	185.292	189.184	190.620
102	186.487	179.124	180.060	182.104	172.893	183.001	182.426	181.878	178.800	177.483	179.464	183.295	184.878	187.114	187.073
103	187.380	183.075	182.833	178.554	179.367	183.047	183.449	182.803	182.791	181.359	184.772	184.762	188.124	188.813	187.696
