 	Profile_Slice_1	Profile_Slice_2	Profile_Slice_3	Profile_Slice_4	Profile_Slice_5	Profile_Slice_6	Profile_Slice_7	Profile_Slice_8	Profile_Slice_9
82	188.251	188.251	190.770	189.158	184.326	180.926	175.785	185.935	186.356
83	183.643	183.643	187.389	188.546	187.288	183.471	178.309	184.624	182.522
84	187.288	187.288	182.342	186.674	187.941	185.089	177.650	183.965	182.486
85	185.961	185.961	185.565	190.181	187.399	180.552	179.409	184.541	182.783
86	183.268	183.268	188.546	185.936	189.830	179.420	177.848	182.868	179.257
87	187.574	187.574	184.417	188.098	185.264	179.166	180.505	188.261	177.368
88	190.899	190.899	183.413	190.111	187.120	182.832	181.155	183.962	174.874
89	188.254	188.254	184.840	188.427	179.278	182.193	181.092	190.801	177.083
90	188.976	188.976	185.295	197.358	181.494	179.240	177.643	191.964	181.170
91	184.844	184.844	191.145	191.922	188.433	184.378	177.851	194.324	180.301
92	189.544	189.544	197.924	185.590	189.968	180.287	179.770	193.376	176.501
93	187.842	187.842	190.898	185.861	187.667	186.484	187.890	190.948	179.802
94	186.993	186.993	188.293	187.655	184.532	188.238	180.344	188.592	177.365
95	188.825	188.825	188.876	188.642	185.862	183.397	174.172	195.473	180.487
96	189.124	189.124	194.185	187.133	183.129	181.300	179.617	195.655	179.435
97	194.842	194.842	190.888	193.489	186.396	185.458	175.211	188.402	184.554
98	191.955	191.955	190.443	186.113	177.898	184.361	177.057	195.403	179.425
99	188.322	188.322	195.341	189.288	184.616	179.524	176.948	187.801	184.671
100	189.741	189.741	191.073	185.312	184.133	178.273	174.198	188.931	183.335
101	187.949	187.949	191.731	184.473	185.788	179.118	180.820	185.778	183.852
102	187.119	187.119	192.132	183.105	183.984	179.345	184.336	188.192	175.517
103	189.259	189.259	195.503	180.803	183.486	181.172	187.399	187.411	178.175
104	189.851	189.851	185.429	188.717	186.793	182.490	183.139	185.276	175.986
105	185.465	185.465	186.448	186.946	182.044	179.362	184.073	189.183	177.032
106	185.830	185.830	188.999	183.433	185.364	178.105	182.176	189.207	175.656
107	184.377	184.377	180.395	181.128	179.887	179.360	186.670	183.749	172.229
108	193.983	193.983	184.655	181.536	179.604	178.090	188.719	186.866	172.978
109	195.447	195.447	187.029	178.999	177.182	175.173	180.503	189.328	175.574
110	189.013	189.013	183.907	180.986	181.118	182.591	185.870	190.055	175.738
111	191.107	191.107	186.573	181.098	181.146	183.585	185.732	183.131	178.039
112	186.475	186.475	180.394	180.455	181.786	180.295	185.258	182.717	174.384
113	190.703	190.703	186.573	183.958	183.937	174.973	186.770	189.742	180.629
114	193.828	193.828	186.328	175.986	181.627	180.943	188.561	183.303	179.133
115	184.046	184.046	183.333	179.415	180.538	182.113	186.394	182.088	177.362
116	183.469	183.469	177.313	178.201	182.522	179.081	185.863	181.821	171.727
117	184.485	184.485	178.941	177.758	183.979	180.774	184.564	182.243	176.566
118	184.803	184.803	181.900	183.741	177.276	177.661	189.687	179.618	177.777
119	189.273	189.273	184.933	181.063	179.198	176.843	183.997	183.269	175.794
120	188.382	188.382	179.772	180.361	183.322	178.367	183.539	182.704	172.926
121	188.812	188.812	179.072	181.721	179.628	178.152	181.389	184.039	178.157
122	188.555	188.555	177.861	181.869	184.756	180.940	185.829	179.070	174.759
123	184.922	184.922	179.456	179.788	184.132	180.676	183.847	175.507	180.436
124	188.388	188.388	176.623	177.138	186.094	177.898	177.965	180.319	175.384
125	182.564	182.564	174.890	181.485	178.173	179.883	180.647	178.061	177.983
126	189.848	189.848	179.875	184.681	177.295	181.971	174.384	176.425	181.810
127	187.601	187.601	175.696	179.823	173.702	178.712	177.092	173.922	177.820
128	181.833	181.833	173.721	176.432	170.590	174.254	171.620	177.489	181.200
129	177.462	177.462	178.845	182.858	174.009	172.778	171.068	170.196	176.725
130	176.802	176.802	175.540	179.679	169.003	172.925	166.276	166.176	176.292
131	176.056	176.056	173.997	178.426	169.795	167.754	166.669	171.609	174.363
132	171.924	171.924	180.463	176.059	169.120	169.410	165.500	170.238	173.596
133	173.119	173.119	172.318	173.837	169.693	166.948	165.539	168.512	171.138
134	169.220	169.220	167.346	171.327	168.425	166.890	167.699	169.619	173.978
135	172.797	172.797	169.709	168.656	165.432	169.218	166.057	167.052	172.457
136	170.058	170.058	164.941	167.237	162.688	166.527	168.941	163.722	177.394
137	172.750	172.750	170.185	171.346	161.200	163.742	167.411	167.278	176.838
138	162.546	162.546	167.212	168.944	157.733	160.666	165.182	165.004	176.253
139	167.808	167.808	165.854	168.769	163.522	163.124	167.083	164.407	177.242
140	166.495	166.495	167.534	169.817	161.039	170.447	169.418	169.724	176.101
141	167.134	167.134	169.865	167.383	164.216	173.910	163.036	166.518	179.259
142	163.496	163.496	172.916	165.792	162.403	170.809	167.016	165.281	177.841
143	168.043	168.043	167.666	164.954	166.217	175.018	166.678	169.317	178.350
144	162.693	162.693	169.319	166.504	170.604	181.873	166.937	166.920	179.826
145	159.252	159.252	167.261	163.743	169.917	174.667	174.498	168.866	178.322
146	163.058	163.058	165.174	163.849	174.391	176.988	178.112	173.906	188.075
147	165.137	165.137	169.250	166.392	176.951	179.122	177.794	184.655	182.066
148	160.953	160.953	164.732	168.411	177.770	179.397	180.460	177.209	185.142
149	163.968	163.968	171.905	177.046	179.684	179.608	178.350	180.208	175.432
150	163.118	163.118	166.499	171.289	181.680	181.473	185.158	179.569	173.743
151	165.299	165.299	169.387	170.152	177.735	180.812	180.804	174.540	184.343
152	166.202	166.202	170.078	175.954	178.054	178.873	182.728	183.683	184.071
153	171.403	171.403	173.723	172.042	174.724	179.024	180.115	179.192	183.569
154	178.356	178.356	175.463	176.316	174.779	183.212	182.228	178.390	176.296
155	177.017	177.017	177.264	179.552	176.496	184.286	184.943	177.536	178.918
156	171.992	171.992	177.124	178.690	174.007	182.805	183.057	175.843	178.905
157	175.993	175.993	182.295	179.498	176.801	186.810	183.455	178.843	177.531
158	173.019	173.019	178.060	182.170	180.103	179.553	181.887	177.350	179.974
159	179.431	179.431	181.296	181.151	173.986	180.775	177.594	174.210	187.736
160	177.327	177.327	179.791	179.635	176.683	177.260	178.825	174.630	178.945
161	176.147	176.147	177.014	179.359	173.407	185.326	178.570	177.461	179.720
162	180.347	180.347	176.955	176.724	176.082	171.456	178.798	176.922	179.200
163	179.090	179.090	176.157	180.011	173.032	175.153	172.881	176.331	171.358
164	178.090	178.090	179.218	178.277	177.569	172.040	173.512	177.779	174.536
165	176.959	176.959	172.850	173.682	170.249	173.842	180.427	176.394	175.657
166	175.265	175.265	172.744	176.020	170.745	173.677	177.455	176.274	179.239
