 	Profile_Slice_1	Profile_Slice_2	Profile_Slice_3	Profile_Slice_4	Profile_Slice_5	Profile_Slice_6	Profile_Slice_7	Profile_Slice_8	Profile_Slice_9	Profile_Slice_10	Profile_Slice_11	Profile_Slice_12	Profile_Slice_13	Profile_Slice_14	Profile_Slice_15
1	439.945	439.945	459.625	465.167	460.474	458.865	455.896	462.400	453.446	459.398	460.613	461.165	449.824	462.669	472.749
2	440.507	440.507	447.449	458.495	461.559	450.308	464.418	449.829	461.662	466.126	460.351	449.691	453.719	463.014	466.164
3	440.316	440.316	446.440	443.653	460.807	459.777	450.738	454.834	460.583	459.742	445.139	455.048	460.339	455.145	461.286
4	431.319	431.319	452.384	461.197	456.588	459.085	447.665	452.711	456.841	455.361	463.455	451.582	471.701	455.755	467.807
5	433.707	433.707	450.252	448.745	450.227	445.546	458.637	461.148	447.897	456.912	462.717	453.421	454.928	465.093	455.785
6	436.605	436.605	450.616	449.732	449.674	458.411	445.026	460.192	458.026	450.876	465.332	459.204	456.339	462.813	457.759
7	439.219	439.219	450.793	459.447	454.100	455.708	448.828	464.402	459.105	458.612	463.880	453.218	458.839	461.837	457.430
8	447.556	447.556	445.216	450.660	456.430	451.451	453.472	470.410	454.360	458.841	464.047	453.926	449.717	451.597	465.799
9	443.698	443.698	440.290	455.224	464.107	455.110	457.576	457.617	462.207	453.859	454.928	449.167	452.199	462.849	450.155
10	442.555	442.555	441.217	457.584	461.019	458.249	456.807	444.780	462.526	456.545	463.753	454.421	461.935	461.025	462.128
11	443.711	443.711	446.374	454.954	452.720	460.953	454.850	461.616	460.446	454.135	463.616	450.689	457.391	454.465	470.314
12	448.485	448.485	456.636	461.276	458.158	459.251	449.608	459.080	446.400	456.575	462.114	454.045	463.966	463.668	469.696
13	441.021	441.021	460.091	462.429	452.514	456.425	465.572	457.903	447.596	460.907	453.245	452.925	451.145	455.842	447.474
14	445.260	445.260	453.233	462.608	458.868	455.310	467.215	464.213	444.737	459.196	468.002	458.014	451.312	454.501	450.088
15	441.449	441.449	457.234	461.756	458.366	453.376	455.396	456.698	448.840	461.719	467.129	462.144	465.887	447.936	456.409
16	445.202	445.202	453.906	463.422	452.632	460.716	454.568	449.353	459.380	451.073	454.239	461.751	458.289	460.716	456.369
17	431.072	431.072	452.065	448.150	463.513	471.283	456.831	456.258	456.524	459.569	460.136	466.483	454.075	463.076	466.445
18	442.419	442.419	455.957	444.835	467.210	462.760	467.437	452.111	464.362	455.480	463.719	467.725	465.849	467.035	450.929
19	438.310	438.310	460.544	457.811	445.712	454.714	462.094	458.335	472.898	468.643	458.492	459.785	460.675	454.995	463.017
20	428.247	428.247	464.886	447.116	455.915	454.486	457.976	456.272	471.437	463.269	459.400	459.996	459.123	455.639	459.141
21	441.836	441.836	440.010	449.299	465.845	451.637	458.402	450.095	457.214	466.404	453.641	454.303	463.041	465.357	466.070
22	439.480	439.480	449.427	458.127	461.410	467.845	459.541	455.285	463.193	465.018	455.915	452.365	463.643	455.390	463.341
23	449.009	449.009	454.302	455.381	455.378	468.038	454.942	455.140	465.733	465.456	457.329	452.422	457.540	457.563	459.067
24	449.231	449.231	462.954	462.834	467.164	465.804	458.490	449.185	468.203	468.036	448.493	460.681	456.980	470.029	459.042
