 	Profile_Slice_1	Profile_Slice_2	Profile_Slice_3	Profile_Slice_4	Profile_Slice_5	Profile_Slice_6	Profile_Slice_7	Profile_Slice_8	Profile_Slice_9
170	320.395	320.024	318.603	320.395	334.957	375.235	345.458	339.959	333.581
171	298.918	313.454	307.944	298.918	298.514	343.431	348.151	317.900	313.368
172	297.519	338.370	332.677	297.519	303.804	340.196	349.755	338.764	325.086
173	352.180	362.296	346.912	352.180	334.676	321.324	322.802	328.960	314.466
174	323.245	336.210	345.836	323.245	294.900	338.087	340.167	330.259	315.218
175	307.000	330.701	316.495	307.000	310.910	322.453	335.474	323.434	335.863
176	305.757	330.610	335.132	305.757	297.429	326.433	326.684	323.922	332.132
177	305.206	318.420	366.552	305.206	283.985	318.846	328.087	300.257	334.561
178	300.390	315.287	333.863	300.390	283.789	338.836	341.324	334.310	351.597
179	302.819	296.562	342.050	302.819	307.389	312.260	339.844	316.099	357.028
180	298.540	326.743	313.689	298.540	293.221	325.357	332.681	322.283	343.392
181	324.068	354.693	313.072	324.068	296.560	353.833	314.522	304.811	331.788
182	332.617	310.671	305.984	332.617	292.493	340.067	356.216	331.058	327.328
183	309.971	328.343	301.187	309.971	282.255	321.806	371.959	305.769	325.051
184	301.523	332.411	294.896	301.523	283.661	315.112	335.800	303.776	313.755
185	318.334	307.931	322.521	318.334	312.562	309.321	317.525	310.718	324.826
186	287.947	331.676	302.699	287.947	283.284	330.779	301.560	328.833	333.035
187	274.944	320.571	298.119	274.944	309.319	349.652	332.600	328.453	285.187
188	316.685	294.835	318.766	316.685	288.548	320.386	353.423	336.436	302.569
189	309.169	290.564	321.959	309.169	293.431	328.062	350.447	324.922	307.876
190	290.972	289.257	302.664	290.972	285.654	316.048	320.611	325.408	308.998
191	282.263	272.465	295.895	282.263	278.936	335.297	323.810	323.081	307.883
192	292.358	299.230	302.114	292.358	274.015	321.914	358.468	341.828	336.585
193	303.159	297.892	303.897	303.159	288.617	310.384	327.072	352.610	315.766
194	271.026	286.689	299.408	271.026	277.743	311.440	315.097	321.731	299.095
195	282.001	277.963	295.871	282.001	284.205	329.583	311.844	303.664	294.393
196	267.055	290.520	320.032	267.055	293.729	313.361	315.585	326.415	324.843
197	288.041	304.538	303.292	288.041	274.382	313.827	311.501	324.756	307.406
198	306.775	288.081	292.134	306.775	271.811	322.298	326.177	306.193	287.333
199	293.583	289.949	301.603	293.583	263.796	351.933	314.817	313.341	320.457
200	284.000	311.000	298.000	284.000	274.000	307.000	332.000	325.000	288.000
