 	Profile_Slice_1	Profile_Slice_2	Profile_Slice_3	Profile_Slice_4	Profile_Slice_5	Profile_Slice_6	Profile_Slice_7	Profile_Slice_8	Profile_Slice_9	Profile_Slice_10	Profile_Slice_11	Profile_Slice_12	Profile_Slice_13	Profile_Slice_14	Profile_Slice_15	Profile_Slice_16	Profile_Slice_17
1	194.762	194.762	194.772	185.004	193.120	189.969	195.899	192.107	189.703	194.090	191.871	193.561	195.469	199.957	192.647	198.471	194.415
2	194.224	194.224	193.962	198.577	192.626	191.584	196.317	193.283	193.922	198.665	199.554	198.068	202.385	198.486	198.400	195.506	198.353
3	192.073	192.073	197.710	199.252	187.626	190.970	197.398	197.182	190.495	202.163	193.756	201.986	197.820	193.912	199.321	196.672	195.081
4	189.881	189.881	202.576	195.363	188.900	192.974	203.243	192.912	193.497	192.018	195.963	198.303	195.545	194.999	202.215	198.162	194.600
5	194.163	194.163	199.452	194.848	188.109	191.162	197.968	193.745	195.685	190.990	195.065	196.474	201.555	193.542	195.561	193.740	190.309
6	198.906	198.906	198.630	194.696	197.126	188.112	192.936	192.903	193.476	189.170	189.639	195.777	195.269	194.317	193.888	198.282	196.495
7	197.043	197.043	197.519	196.246	198.228	190.606	196.245	192.032	194.282	193.518	191.929	195.870	190.378	198.930	195.692	195.861	190.083
8	196.074	196.074	197.908	195.582	195.182	189.148	199.308	189.054	196.437	191.255	193.301	202.279	189.324	198.287	195.289	199.285	193.016
9	198.160	198.160	199.157	195.020	196.487	192.511	199.292	191.101	191.566	193.100	194.406	200.367	194.013	196.713	195.199	194.201	189.867
10	193.999	193.999	197.468	192.438	193.751	194.246	200.715	189.487	191.503	195.782	192.402	192.761	193.372	193.536	195.450	196.522	189.591
11	197.065	197.065	198.506	196.944	196.567	197.451	197.618	185.576	188.694	196.305	188.315	189.297	190.792	193.748	199.612	199.818	188.842
12	205.726	205.726	196.272	201.021	193.786	191.154	197.876	185.852	190.682	191.686	190.013	185.921	189.957	193.865	197.484	198.389	190.698
13	207.286	207.286	197.868	193.546	192.385	191.201	203.598	177.635	190.919	192.412	184.300	184.198	190.862	196.585	195.036	196.524	194.941
14	197.613	197.613	201.326	193.298	195.002	196.296	200.892	180.969	191.588	191.305	188.341	190.202	191.127	198.024	191.164	195.573	194.572
15	197.242	197.242	197.707	195.840	196.235	194.183	203.287	184.649	190.971	188.630	188.892	186.610	195.619	196.781	192.813	190.160	191.100
16	198.149	198.149	193.963	203.663	190.969	195.753	197.541	183.959	187.084	186.821	184.182	182.259	190.040	193.974	193.391	192.934	193.105
17	200.173	200.173	194.445	201.101	195.918	199.199	196.803	180.424	187.332	188.278	184.544	188.975	191.276	188.078	192.152	190.692	197.297
18	195.671	195.671	196.118	198.184	195.725	195.163	198.314	185.771	186.417	181.471	183.414	185.667	192.691	191.467	189.866	189.544	186.416
19	198.169	198.169	200.566	200.657	196.029	198.357	201.830	183.356	185.512	182.854	189.738	188.776	187.733	192.306	196.206	194.827	190.873
20	192.123	192.123	199.933	192.552	198.327	199.372	200.441	182.466	182.724	180.786	188.195	188.869	191.957	191.232	193.503	188.929	188.426
21	194.359	194.359	195.689	189.339	198.475	200.917	195.830	178.469	182.180	180.841	186.571	190.493	186.334	187.729	187.186	182.955	182.671
22	186.239	186.239	195.031	188.444	200.323	194.439	197.484	183.639	183.953	184.218	186.826	187.076	192.468	189.629	186.896	190.891	183.083
23	192.488	192.488	189.262	191.215	201.143	197.266	200.798	179.765	185.321	184.179	182.028	197.001	188.492	187.528	184.390	191.468	184.820
24	195.380	195.380	192.165	196.300	203.564	193.920	197.505	177.550	184.797	182.821	181.227	190.198	187.463	191.204	187.818	189.380	186.624
25	191.907	191.907	195.286	195.429	201.304	191.572	195.260	177.031	185.667	181.329	181.771	189.618	186.847	186.931	187.192	181.767	180.006
26	192.299	192.299	199.498	195.013	195.301	197.819	198.936	175.145	186.313	190.566	183.878	191.688	188.853	183.639	183.385	185.235	181.665
27	184.856	184.856	193.696	193.351	192.665	201.521	202.487	175.664	185.147	177.239	183.554	193.899	185.011	180.811	184.019	183.228	185.868
28	189.895	189.895	195.390	194.424	194.093	197.115	203.459	180.815	184.561	179.981	182.414	197.538	182.249	181.979	180.242	184.475	191.118
29	192.959	192.959	190.022	193.687	198.181	193.183	201.139	179.163	184.861	179.655	182.696	193.339	184.366	186.641	185.810	179.505	184.570
30	192.386	192.386	185.586	195.430	192.166	191.889	195.241	179.991	178.956	182.537	180.151	181.474	189.836	179.869	185.222	184.581	180.229
31	188.863	188.863	182.715	197.232	199.879	194.127	198.125	173.745	178.810	181.718	173.571	182.473	187.269	178.823	187.110	180.697	178.607
32	191.576	191.576	187.369	193.256	196.679	199.438	197.033	169.366	180.874	175.406	179.077	182.508	180.772	188.267	181.239	182.878	180.087
33	188.637	188.637	191.082	193.778	198.764	196.071	199.109	174.001	179.060	178.421	181.528	180.434	177.108	186.202	186.651	180.086	182.354
34	188.433	188.433	195.961	199.571	199.229	194.831	205.176	174.638	177.811	182.281	185.386	183.692	181.687	188.746	174.911	180.950	180.285
