 	Profile_Slice_1	Profile_Slice_2	Profile_Slice_3	Profile_Slice_4	Profile_Slice_5	Profile_Slice_6	Profile_Slice_7	Profile_Slice_8	Profile_Slice_9	Profile_Slice_10	Profile_Slice_11
68	509.869	509.869	531.511	529.541	536.912	539.343	539.928	532.309	520.918	536.343	532.564
69	495.623	495.623	524.652	526.351	535.600	522.359	520.853	540.832	533.442	527.890	533.074
70	502.913	502.913	511.584	509.930	523.203	511.235	514.990	521.326	525.666	514.063	509.742
71	464.193	464.193	490.218	497.157	501.220	510.113	512.160	511.075	493.495	500.466	506.220
72	458.931	458.931	502.581	505.453	503.364	516.531	516.009	491.435	493.883	500.845	495.532
73	464.157	464.157	475.390	490.658	473.293	493.909	504.405	482.423	501.533	495.159	483.660
74	457.641	457.641	458.927	474.431	484.294	492.461	490.976	489.483	484.699	492.060	483.872
75	440.981	440.981	467.449	460.421	469.618	470.967	482.725	463.268	483.472	470.081	467.675
76	422.477	422.477	455.242	475.034	455.428	474.459	476.468	446.595	470.904	458.285	463.331
77	430.423	430.423	453.687	459.635	457.142	471.327	467.986	461.583	459.271	464.643	447.023
78	415.138	415.138	437.860	447.542	445.053	457.760	443.568	448.830	456.161	451.643	432.510
79	409.808	409.808	423.203	432.738	443.629	447.476	439.702	440.148	438.641	444.084	434.996
80	396.588	396.588	425.591	441.113	434.898	438.295	441.390	428.938	444.852	448.860	430.402
81	382.621	382.621	413.361	422.175	424.097	426.899	432.000	421.319	433.343	436.596	424.402
82	380.559	380.559	398.878	428.773	405.552	414.041	420.644	429.114	430.642	422.511	411.431
83	369.734	369.734	401.868	403.381	405.179	400.826	399.485	411.508	416.903	415.287	393.021
84	367.831	367.831	382.236	395.157	401.147	402.624	396.810	399.958	404.065	413.497	396.950
85	360.138	360.138	374.869	394.512	382.366	390.005	387.061	390.373	402.479	402.544	396.564
86	351.733	351.733	376.456	385.216	385.614	390.499	375.540	408.441	402.384	385.894	378.465
87	356.272	356.272	371.848	366.728	383.923	372.433	379.143	390.051	384.851	382.169	378.339
88	355.013	355.013	361.046	366.791	375.184	368.399	375.804	370.085	374.300	371.580	372.488
89	346.379	346.379	350.610	357.224	360.598	362.298	362.187	367.713	372.985	378.661	368.823
90	337.590	337.590	345.418	354.471	358.271	349.105	361.560	358.499	361.331	368.536	364.122
91	317.296	317.296	334.969	343.389	347.900	355.982	358.232	348.436	363.444	366.723	354.433
92	322.820	322.820	342.826	344.442	351.839	349.710	346.997	340.250	343.834	359.881	352.519
93	316.752	316.752	328.447	336.699	343.863	341.170	324.100	336.443	342.008	347.678	351.749
94	324.446	324.446	322.447	334.014	338.330	335.725	335.687	339.222	341.752	343.112	349.476
95	316.954	316.954	324.953	332.919	325.499	328.649	332.601	333.126	340.658	339.738	344.441
96	309.725	309.725	315.416	337.294	315.872	329.589	316.794	333.633	321.995	339.547	321.294
97	300.264	300.264	320.072	321.188	323.810	323.610	310.540	321.459	323.589	331.393	318.236
98	296.539	296.539	317.274	312.932	320.978	325.509	300.787	313.956	324.212	331.423	310.030
99	295.543	295.543	307.356	305.690	314.161	315.703	313.509	305.002	310.768	327.444	306.131
100	299.366	299.366	307.013	304.673	298.956	317.115	314.264	311.207	312.153	330.220	312.907
101	281.674	281.674	301.970	307.874	297.423	306.050	314.076	310.007	307.211	322.227	306.613
102	274.559	274.559	296.405	297.840	294.101	305.455	303.574	306.572	298.679	306.786	302.210
103	279.023	279.023	296.018	298.076	298.597	307.806	290.279	302.365	300.448	301.849	297.448
104	273.497	273.497	296.028	289.207	289.178	292.079	294.938	295.845	289.966	295.301	295.488
105	270.642	270.642	281.388	285.279	282.639	283.190	291.012	288.229	286.657	288.078	302.694
106	260.298	260.298	290.273	280.648	288.879	282.524	292.230	290.292	288.724	295.734	297.887
107	273.176	273.176	290.388	283.124	273.777	282.055	275.818	286.557	283.890	289.218	290.186
108	265.960	265.960	287.867	284.287	287.826	273.443	281.051	283.563	288.019	282.421	283.030
109	265.255	265.255	276.950	285.442	284.930	281.692	279.099	295.996	293.355	287.744	274.611
110	259.836	259.836	273.289	265.699	281.172	277.150	276.607	276.631	279.652	286.777	275.961
111	256.024	256.024	272.253	267.024	271.030	273.993	265.798	272.877	271.181	279.018	274.043
112	253.267	253.267	270.186	260.572	268.065	268.149	267.994	269.320	272.036	274.925	272.671
113	253.713	253.713	272.163	252.476	264.611	257.180	259.548	272.418	270.256	267.615	269.865
114	245.414	245.414	261.405	251.404	261.829	261.037	263.488	268.623	266.828	276.192	262.563
115	254.887	254.887	253.319	258.718	264.014	256.528	270.748	271.708	269.330	269.981	263.293
116	249.834	249.834	252.049	258.884	249.465	264.989	263.816	259.955	266.684	266.793	262.780
117	249.721	249.721	242.572	258.027	253.553	261.782	251.039	268.372	260.861	263.480	261.468
118	239.583	239.583	248.782	263.597	254.780	257.907	247.264	256.100	272.106	254.767	259.709
119	246.145	246.145	247.662	255.842	261.000	252.938	254.147	258.740	259.816	257.791	263.096
120	240.954	240.954	249.856	253.699	253.290	247.337	252.851	255.072	257.122	245.281	255.654
121	236.849	236.849	241.430	242.026	245.119	243.549	254.546	251.228	254.347	247.964	247.435
122	242.295	242.295	245.361	244.523	251.222	241.874	247.583	248.306	250.695	242.254	248.697
123	234.598	234.598	255.861	245.765	242.535	244.059	240.906	238.611	250.199	249.034	255.457
124	230.816	230.816	240.658	243.965	241.793	234.688	238.242	251.876	247.345	251.722	254.182
125	236.572	236.572	237.488	248.202	243.385	239.600	238.065	242.201	244.844	250.843	240.460
126	233.273	233.273	238.815	233.995	236.820	237.480	236.228	247.933	250.084	240.174	243.022
127	233.880	233.880	241.246	236.204	242.999	239.544	240.375	238.561	250.536	245.696	234.855
128	224.083	224.083	239.146	240.862	241.519	236.787	239.212	242.775	238.092	233.779	238.655
129	224.283	224.283	239.078	227.302	240.159	242.362	237.544	244.539	234.543	242.917	245.258
130	218.721	218.721	245.139	232.597	231.725	233.255	235.432	244.559	234.339	240.398	235.561
131	219.536	219.536	235.094	227.995	226.841	225.233	243.029	238.561	239.140	236.967	234.543
132	223.566	223.566	226.471	230.034	231.293	227.469	230.827	240.627	229.211	232.695	240.308
133	231.275	231.275	226.855	222.420	235.564	232.228	226.450	231.817	231.933	236.101	237.878
134	216.074	216.074	231.556	225.510	230.010	231.491	226.123	228.993	236.727	230.714	227.288
135	216.058	216.058	228.571	229.017	228.108	228.076	224.090	226.487	225.549	233.046	220.856
136	223.224	223.224	228.906	227.612	232.752	227.335	220.758	234.933	214.121	237.825	223.466
137	218.550	218.550	234.057	230.195	229.315	228.374	225.628	224.730	221.022	230.243	228.613
138	226.097	226.097	221.751	223.048	222.692	218.600	217.749	225.822	221.807	227.037	223.982
139	222.480	222.480	217.386	223.025	225.389	212.336	219.581	220.451	224.052	226.440	219.848
140	216.585	216.585	219.034	218.159	225.260	225.391	226.430	230.069	222.244	221.359	224.858
141	221.010	221.010	219.926	217.383	222.997	217.535	216.436	221.462	215.085	226.534	219.967
142	209.186	209.186	215.500	218.789	219.044	215.354	210.863	216.948	215.861	223.112	220.997
143	209.001	209.001	213.774	217.106	219.239	216.174	216.115	217.996	222.217	213.566	234.491
144	211.484	211.484	222.726	216.281	221.878	223.129	211.009	222.255	214.116	221.696	218.909
145	214.706	214.706	208.757	219.167	213.001	220.984	215.899	220.182	213.382	219.349	219.232
146	208.125	208.125	209.892	222.685	215.673	217.394	218.360	217.697	222.075	209.144	222.107
147	211.071	211.071	208.535	213.815	214.555	221.733	210.142	213.749	207.222	212.533	214.020
148	204.626	204.626	213.885	216.350	215.214	212.279	216.169	221.773	219.477	216.561	219.799
149	203.291	203.291	208.593	218.413	216.887	204.793	216.768	217.126	218.216	218.575	209.827
150	202.862	202.862	204.778	212.448	209.578	202.940	206.998	213.835	211.524	217.511	206.958
151	199.671	199.671	209.036	210.502	212.149	213.255	215.203	215.212	215.108	225.761	211.222
152	200.167	200.167	218.683	207.030	207.654	213.034	213.097	212.100	208.617	212.839	213.739
153	199.041	199.041	209.846	213.691	207.939	206.718	211.196	211.303	213.068	207.415	213.793
154	197.118	197.118	208.011	209.323	213.964	209.056	204.160	215.603	211.946	210.760	210.312
155	199.590	199.590	207.846	200.685	216.854	209.336	199.971	209.826	207.279	214.404	211.158
