 	Profile_Slice_1	Profile_Slice_2	Profile_Slice_3	Profile_Slice_4	Profile_Slice_5	Profile_Slice_6	Profile_Slice_7	Profile_Slice_8	Profile_Slice_9	Profile_Slice_10
1	279.000	279.000	282.000	261.000	260.000	253.000	274.000	265.000	290.000	299.000
2	289.557	289.557	260.796	261.004	281.385	263.943	279.377	269.970	275.226	280.244
3	276.437	276.437	259.897	272.305	272.806	293.567	277.737	262.713	281.493	255.724
4	289.008	289.008	253.827	282.694	265.903	291.032	305.107	280.812	300.842	288.293
5	308.189	308.189	266.441	266.347	272.152	275.940	301.935	293.959	275.134	275.358
6	313.113	313.113	331.410	313.147	277.899	300.971	299.880	276.299	260.864	269.299
7	313.079	313.079	300.937	290.393	296.016	281.556	277.012	275.956	277.841	280.135
8	289.128	289.128	287.217	273.630	276.523	293.115	265.451	289.073	285.320	287.339
9	282.314	282.314	302.409	274.400	251.765	296.767	286.466	307.684	307.093	298.626
10	288.455	288.455	296.589	281.536	253.812	297.125	307.554	298.964	289.277	283.580
11	307.080	307.080	288.351	284.552	272.578	277.776	245.179	299.419	292.158	301.710
12	283.795	283.795	287.361	257.797	265.036	272.238	260.625	279.930	272.756	272.682
13	261.413	261.413	282.317	244.952	256.635	278.317	243.016	281.683	266.381	270.016
14	271.375	271.375	287.985	270.118	269.175	280.925	267.344	295.559	284.194	298.614
15	276.769	276.769	287.988	270.083	260.880	276.099	282.559	278.293	275.052	282.142
16	285.817	285.817	277.526	258.409	228.959	254.256	292.212	263.195	302.307	292.728
17	262.758	262.758	269.272	252.330	257.236	276.450	263.707	260.841	251.249	269.007
18	250.814	250.814	287.370	257.758	257.699	273.780	254.721	269.339	256.998	256.964
19	275.643	275.643	277.893	266.679	266.679	269.964	262.536	282.964	294.000	256.679
20	262.378	262.378	261.778	281.100	257.065	270.096	260.182	292.395	282.506	268.809
21	268.413	268.413	241.690	253.469	253.859	278.113	266.642	278.952	268.771	246.236
22	261.938	261.938	281.306	268.125	261.826	272.007	278.556	272.125	275.312	252.125
23	260.571	260.571	298.349	285.871	267.195	244.565	261.358	266.211	283.362	265.314
24	255.383	255.383	263.656	264.692	276.753	277.848	278.818	262.730	261.366	251.069
25	240.238	240.238	246.508	261.937	275.079	283.159	265.413	238.413	246.333	237.698
26	284.212	284.212	245.947	263.997	281.132	277.039	277.755	287.847	250.808	249.747
27	280.505	280.505	272.821	275.543	255.797	240.971	283.715	299.694	246.802	246.526
28	301.696	301.696	257.464	313.107	274.848	249.679	289.027	249.411	273.402	258.821
29	273.333	273.333	279.370	278.407	253.864	248.247	268.469	252.667	244.778	249.111
30	277.071	277.071	281.259	240.527	245.632	260.273	263.665	253.030	243.835	238.846
31	281.671	281.671	272.833	259.425	255.746	269.734	265.353	260.683	275.881	235.687
32	265.559	265.559	273.073	263.674	245.527	258.518	306.344	238.371	271.811	257.582
33	256.437	256.437	279.718	270.085	267.663	264.981	290.848	257.358	265.843	249.723
34	275.076	275.076	266.918	271.570	265.449	269.360	283.707	253.190	256.040	252.078
35	288.370	288.370	262.572	273.340	262.988	256.057	295.701	238.011	244.784	258.856
36	270.541	270.541	262.297	256.648	261.596	272.253	269.049	256.971	238.642	236.879
37	282.286	282.286	251.857	273.714	264.429	250.286	267.000	262.714	237.000	237.714
38	286.924	286.924	278.952	273.330	264.533	269.443	254.614	251.314	251.826	227.456
39	253.492	253.492	262.702	262.961	260.104	260.846	253.279	253.362	261.689	242.063
40	244.796	244.796	257.562	257.947	260.432	236.102	260.495	255.027	266.494	247.425
41	260.390	260.390	259.164	268.977	257.531	241.316	254.485	251.423	258.118	257.869
42	248.805	248.805	253.639	257.693	265.278	242.044	237.533	228.329	223.530	234.662
43	285.278	285.278	256.472	244.250	258.194	229.194	260.722	249.250	233.306	248.944
44	258.139	258.139	261.656	260.528	272.070	243.300	257.532	248.766	256.909	240.010
