 	Profile_Slice_1	Profile_Slice_2	Profile_Slice_3	Profile_Slice_4	Profile_Slice_5	Profile_Slice_6	Profile_Slice_7	Profile_Slice_8
92	648.175	687.130	680.314	674.504	634.079	639.309	658.248	663.114
93	662.868	700.007	689.407	669.804	655.725	659.567	667.064	668.245
94	661.568	732.061	721.015	696.232	667.038	684.045	683.686	677.187
95	678.221	738.195	725.973	711.966	686.074	712.916	681.799	695.997
96	688.399	770.316	732.387	727.162	701.330	714.901	695.269	723.829
97	719.951	785.136	757.491	758.194	705.690	753.078	736.676	730.916
98	712.258	806.867	773.790	760.602	706.841	767.175	723.873	744.441
99	746.621	813.451	760.647	792.001	725.910	777.077	764.733	769.624
100	769.564	829.170	797.757	830.351	754.720	797.018	780.752	788.411
101	804.045	847.548	834.726	829.573	774.093	816.703	791.623	810.984
102	799.304	870.575	854.983	840.741	793.761	825.774	813.346	805.593
103	818.275	910.849	876.003	868.559	841.629	866.239	821.741	838.186
104	838.653	919.718	903.688	888.155	858.311	871.948	850.346	848.194
105	864.962	940.350	927.792	906.536	877.404	903.192	881.475	893.046
106	884.785	970.673	942.300	965.466	910.783	939.452	909.179	909.483
107	885.759	999.778	991.824	976.532	914.218	943.052	927.809	943.590
108	928.518	1033.776	996.342	1009.387	950.854	983.421	956.878	973.281
109	971.678	1058.563	1025.915	1050.212	984.507	1021.211	996.512	992.983
110	997.636	1075.443	1063.496	1069.187	1006.378	1030.435	1001.172	1029.714
111	1021.008	1103.546	1083.880	1117.754	1029.349	1084.663	1051.034	1066.674
112	1043.031	1163.721	1131.666	1132.706	1102.561	1110.356	1092.395	1099.814
113	1083.914	1191.455	1154.104	1177.725	1121.879	1157.999	1113.240	1127.972
114	1138.952	1211.889	1201.196	1226.644	1151.619	1233.737	1135.803	1204.791
115	1197.356	1253.683	1250.105	1280.956	1174.994	1282.565	1207.395	1276.660
116	1217.974	1311.001	1310.773	1315.888	1238.546	1310.952	1226.884	1305.753
117	1261.289	1377.635	1360.878	1367.900	1287.862	1363.963	1297.173	1378.337
118	1297.901	1437.302	1416.033	1431.037	1321.876	1447.401	1377.276	1435.809
119	1341.299	1496.529	1504.565	1526.279	1387.794	1518.277	1420.824	1495.340
120	1401.903	1575.229	1562.371	1630.223	1470.350	1600.644	1524.314	1571.874
121	1467.780	1659.225	1659.570	1686.721	1605.720	1715.026	1637.382	1643.150
122	1528.003	1732.892	1771.230	1737.995	1685.437	1848.484	1747.093	1697.055
123	1542.461	1857.164	1871.845	1835.731	1782.333	1949.465	1790.020	1747.059
124	1628.135	1909.176	1930.374	1909.635	1917.192	2013.576	1881.157	1824.924
125	1695.628	1944.723	1997.002	1939.481	1990.051	2061.766	1948.998	1920.035
126	1780.798	2019.285	2032.888	1967.045	2016.595	2113.527	2014.596	1989.774
127	1874.435	2103.084	2076.432	2028.175	2049.250	2148.555	2059.990	2051.702
128	1922.265	2145.346	2107.439	2041.561	2063.225	2203.191	2121.219	2087.946
129	1999.496	2231.708	2168.823	2120.785	2090.940	2234.202	2190.577	2147.785
130	2096.391	2300.540	2200.440	2199.202	2171.891	2291.646	2205.123	2231.301
131	2161.813	2390.924	2314.719	2285.948	2231.464	2398.632	2250.611	2291.720
132	2234.816	2425.836	2408.111	2353.351	2309.670	2415.877	2347.101	2335.861
133	2299.511	2541.076	2476.879	2411.664	2348.446	2453.898	2387.928	2388.865
134	2340.866	2597.454	2544.946	2497.041	2407.402	2540.409	2411.333	2458.994
135	2395.617	2628.226	2672.282	2588.304	2486.299	2601.549	2513.005	2494.269
136	2481.434	2691.299	2763.391	2661.199	2554.705	2662.078	2551.551	2544.308
137	2547.562	2771.458	2796.309	2703.301	2618.138	2677.597	2577.937	2636.711
138	2589.667	2860.750	2852.244	2795.862	2690.274	2749.824	2663.857	2667.587
139	2696.515	2914.961	2945.373	2891.510	2760.287	2836.540	2711.717	2703.622
140	2769.310	3004.123	3050.589	2944.269	2857.125	2935.798	2767.395	2821.979
141	2842.368	3112.087	3107.074	3014.541	2919.691	2977.824	2877.097	2881.482
142	2943.824	3191.637	3141.452	3137.544	3019.137	3066.009	2933.946	2956.159
143	3011.873	3254.918	3150.698	3181.342	3077.902	3134.463	2979.158	3020.548
144	3068.092	3222.005	3168.790	3193.462	3113.149	3138.557	3035.510	3063.757
145	3120.908	3217.516	3122.631	3190.909	3067.071	3104.751	3093.885	3085.999
146	3174.265	3088.519	3072.647	3067.128	2951.222	2952.029	3031.401	3090.649
147	3171.594	2913.267	2970.100	2996.570	2843.725	2862.771	2980.355	3020.515
148	3178.335	2783.236	2805.476	2853.347	2781.302	2779.219	2890.290	2893.593
149	3148.363	2704.410	2702.361	2753.331	2604.909	2645.836	2789.560	2773.302
150	3062.005	2663.992	2636.624	2679.792	2539.873	2597.424	2672.509	2669.396
151	2982.083	2610.135	2607.489	2648.403	2504.559	2534.351	2613.226	2583.398
152	2880.049	2613.549	2567.922	2629.404	2504.336	2517.068	2556.288	2548.808
153	2841.230	2608.366	2549.992	2585.907	2465.520	2489.856	2479.491	2564.743
154	2769.007	2566.191	2512.007	2577.718	2462.516	2480.164	2447.750	2516.856
155	2715.705	2495.306	2462.997	2530.320	2393.930	2456.034	2467.823	2512.673
156	2670.412	2463.967	2427.667	2466.621	2354.722	2467.929	2490.611	2448.166
157	2658.581	2463.190	2404.604	2455.113	2384.459	2413.168	2465.274	2441.205
158	2603.801	2468.810	2384.184	2442.713	2333.422	2412.111	2458.847	2417.341
159	2559.007	2423.597	2365.168	2430.967	2302.873	2360.398	2459.650	2374.557
160	2547.775	2407.113	2317.488	2400.047	2281.695	2326.990	2389.561	2346.504
161	2485.752	2386.866	2310.859	2417.834	2287.943	2284.754	2371.904	2328.223
162	2446.294	2377.614	2312.209	2357.740	2250.401	2312.463	2379.921	2296.264
163	2416.016	2397.174	2293.919	2339.415	2231.675	2292.156	2352.836	2301.204
164	2411.878	2365.137	2224.540	2316.518	2214.688	2258.618	2340.540	2293.559
165	2340.623	2258.077	2203.448	2285.028	2188.800	2199.201	2297.769	2238.893
166	2311.480	2256.391	2178.563	2241.430	2153.292	2190.503	2266.060	2169.252
167	2278.741	2216.731	2122.227	2205.536	2142.398	2144.401	2220.320	2191.908
168	2259.023	2232.492	2130.070	2169.827	2137.910	2118.675	2251.480	2113.300
169	2252.363	2193.131	2078.438	2124.066	2078.416	2087.042	2225.650	2076.068
170	2219.619	2166.853	2049.646	2083.848	2064.379	2085.106	2185.273	2100.219
171	2182.141	2170.540	2044.811	2096.520	2027.919	2046.696	2176.313	2091.579
172	2130.371	2143.201	2064.067	2075.964	2010.556	2054.260	2147.954	2082.326
173	2170.886	2087.855	2028.954	2093.883	2021.541	2041.453	2154.071	2029.971
174	2138.511	2077.036	2014.169	2048.850	1975.778	1994.226	2115.456	2033.623
175	2091.987	2055.501	1970.598	2010.762	1996.415	1991.623	2093.435	1979.638
176	2050.835	1992.549	1978.368	1929.116	1951.912	1955.376	2064.469	1983.184
177	2072.124	1990.810	1908.340	1956.564	1949.238	1942.714	2002.306	1947.448
178	2067.452	1924.445	1900.548	1926.470	1910.563	1903.869	1948.331	1947.037
179	2026.866	1892.468	1853.264	1899.982	1881.422	1930.002	1932.365	1906.162
180	1979.024	1888.717	1817.138	1862.880	1864.049	1883.152	1877.899	1873.665
181	1955.031	1858.083	1819.821	1839.662	1845.048	1830.345	1871.013	1876.964
182	1910.848	1841.236	1797.316	1818.621	1773.175	1832.948	1846.629	1832.928
183	1872.290	1796.521	1792.397	1783.472	1748.479	1784.822	1808.497	1797.859
184	1854.611	1824.439	1773.778	1789.268	1728.939	1744.792	1779.077	1796.488
185	1844.304	1806.236	1797.073	1809.087	1722.345	1722.468	1771.338	1757.908
186	1804.150	1824.374	1788.257	1783.507	1709.331	1713.913	1733.150	1758.782
187	1816.442	1801.368	1779.252	1751.517	1717.612	1706.265	1699.945	1712.454
188	1786.058	1810.387	1794.687	1756.650	1712.018	1712.861	1716.042	1702.958
189	1792.528	1842.178	1783.155	1750.923	1688.914	1682.053	1666.031	1662.019
190	1746.627	1844.734	1771.109	1715.066	1685.468	1698.242	1689.572	1654.051
191	1773.912	1842.245	1739.964	1712.488	1681.049	1668.390	1678.399	1643.571
192	1749.176	1789.966	1762.825	1678.483	1650.053	1685.600	1666.373	1642.986
193	1697.112	1770.834	1751.207	1697.338	1644.894	1644.784	1648.919	1655.610
194	1735.593	1736.087	1738.769	1666.075	1641.750	1649.482	1644.964	1661.469
195	1713.835	1729.041	1701.377	1663.319	1630.141	1622.064	1662.451	1635.454
196	1666.934	1713.585	1648.651	1627.363	1656.771	1639.590	1641.273	1625.502
197	1651.546	1705.649	1656.107	1626.229	1672.157	1623.741	1648.385	1638.589
198	1658.417	1681.611	1661.651	1609.151	1614.138	1606.089	1631.638	1613.222
199	1633.985	1637.094	1634.537	1630.305	1592.154	1582.709	1611.732	1597.365
200	1604.435	1636.018	1608.963	1618.044	1570.690	1595.998	1576.083	1578.338
201	1624.470	1661.335	1606.433	1612.021	1558.895	1575.947	1576.125	1614.312
202	1602.906	1630.926	1600.742	1587.220	1528.992	1568.329	1562.892	1575.488
203	1598.682	1603.638	1604.186	1598.084	1545.258	1563.929	1579.464	1561.442
204	1596.513	1604.041	1595.452	1576.986	1528.661	1567.584	1542.961	1571.593
205	1578.742	1606.972	1610.536	1591.373	1522.639	1558.651	1540.913	1567.474
206	1590.670	1578.350	1556.526	1592.786	1540.059	1538.188	1535.577	1535.306
207	1548.191	1585.689	1569.696	1564.089	1533.269	1548.325	1564.912	1557.947
208	1583.855	1578.456	1561.605	1590.697	1552.762	1536.284	1549.610	1559.279
209	1573.426	1585.229	1566.448	1587.854	1536.843	1565.674	1519.648	1569.423
210	1538.242	1588.434	1571.771	1594.616	1543.922	1554.443	1552.836	1564.436
211	1542.696	1612.591	1571.410	1585.590	1549.769	1559.489	1580.602	1568.427
212	1576.070	1612.585	1596.337	1574.971	1543.470	1555.109	1532.463	1568.987
213	1660.487	1676.842	1580.172	1652.871	1599.785	1620.353	1627.582	1575.159
214	1628.014	1661.122	1561.092	1638.764	1557.295	1570.209	1587.882	1574.133
215	1595.269	1623.147	1530.888	1588.181	1530.005	1554.380	1575.937	1538.862
216	1556.152	1579.664	1550.305	1543.028	1493.583	1519.267	1551.566	1522.544
217	1529.837	1579.569	1545.675	1523.023	1492.524	1502.536	1541.919	1526.726
218	1539.713	1569.296	1503.153	1530.362	1479.640	1513.565	1512.988	1510.271
219	1536.743	1552.133	1480.097	1515.307	1476.015	1520.002	1516.122	1490.893
220	1524.880	1513.611	1475.483	1499.436	1477.575	1481.353	1487.631	1508.551
221	1515.369	1512.343	1461.909	1537.249	1470.362	1446.709	1489.129	1511.452
222	1543.857	1490.498	1447.045	1478.004	1451.749	1464.381	1490.155	1470.379
223	1511.616	1503.141	1440.599	1493.151	1439.546	1467.520	1484.217	1507.731
224	1482.512	1494.695	1398.327	1466.750	1457.472	1451.375	1500.683	1461.861
225	1472.898	1470.731	1395.329	1447.945	1445.762	1443.547	1482.320	1488.956
226	1463.659	1469.346	1390.966	1467.275	1438.605	1451.122	1462.215	1458.495
227	1469.113	1435.397	1411.718	1446.389	1439.402	1464.366	1427.856	1452.296
228	1458.798	1407.957	1389.000	1426.360	1429.681	1441.741	1440.565	1400.541
229	1466.702	1411.440	1372.000	1427.773	1403.876	1428.281	1428.865	1426.204
230	1453.900	1382.943	1389.673	1405.870	1376.040	1440.716	1419.724	1424.245
231	1448.168	1399.070	1354.655	1393.415	1391.622	1427.958	1432.586	1406.531
232	1429.124	1389.653	1388.436	1416.554	1378.572	1405.909	1441.336	1380.395
233	1450.449	1384.884	1369.511	1418.094	1369.956	1410.050	1410.080	1408.756
234	1420.208	1394.906	1376.765	1422.134	1352.471	1430.399	1411.614	1427.694
235	1401.756	1384.398	1355.727	1403.673	1364.450	1419.907	1406.001	1450.437
236	1431.739	1354.962	1363.176	1416.960	1372.714	1412.838	1400.383	1447.517
237	1427.354	1371.680	1384.551	1388.664	1381.976	1444.119	1412.430	1453.097
238	1423.748	1363.444	1397.780	1369.689	1363.689	1418.130	1444.990	1450.943
239	1440.958	1363.292	1392.920	1383.508	1372.269	1435.469	1435.977	1431.451
240	1456.716	1407.007	1380.639	1380.568	1385.183	1417.443	1407.277	1434.121
241	1428.032	1398.315	1393.661	1405.021	1378.580	1422.364	1391.505	1436.777
242	1423.409	1377.775	1387.629	1395.051	1407.413	1430.168	1409.561	1423.319
243	1420.577	1382.805	1369.625	1426.821	1408.865	1413.803	1404.018	1408.586
244	1434.793	1418.306	1375.314	1400.447	1361.694	1434.283	1389.335	1405.583
245	1457.246	1401.638	1390.118	1395.920	1368.961	1416.477	1428.217	1414.301
246	1453.280	1401.843	1385.259	1419.058	1360.135	1410.109	1454.587	1411.813
247	1434.271	1391.700	1388.839	1424.492	1365.447	1420.267	1404.087	1405.704
248	1426.696	1420.247	1384.108	1422.625	1375.147	1425.733	1401.138	1416.947
249	1422.481	1422.358	1425.478	1424.483	1377.614	1442.469	1428.354	1426.035
250	1420.368	1435.985	1462.740	1425.690	1383.140	1435.156	1428.985	1452.142
251	1413.611	1438.906	1446.250	1424.728	1400.307	1426.970	1439.143	1446.728
252	1421.800	1461.646	1432.368	1418.269	1408.437	1433.457	1413.747	1406.249
253	1433.423	1461.911	1412.486	1416.581	1421.466	1422.031	1400.044	1442.141
254	1446.836	1475.588	1412.578	1450.997	1404.349	1424.965	1417.138	1440.904
255	1429.746	1474.112	1446.075	1417.204	1409.251	1427.896	1433.512	1449.818
256	1423.368	1468.172	1467.374	1423.411	1396.506	1439.435	1419.235	1453.732
257	1429.064	1478.419	1470.296	1439.987	1415.446	1461.988	1426.570	1515.713
258	1444.596	1466.620	1461.306	1438.020	1428.803	1448.734	1444.175	1503.269
259	1466.533	1474.701	1462.479	1470.893	1435.576	1454.731	1442.486	1483.310
260	1454.466	1471.576	1520.070	1483.889	1437.567	1486.749	1449.286	1511.478
261	1510.321	1493.504	1505.324	1484.338	1473.476	1488.424	1496.331	1528.392
262	1532.014	1497.383	1533.143	1505.508	1463.819	1491.749	1530.760	1544.950
263	1551.895	1532.341	1539.926	1511.472	1489.647	1514.053	1527.108	1575.791
264	1551.421	1549.988	1566.576	1544.870	1482.247	1564.320	1535.565	1570.642
265	1535.396	1551.381	1544.037	1595.321	1527.811	1563.195	1571.343	1591.436
266	1546.581	1564.683	1554.765	1588.695	1527.514	1577.915	1574.415	1608.734
267	1570.261	1589.563	1600.164	1615.322	1565.525	1613.821	1622.470	1625.341
268	1588.602	1591.206	1632.547	1618.809	1582.866	1626.845	1631.060	1601.543
269	1586.044	1617.187	1633.881	1621.590	1606.962	1620.657	1611.360	1631.790
