 	Profile_Slice_1
1	377.325
2	380.408
3	390.994
4	390.053
5	372.297
6	375.198
7	377.962
8	372.537
9	359.407
10	367.670
11	361.838
12	361.730
13	367.276
14	354.652
15	360.355
16	345.883
17	349.670
18	356.035
19	341.782
20	334.182
21	338.342
22	333.646
23	334.582
24	334.057
25	335.014
26	332.012
27	335.482
28	327.494
29	325.541
30	328.014
31	322.035
32	323.712
33	323.326
34	323.621
35	336.446
36	331.138
37	322.903
38	318.009
39	314.997
40	315.029
41	310.696
42	312.578
43	311.265
44	308.603
45	310.249
46	299.236
47	305.280
48	307.787
49	308.165
50	316.183
51	312.078
52	310.814
53	322.874
54	311.393
55	318.216
56	313.911
57	302.002
58	306.206
59	320.167
60	319.525
61	301.321
62	311.201
63	308.010
64	308.338
65	307.364
66	309.345
67	316.347
68	319.171
69	306.672
70	307.700
71	311.937
72	307.874
73	304.594
74	302.972
75	297.413
76	294.631
77	301.609
78	292.123
79	298.824
80	286.981
81	292.386
82	285.733
83	291.910
84	291.869
85	295.438
86	287.668
87	293.902
88	296.682
89	304.027
90	298.760
91	288.624
92	290.363
93	297.127
94	301.147
95	286.977
96	288.640
97	290.604
98	297.605
99	291.687
100	303.036
101	286.517
102	283.286
103	287.125
104	288.413
105	297.204
106	287.272
107	291.338
108	295.774
109	289.596
110	293.301
111	290.638
112	301.555
113	300.542
114	294.990
115	288.635
116	295.528
117	297.612
118	288.681
119	295.499
120	295.746
121	292.059
122	292.573
123	299.268
124	305.106
125	298.503
126	289.218
127	293.828
128	292.744
129	293.700
130	294.883
131	291.245
132	283.598
133	284.501
134	291.945
135	295.798
136	291.393
137	288.048
138	287.444
139	288.473
140	293.432
141	287.095
142	284.144
143	295.736
144	296.034
145	294.881
146	283.845
147	283.085
148	284.199
149	281.065
150	281.385
151	288.759
152	288.950
153	290.160
154	294.843
155	291.679
156	285.714
157	288.381
158	282.937
159	287.882
160	276.706
161	284.303
162	275.350
163	282.432
164	291.132
165	295.001
166	286.334
167	287.671
168	289.457
169	302.664
170	296.054
171	279.458
172	283.958
173	295.323
174	285.592
175	287.875
176	277.783
177	289.106
178	278.448
179	285.245
180	283.857
181	285.916
182	280.428
183	284.027
184	285.459
185	281.799
186	287.065
187	285.020
188	294.865
189	284.959
190	287.819
191	284.627
192	283.022
193	273.433
194	277.623
195	288.399
196	288.089
197	291.729
198	289.817
199	284.675
200	282.868
201	282.989
202	283.030
203	288.168
204	282.983
205	277.181
206	276.102
207	281.623
208	282.817
209	282.208
210	280.293
211	283.702
212	276.041
213	277.898
214	281.782
215	289.264
216	281.954
217	286.386
218	290.681
219	287.311
220	282.893
221	290.338
222	286.541
223	274.849
224	273.121
225	281.606
226	276.387
227	290.162
228	285.957
229	279.180
230	285.933
231	285.614
232	284.949
233	289.024
234	285.391
235	273.959
236	278.426
237	289.435
238	279.181
239	277.095
240	279.121
241	277.477
242	284.384
243	285.411
244	284.596
245	279.870
246	285.747
247	287.251
248	277.424
249	278.550
250	282.631
251	282.667
252	273.748
253	282.914
254	277.839
255	285.061
256	285.676
257	283.386
258	272.105
259	281.358
260	279.035
261	272.756
262	280.559
263	279.551
264	275.683
265	284.649
266	289.825
267	289.894
268	281.481
269	283.162
270	275.651
271	281.362
272	275.995
273	281.359
274	275.389
275	281.175
276	274.137
277	272.873
278	275.797
279	276.040
280	274.216
281	273.620
282	273.037
283	279.467
284	272.108
285	279.379
286	278.842
287	274.999
288	276.676
289	286.321
290	287.493
291	277.755
292	274.163
293	283.938
294	273.243
295	279.805
296	279.461
297	272.558
298	273.326
299	284.493
300	269.331
301	275.228
302	273.406
303	285.285
304	283.815
305	279.662
306	277.310
307	284.224
308	284.071
309	281.167
310	288.158
311	290.025
312	277.467
313	269.487
314	280.655
315	285.918
316	280.580
317	275.666
318	272.700
319	280.097
320	286.701
321	269.440
322	279.330
323	281.601
324	275.299
325	285.261
326	276.884
327	279.891
