 	Profile_Slice_1	Profile_Slice_2	Profile_Slice_3	Profile_Slice_4	Profile_Slice_5	Profile_Slice_6	Profile_Slice_7	Profile_Slice_8	Profile_Slice_9	Profile_Slice_10	Profile_Slice_11	Profile_Slice_12
1	199.452	206.591	213.442	192.935	200.732	199.896	196.790	194.243	190.282	204.086	199.927	202.073
2	193.033	199.767	192.619	197.902	192.045	195.581	195.488	195.639	195.131	203.270	193.801	197.177
3	197.044	201.354	196.909	201.495	188.900	200.230	193.436	193.606	194.574	195.330	194.717	191.988
4	197.344	203.050	199.845	197.992	198.049	199.143	192.038	197.054	187.539	201.770	202.636	200.404
5	203.918	205.319	201.795	197.367	195.919	195.394	195.758	195.530	194.448	198.300	205.758	201.187
6	206.659	207.301	204.108	200.086	203.886	198.219	197.622	197.855	193.310	198.375	203.232	207.160
7	206.901	203.972	192.137	205.833	198.904	199.359	199.650	194.445	197.770	204.705	197.556	199.823
8	200.734	204.829	192.669	201.112	203.447	199.975	208.437	192.669	199.607	200.120	195.353	212.211
9	206.218	212.883	197.823	206.236	198.849	197.659	207.037	200.197	206.193	199.443	209.595	199.344
10	194.280	208.942	196.085	204.768	207.008	202.018	201.230	205.933	197.301	199.229	192.999	202.486
11	210.269	193.844	203.389	198.374	198.189	203.690	198.557	198.134	187.348	207.003	209.466	209.706
12	205.382	199.103	199.862	197.404	196.002	209.463	194.592	195.766	196.596	208.655	207.596	204.224
13	213.317	199.243	198.454	208.946	202.733	203.377	199.410	201.898	201.733	196.655	201.639	206.308
14	201.933	199.155	206.469	199.751	204.440	203.169	202.836	194.819	193.377	206.113	212.709	197.200
15	200.686	205.712	199.779	206.861	196.489	205.106	199.789	195.320	203.465	198.003	203.633	204.468
16	205.497	202.967	197.540	213.020	195.901	203.839	198.374	201.428	199.775	203.197	199.661	211.386
17	202.607	204.355	206.676	204.328	205.279	207.776	197.968	196.952	203.750	203.069	206.293	201.703
18	207.742	201.224	200.498	205.224	202.679	202.020	200.085	195.370	194.857	197.950	202.577	208.170
19	197.584	196.141	205.250	202.472	200.642	208.582	195.326	192.049	206.548	205.875	207.912	199.245
20	199.410	207.144	208.129	203.636	210.961	205.737	199.796	193.531	203.555	205.254	208.696	204.056
21	200.448	207.956	197.535	197.785	200.983	202.565	194.276	194.779	207.895	202.251	214.598	199.588
22	208.996	206.935	203.054	202.602	198.342	207.230	207.607	195.684	195.380	212.307	211.066	199.162
23	206.811	211.914	212.808	211.697	198.482	198.074	199.792	195.588	199.535	210.491	202.744	205.965
24	205.076	214.283	211.366	210.936	197.177	207.375	203.664	195.007	198.578	205.557	206.859	202.925
25	208.483	208.225	198.112	207.512	202.916	215.613	198.302	200.043	200.875	202.445	206.504	198.975
26	210.043	209.592	204.459	207.105	201.072	205.209	197.581	204.740	200.282	198.284	201.754	206.181
27	206.435	205.305	211.741	208.953	203.969	209.347	202.958	200.476	206.434	195.220	205.399	205.137
28	203.859	216.073	202.155	201.849	203.711	205.080	209.304	188.935	201.349	208.569	207.377	207.733
29	203.786	208.582	217.135	196.234	205.704	201.837	206.010	202.135	194.228	201.775	204.601	202.102
30	212.430	215.028	198.014	201.954	217.666	203.360	206.614	205.331	202.662	203.710	208.979	208.440
31	215.449	205.667	207.220	208.226	208.527	205.312	205.718	209.040	205.600	205.971	203.325	210.904
32	200.892	203.255	206.046	201.900	210.905	205.292	200.092	212.349	198.466	206.220	205.827	213.504
33	207.535	213.759	211.387	203.644	205.841	213.770	195.150	203.376	198.022	212.836	207.059	205.721
34	211.979	206.444	208.910	200.393	214.381	206.598	204.350	211.243	209.962	213.762	206.751	213.498
35	212.878	211.649	212.422	212.723	214.847	201.953	207.906	201.375	207.684	211.608	206.964	210.200
36	216.560	214.390	207.025	211.510	208.550	215.427	216.157	212.683	205.651	211.003	204.200	207.117
37	212.322	209.464	209.801	207.412	199.714	207.410	203.694	209.442	203.632	205.949	210.042	212.302
38	208.167	213.553	213.736	217.821	205.267	209.799	207.163	207.736	206.112	219.882	207.800	213.474
39	206.645	211.667	203.123	203.277	207.321	208.805	208.396	198.728	204.100	202.066	207.159	210.956
40	208.017	204.251	209.779	218.135	211.747	208.496	214.753	212.282	212.741	212.417	213.969	202.595
41	212.104	212.532	205.022	207.528	209.061	214.226	206.129	207.399	211.782	208.366	211.652	213.912
42	214.470	218.469	205.759	219.939	211.497	205.892	202.049	201.150	207.034	203.569	216.006	212.356
43	207.151	208.218	209.655	215.193	215.850	213.562	200.779	203.635	203.326	210.590	212.462	212.348
44	208.420	217.428	218.974	202.181	211.405	204.838	217.141	204.578	210.623	207.095	219.210	213.756
45	207.127	210.629	206.567	211.351	210.052	210.932	213.465	205.127	204.226	209.593	224.118	213.692
46	209.972	214.751	205.923	208.664	206.629	213.540	210.743	208.602	209.960	209.957	211.880	207.601
47	210.204	216.513	219.570	218.925	215.895	212.397	213.217	208.408	211.717	215.230	215.993	211.215
48	216.605	218.787	208.854	209.427	214.043	215.518	218.973	208.936	217.948	209.584	212.630	221.850
49	215.160	222.675	217.359	221.080	215.749	205.784	213.330	206.732	218.454	213.461	226.925	209.632
50	215.522	211.552	217.444	211.775	207.616	206.700	213.820	205.202	204.885	215.524	210.904	213.207
51	217.210	213.706	208.359	212.409	212.236	211.589	204.474	211.968	204.401	204.368	216.526	206.153
52	212.662	219.604	219.472	219.042	214.574	220.153	219.413	215.169	203.376	208.674	210.185	217.692
53	218.028	224.371	218.221	214.514	230.721	212.202	211.935	220.382	222.112	206.510	213.777	214.873
54	214.184	228.246	219.179	215.860	214.844	208.180	222.128	206.195	215.851	215.362	216.998	215.306
55	216.045	220.407	213.474	211.582	214.537	216.132	216.781	202.802	215.358	218.078	217.663	209.476
56	207.152	226.705	221.483	223.279	218.441	218.193	215.102	208.997	210.693	215.188	214.480	222.271
57	222.542	213.479	216.834	215.620	220.125	216.287	214.741	218.201	210.340	223.505	223.039	217.198
58	224.101	217.955	221.997	221.797	215.914	221.309	212.319	210.538	214.483	225.104	218.954	218.106
59	222.324	223.806	220.578	223.295	227.211	220.341	224.002	215.187	216.150	212.872	206.986	225.726
60	219.712	206.693	223.051	228.766	217.426	219.482	215.002	222.779	213.132	217.850	215.458	220.484
61	210.606	225.125	213.502	228.818	227.506	215.411	219.296	217.831	210.905	208.594	218.887	227.336
62	221.104	214.487	217.180	229.854	224.248	206.752	218.003	219.575	220.350	223.945	216.482	218.329
63	229.648	223.626	221.184	213.574	222.343	222.690	224.421	225.885	223.017	220.067	221.207	228.754
64	220.021	221.174	221.988	216.815	223.036	221.041	221.738	224.099	216.961	225.646	226.476	231.372
65	217.187	229.703	221.443	229.991	217.036	225.885	231.021	213.896	222.843	210.001	221.978	208.077
66	227.070	218.438	227.967	214.685	219.409	223.418	215.731	213.712	210.721	225.558	215.939	207.079
67	230.533	222.092	212.540	219.680	222.163	224.103	223.461	226.924	216.242	228.849	229.734	225.128
68	225.882	224.966	227.838	228.179	217.400	218.991	231.273	224.699	224.701	222.654	224.728	215.570
69	223.992	221.961	225.006	217.073	221.753	226.070	226.519	218.671	222.335	233.506	219.630	218.451
70	231.899	232.514	224.875	236.916	226.013	223.326	221.965	229.667	212.301	230.032	226.607	220.227
71	232.666	226.148	229.630	225.630	225.226	226.949	230.522	227.607	216.726	226.438	220.965	232.094
72	218.890	239.111	224.389	227.965	221.297	228.716	227.491	230.065	219.110	222.824	227.589	225.868
73	223.173	234.613	219.369	222.793	236.059	215.288	227.719	209.907	223.029	218.606	222.714	225.462
74	233.256	226.297	239.459	221.129	223.839	230.270	235.345	225.067	216.402	240.871	224.454	224.827
75	229.365	228.809	241.746	237.026	222.025	222.239	221.924	227.825	218.804	223.606	227.064	230.516
76	234.548	227.564	227.316	234.905	226.414	238.013	218.228	226.998	227.751	224.488	216.349	235.754
77	232.376	230.829	228.769	228.045	227.591	227.194	232.280	223.715	218.164	226.952	225.262	226.462
78	229.519	233.093	229.389	222.915	219.579	228.506	240.261	225.792	221.390	220.324	232.661	236.303
79	230.229	231.438	236.423	226.689	227.038	225.091	223.390	223.316	225.715	219.838	227.499	236.366
80	225.906	224.575	230.262	232.998	233.614	221.885	230.374	227.392	227.753	221.812	222.244	236.145
81	222.234	227.529	234.380	237.353	229.139	226.449	228.551	223.737	222.474	230.064	226.063	232.957
82	227.956	231.749	230.270	235.094	232.090	223.827	236.714	227.242	234.895	234.554	238.177	233.778
83	235.329	235.537	233.954	237.694	228.983	237.527	233.693	217.008	214.407	230.715	245.721	230.870
84	230.279	237.397	225.331	228.230	236.714	230.805	234.147	218.666	231.396	222.739	227.651	230.016
85	232.954	238.259	233.917	234.483	233.767	237.846	230.411	224.576	226.396	222.595	232.498	230.414
86	238.835	240.004	231.092	239.067	231.735	237.732	236.973	227.248	227.266	232.991	229.418	230.657
87	240.313	234.775	233.269	233.907	237.528	235.595	231.666	232.560	239.714	228.165	238.515	233.956
88	233.071	242.745	238.881	231.295	238.718	231.785	233.554	220.502	227.875	229.606	238.848	219.960
89	247.087	227.764	236.085	236.774	235.046	239.597	233.178	233.778	225.832	231.583	228.464	233.431
90	241.743	238.121	230.168	232.710	234.638	235.562	238.488	232.095	230.673	238.065	225.801	225.970
91	244.600	234.063	236.270	233.323	230.805	230.672	242.983	232.553	221.560	229.475	229.688	228.110
92	239.805	229.363	236.998	234.802	243.288	232.052	242.470	225.815	230.487	236.682	224.171	238.395
93	236.186	238.820	237.527	238.791	229.973	249.652	235.344	238.812	237.740	242.653	240.200	238.781
94	243.999	236.074	236.702	241.820	239.057	237.097	234.872	233.028	235.075	232.079	240.354	236.480
95	239.226	243.647	236.581	243.048	247.463	236.187	249.068	231.637	233.346	232.979	234.778	240.355
96	244.639	256.036	238.878	246.457	237.102	236.451	248.494	241.309	238.005	238.445	229.728	235.933
97	246.247	252.112	241.031	240.235	247.955	243.168	249.280	230.293	226.271	232.134	245.692	256.276
98	246.375	250.807	238.533	229.477	249.678	249.618	246.525	237.706	245.392	252.015	238.882	244.761
99	244.002	238.883	242.095	247.084	248.230	243.274	252.198	238.412	241.748	252.237	250.186	246.438
100	242.305	254.005	253.246	256.531	251.712	241.679	242.296	249.838	241.630	244.819	243.343	247.940
101	259.786	251.355	252.896	264.692	242.351	245.065	244.283	237.338	238.775	248.919	248.063	246.971
102	249.039	254.610	256.304	251.034	238.939	251.846	259.570	247.575	233.372	243.969	260.975	252.402
103	258.927	243.892	254.611	264.004	249.749	247.480	252.121	242.288	242.663	242.878	242.824	245.902
104	247.796	251.076	256.677	256.322	249.251	250.798	243.547	250.614	252.994	244.154	255.419	245.894
105	255.254	253.475	255.428	260.668	260.748	256.247	245.117	243.800	243.695	250.218	247.369	249.458
106	264.794	248.923	259.704	247.326	245.448	242.224	255.565	252.046	255.862	254.623	253.360	255.791
107	257.841	255.721	257.025	250.761	258.598	259.776	259.314	241.899	247.606	242.653	245.928	257.036
108	264.208	262.179	269.886	269.346	260.632	251.888	255.498	260.020	258.237	259.434	254.829	251.367
109	262.515	268.721	260.029	255.411	265.822	255.990	252.544	257.376	245.328	258.730	253.960	251.258
110	257.852	262.400	266.803	269.059	261.400	262.795	264.664	248.342	250.468	265.905	257.088	263.712
111	260.411	270.688	247.667	267.567	262.394	258.911	257.424	255.500	263.461	258.490	251.690	259.187
112	256.915	278.540	267.601	264.983	264.145	269.211	258.033	255.159	259.617	249.158	255.224	272.300
113	265.236	268.112	263.979	269.987	256.113	256.055	263.518	256.591	255.935	262.249	260.899	264.650
114	258.604	264.965	273.790	267.281	263.901	264.374	271.901	250.751	256.233	256.459	266.767	261.921
115	265.182	266.754	272.319	278.149	261.448	257.398	258.991	262.872	252.853	255.167	252.586	277.217
116	274.967	285.205	266.576	276.649	268.656	269.686	264.259	264.463	266.503	265.003	261.423	272.410
117	276.496	275.024	274.883	274.771	280.434	271.598	262.576	273.602	262.373	269.316	269.524	262.030
118	272.824	279.396	281.876	279.497	270.007	260.636	276.476	263.866	276.199	278.079	278.822	271.308
