,CellName,CompNum,substrate & drug,SurroundingThickness,EChadwick
287,21-01-18_M1_P1_C1,10,20um fibronectin discs & doxycyclin,96.1996701670387,4761.08472744925
286,21-01-18_M1_P1_C1,9,20um fibronectin discs & doxycyclin,99.3083934427805,4838.93855865585
279,21-01-18_M1_P1_C1,2,20um fibronectin discs & doxycyclin,116.165085931756,4308.23844328662
278,21-01-18_M1_P1_C1,1,20um fibronectin discs & doxycyclin,119.68228515673701,3836.6701054294604
787,21-01-21_M2_P1_C1,3,20um fibronectin discs & doxycyclin,337.728459583573,3150.91862355706
290,21-01-18_M1_P1_C2,2,20um fibronectin discs & doxycyclin,633.393817359297,767.16779805039
353,21-01-18_M1_P1_C7,10,20um fibronectin discs & doxycyclin,220.246131778177,79401.5786189029
354,21-01-18_M1_P1_C8,1,20um fibronectin discs & doxycyclin,131.32866679699498,134940.525257859
356,21-01-18_M1_P1_C8,3,20um fibronectin discs & doxycyclin,143.84669195783002,53037.483341902305
560,21-01-18_M3_P1_C4,5,20um fibronectin discs & doxycyclin,115.323013533618,7078.4412528783
561,21-01-18_M3_P1_C4,6,20um fibronectin discs & doxycyclin,144.157467144003,4944.02804445886
562,21-01-18_M3_P1_C4,7,20um fibronectin discs & doxycyclin,124.17073708011499,5530.3725595183305
563,21-01-18_M3_P1_C4,8,20um fibronectin discs & doxycyclin,101.579321609375,6776.15365945125
564,21-01-18_M3_P1_C4,9,20um fibronectin discs & doxycyclin,138.870642863166,5938.960576706109
565,21-01-18_M3_P1_C4,10,20um fibronectin discs & doxycyclin,130.516957131505,7354.746998362241
566,21-01-18_M3_P1_C4,11,20um fibronectin discs & doxycyclin,152.60407640045202,5309.33128622944
567,21-01-18_M3_P1_C4,12,20um fibronectin discs & doxycyclin,155.86481081709601,5567.927154208211
568,21-01-18_M3_P1_C4,13,20um fibronectin discs & doxycyclin,147.590308412236,6586.44873156646
569,21-01-18_M3_P1_C4,14,20um fibronectin discs & doxycyclin,121.119454301301,5478.967607730429
570,21-01-18_M3_P1_C4,15,20um fibronectin discs & doxycyclin,102.978270094831,8153.009808380121
571,21-01-18_M3_P1_C5,1,20um fibronectin discs & doxycyclin,500.324675446289,3277.8148622059
572,21-01-18_M3_P1_C5,2,20um fibronectin discs & doxycyclin,561.841380685923,2593.6957325636604
573,21-01-18_M3_P1_C5,3,20um fibronectin discs & doxycyclin,590.364035029968,4644.36445750624
574,21-01-18_M3_P1_C5,4,20um fibronectin discs & doxycyclin,690.9610019057491,1470.38355675995
575,21-01-18_M3_P1_C5,5,20um fibronectin discs & doxycyclin,602.076982860885,4853.78292375765
