 	Profile_Slice_1	Profile_Slice_2	Profile_Slice_3	Profile_Slice_4	Profile_Slice_5	Profile_Slice_6	Profile_Slice_7	Profile_Slice_8	Profile_Slice_9	Profile_Slice_10	Profile_Slice_11	Profile_Slice_12
62	187.104	187.104	178.110	215.665	225.454	214.172	217.272	214.592	219.456	227.333	227.544	229.961
63	182.606	182.606	181.891	206.957	215.601	212.298	214.001	216.676	219.420	222.284	218.734	230.092
64	183.983	183.983	183.703	213.749	216.049	218.514	213.468	211.962	209.920	215.151	218.138	229.707
65	189.053	189.053	182.504	213.445	218.286	215.128	213.554	220.748	211.692	214.707	219.485	234.913
66	187.365	187.365	187.389	209.282	211.368	214.795	211.288	208.468	211.366	219.003	215.493	222.377
67	184.464	184.464	177.732	209.509	219.213	218.149	212.441	213.286	217.874	219.267	219.387	224.938
68	187.388	187.388	177.250	211.343	217.046	218.372	209.703	211.365	210.210	218.608	215.595	227.851
69	180.324	180.324	180.847	200.080	209.790	213.857	215.499	206.092	207.714	211.072	215.438	227.317
70	180.812	180.812	182.255	204.673	209.119	219.095	210.252	209.806	207.522	210.789	211.919	223.163
71	183.478	183.478	184.033	204.388	208.236	208.433	212.628	214.601	209.030	209.703	206.769	221.674
72	184.174	184.174	176.255	203.456	206.788	204.999	208.500	209.775	208.333	213.614	210.552	217.285
73	178.296	178.296	175.769	209.297	204.199	209.719	210.120	208.415	203.470	206.696	212.894	218.784
74	177.180	177.180	177.303	204.376	202.165	206.465	209.704	206.724	208.978	207.883	211.000	219.817
75	176.997	176.997	176.309	200.840	199.836	205.261	210.058	210.272	203.406	203.044	203.449	210.274
76	177.682	177.682	175.637	204.320	204.260	207.397	205.403	201.284	206.224	212.378	207.244	217.440
77	179.823	179.823	176.750	195.150	205.808	206.780	203.205	202.841	205.030	208.322	207.405	214.378
78	181.605	181.605	178.749	193.741	203.179	205.758	204.550	201.125	196.463	207.528	202.450	210.781
79	179.066	179.066	181.328	198.631	203.737	212.243	203.012	204.621	196.004	205.222	207.022	209.764
80	177.390	177.390	176.991	201.255	204.408	205.097	200.271	206.830	195.782	206.392	205.448	217.349
81	178.440	178.440	178.002	202.572	202.114	202.881	202.640	204.913	197.442	206.548	209.476	214.751
82	182.449	182.449	181.269	198.344	201.549	207.390	199.294	206.299	194.556	200.717	204.809	210.042
83	176.017	176.017	183.944	195.202	203.487	202.493	194.089	204.668	197.601	198.008	203.665	211.413
84	179.444	179.444	177.472	197.819	203.016	199.950	203.752	203.642	195.957	197.189	196.995	207.399
85	178.151	178.151	186.023	199.033	197.302	207.108	198.233	194.533	192.330	197.442	200.726	205.394
86	178.852	178.852	184.764	200.523	195.999	199.764	195.122	200.456	197.701	196.135	207.610	202.798
87	180.899	180.899	182.426	195.012	197.110	199.420	197.008	195.570	195.774	196.821	200.764	205.124
88	186.103	186.103	181.587	195.303	199.556	201.353	195.113	197.710	196.997	201.824	191.224	206.506
89	185.987	185.987	184.904	194.040	195.584	195.001	194.954	194.497	200.737	197.514	196.650	210.204
90	177.229	177.229	178.383	188.006	193.568	196.883	194.478	196.555	190.656	194.080	196.380	207.203
91	176.673	176.673	188.324	196.960	188.472	195.041	197.756	198.413	191.777	193.169	201.090	202.718
92	175.926	175.926	185.351	193.161	191.962	198.070	189.544	195.296	197.978	196.368	194.508	204.197
93	177.732	177.732	181.446	192.760	189.081	195.671	190.677	193.034	191.410	194.688	192.532	201.649
94	175.248	175.248	186.117	189.683	192.548	195.396	193.341	192.455	191.832	189.212	192.467	211.423
95	171.622	171.622	182.929	190.326	190.711	196.850	193.434	196.385	190.622	190.755	191.262	210.105
96	174.285	174.285	183.871	187.486	188.134	198.665	187.474	190.759	191.839	189.952	192.568	204.893
97	173.272	173.272	182.695	189.330	189.917	193.535	191.008	187.292	191.153	193.951	192.588	204.504
98	177.702	177.702	179.785	188.258	188.375	194.745	188.908	193.116	188.911	196.946	198.419	200.952
99	176.643	176.643	184.085	189.493	190.464	196.304	190.656	192.105	194.135	190.302	199.666	198.624
100	173.380	173.380	183.854	192.116	193.170	195.914	194.111	190.977	196.498	195.254	191.140	200.112
101	175.186	175.186	185.590	187.806	194.323	192.366	189.259	186.926	196.546	189.783	190.868	208.069
102	170.248	170.248	180.677	187.991	191.456	194.042	189.312	186.260	193.124	192.504	188.690	200.460
103	171.222	171.222	179.789	189.133	187.099	194.899	188.511	191.200	195.524	189.176	191.580	207.021
104	174.059	174.059	179.445	185.771	182.934	191.908	188.181	193.528	190.923	190.057	183.479	205.035
105	173.816	173.816	178.376	192.578	191.365	189.726	189.528	190.063	193.314	196.562	186.251	200.050
106	171.756	171.756	179.559	199.547	193.370	187.605	187.618	191.942	191.401	198.166	187.755	201.095
107	169.590	169.590	175.800	194.091	189.919	193.938	193.806	196.586	192.843	194.886	191.846	206.393
108	166.446	166.446	180.219	195.796	195.943	195.187	186.067	191.191	195.251	196.724	186.725	203.048
109	170.471	170.471	181.296	197.039	186.940	194.506	191.238	191.669	191.415	190.780	182.199	204.972
110	168.607	168.607	171.242	200.095	188.345	190.571	190.518	191.162	191.641	192.997	187.989	198.400
111	169.128	169.128	168.215	208.065	194.212	192.569	189.153	186.628	182.980	187.952	189.179	204.519
112	167.274	167.274	170.776	213.274	186.066	188.394	188.820	189.772	186.455	188.769	193.225	204.949
113	167.530	167.530	174.752	212.886	190.502	188.882	195.907	189.635	191.689	195.476	187.737	200.961
114	171.397	171.397	174.852	213.369	196.385	192.332	189.533	189.809	188.334	195.703	188.483	202.006
115	167.635	167.635	179.003	205.979	196.382	192.874	186.656	192.434	188.732	193.670	182.451	197.220
116	171.959	171.959	178.978	202.961	190.554	191.472	186.473	191.061	189.561	190.485	189.287	200.769
117	171.216	171.216	176.233	200.160	196.092	189.982	184.570	186.747	184.112	189.061	191.255	200.745
118	173.387	173.387	175.629	205.630	191.630	187.986	183.645	189.084	188.144	185.105	196.806	200.130
119	164.327	164.327	181.504	193.206	195.494	190.778	186.024	184.744	184.638	183.606	183.896	198.635
120	169.352	169.352	183.614	185.538	198.549	192.400	181.712	184.612	188.316	182.400	185.507	196.375
121	173.099	173.099	180.027	187.664	207.835	195.049	186.810	189.324	184.844	195.269	185.770	200.066
122	164.973	164.973	182.917	185.925	203.588	191.705	182.439	186.254	183.371	185.937	186.970	197.003
123	165.795	165.795	180.293	186.280	200.064	191.956	187.395	186.960	185.725	191.152	187.814	198.704
124	164.576	164.576	181.902	186.309	200.569	189.447	183.486	185.656	185.849	185.041	194.048	197.658
125	166.094	166.094	179.275	185.257	198.318	196.993	185.663	179.925	191.236	194.682	191.221	201.034
126	170.758	170.758	180.113	185.672	196.359	194.695	187.138	186.278	189.034	189.449	188.291	195.811
127	167.265	167.265	177.433	184.312	191.677	195.197	188.466	179.031	186.526	185.908	187.112	193.951
128	168.651	168.651	179.711	189.060	192.079	197.248	180.487	181.750	187.118	185.891	183.548	196.767
129	165.013	165.013	176.211	195.213	190.131	197.036	182.663	184.516	188.549	185.622	186.311	192.545
130	169.468	169.468	177.164	185.428	182.795	198.938	183.762	183.690	181.403	187.716	185.818	197.378
131	169.380	169.380	178.196	183.800	191.422	201.820	184.672	187.820	179.935	188.066	185.027	190.752
132	170.934	170.934	176.862	182.734	182.604	201.678	183.670	185.245	183.600	185.898	188.411	197.972
133	169.636	169.636	176.950	183.208	180.221	196.514	185.187	183.394	181.387	186.937	185.765	196.343
134	170.610	170.610	177.080	183.241	184.024	192.118	185.721	175.966	180.321	185.907	187.189	198.911
135	167.278	167.278	174.223	186.165	185.791	190.282	183.491	180.497	181.348	184.329	185.047	194.894
136	168.156	168.156	173.603	179.304	187.215	187.378	183.163	185.157	183.382	182.126	189.496	196.157
137	168.184	168.184	175.777	178.816	180.835	181.781	182.785	183.089	182.693	183.853	188.309	198.976
138	163.522	163.522	175.941	177.555	183.883	182.856	179.865	183.556	182.454	183.151	187.208	194.868
139	164.742	164.742	172.902	176.015	181.076	181.441	181.113	185.809	181.340	185.991	181.343	192.922
140	167.338	167.338	173.157	186.433	177.477	186.485	179.366	183.093	181.979	184.467	185.825	200.113
141	165.950	165.950	173.148	181.086	182.022	190.561	183.472	183.335	185.330	187.653	187.848	196.749
142	172.457	172.457	170.608	181.645	179.701	183.527	182.812	179.748	186.714	184.730	184.778	191.204
143	165.072	165.072	174.794	181.112	184.338	187.157	181.895	186.512	189.719	181.741	181.807	192.431
144	164.687	164.687	174.064	182.362	189.108	190.476	187.493	187.022	187.025	187.134	186.796	188.650
145	168.128	168.128	174.404	180.000	185.887	184.364	182.683	188.029	186.437	187.717	181.688	193.341
146	170.751	170.751	179.157	184.662	178.765	192.345	182.082	182.666	180.673	186.479	189.291	191.642
147	170.931	170.931	175.238	183.821	180.352	188.012	185.411	182.914	184.401	186.191	185.237	195.515
148	173.956	173.956	175.089	180.058	183.807	183.706	184.856	185.503	188.318	187.860	182.050	197.497
149	167.226	167.226	177.286	183.153	183.761	182.149	182.442	183.417	185.122	188.560	182.986	186.613
150	164.278	164.278	172.898	182.696	181.676	181.597	182.479	179.313	182.372	188.590	181.758	192.013
151	168.964	168.964	177.105	184.263	187.248	179.069	184.684	183.882	183.910	182.511	181.881	192.897
152	168.111	168.111	175.027	182.278	182.324	181.345	181.462	186.919	179.141	179.475	182.380	191.163
153	171.510	171.510	178.496	179.347	185.969	185.191	178.920	186.522	183.506	178.684	179.876	195.502
154	168.020	168.020	178.810	181.022	186.109	180.999	182.572	184.552	180.303	180.459	184.128	193.689
155	169.054	169.054	176.980	178.760	182.000	184.260	183.515	180.984	183.237	180.858	179.233	185.172
156	172.591	172.591	177.194	182.474	183.565	182.905	185.769	182.942	180.487	181.970	178.289	192.263
157	171.295	171.295	175.917	180.746	184.332	185.923	187.423	181.278	180.365	179.254	179.051	191.383
158	171.685	171.685	175.290	183.374	185.473	187.855	187.361	181.307	180.847	179.373	180.313	190.851
159	169.412	169.412	176.291	182.437	182.710	185.658	182.988	183.938	179.727	185.987	178.040	188.195
160	169.526	169.526	178.888	175.111	183.918	183.964	182.217	182.473	179.134	184.853	178.213	188.688
161	164.141	164.141	177.665	176.405	180.682	185.019	181.432	175.218	179.594	183.162	181.383	187.447
162	164.265	164.265	179.163	177.748	176.961	184.284	184.643	178.002	172.344	177.433	178.715	188.779
163	161.775	161.775	172.618	181.460	182.407	183.921	179.544	180.148	172.727	179.485	175.752	188.975
164	167.704	167.704	173.186	182.879	181.608	182.447	175.611	177.609	174.387	180.743	174.558	181.113
165	166.691	166.691	171.126	178.877	178.205	182.367	179.554	176.924	180.584	177.687	175.453	186.117
166	167.402	167.402	177.535	178.597	177.385	180.654	180.708	174.254	183.751	177.689	177.980	185.482
167	162.508	162.508	173.484	176.474	185.173	180.759	175.484	170.105	179.460	176.959	181.801	190.276
