 	Profile_Slice_1	Profile_Slice_2	Profile_Slice_3	Profile_Slice_4	Profile_Slice_5
179	278.339	278.339	283.123	276.811	280.555
180	268.474	268.474	277.707	272.257	290.267
181	293.556	293.556	283.643	280.774	291.150
182	295.399	295.399	292.141	283.009	290.153
183	290.041	290.041	293.886	283.385	294.913
184	291.662	291.662	293.456	284.389	287.388
185	296.938	296.938	287.638	284.652	296.818
186	299.225	299.225	290.472	289.082	296.368
187	307.033	307.033	295.523	290.872	291.989
188	311.278	311.278	301.568	290.537	295.815
189	311.342	311.342	298.506	305.592	294.025
190	307.609	307.609	304.080	308.801	304.892
191	307.200	307.200	305.419	303.977	299.150
192	320.324	320.324	311.987	312.988	303.370
193	317.841	317.841	311.739	320.633	304.710
194	318.632	318.632	308.679	316.187	304.845
195	329.216	329.216	308.122	311.228	304.417
196	329.700	329.700	306.446	327.454	315.099
197	337.626	337.626	320.252	334.930	316.442
198	341.926	341.926	308.941	328.635	333.271
199	342.755	342.755	316.280	319.977	320.715
200	351.530	351.530	312.088	323.228	316.440
201	368.794	368.794	311.196	317.323	322.006
202	364.884	364.884	309.123	315.973	334.589
203	355.830	355.830	305.126	313.352	326.975
204	358.829	358.829	299.966	311.753	322.080
205	336.740	336.740	308.218	310.062	331.076
206	337.763	337.763	308.264	320.115	324.180
207	335.111	335.111	306.639	318.709	326.697
208	326.512	326.512	315.202	324.820	323.096
209	332.855	332.855	313.358	323.338	335.344
210	336.420	336.420	319.659	328.454	324.509
211	327.830	327.830	321.690	328.110	319.117
212	328.927	328.927	321.216	322.595	337.570
213	332.498	332.498	316.332	335.492	346.653
214	339.224	339.224	324.582	321.355	324.826
215	345.102	345.102	331.969	324.850	326.708
216	341.796	341.796	333.431	324.509	330.101
217	346.495	346.495	332.678	324.799	328.272
218	341.550	341.550	345.769	321.775	328.792
219	345.114	345.114	343.975	323.612	324.782
220	351.661	351.661	334.976	332.179	325.499
221	359.926	359.926	333.668	329.678	330.515
222	360.188	360.188	332.785	328.098	333.012
223	351.561	351.561	330.645	334.463	344.236
224	343.016	343.016	331.212	341.009	335.036
225	350.592	350.592	334.579	330.609	324.408
226	346.109	346.109	331.619	326.866	325.736
227	342.221	342.221	325.691	325.369	338.571
228	340.451	340.451	337.959	334.373	340.197
229	341.357	341.357	332.987	338.648	334.313
230	337.195	337.195	326.942	320.809	337.028
231	335.479	335.479	319.997	321.972	335.648
232	331.026	331.026	324.513	328.444	336.129
233	334.880	334.880	319.038	317.275	334.172
234	330.548	330.548	323.046	332.142	328.831
235	341.119	341.119	334.481	336.309	331.383
236	344.666	344.666	333.142	348.585	326.501
237	340.408	340.408	338.590	333.542	330.981
238	341.993	341.993	339.964	338.585	340.804
239	355.819	355.819	339.822	336.152	342.467
240	353.851	353.851	343.904	326.883	335.983
241	356.999	356.999	348.030	321.632	335.952
242	347.160	347.160	343.021	343.152	347.317
243	344.860	344.860	345.926	329.842	339.634
244	339.998	339.998	349.271	333.094	350.164
245	352.509	352.509	357.282	340.869	352.951
246	353.862	353.862	349.117	334.718	355.932
247	348.887	348.887	346.038	342.748	352.636
248	367.697	367.697	356.708	353.039	347.136
249	366.921	366.921	350.336	347.741	349.897
250	368.486	368.486	348.181	342.320	342.303
251	384.556	384.556	343.357	360.005	364.771
252	378.361	378.361	367.871	359.452	360.576
253	369.407	369.407	358.734	353.507	358.810
254	371.215	371.215	352.896	347.509	365.518
255	364.323	364.323	359.597	351.037	360.905
256	370.091	370.091	372.647	352.189	367.817
257	383.030	383.030	365.944	356.344	350.332
258	384.514	384.514	374.436	362.554	361.779
259	388.445	388.445	384.567	353.864	377.408
260	379.826	379.826	374.340	353.814	371.519
261	390.625	390.625	366.845	361.923	371.018
262	387.727	387.727	375.406	372.175	375.176
263	388.610	388.610	379.124	376.900	374.272
264	389.816	389.816	385.086	375.001	363.749
265	383.050	383.050	381.129	373.288	379.936
266	387.871	387.871	380.917	355.433	375.210
267	377.703	377.703	377.642	373.130	362.903
268	390.341	390.341	377.453	380.341	377.264
269	400.802	400.802	389.882	379.086	386.156
270	397.007	397.007	397.445	372.425	391.202
271	412.992	412.992	408.174	377.749	407.006
272	410.576	410.576	409.668	370.419	395.138
273	415.766	415.766	391.827	377.175	403.388
274	404.985	404.985	392.629	365.701	401.154
275	405.981	405.981	399.383	381.078	389.434
276	413.795	413.795	396.727	378.810	398.546
277	393.432	393.432	393.213	375.035	387.473
278	392.792	392.792	395.550	385.862	388.444
279	405.781	405.781	378.383	391.347	365.797
