 	Profile_Slice_1	Profile_Slice_2	Profile_Slice_3	Profile_Slice_4	Profile_Slice_5	Profile_Slice_6	Profile_Slice_7	Profile_Slice_8	Profile_Slice_9
1	221.000	221.000	185.000	199.000	219.000	228.000	197.000	181.000	201.000
2	213.743	213.743	225.400	203.371	223.971	218.486	208.171	212.929	217.743
3	207.457	207.457	228.171	196.943	209.771	207.600	213.229	205.886	217.514
4	201.000	201.000	211.371	213.729	210.057	215.700	222.286	215.629	210.829
5	205.000	205.000	225.829	239.971	217.743	216.600	200.714	217.171	205.771
6	218.214	218.214	226.786	232.429	212.643	207.357	215.500	215.643	210.857
7	207.314	207.314	211.143	226.914	203.229	218.371	231.200	223.857	224.343
8	194.700	194.700	216.000	203.400	184.100	208.600	192.400	179.500	190.400
9	211.600	211.600	209.200	201.600	225.971	210.743	215.371	189.771	209.200
10	227.114	227.114	206.914	205.471	218.471	221.871	198.800	200.671	200.443
11	234.143	234.143	198.571	233.429	205.857	236.571	224.857	224.857	197.857
12	230.557	230.557	205.529	228.171	225.043	209.429	203.143	208.243	223.743
13	221.571	221.571	210.029	215.857	230.029	206.114	203.143	210.771	220.971
14	212.100	212.100	220.314	213.543	194.829	197.771	195.171	200.671	200.014
15	195.800	195.800	220.800	202.200	247.200	221.600	206.800	185.800	215.400
16	216.071	216.071	204.429	203.214	216.286	219.857	212.286	211.929	203.929
17	211.057	211.057	207.229	215.600	191.229	214.429	220.143	204.000	210.629
18	200.457	200.457	200.157	214.586	202.929	206.343	227.429	212.629	214.400
19	221.171	221.171	190.600	213.086	223.629	199.343	210.343	199.457	213.600
20	209.543	209.543	200.900	215.100	209.829	206.514	207.700	195.457	224.229
21	202.143	202.143	216.857	212.429	215.429	202.571	218.000	206.286	237.571
22	214.700	214.700	230.100	216.400	218.000	198.600	180.900	208.300	201.200
23	229.629	229.629	229.343	227.257	223.886	212.257	210.143	214.629	201.057
24	227.014	227.014	235.786	220.771	216.657	202.757	221.300	223.000	195.486
25	219.571	219.571	221.343	210.543	207.400	208.086	202.314	195.600	229.857
26	213.429	213.429	222.286	202.643	229.571	208.286	218.714	210.500	214.071
27	223.800	223.800	232.086	199.886	222.371	220.143	217.229	218.886	218.143
28	213.786	213.786	232.771	206.914	206.343	216.200	206.186	228.586	216.943
29	232.000	232.000	232.000	213.000	225.400	225.000	216.600	225.800	218.000
30	233.543	233.543	219.557	213.900	209.257	216.057	204.343	222.057	217.357
31	231.714	231.714	228.571	226.000	218.857	222.714	199.571	212.857	213.714
32	231.114	231.114	228.371	218.743	213.914	234.443	212.343	214.143	235.771
33	221.914	221.914	210.771	211.114	226.029	215.314	218.286	228.629	221.114
34	242.243	242.243	220.071	213.700	223.043	206.886	240.986	237.571	221.271
35	226.914	226.914	218.000	202.171	211.657	200.971	214.800	217.771	221.857
