 	Profile_Slice_1	Profile_Slice_2	Profile_Slice_3	Profile_Slice_4	Profile_Slice_5	Profile_Slice_6	Profile_Slice_7	Profile_Slice_8	Profile_Slice_9	Profile_Slice_10	Profile_Slice_11	Profile_Slice_12
50	1455.929	1810.522	1783.783	1685.591	1657.085	1672.958	1700.789	1635.011	1596.481	1622.814	1538.860	1491.136
51	1463.120	1794.413	1783.884	1705.304	1678.063	1677.134	1688.333	1642.328	1620.513	1648.471	1592.538	1513.945
52	1465.840	1755.217	1769.339	1725.134	1688.836	1722.203	1727.889	1646.074	1635.729	1631.016	1622.201	1554.742
53	1493.824	1725.479	1754.878	1743.795	1671.487	1744.240	1779.565	1684.416	1649.117	1654.081	1644.856	1603.199
54	1523.135	1698.842	1707.726	1716.082	1678.139	1752.133	1745.991	1682.472	1689.615	1657.662	1645.700	1629.604
55	1532.007	1663.400	1690.903	1683.662	1690.234	1752.620	1728.572	1731.342	1700.333	1673.321	1667.001	1649.226
56	1558.353	1599.849	1657.601	1644.641	1680.228	1705.902	1743.057	1737.215	1721.281	1684.776	1652.639	1646.820
57	1577.429	1576.877	1625.165	1617.864	1627.552	1660.298	1685.592	1706.136	1738.525	1709.541	1651.530	1651.124
58	1615.493	1544.990	1624.171	1565.838	1625.256	1634.946	1669.565	1706.418	1691.689	1699.643	1663.400	1686.975
59	1649.840	1504.172	1590.699	1584.433	1609.919	1614.735	1632.618	1676.396	1707.218	1701.396	1676.598	1684.449
60	1658.213	1469.400	1577.280	1547.464	1543.873	1586.747	1613.581	1658.520	1685.384	1684.091	1660.211	1649.046
61	1703.680	1441.604	1541.699	1545.132	1543.815	1551.684	1582.450	1629.285	1644.539	1667.770	1648.695	1662.889
62	1732.431	1428.041	1514.185	1512.119	1513.894	1513.316	1552.750	1595.569	1612.530	1629.516	1618.007	1691.077
63	1701.200	1397.412	1480.523	1461.216	1496.711	1475.362	1520.525	1560.706	1578.857	1588.210	1565.351	1652.526
64	1693.997	1364.697	1454.917	1441.973	1456.850	1451.446	1490.046	1516.312	1554.526	1565.374	1557.871	1618.450
65	1690.246	1327.551	1433.132	1422.748	1420.304	1412.925	1473.098	1496.948	1542.766	1568.674	1542.133	1632.901
66	1585.867	1314.719	1382.669	1375.549	1396.321	1397.548	1433.336	1474.651	1509.541	1531.045	1542.674	1571.396
67	1576.806	1319.441	1366.110	1369.408	1378.993	1369.125	1395.351	1436.938	1480.486	1502.991	1519.524	1555.049
68	1568.464	1297.069	1325.973	1347.301	1336.059	1342.019	1377.862	1389.889	1432.064	1454.157	1472.184	1556.284
69	1529.073	1253.237	1299.179	1317.916	1333.598	1335.584	1342.772	1387.753	1440.488	1436.766	1439.320	1541.509
70	1528.535	1252.014	1258.904	1282.077	1305.483	1290.102	1342.895	1367.191	1396.497	1411.625	1416.787	1493.285
71	1487.239	1228.359	1229.174	1266.019	1290.154	1290.611	1320.304	1344.328	1381.966	1390.561	1390.051	1485.278
72	1502.157	1218.486	1235.625	1244.341	1275.885	1275.564	1307.569	1325.195	1381.520	1358.589	1393.485	1476.955
73	1482.706	1195.055	1237.571	1224.559	1248.944	1267.013	1286.616	1314.322	1330.010	1363.786	1393.098	1457.124
74	1473.892	1184.335	1213.925	1204.097	1230.400	1242.666	1277.192	1313.248	1304.597	1329.322	1399.585	1449.541
75	1450.714	1136.867	1188.370	1200.868	1219.143	1216.904	1260.457	1283.937	1291.886	1328.664	1383.802	1415.826
76	1418.400	1122.860	1175.265	1194.234	1211.818	1185.085	1245.779	1263.145	1279.544	1289.271	1344.764	1421.004
77	1406.356	1131.119	1156.461	1167.321	1190.175	1165.525	1221.952	1264.795	1265.482	1294.021	1341.784	1422.953
78	1397.317	1115.091	1128.877	1162.791	1161.503	1156.895	1212.243	1237.722	1264.921	1284.474	1332.240	1398.728
79	1398.981	1076.673	1106.135	1129.526	1146.981	1141.655	1200.261	1223.606	1244.754	1277.261	1318.896	1383.961
80	1350.688	1070.133	1114.358	1120.703	1138.497	1138.119	1178.552	1196.486	1217.025	1242.395	1305.568	1350.598
81	1341.775	1051.463	1092.627	1124.962	1133.486	1133.334	1169.032	1176.638	1227.433	1253.911	1310.806	1326.897
82	1317.911	1032.194	1080.770	1109.274	1125.515	1108.738	1167.640	1167.482	1205.557	1233.317	1299.159	1304.656
