 	Profile_Slice_1	Profile_Slice_2	Profile_Slice_3	Profile_Slice_4	Profile_Slice_5	Profile_Slice_6	Profile_Slice_7	Profile_Slice_8	Profile_Slice_9	Profile_Slice_10	Profile_Slice_11	Profile_Slice_12	Profile_Slice_13	Profile_Slice_14	Profile_Slice_15	Profile_Slice_16	Profile_Slice_17
1	618.434	618.434	600.528	603.297	585.412	619.435	603.675	600.648	624.502	622.940	618.734	627.021	632.402	637.372	627.864	633.839	639.275
2	608.726	608.726	611.989	598.366	594.649	618.383	608.480	600.844	614.730	631.271	623.161	617.306	618.883	622.406	617.759	639.220	643.466
3	626.456	626.456	622.782	611.725	617.308	623.357	631.081	598.036	613.384	618.517	635.149	618.951	615.497	623.698	620.772	633.689	646.431
4	640.535	640.535	622.382	613.686	599.279	615.694	616.849	608.044	610.644	624.291	626.082	616.745	618.300	629.623	621.164	655.932	635.678
5	619.174	619.174	599.616	621.966	611.014	611.851	603.829	605.934	620.021	628.979	623.706	634.266	618.904	634.788	623.033	640.063	643.720
6	619.442	619.442	619.022	622.281	606.925	605.280	614.493	609.762	628.232	638.440	637.115	640.021	623.396	632.392	621.056	633.158	634.703
7	619.825	619.825	631.484	632.493	592.314	619.993	625.762	632.302	640.093	642.569	631.771	624.570	631.889	630.796	639.307	645.442	646.096
8	620.200	620.200	623.142	622.415	614.484	643.185	640.899	614.135	647.217	635.147	625.605	642.585	620.470	621.928	647.487	640.878	635.033
9	616.773	616.773	607.808	614.567	617.349	624.785	629.965	631.140	647.165	618.897	637.582	648.795	624.842	637.769	637.710	657.913	638.085
10	622.057	622.057	617.438	619.704	621.164	630.611	642.995	620.175	632.724	635.105	636.970	633.072	629.483	656.849	639.898	660.809	637.354
11	624.633	624.633	618.294	637.415	615.031	646.756	647.975	629.541	625.906	638.027	641.160	642.788	623.023	645.250	647.260	638.955	642.458
12	623.246	623.246	618.697	627.382	610.372	620.598	649.829	624.696	639.613	626.756	636.685	642.008	635.472	641.958	632.111	617.091	644.772
13	634.588	634.588	632.924	628.551	627.453	631.078	640.074	633.746	642.523	621.601	644.878	657.208	641.224	639.488	628.464	635.681	633.391
14	630.239	630.239	643.501	638.535	630.483	640.013	638.761	638.052	644.677	626.607	646.982	655.680	646.438	655.503	638.417	646.381	646.507
15	638.132	638.132	640.325	644.210	641.241	635.418	639.211	647.838	640.202	653.585	628.722	663.400	640.660	645.585	648.510	644.322	641.004
16	630.179	630.179	648.365	638.875	647.191	642.968	643.113	650.027	653.414	624.325	649.739	652.448	648.088	644.832	651.738	648.223	646.233
17	631.282	631.282	654.640	652.127	633.538	654.410	632.797	642.146	649.109	639.501	655.847	662.147	654.753	654.334	644.078	663.302	660.960
18	656.490	656.490	646.132	649.551	651.720	634.059	629.942	640.487	643.095	650.074	644.237	648.845	648.619	666.673	645.420	657.283	646.742
19	646.808	646.808	659.802	641.891	646.771	638.772	646.073	659.299	646.580	670.269	653.316	669.334	637.336	670.482	630.357	645.266	654.074
20	644.190	644.190	644.709	650.227	636.319	664.683	660.373	649.684	639.753	663.563	651.806	671.076	643.172	655.481	637.152	657.849	655.591
21	659.461	659.461	653.410	655.811	656.215	659.342	641.546	650.424	647.923	657.955	650.076	632.044	648.109	652.831	642.725	647.126	660.413
22	660.823	660.823	656.237	648.667	652.699	659.873	640.804	644.976	644.979	656.272	658.267	648.044	645.734	653.754	650.760	660.230	652.242
23	653.160	653.160	654.403	662.737	643.765	640.997	668.733	664.597	652.659	646.462	661.491	660.832	639.945	646.843	657.463	668.524	647.412
24	657.340	657.340	651.549	660.253	651.569	650.278	636.372	653.613	651.304	638.099	654.316	652.717	641.689	651.208	647.265	649.551	661.744
25	657.430	657.430	639.405	655.960	646.664	638.206	647.243	651.795	647.996	652.614	659.364	643.637	660.336	647.859	656.555	645.227	656.077
26	665.256	665.256	650.683	657.304	641.337	650.968	656.085	637.609	641.258	655.230	652.701	667.585	653.634	654.958	668.997	655.290	666.323
27	656.881	656.881	653.361	658.926	655.031	646.671	666.134	640.649	649.079	646.576	657.010	658.503	655.505	652.754	666.722	662.574	643.659
28	655.522	655.522	660.757	648.057	645.226	649.813	665.372	637.302	659.421	649.247	666.349	669.016	646.628	650.878	664.001	649.426	657.564
29	653.953	653.953	663.278	643.494	656.750	646.352	649.841	649.142	649.242	656.340	659.553	677.622	648.592	650.916	661.120	654.894	657.166
30	668.559	668.559	666.869	629.618	639.106	636.355	640.231	658.920	645.263	659.516	651.313	669.803	654.872	647.764	631.862	660.881	645.155
31	672.345	672.345	660.246	638.256	641.665	641.712	652.464	654.975	624.148	647.609	661.787	658.815	669.177	643.130	651.866	650.252	649.578
32	668.924	668.924	667.562	647.324	642.973	665.372	661.775	645.417	634.356	667.065	670.429	675.627	672.675	653.290	640.292	647.898	656.753
33	681.648	681.648	653.123	642.752	638.140	652.923	662.795	651.964	662.254	653.135	668.762	673.076	660.854	648.878	663.163	652.626	635.778
34	669.913	669.913	652.715	645.308	638.197	649.397	656.419	634.911	663.194	663.616	672.980	669.667	676.224	664.723	652.373	653.982	644.381
35	644.926	644.926	656.333	640.287	644.408	657.351	660.748	658.610	641.973	674.075	671.094	657.240	673.674	678.135	652.626	649.578	649.440
36	670.318	670.318	683.012	647.021	629.312	662.136	667.771	647.920	639.926	667.844	669.258	647.683	688.750	668.998	653.617	678.006	652.853
37	666.597	666.597	655.758	634.455	642.925	660.025	668.294	646.765	641.312	671.486	670.991	678.794	676.028	668.615	666.092	677.234	654.821
38	660.302	660.302	658.027	638.789	665.135	649.535	659.393	656.670	649.761	670.788	676.548	686.976	666.418	692.434	664.333	673.444	650.546
39	674.842	674.842	666.180	654.617	660.586	652.893	652.244	644.354	681.671	670.804	675.912	671.827	667.351	683.420	684.938	675.489	669.077
40	668.756	668.756	658.250	651.271	663.669	667.134	650.756	631.039	659.667	655.284	657.906	679.003	685.288	669.810	671.550	657.125	654.538
41	658.153	658.153	655.165	667.199	651.869	658.415	655.029	666.258	683.116	671.491	685.253	696.221	689.667	674.703	682.636	671.511	658.264
42	663.974	663.974	656.289	649.516	655.399	679.522	682.292	670.588	682.097	693.113	694.742	676.063	687.350	683.249	687.031	686.234	670.647
43	668.736	668.736	667.909	677.877	650.781	691.889	661.147	674.638	681.148	666.534	679.818	685.522	685.861	674.315	675.453	689.798	674.319
44	675.780	675.780	671.917	679.853	666.968	701.971	684.661	672.956	678.561	674.109	691.810	681.068	708.458	670.507	681.068	692.562	668.115
45	681.658	681.658	670.763	679.173	688.066	683.911	693.441	687.204	676.503	689.163	689.511	696.440	691.329	673.740	685.620	695.163	669.454
46	684.523	684.523	674.043	681.531	670.028	691.132	686.899	689.799	679.562	689.952	692.443	720.230	690.385	680.290	692.363	711.485	675.697
47	687.668	687.668	695.721	675.799	668.280	685.327	677.284	674.841	671.104	687.154	691.446	701.388	697.963	689.381	698.628	705.140	690.988
48	677.633	677.633	679.867	684.698	670.359	706.388	679.530	699.770	680.848	675.367	691.449	701.298	694.943	697.533	685.287	689.767	694.236
49	688.124	688.124	694.664	686.727	687.815	717.240	706.966	674.260	684.295	681.133	692.427	719.978	713.805	693.834	689.679	704.135	678.075
50	717.317	717.317	699.480	688.984	682.258	696.169	692.006	707.038	692.087	688.586	695.060	728.359	727.200	704.283	717.554	688.559	705.970
51	725.313	725.313	692.347	695.906	692.044	709.356	697.580	675.577	693.705	702.879	690.980	727.386	718.718	703.435	707.801	698.460	695.746
52	722.135	722.135	685.648	684.975	688.342	711.495	709.079	685.267	703.878	694.347	697.731	733.988	730.817	710.129	709.487	702.769	695.605
53	708.608	708.608	697.936	685.188	688.696	715.920	709.604	700.158	701.653	695.202	722.955	728.531	721.006	708.079	714.952	702.168	696.055
54	735.904	735.904	724.157	694.586	712.323	709.560	715.677	707.897	698.326	706.913	727.619	740.107	719.269	734.134	708.434	712.068	690.680
55	726.360	726.360	703.180	682.389	704.174	736.069	711.219	698.214	707.196	693.482	732.024	746.668	723.566	707.808	690.722	709.126	699.311
56	721.469	721.469	718.906	710.526	722.805	738.483	720.627	710.322	723.343	704.957	710.529	742.258	745.707	695.922	704.600	720.407	696.164
57	727.174	727.174	727.993	707.514	711.703	728.918	724.673	713.469	721.567	700.530	715.840	741.722	743.218	714.600	705.048	704.575	720.159
58	732.291	732.291	722.830	707.391	711.621	732.189	730.041	698.374	709.627	704.014	727.142	719.036	733.194	728.146	713.475	703.930	707.265
59	745.454	745.454	730.139	718.769	725.270	743.708	734.472	713.979	715.060	719.216	732.357	751.178	744.836	746.541	737.438	722.252	703.105
60	748.718	748.718	732.187	722.733	723.800	736.341	744.754	717.832	700.024	728.490	728.333	749.175	747.509	740.126	732.322	733.352	712.261
61	759.453	759.453	742.609	724.393	727.908	762.006	759.383	723.403	702.811	738.603	729.770	756.991	767.060	725.414	753.997	728.703	700.253
62	770.248	770.248	757.157	720.564	743.616	758.765	769.799	710.285	729.075	726.697	735.795	746.385	772.867	744.669	766.233	737.966	728.973
63	779.292	779.292	742.004	732.559	747.324	776.573	786.151	710.382	725.954	723.430	752.273	768.292	779.981	744.346	749.226	749.796	736.513
64	796.549	796.549	764.239	757.321	752.418	790.227	793.324	710.010	726.874	730.508	770.382	774.944	774.465	762.258	759.442	763.091	734.391
65	797.054	797.054	798.053	767.016	766.476	784.341	779.398	706.124	735.264	724.363	799.508	769.773	784.195	775.705	758.503	741.603	729.277
66	806.936	806.936	785.686	770.554	762.117	797.413	787.665	709.641	750.975	741.161	797.980	784.098	797.650	779.780	768.019	780.459	739.680
67	822.935	822.935	777.714	761.774	755.020	799.202	810.455	731.517	749.462	757.318	799.874	797.186	805.952	795.823	772.889	782.062	763.543
68	834.643	834.643	791.899	775.341	764.527	834.017	809.451	747.010	748.408	753.179	807.810	813.514	815.570	794.946	777.497	790.785	763.609
69	856.705	856.705	806.662	790.003	783.775	844.727	832.937	747.105	764.118	749.173	818.173	810.744	847.720	791.189	796.555	798.794	776.518
70	858.403	858.403	806.929	803.588	800.036	849.635	830.782	757.055	785.466	784.673	796.232	840.573	859.653	805.126	802.843	806.339	787.889
71	886.617	886.617	830.800	797.157	789.158	867.107	832.210	763.094	788.718	777.596	838.595	851.842	875.892	815.855	830.047	814.615	786.404
72	905.684	905.684	834.655	824.506	786.342	866.766	835.187	777.668	797.087	775.349	853.669	857.490	888.000	822.854	852.017	840.207	811.378
73	920.943	920.943	838.828	836.327	840.041	867.689	868.376	785.699	813.979	789.435	856.190	876.970	902.390	831.628	847.196	848.182	801.497
74	917.421	917.421	847.706	853.480	860.314	886.718	899.278	797.627	816.055	795.205	877.427	876.563	919.874	848.749	856.513	857.362	810.598
75	940.197	940.197	891.789	844.990	843.551	903.149	905.625	806.805	819.118	817.057	905.171	894.483	931.825	869.698	848.482	856.307	834.576
76	956.768	956.768	904.664	867.104	867.113	938.513	937.984	826.473	858.001	825.662	917.877	919.259	953.904	874.084	860.331	886.636	857.200
77	980.698	980.698	959.346	892.643	900.144	952.870	937.839	817.758	867.570	840.052	933.925	979.141	988.682	859.495	865.161	882.239	843.199
78	992.643	992.643	971.866	920.125	901.149	965.759	964.243	843.708	858.790	862.428	925.222	970.381	1051.498	888.828	900.265	889.850	841.434
79	1031.994	1031.994	973.957	942.633	914.446	994.485	998.591	867.931	857.900	872.589	954.368	998.350	1085.248	896.481	920.723	906.027	859.485
80	1103.814	1103.814	1013.549	955.133	909.824	1025.826	1026.867	850.619	865.468	847.130	979.698	996.867	1141.944	929.714	949.458	934.267	852.154
81	1151.489	1151.489	1062.571	962.437	921.620	1086.159	1076.601	899.798	900.868	873.409	1028.425	1034.268	1190.182	956.319	988.324	964.818	877.792
82	1207.550	1207.550	1133.503	1000.570	952.703	1146.933	1120.688	901.246	921.751	887.681	1041.674	1053.586	1180.443	997.034	1037.371	991.022	867.132
