 	Profile_Slice_1	Profile_Slice_2	Profile_Slice_3	Profile_Slice_4	Profile_Slice_5	Profile_Slice_6	Profile_Slice_7
105	605.832	608.143	583.980	595.877	616.258	594.652	594.731
106	606.810	589.685	588.132	596.320	605.769	604.161	604.385
107	619.613	595.914	591.965	596.910	604.513	613.433	600.677
108	613.122	601.391	586.090	594.989	606.431	604.045	599.974
109	613.528	588.970	587.309	598.883	600.709	606.540	613.307
110	608.445	582.038	584.065	593.499	605.501	603.439	599.158
111	623.825	583.526	581.414	589.270	613.247	608.072	613.371
112	613.343	592.401	598.714	600.420	623.722	619.817	620.630
113	616.341	587.509	599.433	617.882	629.417	613.848	623.661
114	632.384	602.204	603.968	612.986	617.465	623.464	624.167
115	630.147	612.642	603.887	628.845	626.194	626.411	625.374
116	639.423	616.272	609.954	612.423	622.334	633.718	625.534
117	660.499	616.320	616.998	616.520	619.149	634.154	655.521
118	639.297	608.637	636.896	642.597	634.212	641.526	649.265
119	637.829	609.306	618.123	643.096	641.795	643.399	647.147
120	634.111	622.250	629.665	637.091	643.546	637.560	644.606
121	627.843	629.709	627.539	632.129	630.704	635.185	642.984
122	631.614	640.171	636.764	636.997	629.823	640.986	649.413
123	639.312	645.727	626.072	639.065	642.921	641.974	636.366
124	633.255	628.554	619.333	624.544	636.585	629.458	640.171
125	633.585	623.289	627.196	627.409	643.393	623.381	648.879
126	629.697	628.876	622.918	615.242	636.360	651.636	641.353
127	639.190	626.202	608.345	622.753	631.528	636.908	641.259
128	651.630	630.324	614.731	630.665	636.281	638.312	634.323
129	636.696	625.945	619.966	619.236	632.523	632.781	641.844
130	623.192	619.355	610.319	641.663	625.636	636.883	643.184
131	631.718	631.330	620.533	637.743	629.275	630.570	647.569
132	629.961	630.521	620.418	651.984	626.745	651.846	650.476
133	627.128	623.961	632.395	647.352	640.620	639.133	655.609
134	634.467	629.050	618.796	639.602	656.173	634.204	640.759
135	639.967	634.842	629.459	640.333	642.146	638.536	645.730
136	636.842	618.970	629.451	636.691	635.488	646.825	638.021
137	644.286	625.641	624.957	640.103	645.342	643.927	651.453
138	636.464	633.215	622.309	637.325	639.684	640.157	634.043
139	648.170	624.398	627.913	640.692	650.225	638.414	644.889
140	642.158	626.068	631.160	648.872	648.688	654.224	652.712
141	648.430	648.410	638.574	642.821	646.991	656.191	645.435
142	646.124	651.179	638.925	652.663	654.740	649.062	655.579
143	662.601	636.848	638.926	648.234	654.789	655.767	651.875
144	662.800	649.951	633.005	649.508	666.548	654.903	665.173
145	661.591	645.366	644.163	656.743	675.374	668.782	658.467
146	662.364	647.069	661.028	647.839	662.963	677.874	664.590
147	663.309	651.758	656.851	651.432	653.505	668.030	664.156
148	676.381	654.765	664.236	652.666	672.191	669.855	672.343
149	686.984	655.552	665.749	656.974	673.670	684.099	670.706
150	680.144	643.984	657.181	685.795	668.960	671.491	672.181
151	672.532	649.515	649.180	674.070	671.393	670.174	685.962
152	685.768	667.368	667.557	682.111	685.646	682.469	691.505
153	689.978	661.885	683.654	682.916	680.174	683.121	692.731
154	697.329	682.619	684.479	687.358	685.232	686.134	682.494
155	712.315	686.297	686.967	700.249	681.233	706.088	708.927
156	714.701	696.117	712.143	706.423	691.010	709.715	711.280
157	714.982	698.475	698.740	693.490	705.012	718.170	720.073
158	587.654	587.654	593.912	599.546	609.338	611.007	603.979
159	602.112	602.112	579.160	606.516	606.255	623.270	626.211
160	599.837	599.837	594.167	611.681	603.339	621.220	627.486
161	586.575	586.575	599.003	606.707	614.572	611.569	627.490
162	600.855	600.855	596.953	617.760	605.766	625.636	625.845
163	598.268	598.268	600.464	625.629	605.946	623.471	625.718
164	609.365	609.365	607.181	617.591	610.117	636.476	644.276
165	600.045	600.045	592.855	623.734	613.096	622.563	642.935
166	611.112	611.112	608.434	613.710	625.883	618.669	647.019
167	606.976	606.976	612.092	618.781	637.080	625.386	644.242
168	590.569	590.569	611.786	625.559	631.470	637.782	641.880
169	600.815	600.815	625.284	625.307	625.689	637.654	649.574
170	620.491	620.491	630.307	628.366	616.980	643.895	646.638
171	604.153	604.153	626.786	635.428	622.323	642.271	639.626
