 	Profile_Slice_1	Profile_Slice_2	Profile_Slice_3	Profile_Slice_4	Profile_Slice_5	Profile_Slice_6	Profile_Slice_7	Profile_Slice_8	Profile_Slice_9	Profile_Slice_10	Profile_Slice_11	Profile_Slice_12	Profile_Slice_13	Profile_Slice_14	Profile_Slice_15	Profile_Slice_16	Profile_Slice_17
1	242.594	241.383	248.248	239.856	246.975	241.856	242.345	236.846	232.832	233.031	243.101	256.842	239.873	247.158	231.036	235.132	236.456
2	235.161	241.185	239.806	241.876	242.242	242.938	246.337	244.282	242.412	242.103	245.976	252.803	236.148	250.695	229.580	242.458	246.654
3	230.438	237.168	240.384	249.040	238.529	242.466	249.828	247.993	249.394	238.403	239.929	251.587	242.050	243.312	245.286	248.859	254.748
4	238.291	239.096	244.975	249.224	247.912	240.249	243.463	246.832	245.135	233.461	243.956	250.601	251.529	246.845	239.945	245.891	250.605
5	243.277	250.524	248.996	255.874	250.535	243.608	249.240	249.502	246.667	243.341	242.055	253.589	249.552	246.843	248.072	245.150	248.186
6	243.779	248.996	247.125	256.704	244.670	251.362	245.279	260.957	245.703	247.572	247.844	256.372	240.683	250.661	245.735	256.158	252.114
7	252.393	253.549	249.400	255.688	248.692	248.754	240.852	255.833	251.928	252.128	241.485	254.314	243.682	250.087	249.329	247.941	249.145
8	245.883	253.126	250.396	251.544	252.712	253.119	255.913	250.258	255.820	254.540	245.469	253.620	250.552	247.100	249.260	248.206	255.365
9	243.902	253.706	249.463	256.608	252.022	248.934	266.562	260.201	255.784	251.343	244.420	262.092	245.557	244.765	247.303	247.532	253.175
10	250.391	251.591	258.222	252.336	252.331	249.641	259.860	256.511	254.277	249.790	246.378	261.029	248.015	249.726	267.543	254.353	252.349
11	249.142	249.672	254.479	260.445	264.383	253.741	258.986	263.786	250.414	244.816	249.503	259.903	253.417	255.957	254.146	257.167	250.284
12	261.991	253.802	263.507	264.406	257.844	261.624	258.638	256.585	253.347	251.775	264.589	266.124	256.553	250.336	261.449	259.942	250.781
13	249.186	254.422	265.625	261.260	257.387	251.159	258.720	258.699	247.416	245.218	248.593	269.157	255.180	255.101	255.586	265.744	255.977
14	252.743	255.720	260.057	261.062	261.782	251.976	265.114	262.987	251.802	248.950	258.054	257.660	263.291	262.574	259.799	265.291	260.237
15	253.692	254.359	256.742	251.773	268.611	260.446	267.556	255.955	261.285	253.376	254.031	257.452	264.587	257.394	255.501	246.623	262.609
16	260.946	256.038	260.425	250.948	264.142	260.419	266.251	263.994	264.993	261.015	254.279	276.364	278.750	256.301	265.655	261.618	261.681
17	256.816	264.867	266.088	266.987	263.655	266.676	268.530	267.116	268.374	251.292	269.390	268.503	272.827	255.854	258.453	270.974	263.381
18	268.594	265.694	259.973	268.466	263.858	267.358	264.771	267.482	266.237	259.566	265.873	275.484	261.258	267.303	265.826	270.078	259.472
19	265.646	271.732	259.557	267.188	275.859	269.670	274.181	277.449	262.216	271.176	268.225	275.506	282.461	273.240	273.064	267.041	258.970
20	269.656	263.145	269.808	278.527	270.482	266.841	275.350	284.126	266.530	275.458	263.350	266.313	279.760	271.372	265.353	269.023	267.036
21	277.631	256.195	266.285	265.478	277.875	271.000	288.029	271.787	273.445	273.549	277.322	280.666	269.585	279.184	268.757	278.772	271.031
22	267.741	270.825	274.584	269.105	271.746	280.853	269.373	274.447	278.649	268.630	274.571	278.219	278.716	285.307	271.146	269.865	276.004
23	276.677	269.749	272.619	273.979	265.802	276.460	278.371	276.093	282.058	277.221	277.572	290.734	274.406	280.057	268.769	278.462	276.670
24	274.376	277.484	270.757	284.355	271.005	277.304	286.859	287.563	282.827	283.998	295.669	279.974	271.798	284.298	274.232	277.657	274.333
25	274.614	276.961	281.922	276.037	278.396	285.435	286.401	297.843	285.930	280.199	280.401	285.329	276.080	287.658	278.948	277.196	278.511
26	287.773	285.449	284.978	283.167	280.347	289.067	299.998	298.788	282.821	284.888	276.991	295.776	279.333	276.620	284.372	273.869	277.953
27	275.472	292.171	279.373	294.244	288.122	297.340	297.891	293.663	280.939	281.925	279.889	302.443	274.467	287.668	275.906	277.692	271.186
28	282.903	293.425	290.716	302.114	285.842	286.951	294.218	292.149	281.638	287.709	290.113	298.294	285.812	273.547	292.233	282.154	274.371
29	282.335	284.911	288.245	292.413	285.851	292.696	289.535	289.722	292.580	290.981	284.600	297.892	284.880	287.282	288.821	285.656	287.543
30	287.315	286.234	302.433	292.496	304.063	292.872	303.229	300.091	293.763	292.512	297.654	304.287	289.617	295.358	296.546	288.433	283.635
31	299.534	287.750	294.818	295.907	301.927	306.093	298.598	304.012	295.329	295.536	295.882	302.281	300.015	292.996	292.208	287.102	285.528
32	301.201	296.578	306.776	298.669	309.223	303.006	315.429	310.799	293.051	299.799	302.979	314.932	303.183	301.521	295.068	290.211	297.741
33	303.123	305.806	302.468	306.908	317.484	308.988	313.430	306.361	303.764	306.137	314.207	325.456	295.588	290.209	298.011	292.410	300.665
34	302.470	303.587	318.038	307.577	317.186	309.303	312.369	314.329	318.228	312.152	310.876	325.438	308.832	306.096	301.272	308.700	305.542
35	300.907	301.627	315.763	320.083	305.108	317.981	324.222	319.762	304.306	299.899	313.195	325.409	317.950	312.848	298.779	310.622	309.121
36	296.931	306.291	317.640	325.725	322.134	314.927	328.265	334.066	314.341	299.206	317.049	326.892	319.566	314.491	307.166	303.021	303.419
37	309.904	305.025	324.193	325.066	327.251	331.686	342.933	323.702	319.131	311.670	325.298	336.568	314.515	312.807	317.221	305.946	318.676
38	305.564	326.169	328.949	326.377	329.813	334.226	340.663	338.613	324.643	319.740	333.357	331.919	319.166	324.727	310.598	322.774	317.150
39	317.286	326.922	331.410	332.078	332.450	326.932	356.966	346.639	327.293	317.756	338.211	328.569	328.552	313.813	316.998	321.485	325.956
