 	Profile_Slice_1	Profile_Slice_2	Profile_Slice_3	Profile_Slice_4	Profile_Slice_5	Profile_Slice_6	Profile_Slice_7	Profile_Slice_8	Profile_Slice_9	Profile_Slice_10	Profile_Slice_11	Profile_Slice_12
1	511.266	577.454	509.834	511.266	498.618	503.161	502.187	492.522	482.034	487.185	472.320	485.970
2	500.116	553.663	514.646	500.116	492.376	497.235	499.619	495.792	495.694	473.920	474.002	475.633
3	502.142	574.121	509.633	502.142	488.008	490.822	485.378	498.795	480.314	471.499	475.346	484.494
4	476.422	578.354	489.289	476.422	488.613	486.023	492.762	497.513	483.298	480.329	478.053	489.944
5	488.737	563.512	495.764	488.737	478.909	493.951	486.691	497.764	487.320	486.458	483.776	479.643
6	474.282	573.030	506.736	474.282	485.219	484.338	476.033	491.185	474.623	467.121	482.180	482.426
7	498.709	574.913	495.958	498.709	488.380	480.031	470.423	488.185	484.082	491.205	499.302	485.633
8	471.497	568.677	499.204	471.497	477.245	471.452	486.615	488.633	467.107	466.732	484.120	494.811
9	499.104	571.209	503.289	499.104	476.357	481.119	482.678	480.303	480.178	484.669	477.417	489.085
10	507.838	580.814	488.822	507.838	486.854	477.410	473.412	481.431	482.422	487.523	472.755	480.980
11	480.480	581.717	484.151	480.480	477.086	488.182	478.872	487.340	488.487	483.067	469.575	469.286
12	485.194	570.511	504.050	485.194	491.399	465.389	476.000	484.225	478.780	484.495	482.925	478.153
13	489.158	563.338	495.191	489.158	483.607	478.047	483.834	490.670	480.967	478.217	458.062	468.291
14	481.306	568.762	496.012	481.306	489.621	478.241	489.022	482.059	491.753	470.808	475.149	475.756
15	478.126	583.948	498.324	478.126	479.190	488.369	462.758	484.004	461.810	481.951	477.412	472.612
16	469.852	563.043	497.934	469.852	476.910	482.970	480.373	478.253	483.593	473.929	475.616	485.737
17	487.992	558.354	472.103	487.992	487.519	462.414	482.542	463.248	496.303	488.447	476.775	480.379
18	488.555	570.489	487.211	488.555	491.545	474.036	474.555	479.308	485.222	476.705	473.561	481.436
19	497.779	559.200	468.786	497.779	475.816	469.998	472.413	490.427	488.916	482.511	477.810	482.714
20	487.407	569.286	475.200	487.407	468.004	490.094	471.771	482.595	498.100	480.809	486.790	473.862
21	468.088	552.005	470.658	468.088	476.710	467.957	467.281	476.414	481.933	467.190	475.001	458.609
22	486.210	556.750	479.045	486.210	483.937	474.209	473.922	483.182	483.653	477.021	479.839	459.361
23	485.276	554.297	472.086	485.276	472.684	459.611	478.330	463.835	477.794	480.567	482.937	465.832
24	475.447	569.834	483.506	475.447	483.680	473.250	476.695	472.691	482.252	473.672	468.122	468.528
25	492.330	570.072	492.219	492.330	479.710	479.725	474.511	475.581	476.630	483.315	480.441	481.258
