 	Profile_Slice_1	Profile_Slice_2	Profile_Slice_3	Profile_Slice_4	Profile_Slice_5	Profile_Slice_6	Profile_Slice_7	Profile_Slice_8	Profile_Slice_9	Profile_Slice_10	Profile_Slice_11	Profile_Slice_12	Profile_Slice_13	Profile_Slice_14
1	1481.952	1481.952	1434.787	1400.702	1418.522	1387.691	1435.119	1425.342	1364.155	1396.316	1364.320	1353.873	1352.941	1344.606
2	1501.675	1501.675	1464.086	1396.948	1411.607	1388.854	1421.085	1435.822	1366.088	1379.875	1365.952	1376.291	1348.335	1355.133
3	1492.272	1492.272	1445.616	1403.163	1425.282	1408.605	1433.009	1428.047	1377.074	1391.014	1374.205	1348.554	1341.858	1342.539
4	1489.787	1489.787	1470.078	1438.798	1432.293	1391.082	1429.701	1429.198	1374.561	1369.329	1356.450	1360.286	1348.715	1345.764
5	1487.041	1487.041	1479.779	1428.192	1428.233	1385.455	1417.313	1412.385	1355.824	1381.364	1376.096	1358.464	1350.149	1335.756
6	1497.091	1497.091	1446.791	1402.110	1429.617	1378.338	1431.176	1440.235	1388.196	1408.022	1369.258	1367.045	1348.125	1343.815
7	1492.334	1492.334	1455.257	1394.690	1456.582	1375.658	1420.379	1421.929	1383.398	1399.607	1366.857	1368.182	1361.433	1334.141
8	1484.846	1484.846	1456.579	1406.440	1438.969	1387.832	1446.142	1434.270	1359.841	1400.431	1358.044	1370.989	1367.618	1361.189
9	1501.762	1501.762	1457.123	1415.640	1436.829	1393.642	1429.000	1437.473	1370.845	1409.374	1364.435	1370.829	1355.960	1361.602
10	1489.857	1489.857	1460.202	1398.949	1454.838	1400.393	1451.582	1455.456	1368.345	1392.239	1377.815	1368.028	1356.039	1348.729
11	1499.535	1499.535	1468.638	1415.612	1445.071	1406.168	1454.465	1440.044	1383.513	1375.561	1387.594	1378.975	1368.884	1335.355
12	1493.557	1493.557	1454.813	1425.641	1458.782	1409.266	1444.610	1427.192	1365.728	1394.257	1401.101	1350.973	1360.208	1367.472
13	1506.111	1506.111	1447.768	1416.702	1455.475	1404.150	1434.733	1446.393	1375.345	1404.742	1396.310	1363.683	1352.070	1370.094
14	1499.853	1499.853	1465.353	1432.286	1453.121	1396.738	1442.464	1458.257	1389.480	1405.770	1396.386	1374.084	1364.380	1369.041
15	1521.552	1521.552	1448.170	1420.928	1460.813	1421.509	1463.062	1436.799	1395.715	1404.755	1394.544	1364.075	1373.628	1349.256
16	1521.778	1521.778	1467.805	1433.227	1457.982	1426.224	1449.209	1442.788	1401.022	1439.220	1391.803	1370.870	1372.575	1357.418
17	1509.869	1509.869	1474.742	1437.751	1464.065	1408.435	1429.383	1445.100	1408.216	1423.667	1373.772	1389.756	1353.033	1367.239
