 	Profile_Slice_1	Profile_Slice_2	Profile_Slice_3	Profile_Slice_4
176	519.027	536.624	506.312	514.959
177	519.820	529.505	505.645	522.180
178	521.864	531.302	527.890	525.418
179	525.118	518.381	512.985	524.713
180	531.929	517.653	515.093	529.010
181	529.359	511.519	518.553	521.480
182	524.983	524.949	518.245	505.241
183	536.843	537.419	538.116	525.401
184	518.885	537.579	520.698	531.776
185	531.172	549.977	529.637	514.785
186	520.404	541.204	541.946	526.250
187	528.533	535.771	536.678	541.824
188	542.226	544.460	560.829	535.808
189	536.745	534.055	536.850	524.107
190	542.524	563.359	541.089	548.132
191	551.414	550.418	537.744	552.360
192	548.971	548.124	551.975	549.653
193	546.274	555.398	546.820	558.464
194	550.070	557.172	548.046	557.074
195	564.945	558.058	540.997	555.692
196	542.906	551.573	536.017	553.888
197	539.885	571.083	542.072	544.317
198	547.338	572.969	562.957	538.788
199	545.885	573.459	566.952	568.635
200	531.648	578.410	560.506	563.807
201	556.689	574.704	575.165	576.096
202	566.160	575.334	574.753	567.656
203	580.798	573.430	588.343	588.063
204	569.445	574.423	576.644	608.329
205	576.433	606.154	583.616	599.643
206	583.582	609.295	574.448	588.382
207	588.410	609.303	577.300	596.777
208	588.354	605.856	595.234	599.050
209	600.651	611.760	622.965	594.467
210	611.128	617.838	625.685	612.903
211	599.501	629.830	614.245	610.113
212	600.226	638.806	626.307	629.984
213	626.469	633.185	631.754	625.665
214	631.499	638.810	627.113	620.339
215	619.757	639.249	627.112	615.495
216	270.766	270.766	259.361	250.348
217	258.625	258.625	245.877	248.320
218	254.082	254.082	253.966	250.215
219	258.006	258.006	250.103	244.507
220	255.805	255.805	253.974	239.933
221	250.663	250.663	253.086	243.696
222	251.844	251.844	262.154	259.015
223	252.482	252.482	259.128	250.157
224	254.504	254.504	251.304	244.590
225	251.574	251.574	249.667	241.164
226	256.159	256.159	256.363	249.523
227	260.503	260.503	249.348	251.505
228	257.126	257.126	248.739	257.384
229	260.954	260.954	248.409	252.870
230	258.679	258.679	248.446	247.602
231	251.082	251.082	247.467	248.073
232	257.902	257.902	250.990	244.472
233	259.835	259.835	249.275	255.315
234	256.325	256.325	252.899	243.682
235	253.087	253.087	263.836	248.200
236	249.804	249.804	248.310	252.657
237	248.756	248.756	251.592	251.699
238	250.405	250.405	250.666	249.800
239	251.167	251.167	249.164	242.582
240	255.463	255.463	251.253	255.710
241	257.845	257.845	252.046	252.529
242	252.610	252.610	246.390	242.516
243	248.363	248.363	247.206	257.614
244	250.362	250.362	247.618	254.270
245	245.355	245.355	242.076	244.416
246	246.319	246.319	242.258	245.194
247	256.179	256.179	247.935	249.254
248	250.412	250.412	249.475	243.911
249	248.347	248.347	247.085	245.645
250	254.953	254.953	250.309	251.643
251	254.186	254.186	246.284	244.655
252	244.928	244.928	240.961	246.587
253	253.568	253.568	238.828	247.560
254	250.356	250.356	249.727	245.984
255	256.675	256.675	256.339	249.912
256	251.696	251.696	245.599	241.024
257	247.699	247.699	245.749	245.868
258	257.736	257.736	244.792	246.157
259	245.000	245.000	242.120	243.834
260	243.772	243.772	242.589	242.393
261	243.240	243.240	241.961	243.531
262	249.093	249.093	241.066	238.408
263	246.999	246.999	241.430	242.816
264	244.755	244.755	238.218	249.309
265	247.755	247.755	245.385	240.863
266	255.549	255.549	246.382	241.556
