 	Profile_Slice_1	Profile_Slice_2	Profile_Slice_3	Profile_Slice_4	Profile_Slice_5	Profile_Slice_6	Profile_Slice_7	Profile_Slice_8	Profile_Slice_9	Profile_Slice_10
74	232.446	232.446	234.958	218.863	237.519	228.849	246.477	237.618	248.112	227.849
75	227.354	227.354	227.972	231.470	230.239	216.456	235.989	234.312	234.642	238.161
76	272.053	272.053	214.053	218.105	216.158	260.632	210.263	236.737	218.421	231.000
77	242.933	242.933	222.667	213.533	220.267	218.533	201.133	228.867	234.067	232.000
78	226.653	226.653	234.618	226.775	230.046	227.551	211.940	237.474	245.860	232.323
79	223.832	223.832	217.347	233.211	237.358	241.768	233.895	238.232	240.926	258.621
80	218.312	218.312	226.909	207.716	242.600	235.446	219.158	232.814	241.130	260.193
81	224.860	224.860	238.211	212.544	249.035	227.561	209.053	226.789	222.667	233.158
82	225.442	225.442	236.053	219.547	230.653	221.400	217.895	221.684	230.305	246.000
83	218.498	218.498	242.611	230.702	230.814	239.653	234.368	224.186	215.958	234.186
84	230.537	230.537	248.284	236.593	240.726	236.158	255.965	232.958	199.228	246.730
85	233.453	233.453	241.000	234.147	215.253	234.147	253.758	239.211	213.326	221.526
86	241.105	241.105	232.474	230.509	230.965	224.895	228.421	224.053	226.737	218.491
87	233.204	233.204	232.379	225.186	227.060	214.028	216.425	227.888	223.575	214.561
88	220.295	220.295	215.968	225.105	225.421	227.295	211.126	212.568	239.874	226.295
89	233.846	233.846	223.267	214.351	242.481	227.821	216.242	210.060	225.074	218.828
90	216.811	216.811	226.393	227.186	235.032	219.793	218.832	229.158	230.137	233.828
91	216.789	216.789	231.526	218.632	239.526	216.842	236.789	247.211	247.684	232.947
92	238.779	238.779	247.414	225.295	208.442	255.168	217.649	212.305	209.347	211.996
93	222.891	222.891	232.982	211.804	226.372	246.460	218.070	218.344	194.572	207.112
94	208.642	208.642	226.926	222.158	211.389	213.347	226.474	238.989	191.147	198.905
95	215.860	215.860	234.611	230.832	203.582	209.386	207.488	212.618	237.274	206.274
96	220.000	220.000	237.000	238.667	215.000	214.667	229.333	237.333	244.333	195.000
97	224.484	224.484	216.737	239.537	208.716	203.232	214.347	231.095	216.737	198.842
98	240.474	240.474	216.533	231.821	216.916	221.839	228.877	211.930	254.818	226.747
99	238.796	238.796	226.105	231.544	206.270	218.291	235.628	222.923	241.291	228.614
100	217.347	217.347	227.989	221.979	218.979	226.958	215.989	216.968	224.053	240.579
101	227.702	227.702	212.491	220.772	222.719	215.807	220.456	208.298	218.842	224.965
102	205.207	205.207	223.582	223.709	216.196	208.996	218.632	208.881	222.361	221.839
103	231.242	231.242	227.779	191.105	203.947	228.895	235.074	208.926	219.474	214.621
104	236.982	236.982	235.442	203.221	223.814	251.484	218.596	220.723	252.151	217.249
105	231.947	231.947	208.607	205.884	240.888	212.123	225.982	226.733	224.305	234.495
106	232.789	232.789	218.263	224.316	207.211	205.842	216.421	185.368	219.895	211.053
107	230.919	230.919	224.186	236.032	208.154	213.719	221.618	211.551	216.074	213.923
108	241.372	241.372	220.218	218.456	228.425	227.723	215.116	212.681	215.660	214.460
109	238.979	238.979	228.305	242.453	221.011	236.789	211.168	211.000	235.011	225.737
110	231.147	231.147	219.860	236.719	229.049	232.361	220.512	226.853	227.140	224.891
111	231.596	231.596	215.105	224.298	213.561	220.772	220.263	212.772	214.860	224.018
112	241.705	241.705	212.211	229.621	219.284	204.558	241.653	201.158	192.263	210.547
113	216.049	216.049	223.288	223.340	216.425	231.070	209.937	213.965	228.579	204.947
114	218.386	218.386	222.730	225.814	212.923	232.663	210.691	223.796	234.800	203.446
