 	Profile_Slice_1	Profile_Slice_2	Profile_Slice_3
344	233.474	233.474	233.498
345	237.231	237.231	238.369
346	247.628	247.628	236.014
347	241.820	241.820	234.904
348	240.231	240.231	234.581
349	237.969	237.969	230.673
350	226.449	226.449	230.967
351	237.699	237.699	226.286
352	237.078	237.078	236.156
353	243.735	243.735	230.146
354	243.313	243.313	229.470
355	234.117	234.117	226.389
356	248.138	248.138	227.439
357	240.882	240.882	235.852
358	229.729	229.729	234.332
359	238.217	238.217	237.513
360	240.252	240.252	232.909
361	237.992	237.992	241.235
362	234.093	234.093	241.022
363	244.705	244.705	229.355
364	243.566	243.566	233.703
365	234.524	234.524	231.696
366	232.750	232.750	237.727
367	237.112	237.112	243.745
368	239.551	239.551	233.712
369	244.285	244.285	225.753
370	238.675	238.675	225.543
371	240.633	240.633	235.912
372	242.914	242.914	238.464
373	240.688	240.688	236.223
374	242.011	242.011	231.473
375	244.250	244.250	236.628
376	242.392	242.392	235.824
377	242.962	242.962	233.809
378	235.988	235.988	235.471
379	237.620	237.620	231.573
380	236.127	236.127	235.074
381	227.231	227.231	225.281
382	233.380	233.380	230.404
383	235.521	235.521	234.341
384	233.264	233.264	228.588
385	240.379	240.379	229.132
386	240.955	240.955	227.745
387	240.380	240.380	228.035
388	236.516	236.516	230.093
389	233.313	233.313	236.587
390	236.094	236.094	229.435
391	241.126	241.126	226.802
392	244.934	244.934	235.517
393	243.385	243.385	228.581
394	241.731	241.731	236.362
395	243.576	243.576	233.629
396	234.164	234.164	235.804
397	237.903	237.903	226.911
398	239.004	239.004	233.958
399	247.881	247.881	238.187
400	233.602	233.602	232.679
401	233.451	233.451	233.965
402	232.988	232.988	234.273
403	240.066	240.066	238.068
404	230.329	230.329	231.386
405	231.697	231.697	230.567
406	234.224	234.224	234.932
407	237.209	237.209	229.054
408	238.920	238.920	230.457
409	241.978	241.978	235.810
410	241.888	241.888	232.474
411	235.989	235.989	232.135
412	236.789	236.789	232.492
413	242.219	242.219	230.642
414	236.115	236.115	226.142
415	240.323	240.323	232.552
416	239.337	239.337	235.836
417	245.719	245.719	239.708
418	235.786	235.786	235.335
419	244.624	244.624	226.872
420	234.532	234.532	234.515
421	238.687	238.687	231.238
