 	Profile_Slice_1	Profile_Slice_2	Profile_Slice_3	Profile_Slice_4	Profile_Slice_5	Profile_Slice_6	Profile_Slice_7	Profile_Slice_8	Profile_Slice_9	Profile_Slice_10	Profile_Slice_11	Profile_Slice_12	Profile_Slice_13	Profile_Slice_14
43	2245.784	2457.358	2529.448	2536.411	2663.374	2562.607	2582.877	2564.202	2423.697	2468.704	2333.928	2324.954	2272.102	2274.803
44	2219.842	2327.349	2425.627	2411.521	2546.791	2474.824	2489.926	2537.981	2409.160	2415.016	2343.755	2324.567	2235.003	2245.417
45	2155.277	2252.035	2305.332	2293.788	2421.795	2388.153	2410.480	2503.701	2366.008	2352.238	2306.778	2267.395	2188.505	2200.505
46	2123.566	2195.668	2230.703	2210.728	2321.791	2284.370	2354.786	2438.378	2252.060	2247.225	2236.430	2206.438	2150.064	2184.090
47	2108.927	2154.064	2167.003	2134.800	2242.557	2207.316	2272.588	2365.436	2191.164	2205.222	2170.766	2158.338	2113.200	2118.365
48	2071.025	2068.502	2094.539	2055.519	2180.249	2146.063	2198.678	2282.013	2123.296	2164.845	2090.232	2104.789	2062.520	2090.095
49	2009.652	2049.870	2014.214	2026.335	2099.658	2067.940	2145.516	2178.282	2066.251	2070.289	2042.009	2046.062	2001.933	2034.969
50	1936.254	2036.768	1996.570	1974.184	2063.184	2012.552	2096.475	2122.383	2013.091	2001.687	2027.717	1989.712	1988.468	1983.123
51	1889.273	1981.589	1984.853	1927.649	1989.802	1963.346	2060.639	2042.750	1956.431	1947.809	1945.320	1960.985	1913.251	1917.366
52	1864.360	1972.576	1952.121	1918.813	1996.676	1929.095	2014.462	2013.143	1926.766	1922.397	1916.586	1905.859	1873.177	1888.234
53	1825.817	1940.468	1931.981	1871.694	1965.974	1895.678	1963.481	1980.676	1862.723	1892.008	1886.298	1861.375	1829.835	1828.268
54	1783.039	1934.280	1921.849	1844.612	1955.312	1865.335	1949.487	1937.995	1860.079	1829.253	1850.020	1822.261	1778.617	1805.137
55	1765.738	1887.338	1925.219	1854.589	1913.436	1853.583	1912.531	1912.022	1834.040	1825.530	1792.933	1790.524	1780.357	1784.339
56	1770.481	1869.794	1881.198	1834.901	1877.444	1837.341	1886.218	1908.236	1824.868	1805.892	1790.958	1789.891	1769.567	1784.212
57	1732.328	1862.095	1860.157	1784.160	1845.839	1823.286	1874.127	1875.753	1792.837	1794.548	1756.697	1788.620	1763.975	1774.736
58	1737.343	1857.857	1839.396	1785.455	1851.222	1800.408	1883.599	1876.351	1760.074	1796.053	1750.837	1756.196	1742.239	1741.665
59	1717.608	1836.421	1813.653	1762.507	1807.497	1788.537	1826.067	1867.684	1738.833	1773.502	1754.373	1746.717	1732.656	1714.015
60	1709.758	1813.793	1795.725	1732.398	1812.974	1782.608	1833.839	1819.724	1745.810	1752.906	1751.767	1746.639	1727.811	1706.336
61	1690.957	1774.882	1783.796	1731.872	1789.663	1763.505	1835.229	1806.453	1727.432	1722.595	1705.082	1717.147	1685.679	1703.947
62	1678.795	1797.173	1766.166	1718.516	1784.471	1740.762	1777.493	1796.577	1716.872	1746.067	1716.835	1699.521	1685.215	1701.121
63	1647.871	1792.561	1762.414	1732.689	1767.426	1734.173	1794.510	1782.921	1687.676	1702.919	1704.102	1687.049	1646.216	1689.931
64	1657.190	1798.231	1748.839	1722.630	1768.087	1711.556	1762.219	1764.506	1657.163	1709.414	1663.083	1677.612	1646.832	1669.003
65	1643.780	1779.800	1729.569	1703.187	1722.668	1712.364	1740.340	1746.236	1649.136	1687.440	1662.158	1648.647	1642.959	1637.105
66	1629.348	1764.521	1729.227	1701.409	1722.202	1682.609	1736.329	1744.109	1677.509	1677.750	1650.662	1643.738	1648.539	1634.430
67	1606.341	1758.311	1719.725	1674.555	1706.003	1700.712	1737.356	1710.389	1659.042	1662.603	1642.648	1657.193	1613.454	1627.011
