 	Profile_Slice_1	Profile_Slice_2	Profile_Slice_3	Profile_Slice_4	Profile_Slice_5	Profile_Slice_6	Profile_Slice_7	Profile_Slice_8	Profile_Slice_9	Profile_Slice_10	Profile_Slice_11	Profile_Slice_12	Profile_Slice_13	Profile_Slice_14	Profile_Slice_15
50	310.092	293.856	302.123	317.172	317.075	317.264	310.480	313.724	323.077	326.991	321.291	320.502	309.956	328.843	301.392
51	313.468	305.489	297.841	319.988	319.596	314.773	311.573	314.755	325.241	316.948	314.788	318.641	316.806	311.069	308.547
52	308.951	311.784	309.812	315.855	314.692	327.799	315.303	315.627	323.055	317.630	312.823	318.892	319.975	310.878	315.335
53	318.991	326.123	301.651	325.100	321.598	329.308	324.462	320.218	313.182	318.564	325.959	323.496	323.010	315.611	315.171
54	316.483	308.019	310.390	338.116	335.952	330.735	310.933	323.379	323.113	312.140	327.188	320.367	317.174	316.373	311.253
55	320.447	315.906	317.279	331.973	336.003	332.398	321.267	326.070	334.199	326.852	309.661	322.859	319.965	322.140	328.654
56	324.132	320.603	321.199	325.467	333.648	331.051	325.588	329.411	330.623	328.597	321.411	328.263	329.126	323.480	317.453
57	320.072	334.687	312.981	341.809	342.012	329.718	328.752	327.597	332.822	327.563	327.836	334.355	338.646	319.492	321.762
58	313.804	320.681	315.851	341.877	342.240	322.187	326.237	336.105	339.664	335.939	326.596	333.516	327.275	329.563	321.441
59	311.296	320.080	325.525	345.108	338.470	329.845	337.671	342.509	339.038	332.848	331.053	345.195	329.130	331.925	336.452
60	331.687	326.680	342.339	345.096	344.111	345.803	333.036	342.745	339.760	332.153	344.260	347.572	349.446	337.734	325.079
61	343.941	341.325	345.825	356.416	356.235	360.365	348.247	349.586	345.505	355.944	346.480	346.332	343.856	343.309	334.156
62	339.029	346.577	341.439	353.423	354.795	343.011	349.736	346.839	354.042	338.719	343.169	353.099	366.393	341.633	340.960
63	348.193	339.458	350.987	349.145	355.948	348.745	343.717	351.390	345.525	346.037	343.347	357.612	353.635	345.172	337.147
64	338.453	339.801	335.710	347.140	359.623	352.682	348.367	359.655	354.034	357.033	349.713	355.319	349.897	343.117	324.751
65	349.168	347.272	350.889	365.827	362.751	374.683	334.334	364.502	355.752	350.310	352.569	360.211	354.527	350.947	352.349
66	352.193	357.293	365.042	372.017	372.255	359.826	356.302	367.834	352.638	359.340	346.916	372.513	368.327	352.580	353.487
67	353.305	366.158	363.425	374.336	380.155	357.430	365.085	355.632	366.329	363.957	353.899	378.418	362.211	364.714	357.550
68	362.366	367.506	363.984	374.863	379.412	367.799	366.946	366.429	373.331	354.629	363.532	379.916	371.726	366.412	362.306
69	369.185	358.694	358.925	391.252	368.933	378.650	369.556	377.310	369.941	366.404	376.830	375.050	382.586	370.497	361.631
70	386.944	359.628	374.287	381.070	381.482	372.398	358.695	379.130	368.716	382.232	367.360	384.164	386.256	379.550	373.921
71	377.596	372.416	368.551	394.336	397.269	383.128	382.919	390.295	372.240	384.998	359.501	395.045	380.131	372.980	383.008
72	381.110	387.496	366.899	392.748	402.206	394.401	380.768	396.165	393.604	374.383	379.280	400.778	383.057	385.603	378.475
73	378.841	397.367	378.313	400.126	406.277	394.002	393.965	398.828	404.640	384.827	388.823	397.132	390.634	408.240	383.536
74	379.689	377.036	384.482	398.164	405.161	389.768	394.800	407.956	396.368	394.283	402.466	410.140	398.560	417.677	381.143
75	384.905	393.456	390.476	396.481	410.693	409.044	383.823	405.355	398.581	395.865	401.702	415.447	403.243	398.052	387.653
76	389.503	399.879	398.561	415.327	419.105	403.737	398.169	394.535	397.705	410.571	405.445	410.496	408.271	398.660	397.305
77	398.553	392.941	416.078	422.902	418.963	412.445	406.110	409.893	395.942	398.826	412.448	409.595	408.642	415.401	393.951
78	400.967	415.265	405.496	426.028	430.633	413.488	411.889	414.990	408.332	407.648	410.734	422.207	418.679	411.304	389.434
79	414.176	416.559	393.880	432.816	434.406	414.696	423.006	431.852	434.777	413.761	409.137	437.328	424.535	423.728	410.776
80	424.130	422.579	416.291	438.608	435.290	430.074	424.122	436.225	427.341	420.181	423.881	442.809	426.114	421.724	413.484
81	425.674	414.380	417.547	448.716	449.670	426.976	438.384	430.264	430.089	424.482	406.711	445.194	437.089	437.943	419.051
82	436.263	421.708	404.350	446.168	461.527	431.021	433.453	437.574	440.045	429.160	415.737	442.360	423.230	444.680	417.874
83	426.883	434.933	415.058	441.631	449.149	429.771	418.130	441.929	445.903	438.810	431.334	443.506	427.279	439.152	423.758
84	454.521	430.330	438.756	473.860	448.023	440.191	446.427	446.713	445.422	436.371	425.938	449.591	441.650	444.290	439.745
85	446.369	424.015	443.847	461.335	465.535	454.647	445.797	457.006	453.334	465.100	444.774	456.378	461.938	451.708	438.132
86	466.791	450.729	444.453	477.195	484.409	469.790	462.635	461.333	468.523	469.614	454.091	459.757	474.936	456.964	442.324
87	452.926	440.621	436.695	482.010	479.945	460.000	476.771	471.038	483.144	477.822	450.408	477.345	484.826	465.227	454.063
88	477.766	456.120	450.679	504.642	495.646	488.412	481.818	494.363	477.950	481.711	458.828	479.910	475.037	474.639	448.651
89	490.713	458.532	456.474	505.233	494.204	481.994	489.738	505.969	487.439	486.368	482.020	495.503	486.515	484.365	459.183
90	490.834	466.958	470.193	521.180	520.141	500.319	491.068	517.239	498.800	504.167	501.666	500.846	504.804	499.811	460.984
91	507.853	474.697	473.263	526.369	541.577	527.483	495.176	523.058	509.753	523.987	511.022	520.623	513.728	511.342	474.104
92	520.596	487.967	481.095	545.007	548.628	526.823	489.697	541.998	523.236	531.779	511.119	517.753	525.242	510.332	488.037
93	521.426	486.636	504.115	562.205	554.716	551.479	511.122	546.414	545.095	534.421	539.566	530.467	528.721	521.572	494.968
94	530.102	504.429	501.442	564.989	567.330	558.046	523.545	565.850	551.408	541.553	548.123	544.846	522.899	532.107	506.336
95	547.829	492.731	507.292	581.086	603.390	576.425	544.946	559.504	560.300	551.534	543.731	561.329	532.390	532.286	522.411
96	578.018	502.440	519.785	603.493	611.457	578.314	552.503	577.064	579.051	560.655	551.118	550.817	546.010	558.952	531.637
97	581.516	514.136	534.840	624.488	645.391	608.719	568.937	587.834	602.012	578.874	579.797	558.213	536.402	563.224	537.411
98	590.085	532.908	550.577	643.611	647.806	631.278	598.650	615.016	615.103	609.417	589.214	573.109	564.764	568.051	552.737
99	595.000	559.857	540.022	662.598	691.782	655.657	612.598	634.931	647.282	635.680	620.378	592.003	596.519	589.543	558.292
100	617.547	561.242	546.660	695.820	724.861	672.880	640.680	651.270	674.049	645.901	628.232	620.728	597.731	608.685	567.466
101	644.065	571.713	559.214	739.867	784.495	677.812	652.377	688.695	701.710	675.032	657.680	628.690	594.200	625.081	586.274
102	662.719	595.408	585.743	777.786	803.406	714.868	683.162	681.051	714.298	700.739	709.041	656.949	627.338	640.714	602.289
103	676.851	619.005	611.119	806.095	819.201	751.486	717.922	706.088	760.585	710.825	725.364	686.467	648.831	660.897	608.505
104	703.478	650.224	616.450	835.008	863.329	780.910	742.787	759.146	790.106	742.851	737.438	701.872	671.425	688.845	648.849
105	743.978	635.980	659.192	871.527	922.981	809.356	729.800	787.292	844.201	772.265	755.831	714.132	689.192	715.767	659.393
106	792.654	667.370	670.036	897.918	964.424	853.157	785.147	846.026	880.356	809.773	791.375	747.288	713.006	727.415	689.812
107	838.796	689.237	710.716	924.249	1015.892	894.474	823.376	877.815	903.477	871.106	847.997	773.161	754.926	756.247	695.963
108	882.198	719.209	746.617	968.220	1035.520	937.453	863.450	934.018	958.092	890.702	887.547	801.259	766.495	803.910	766.685
109	937.276	753.536	764.548	1019.861	1080.936	977.276	895.857	983.241	1020.190	936.997	934.766	864.160	804.437	842.215	813.603
110	1004.819	762.575	810.719	1075.487	1123.990	1028.420	947.306	1061.413	1048.556	976.118	987.148	909.075	845.104	889.357	846.915
111	1053.998	812.212	838.002	1119.566	1199.054	1045.587	977.173	1085.461	1079.006	1047.822	1005.731	937.565	871.535	926.019	884.619
112	1131.799	876.716	907.466	1169.510	1229.467	1114.415	1028.532	1130.719	1104.269	1086.671	1033.405	994.104	926.802	983.861	938.050
113	1210.112	902.860	960.731	1220.716	1261.771	1147.758	1094.137	1165.745	1125.139	1118.824	1079.059	1047.625	988.038	1050.352	967.564
114	1262.573	951.827	1003.955	1261.211	1300.291	1197.781	1147.551	1204.913	1179.587	1167.572	1123.309	1105.881	1014.104	1112.507	1045.005
115	1286.419	1007.598	1042.801	1294.417	1379.517	1250.257	1192.490	1272.074	1208.804	1222.568	1175.774	1150.005	1073.620	1178.954	1129.376
116	1316.659	1059.246	1086.842	1358.503	1423.468	1275.967	1235.282	1312.135	1267.805	1265.654	1199.543	1189.264	1166.008	1240.207	1171.281
117	1327.152	1097.228	1118.083	1384.826	1423.504	1305.561	1273.257	1395.305	1332.428	1285.898	1254.378	1223.502	1180.840	1272.529	1240.228
118	1318.257	1159.709	1164.538	1411.673	1490.563	1360.669	1352.747	1411.910	1354.768	1323.942	1292.745	1258.840	1229.300	1325.350	1276.481
