 	Profile_Slice_1	Profile_Slice_2	Profile_Slice_3
1	240.434	244.634	240.986
2	245.387	237.178	242.989
3	249.275	233.493	240.276
4	236.419	240.206	244.461
5	236.415	243.593	246.594
6	234.358	245.631	248.472
7	237.777	242.456	250.619
8	232.825	232.967	246.146
9	235.277	237.355	242.826
10	235.624	244.442	242.819
11	245.238	242.235	236.178
12	238.697	244.079	240.213
13	235.004	244.359	234.840
14	234.959	240.115	241.423
15	247.204	245.258	238.163
16	244.540	244.232	239.222
17	239.367	244.799	238.423
18	240.540	233.989	244.527
19	242.947	233.628	242.016
20	240.774	238.324	242.771
21	240.420	237.266	234.571
22	238.481	240.289	242.700
23	236.085	248.972	244.435
24	237.179	246.565	245.870
25	249.166	247.666	242.176
26	247.832	254.223	247.608
27	244.001	244.869	242.941
28	240.686	243.320	242.145
29	234.727	245.431	238.345
30	236.683	243.687	240.060
31	248.910	242.988	248.091
32	251.805	251.728	244.917
33	250.122	248.413	250.083
34	238.291	253.748	246.719
35	239.257	254.080	245.995
36	244.782	253.129	251.225
37	246.685	242.867	239.901
38	236.879	240.415	233.795
39	240.755	239.864	242.238
40	246.523	243.068	239.866
41	246.303	246.334	242.705
42	247.066	242.511	243.599
43	247.626	236.419	236.971
44	242.917	243.246	241.796
45	246.181	245.909	245.417
46	240.436	246.691	237.447
47	249.783	254.673	236.800
48	257.993	245.132	245.297
49	251.167	251.510	246.809
50	248.529	252.243	243.950
51	246.807	248.281	246.275
52	243.364	250.029	251.174
53	244.939	245.874	251.427
54	238.638	249.445	250.808
55	241.356	248.086	248.082
56	241.168	246.440	251.026
57	245.544	244.394	246.409
58	248.249	251.453	251.591
59	249.446	254.801	248.667
60	250.659	250.027	247.696
61	242.154	252.905	251.632
62	242.291	258.971	253.388
63	251.396	254.187	251.627
64	251.738	250.565	247.221
65	247.259	252.230	251.494
66	251.216	256.965	259.392
67	256.962	255.003	250.284
68	259.032	261.293	254.500
69	252.709	257.035	254.252
70	248.322	259.287	254.063
71	248.674	249.688	253.221
72	259.698	250.041	246.409
73	249.399	260.695	246.850
74	252.386	263.691	253.960
75	250.626	262.524	246.813
76	251.253	262.746	254.924
77	250.636	263.077	253.314
78	242.957	268.352	253.157
79	253.965	264.604	268.251
80	253.192	263.439	259.883
81	254.834	255.938	256.041
82	257.174	251.333	256.208
83	257.194	264.178	265.831
84	256.554	256.602	256.053
85	249.155	260.786	247.159
86	252.630	265.407	256.229
87	255.869	267.565	254.398
88	259.420	268.396	255.247
89	257.858	265.630	266.695
90	258.281	271.805	265.261
91	260.751	272.904	267.976
92	257.304	269.352	267.289
93	266.827	271.057	262.847
94	257.223	271.433	268.711
95	265.533	273.158	268.274
96	267.116	270.548	273.405
97	267.847	273.656	268.274
