 	Profile_Slice_1	Profile_Slice_2	Profile_Slice_3	Profile_Slice_4	Profile_Slice_5	Profile_Slice_6	Profile_Slice_7	Profile_Slice_8	Profile_Slice_9	Profile_Slice_10	Profile_Slice_11
320	992.614	992.614	1002.410	1016.444	1002.524	1026.671	1000.640	1028.324	1009.799	1034.561	1049.226
321	1018.249	1018.249	1016.324	1027.594	1014.435	1033.037	1027.377	1023.191	1010.294	1057.375	1054.577
322	1020.085	1020.085	1022.807	1045.393	1056.808	1047.007	1026.635	1051.907	1030.059	1053.485	1063.528
323	1029.355	1029.355	1043.903	1037.017	1052.858	1062.058	1050.442	1060.521	1038.002	1049.151	1072.076
324	1033.361	1033.361	1038.948	1039.428	1062.507	1062.974	1048.751	1065.120	1057.874	1066.933	1086.657
325	1058.501	1058.501	1042.062	1059.824	1066.202	1072.507	1058.358	1078.238	1056.916	1074.520	1082.838
326	1061.162	1061.162	1062.675	1062.972	1090.695	1084.959	1092.168	1080.025	1078.357	1099.904	1103.685
327	1075.166	1075.166	1088.232	1080.174	1098.389	1105.706	1108.891	1095.043	1097.574	1122.753	1124.329
328	1068.132	1068.132	1113.568	1092.849	1108.407	1102.911	1103.141	1125.553	1111.121	1115.404	1141.688
329	1088.404	1088.404	1103.546	1123.432	1133.905	1139.518	1126.364	1147.331	1123.216	1127.986	1156.608
330	1096.901	1096.901	1096.718	1116.459	1160.540	1157.120	1155.132	1156.251	1155.371	1158.437	1171.468
