 	Profile_Slice_1	Profile_Slice_2	Profile_Slice_3	Profile_Slice_4	Profile_Slice_5	Profile_Slice_6	Profile_Slice_7	Profile_Slice_8
77	881.818	768.780	781.067	792.553	774.291	822.614	830.134	831.770
78	832.265	745.067	770.065	781.408	771.659	816.551	812.596	810.386
79	826.436	724.437	756.184	771.986	771.538	792.779	798.268	787.412
80	795.105	721.285	745.723	739.655	731.762	786.307	783.859	787.431
81	776.986	708.339	741.063	739.839	736.483	768.698	773.925	785.044
82	788.537	711.223	732.867	724.174	714.540	756.379	762.661	766.196
83	768.423	705.420	710.383	708.390	707.576	742.241	760.799	755.514
84	769.957	682.205	700.551	678.268	695.534	714.915	761.881	724.765
85	765.564	658.378	679.879	685.075	694.407	736.229	716.346	719.970
86	718.317	652.276	657.082	681.296	678.186	725.255	713.415	730.001
87	727.713	646.433	670.861	689.230	669.980	688.068	692.438	721.571
88	722.698	647.422	666.279	680.678	649.441	695.352	697.642	686.757
89	699.077	626.323	655.070	642.974	654.609	694.433	703.130	676.554
90	698.185	616.575	633.514	649.176	654.092	675.761	660.326	676.477
91	680.983	608.836	640.815	633.466	635.290	650.379	650.660	661.993
92	683.813	617.159	619.158	633.420	625.353	640.198	635.649	655.072
93	660.572	591.613	617.135	623.525	615.884	631.076	640.172	655.244
94	656.975	587.695	592.090	593.711	619.029	626.976	641.495	628.053
95	644.655	583.490	578.918	579.101	602.402	618.192	606.601	614.034
96	636.083	579.268	577.125	584.439	591.076	609.692	599.332	605.036
97	626.316	552.041	577.835	577.490	591.138	595.807	597.168	599.814
98	622.218	550.830	576.594	582.513	591.211	598.102	602.839	612.255
99	588.739	544.478	581.459	572.524	566.422	586.595	586.021	602.238
100	590.774	541.354	567.974	546.430	534.798	573.551	575.776	570.450
101	591.453	539.439	546.975	559.941	551.204	582.619	565.733	560.419
102	586.086	535.961	545.602	548.032	537.469	568.481	555.606	572.134
103	573.436	523.355	542.800	534.909	534.315	552.212	553.958	560.580
104	577.456	526.011	525.591	525.037	525.363	551.426	551.533	552.820
105	558.975	526.283	519.641	516.923	524.142	544.045	538.505	532.379
106	547.375	511.027	524.895	506.671	519.780	540.253	541.394	548.831
107	549.627	499.069	512.677	502.137	515.460	525.039	524.011	534.783
108	552.365	500.791	502.194	510.575	515.432	514.459	518.877	541.387
109	532.897	493.329	507.539	494.883	495.462	507.516	516.936	514.253
110	527.472	489.480	509.158	492.758	489.931	514.913	510.674	496.732
111	528.848	481.282	492.505	497.416	489.256	503.042	506.098	509.490
112	509.670	479.453	492.882	490.206	472.565	492.649	495.917	490.221
113	501.544	473.211	497.311	465.135	469.895	492.210	488.890	498.351
114	506.791	460.763	497.302	462.216	484.500	482.315	480.402	485.168
115	500.866	470.749	474.106	456.345	463.952	488.609	501.073	490.126
116	486.605	471.591	489.441	467.428	466.475	476.480	477.897	490.044
117	483.995	455.860	482.397	463.073	474.891	479.160	470.158	462.026
118	489.248	454.412	481.262	458.563	452.915	476.674	475.636	461.032
119	486.313	456.948	458.470	453.107	438.455	467.198	453.390	463.684
120	476.872	447.463	443.601	440.648	438.120	457.817	438.144	469.222
121	463.675	429.882	440.653	430.195	450.708	448.935	444.520	456.332
122	455.252	424.813	462.665	436.164	447.165	449.982	448.234	446.080
123	446.702	430.938	443.534	440.858	426.602	440.187	449.093	444.598
124	458.448	416.363	439.526	431.258	443.669	431.688	435.703	429.178
125	460.466	411.366	440.402	432.110	432.226	445.195	440.810	431.036
126	441.727	417.833	428.747	432.260	421.075	433.622	439.528	429.819
127	449.764	414.547	431.314	434.101	409.599	428.240	419.674	422.378
128	427.238	411.053	409.956	412.380	409.314	427.976	416.144	415.029
129	430.093	403.303	422.028	414.680	412.037	421.219	419.202	424.168
130	431.167	401.773	414.292	424.922	407.967	416.393	417.015	417.283
131	423.092	393.888	413.120	428.091	405.917	407.249	413.722	417.256
132	408.490	401.751	404.929	405.928	403.519	413.245	401.717	405.622
133	415.536	388.345	394.641	395.417	404.479	422.892	408.898	399.358
134	403.391	388.093	391.672	396.442	386.927	402.974	401.529	406.116
135	398.902	391.044	402.544	390.254	402.336	393.943	388.833	400.221
136	395.064	390.568	391.354	384.416	396.700	397.492	402.081	399.036
137	410.436	381.457	393.689	388.427	388.971	398.876	403.727	400.704
138	396.051	377.833	383.359	381.772	377.537	410.039	391.083	382.317
139	397.525	377.061	382.637	387.917	375.760	397.592	380.040	390.495
140	393.279	373.628	368.744	382.870	369.916	376.367	372.760	370.216
141	392.102	369.784	363.279	377.249	367.402	364.346	380.117	374.027
142	378.495	362.391	368.572	372.199	368.178	376.008	372.704	373.314
143	385.435	368.845	375.345	359.020	380.635	376.150	372.682	373.778
144	384.128	363.355	357.867	363.644	359.948	362.263	370.723	370.061
145	364.191	364.525	357.623	360.045	356.444	364.486	369.821	368.808
146	364.837	355.289	360.733	351.515	353.764	360.858	361.744	361.494
147	366.681	356.882	366.013	353.363	350.539	365.109	376.832	355.572
148	362.311	346.843	364.091	360.780	351.106	353.742	366.087	361.794
149	369.334	329.148	349.383	352.818	352.901	344.336	354.869	346.011
150	366.816	333.962	364.174	350.200	339.414	345.375	355.127	351.093
151	355.950	346.699	360.328	355.111	355.322	349.092	340.571	352.555
152	341.827	327.119	355.508	344.583	331.396	360.374	337.148	346.301
153	347.866	335.029	344.498	346.107	337.523	342.423	348.606	356.563
154	337.361	327.875	334.475	333.905	336.228	347.555	332.790	341.109
155	338.870	327.277	343.297	330.021	339.405	353.284	339.344	340.833
156	338.243	328.738	331.279	342.935	333.928	325.938	336.495	333.625
157	333.934	324.522	319.727	324.988	336.883	336.556	330.207	326.595
158	338.575	313.196	329.942	319.221	325.128	342.369	324.140	338.294
159	323.434	322.636	328.169	326.227	325.123	339.967	324.052	327.790
160	328.787	315.149	321.039	324.405	326.240	328.010	328.996	324.551
161	330.271	310.991	326.010	328.809	324.543	323.679	323.353	324.356
162	319.447	317.979	328.258	318.188	322.499	313.822	324.807	318.622
163	328.360	311.682	327.221	317.421	316.795	313.865	315.957	318.574
164	675.729	712.362	715.873	681.526	650.724	669.770	681.152	671.968
165	683.904	733.659	736.997	693.326	656.227	694.809	688.447	701.402
166	681.180	739.968	764.920	703.586	678.520	717.687	709.226	721.123
167	691.317	750.363	755.750	712.388	684.107	715.412	725.347	723.919
168	702.420	787.950	776.282	746.451	704.308	733.925	747.639	737.474
169	722.845	812.502	807.283	754.368	709.286	771.970	747.415	768.296
170	751.492	804.568	807.687	751.077	730.688	778.178	783.100	774.774
171	755.722	843.723	837.636	771.667	743.255	798.342	785.017	786.599
172	772.647	877.074	858.532	789.158	760.000	835.029	812.265	807.681
173	792.462	874.352	888.157	803.962	784.653	846.536	834.359	828.218
174	801.607	893.879	895.902	823.873	805.326	861.242	844.582	823.771
175	807.780	946.167	926.938	846.709	813.634	881.223	842.599	837.947
176	826.450	961.967	962.335	870.658	816.884	885.545	879.432	885.902
177	845.263	970.519	977.697	888.432	846.099	909.416	891.022	907.115
178	859.533	997.124	1023.874	903.693	848.160	935.207	911.760	917.440
179	871.385	1051.535	1061.115	951.634	904.978	954.139	917.969	946.162
180	894.930	1073.884	1073.369	994.771	934.207	987.617	956.409	970.044
181	931.690	1102.306	1115.215	999.698	955.462	1032.372	988.413	1019.007
182	942.699	1126.192	1152.428	1040.650	995.013	1058.201	1044.149	1020.156
183	973.972	1164.542	1181.977	1086.429	1004.572	1066.450	1056.895	1074.273
184	975.158	1173.305	1213.267	1093.454	1023.203	1100.590	1077.916	1082.085
185	1008.336	1226.811	1258.830	1111.145	1048.145	1140.426	1108.449	1139.892
186	1071.388	1254.767	1292.455	1145.714	1081.930	1189.318	1145.668	1171.153
187	1119.998	1288.579	1288.175	1161.862	1106.089	1225.357	1175.802	1234.861
188	1160.884	1311.313	1328.102	1207.823	1177.641	1256.857	1207.569	1282.402
189	1213.248	1355.034	1363.954	1251.479	1184.710	1266.632	1237.639	1325.065
190	1243.672	1410.065	1421.311	1309.590	1247.896	1311.610	1288.493	1386.909
191	1277.265	1463.499	1446.494	1326.099	1277.591	1370.243	1329.768	1392.376
192	1300.955	1498.986	1490.650	1343.768	1344.310	1433.656	1393.827	1428.417
193	1355.629	1524.800	1532.110	1377.055	1393.106	1484.430	1466.052	1467.030
194	1371.321	1596.673	1586.900	1417.599	1428.059	1543.303	1500.684	1502.968
195	1421.371	1641.917	1624.959	1476.474	1465.582	1573.259	1546.860	1556.385
196	1484.839	1628.056	1661.579	1551.345	1537.395	1613.660	1588.384	1590.469
197	1517.772	1668.252	1683.578	1616.550	1595.781	1658.286	1593.460	1591.090
198	1565.969	1712.753	1695.050	1645.605	1620.835	1686.967	1603.384	1629.939
199	1600.729	1751.831	1753.361	1703.221	1669.903	1670.465	1636.925	1644.997
200	1619.465	1761.754	1744.308	1736.346	1665.213	1676.477	1657.617	1651.952
201	1609.723	1796.491	1749.804	1748.898	1663.867	1669.665	1654.602	1672.151
202	1629.675	1828.225	1784.574	1751.908	1671.186	1671.812	1666.107	1681.405
203	1662.763	1861.817	1777.745	1774.118	1662.636	1694.207	1677.635	1661.200
204	1686.071	1830.932	1778.678	1774.524	1693.488	1673.409	1678.978	1648.098
205	1703.711	1826.856	1780.437	1793.700	1712.943	1708.940	1686.656	1679.528
206	1676.869	1837.186	1752.988	1792.118	1748.863	1712.586	1668.508	1678.209
207	1705.573	1840.991	1746.444	1758.191	1685.211	1678.217	1675.847	1696.915
208	1708.667	1798.818	1704.301	1734.678	1674.142	1711.089	1722.012	1640.444
209	1678.445	1787.299	1686.654	1726.437	1679.183	1688.884	1709.912	1639.382
210	1715.231	1711.767	1652.973	1711.882	1683.189	1679.125	1687.280	1635.390
211	1721.570	1698.578	1623.827	1681.198	1649.183	1692.496	1683.690	1640.156
212	1684.342	1679.342	1601.915	1646.801	1625.083	1647.199	1641.437	1591.943
213	1660.487	1676.842	1580.172	1652.871	1599.785	1620.353	1627.582	1575.159
214	1628.014	1661.122	1561.092	1638.764	1557.295	1570.209	1587.882	1574.133
215	1595.269	1623.147	1530.888	1588.181	1530.005	1554.380	1575.937	1538.862
216	1556.152	1579.664	1550.305	1543.028	1493.583	1519.267	1551.566	1522.544
217	1529.837	1579.569	1545.675	1523.023	1492.524	1502.536	1541.919	1526.726
218	1539.713	1569.296	1503.153	1530.362	1479.640	1513.565	1512.988	1510.271
219	1536.743	1552.133	1480.097	1515.307	1476.015	1520.002	1516.122	1490.893
220	1524.880	1513.611	1475.483	1499.436	1477.575	1481.353	1487.631	1508.551
