 	Profile_Slice_1	Profile_Slice_2	Profile_Slice_3	Profile_Slice_4	Profile_Slice_5	Profile_Slice_6	Profile_Slice_7
1	492.327	492.327	479.943	513.963	504.891	500.477	508.547
2	493.022	493.022	503.796	511.151	503.865	512.663	523.436
3	493.664	493.664	495.928	498.427	503.317	505.950	513.765
4	491.074	491.074	483.515	498.856	508.923	514.593	506.899
5	492.755	492.755	500.238	501.647	505.643	509.681	510.786
6	488.443	488.443	493.606	495.692	501.673	518.203	503.937
7	498.019	498.019	498.613	510.371	506.436	498.672	506.959
8	485.647	485.647	485.071	500.059	510.111	497.616	511.828
9	482.157	482.157	503.280	498.535	501.205	501.808	500.159
10	493.481	493.481	501.520	490.805	485.040	504.707	510.997
11	497.422	497.422	498.272	493.165	506.323	515.196	517.287
12	492.076	492.076	497.564	495.884	502.291	509.945	522.681
13	489.666	489.666	495.635	505.274	511.759	515.040	515.596
14	486.384	486.384	499.182	505.133	507.680	505.483	509.344
15	501.231	501.231	498.687	499.022	513.321	509.554	506.854
16	498.974	498.974	488.825	504.002	509.180	513.588	504.707
17	488.666	488.666	497.700	509.499	501.116	511.777	506.731
18	487.287	487.287	502.256	498.335	508.445	509.273	511.574
19	493.775	493.775	493.407	501.275	497.602	512.237	504.883
20	495.167	495.167	492.994	503.889	509.326	507.126	516.968
21	496.173	496.173	498.760	496.192	505.186	502.229	500.540
22	484.277	484.277	486.170	507.255	510.078	505.461	495.448
23	479.148	479.148	491.505	497.531	502.524	508.983	498.658
24	505.162	505.162	502.418	495.079	509.669	504.739	507.443
25	490.857	490.857	503.512	492.518	510.274	510.712	515.148
26	481.583	481.583	496.821	500.671	505.431	505.998	514.596
27	483.279	483.279	499.561	498.377	516.635	509.392	509.427
28	488.366	488.366	493.669	498.706	515.634	505.837	513.891
29	491.474	491.474	505.676	510.157	509.126	505.173	519.888
30	496.373	496.373	510.170	508.276	504.471	512.477	521.612
31	489.435	489.435	497.022	506.364	506.890	504.079	510.865
32	495.109	495.109	502.060	507.320	510.832	509.792	519.294
33	489.752	489.752	493.111	504.065	511.746	506.378	516.146
34	500.933	500.933	507.405	514.297	509.829	504.541	517.875
35	500.012	500.012	498.807	503.441	520.137	506.232	520.722
36	495.782	495.782	497.599	510.492	517.246	512.780	510.756
37	485.652	485.652	506.853	514.012	524.584	513.223	508.595
38	507.681	507.681	502.410	504.645	509.003	525.609	511.682
39	496.796	496.796	491.047	507.121	512.311	519.423	503.995
40	503.682	503.682	499.937	512.475	524.283	514.503	515.526
41	492.642	492.642	493.476	517.357	508.891	512.635	529.098
42	495.285	495.285	490.643	507.484	519.537	515.540	515.646
43	499.563	499.563	491.931	512.472	505.757	519.047	511.864
44	495.053	495.053	503.030	518.539	502.173	532.690	511.111
45	495.051	495.051	506.141	517.850	506.752	515.821	518.746
46	503.236	503.236	503.167	517.774	516.924	507.608	528.955
47	503.669	503.669	507.616	508.984	512.755	508.565	517.951
48	496.200	496.200	511.366	507.538	507.643	510.691	506.243
49	497.596	497.596	501.319	518.102	519.402	506.812	510.974
50	496.418	496.418	500.186	514.102	517.813	522.602	522.275
51	495.920	495.920	493.095	513.648	514.630	520.505	535.504
52	505.437	505.437	505.223	510.166	515.220	509.525	526.678
53	502.283	502.283	500.258	518.577	522.037	527.731	522.295
54	493.849	493.849	505.340	514.548	521.812	516.721	517.546
55	498.483	498.483	495.638	513.742	513.746	516.892	517.904
56	501.670	501.670	495.962	511.747	522.387	533.198	515.522
57	499.366	499.366	512.621	516.784	520.332	521.556	518.507
58	518.844	518.844	510.047	509.090	538.953	524.869	516.323
59	520.911	520.911	499.028	523.080	511.325	523.737	528.076
60	509.112	509.112	504.105	511.818	513.956	525.753	526.729
61	505.469	505.469	506.344	520.356	523.813	530.700	527.885
62	507.052	507.052	496.892	513.515	523.944	520.552	514.476
63	515.728	515.728	509.808	513.192	527.104	529.960	521.653
64	505.400	505.400	507.282	522.573	522.586	531.188	517.174
65	500.852	500.852	508.267	518.847	521.580	519.049	515.806
66	497.826	497.826	503.228	517.473	523.322	525.502	527.304
67	504.438	504.438	511.757	517.970	521.849	525.912	518.926
68	507.244	507.244	519.276	511.793	520.366	517.372	517.012
69	505.580	505.580	504.937	524.127	521.977	523.352	515.683
70	505.960	505.960	513.969	514.319	518.908	524.901	534.598
71	519.161	519.161	507.810	518.545	511.470	526.911	537.249
72	518.866	518.866	513.343	521.978	526.425	531.641	529.546
73	503.821	503.821	504.426	522.568	525.003	530.221	539.795
74	514.889	514.889	521.631	516.509	525.858	522.051	538.860
75	518.102	518.102	519.867	517.437	520.867	519.945	522.173
76	509.191	509.191	519.458	515.735	526.023	529.795	523.954
77	508.029	508.029	517.868	522.082	519.505	517.727	533.057
78	520.682	520.682	516.415	535.055	518.748	530.364	534.337
79	510.398	510.398	519.811	526.095	530.387	534.781	537.133
80	508.362	508.362	515.790	534.397	534.313	530.046	528.650
81	507.652	507.652	529.448	526.099	530.863	527.344	538.009
82	508.553	508.553	518.138	517.626	523.300	529.756	526.219
83	512.829	512.829	527.338	532.778	538.899	531.051	533.112
84	507.017	507.017	518.061	512.973	536.665	527.528	536.691
85	517.626	517.626	522.815	522.657	540.078	539.584	539.929
86	513.906	513.906	507.785	533.224	530.573	542.096	538.755
87	509.341	509.341	501.893	527.672	531.187	539.622	545.769
88	504.397	504.397	509.972	526.043	537.875	534.193	543.462
89	514.841	514.841	519.580	530.691	542.935	529.525	541.392
90	528.855	528.855	524.548	533.019	524.409	538.498	537.056
91	522.773	522.773	516.973	526.746	530.034	530.507	543.506
92	526.043	526.043	530.581	527.241	538.549	525.808	539.937
