 	Profile_Slice_1	Profile_Slice_2	Profile_Slice_3	Profile_Slice_4	Profile_Slice_5	Profile_Slice_6	Profile_Slice_7	Profile_Slice_8	Profile_Slice_9	Profile_Slice_10	Profile_Slice_11
68	633.158	631.837	643.767	638.014	622.723	634.905	633.930	645.077	622.597	645.024	646.206
69	614.262	616.955	626.831	634.497	627.239	632.605	645.121	629.978	614.561	625.510	643.964
70	610.302	611.669	628.895	613.200	603.313	623.027	621.811	605.596	614.841	615.050	622.091
71	611.460	591.985	632.728	607.803	609.334	626.773	630.037	613.470	593.156	605.193	623.285
72	602.349	587.975	609.334	608.827	615.082	628.294	617.641	606.450	605.181	592.426	607.433
73	579.729	582.002	602.790	607.167	611.098	611.648	604.608	599.837	582.234	582.459	593.484
74	575.901	578.302	600.173	597.094	603.164	600.445	588.862	594.163	573.195	577.460	590.761
75	573.538	572.691	601.265	575.731	585.027	582.999	582.338	584.139	588.303	570.836	571.490
76	552.098	559.307	584.698	581.998	572.304	573.468	592.326	590.088	588.107	570.635	568.007
77	545.242	565.494	582.776	574.223	565.324	573.950	581.001	572.638	564.967	558.626	542.190
78	553.636	551.555	572.671	555.345	566.531	565.605	572.853	566.032	556.130	557.117	542.936
79	527.085	537.100	564.583	556.237	566.103	551.907	555.175	553.116	543.716	543.895	541.187
80	531.733	524.256	545.052	552.862	549.467	540.361	560.376	553.717	543.855	543.049	541.302
81	533.707	511.091	523.479	556.455	551.612	532.313	546.702	525.885	520.337	530.244	536.247
82	512.467	497.137	521.139	558.889	539.532	530.735	516.511	525.668	507.921	512.647	525.662
83	500.381	490.806	515.031	523.042	505.227	516.782	531.479	507.533	523.077	503.336	499.967
84	483.527	472.440	480.529	508.333	501.046	510.828	497.994	499.838	489.945	492.325	487.649
85	481.368	456.002	484.703	491.686	484.214	498.572	490.243	489.931	481.110	485.025	480.741
86	470.341	456.292	475.006	474.325	485.309	461.397	483.672	465.240	475.188	479.987	467.724
87	466.053	455.275	457.474	465.687	470.536	463.314	470.305	467.875	457.792	457.387	447.313
88	449.728	431.021	442.012	461.372	462.259	459.539	462.200	463.716	454.342	449.480	445.767
89	448.826	432.416	447.106	459.893	447.885	443.905	456.226	441.738	453.537	449.932	432.573
90	435.070	412.119	448.596	439.247	452.987	438.777	450.932	423.912	458.360	445.628	431.481
91	420.099	408.943	432.975	435.477	443.141	432.141	447.723	423.987	424.758	418.327	427.024
92	420.423	401.713	424.175	438.375	426.170	420.464	433.875	415.521	427.287	419.666	422.179
93	402.360	407.961	406.331	415.019	427.241	414.665	416.796	418.175	425.143	418.782	422.776
94	406.030	399.637	416.137	395.069	412.896	406.542	416.448	397.719	414.488	418.677	395.725
95	408.640	380.738	404.272	393.152	411.877	402.902	393.076	388.860	400.599	409.795	392.387
96	395.528	379.720	396.628	394.215	407.454	411.349	400.052	384.809	395.175	407.065	397.558
97	395.021	382.396	389.719	392.918	404.636	399.873	400.695	392.860	388.410	380.771	389.977
98	385.350	372.703	376.191	379.203	374.513	373.574	387.442	390.079	382.365	372.500	373.830
99	368.436	364.291	380.328	378.746	376.496	373.583	380.173	375.112	375.043	375.705	369.131
100	354.031	353.164	378.117	373.028	370.105	351.633	363.213	371.127	376.081	369.690	369.532
101	364.882	345.685	365.169	374.906	379.238	364.484	354.703	355.383	364.219	363.279	350.882
102	359.205	345.249	361.381	371.292	356.592	354.193	369.709	352.228	364.589	363.212	347.274
103	359.600	339.440	346.430	348.542	357.501	357.193	361.608	348.583	358.430	354.744	347.693
104	351.565	347.140	355.386	338.886	346.803	350.705	348.529	343.314	358.362	349.185	339.267
105	340.736	339.296	348.411	337.033	338.705	342.404	331.385	339.405	340.839	337.154	336.813
106	335.525	333.419	333.863	328.805	333.119	325.048	326.155	338.178	334.950	339.536	335.195
107	325.393	326.300	331.396	329.065	321.990	332.606	329.591	328.083	334.128	330.775	327.042
108	333.113	308.017	322.332	317.775	327.415	336.523	330.806	337.864	330.012	333.240	309.793
109	318.800	313.806	321.693	323.062	324.014	317.354	320.732	326.813	321.244	316.555	323.375
110	312.820	309.604	317.540	318.233	322.518	315.580	317.094	319.590	322.308	318.277	320.695
111	311.816	312.892	312.445	314.748	315.506	318.404	321.047	307.847	319.196	309.717	326.967
112	316.011	308.331	304.241	314.825	303.431	317.801	300.381	309.637	327.956	317.185	313.648
113	309.511	304.458	307.660	306.818	315.534	305.044	301.845	303.945	319.816	304.134	304.735
