 	Profile_Slice_1	Profile_Slice_2	Profile_Slice_3	Profile_Slice_4	Profile_Slice_5	Profile_Slice_6	Profile_Slice_7	Profile_Slice_8	Profile_Slice_9
82	449.967	480.327	448.949	460.429	465.945	447.046	476.584	463.848	453.213
83	429.556	488.623	475.533	493.067	469.176	445.554	483.726	457.932	431.831
84	477.956	481.006	444.058	485.924	468.392	451.836	486.697	446.209	472.509
85	453.288	526.736	488.364	524.167	476.947	474.102	466.130	449.921	487.112
86	470.403	539.572	502.906	517.330	470.918	465.985	477.133	472.663	481.676
87	497.239	503.080	471.516	511.028	492.954	489.811	482.034	505.763	467.963
88	476.717	514.125	514.917	471.252	527.112	483.184	496.402	498.376	444.048
89	493.490	522.636	470.519	504.562	521.574	485.995	508.991	502.221	468.516
90	528.607	542.543	460.271	499.146	519.122	531.035	505.820	488.870	505.872
91	502.538	530.421	488.477	500.699	521.327	516.037	479.981	463.324	496.681
92	466.765	570.498	491.406	496.912	537.755	511.939	477.238	468.313	463.994
93	477.709	549.825	502.797	519.057	545.555	493.190	493.040	522.408	522.085
94	487.134	523.671	506.467	547.781	493.409	498.924	515.579	503.475	493.804
95	466.805	519.645	498.131	538.722	498.374	501.125	490.494	476.899	497.010
96	484.306	543.304	504.248	542.360	518.191	506.469	526.151	479.667	521.397
97	517.539	563.718	515.038	551.392	504.730	523.166	534.764	506.792	516.034
98	489.164	575.592	537.886	538.618	558.959	504.367	539.587	489.726	487.979
99	499.332	576.952	515.154	537.623	557.893	512.656	524.399	509.004	524.543
100	523.255	577.556	512.204	547.231	504.815	528.342	500.862	549.685	506.673
101	529.488	618.464	497.684	527.807	528.499	500.673	570.312	541.212	547.534
102	553.041	553.315	500.015	549.784	560.382	523.690	503.000	520.747	554.564
103	537.755	535.114	502.707	562.571	557.196	546.917	513.406	531.420	592.475
104	521.497	560.191	527.965	602.204	548.119	509.291	538.943	527.733	553.928
105	519.696	563.182	515.170	535.424	526.709	532.279	557.415	556.348	528.855
106	568.806	553.044	568.529	531.649	558.464	525.327	552.623	532.090	533.504
107	540.901	582.926	575.715	580.228	577.362	549.201	595.320	564.455	546.014
108	548.460	604.141	581.699	579.577	562.195	561.574	549.112	558.539	554.926
109	532.730	640.869	609.197	551.658	608.477	573.041	567.522	517.814	558.890
110	583.517	625.946	581.093	583.702	555.249	557.915	564.585	549.647	582.354
111	616.869	610.155	570.773	605.011	566.274	581.018	580.937	596.396	584.616
112	595.007	634.153	592.987	620.817	621.307	589.974	611.083	607.558	610.891
113	567.486	608.138	613.107	594.872	596.814	579.665	579.743	602.687	586.005
114	551.285	606.922	607.136	587.963	600.142	582.622	570.600	587.879	569.332
115	580.605	625.925	612.165	575.161	603.631	579.952	595.034	605.280	579.198
116	566.373	629.275	572.209	571.274	615.813	621.654	597.890	565.323	584.431
117	551.846	595.713	595.231	630.210	628.659	615.236	605.042	622.248	628.142
118	588.395	666.061	586.073	636.586	629.291	626.504	611.190	608.657	580.204
119	576.502	656.581	633.283	648.058	656.281	608.308	599.782	606.995	611.638
120	602.715	659.755	634.769	682.715	647.912	601.860	627.933	625.310	628.294
121	657.005	688.444	691.006	665.078	588.667	583.556	613.306	617.930	583.512
122	597.358	660.799	611.753	713.658	674.449	605.309	618.252	651.223	609.509
123	611.197	682.325	638.834	665.235	642.611	620.283	621.024	643.149	631.419
124	617.306	698.399	658.671	685.007	653.821	630.936	677.789	645.648	660.348
125	602.719	700.999	678.289	710.591	690.707	701.963	711.761	619.738	625.677
126	634.198	745.880	688.414	730.296	710.220	729.443	665.558	652.718	654.685
127	649.157	780.467	723.350	715.769	681.953	664.118	624.760	672.380	656.972
128	654.171	759.002	715.768	716.946	693.944	653.553	646.472	668.398	676.304
129	633.454	785.825	707.276	735.611	735.115	713.024	687.590	692.598	698.170
130	645.641	784.078	710.797	738.230	722.827	732.472	707.365	629.260	732.738
131	659.973	790.215	710.665	705.624	692.957	710.079	705.100	686.780	696.982
132	658.897	771.647	687.640	765.969	653.033	687.775	696.400	719.565	685.787
133	655.676	802.851	698.717	739.545	725.119	693.695	708.660	700.292	740.557
134	679.742	832.533	738.012	733.740	760.483	764.620	716.743	726.395	713.240
135	676.968	848.659	763.369	764.934	785.381	767.063	694.362	736.931	725.584
136	683.053	808.479	718.505	786.246	760.671	763.494	709.117	759.632	706.940
137	719.730	829.300	748.985	814.707	823.424	728.514	717.027	766.071	713.447
138	660.904	835.156	788.089	809.095	758.428	743.895	728.049	791.267	744.549
139	708.244	874.669	786.633	825.705	749.816	751.843	774.094	758.457	771.171
140	742.322	911.351	801.637	850.753	761.108	731.246	814.362	767.501	756.942
141	723.232	965.361	786.651	855.436	824.781	720.268	822.113	818.817	767.478
142	747.649	897.750	821.475	872.492	825.725	748.389	792.564	784.000	771.081
143	777.139	848.252	773.382	821.910	838.106	795.156	750.667	780.873	791.448
144	783.829	864.733	781.433	861.020	842.576	818.320	802.060	809.342	819.441
145	796.534	901.464	841.793	845.600	859.156	882.436	850.604	835.896	819.194
146	787.461	928.401	845.782	859.424	891.074	895.678	803.023	867.578	876.918
147	783.790	949.956	847.042	901.395	846.773	817.938	923.582	847.100	822.091
148	794.719	938.584	873.879	950.894	900.863	841.091	881.910	881.325	822.823
149	785.602	981.378	911.219	931.908	907.025	859.804	904.925	902.860	843.101
150	852.464	1002.987	940.114	945.102	847.050	909.999	916.972	872.176	893.026
151	866.070	962.988	952.592	957.848	896.407	867.327	948.132	885.519	908.825
152	855.555	965.565	960.416	958.824	907.453	858.144	967.116	861.246	934.166
153	870.874	983.654	970.168	953.270	927.971	890.392	943.836	907.752	937.350
154	853.160	1051.243	1012.947	958.858	940.342	927.565	940.536	933.235	892.903
155	831.424	1043.594	954.470	977.089	969.208	949.297	973.982	1003.737	993.578
156	893.749	1097.255	995.377	971.047	950.987	927.141	983.298	937.532	964.680
157	932.797	1074.026	1022.551	1007.870	971.481	972.311	1020.490	983.103	956.247
158	1000.421	1016.934	1033.991	1084.822	1001.405	1016.406	1032.533	1003.665	937.462
159	935.258	1150.851	1038.464	1069.505	1063.488	955.676	1013.125	1021.808	1106.760
160	963.696	1162.274	1003.796	1088.620	1069.847	995.737	1059.099	1015.263	1027.333
161	974.770	1161.469	1051.760	1069.485	1095.959	1086.708	1035.915	1089.430	1049.423
162	1008.504	1170.367	1063.667	1063.683	1126.352	1088.040	1097.217	1064.337	1071.797
163	1045.164	1266.000	1097.216	1140.031	1037.434	1078.090	1092.276	1023.155	1083.290
164	1031.362	1192.754	1106.460	1118.761	1102.346	1095.567	1102.604	1045.549	1101.229
165	1051.775	1245.650	1174.963	1153.095	1132.948	1103.525	1112.965	1110.350	1105.840
166	1102.380	1301.494	1197.349	1164.474	1134.939	1156.471	1076.134	1132.698	1112.651
167	1117.077	1298.333	1154.165	1262.898	1205.955	1145.956	1097.251	1175.180	1152.344
168	1133.411	1318.830	1210.594	1222.234	1139.872	1144.096	1145.256	1196.547	1154.876
169	1110.224	1379.467	1242.241	1198.853	1209.957	1151.686	1204.220	1212.293	1198.752
170	1185.074	1364.039	1235.239	1203.139	1235.299	1142.921	1193.429	1169.257	1241.936
171	1176.855	1428.600	1264.906	1211.321	1280.434	1180.426	1199.841	1165.397	1224.223
172	1210.429	1427.619	1255.585	1249.058	1303.724	1185.636	1205.895	1310.111	1193.212
173	1221.603	1449.779	1233.010	1331.929	1299.267	1232.307	1276.717	1240.522	1232.859
174	1224.274	1435.092	1263.854	1368.779	1281.713	1275.033	1295.974	1275.731	1258.350
175	1321.659	1438.378	1319.631	1299.301	1329.025	1315.888	1389.868	1265.079	1226.004
176	1274.607	1416.620	1315.286	1326.373	1355.860	1334.478	1367.157	1289.039	1333.417
177	1289.166	1473.697	1343.626	1343.766	1384.004	1292.599	1338.336	1334.579	1285.871
178	1298.538	1502.552	1351.021	1380.098	1406.733	1302.013	1323.320	1364.011	1300.989
179	1370.917	1459.270	1387.456	1398.305	1444.291	1315.207	1411.264	1380.424	1354.020
180	1377.310	1560.623	1394.444	1424.141	1504.060	1418.328	1401.644	1388.696	1389.992
181	1348.667	1545.799	1414.941	1405.951	1520.177	1387.294	1373.729	1409.289	1390.184
182	1463.803	1616.458	1437.798	1456.145	1489.515	1422.035	1500.481	1444.582	1481.174
183	1519.381	1725.161	1462.315	1464.242	1494.107	1455.131	1556.387	1458.501	1472.126
184	1607.053	1712.370	1571.801	1536.452	1510.585	1390.792	1515.015	1503.014	1523.603
185	1560.829	1664.999	1551.749	1531.120	1586.210	1456.272	1600.919	1492.908	1563.535
186	1590.362	1744.628	1624.298	1554.356	1599.181	1477.624	1609.655	1505.866	1590.636
187	1519.714	1812.157	1567.077	1572.892	1571.022	1451.850	1585.878	1546.898	1712.618
188	1670.443	1844.786	1590.943	1560.522	1666.529	1524.108	1720.031	1518.511	1681.976
189	1689.537	1956.159	1742.874	1664.921	1600.393	1554.862	1690.227	1612.508	1709.591
190	1713.249	1965.723	1730.322	1724.496	1592.458	1551.191	1764.042	1602.634	1767.336
191	1748.003	1963.635	1685.739	1783.542	1619.573	1559.071	1886.611	1654.457	1833.188
192	1879.274	1985.611	1737.133	1872.174	1734.122	1630.930	1949.753	1696.365	1835.122
193	1886.917	1900.187	1821.122	1790.917	1818.323	1700.314	2029.774	1772.813	1789.902
194	1962.213	1855.450	1760.977	1849.587	1823.941	1757.708	2019.771	1786.562	1874.339
195	1901.448	1809.811	1701.587	1889.838	1753.299	1861.673	1928.697	1847.008	1989.801
196	1939.127	1801.804	1862.910	1946.253	1886.531	1959.499	1980.993	1988.814	2071.252
197	2052.620	1834.390	1891.194	1910.524	1868.431	1998.354	2062.507	2062.737	2116.229
198	2062.926	1812.323	2001.809	1959.315	1949.211	1924.043	2061.398	2094.614	2287.375
199	2080.662	1768.885	2030.556	2057.640	1993.981	1969.796	1989.828	2168.531	2320.290
200	2158.483	1745.622	2029.901	1985.319	2073.131	1910.246	1896.333	2241.964	2232.031
201	2178.191	1738.959	2015.442	1959.431	2140.911	2036.868	1987.912	2170.203	2205.697
202	2209.299	1820.097	1992.862	1899.728	2190.665	1973.782	1957.034	2174.232	2263.222
203	2262.490	1780.942	1986.208	1843.650	2180.574	1946.519	1986.334	2159.818	2174.595
204	2268.533	1724.992	2008.929	1853.457	2251.786	1945.236	2031.975	2154.244	2226.617
205	2400.238	1802.228	2029.574	1858.562	2190.885	2012.872	1935.987	2005.717	2176.597
206	2421.502	1775.061	1984.835	1813.968	2157.110	2000.117	1996.335	2020.100	2163.143
207	2462.086	1779.745	1949.781	1859.379	2197.019	1994.517	2023.857	2023.614	2067.251
208	2358.236	1707.320	1940.034	1801.325	2101.731	1957.204	1933.603	1952.714	2096.040
209	2424.777	1745.663	1849.869	1816.089	2089.569	1932.504	1923.657	1909.634	2193.301
210	2404.875	1734.734	1877.730	1873.494	2143.331	1874.550	1907.179	2016.508	2150.926
211	2337.252	1779.571	1904.456	1825.839	2153.647	1895.997	1939.295	1913.752	2080.023
212	2264.273	1826.165	1825.684	1781.279	2094.740	1917.126	1887.862	1863.656	1896.445
213	2189.306	1853.354	1847.449	1905.765	2050.759	1980.809	1964.598	1903.252	2022.053
214	2194.897	1788.935	1870.074	1866.425	2010.522	1958.078	2006.907	1869.397	2026.433
215	2264.063	1724.104	1829.901	1866.298	1963.743	1994.769	1953.835	1938.123	2054.063
216	2194.518	1791.120	1749.799	1754.298	1963.822	1909.557	1942.458	1906.765	1951.310
217	2143.019	1896.528	1797.074	1856.919	1912.728	1864.629	1912.003	1894.069	1868.645
218	2139.296	1924.142	1823.161	1881.100	1997.179	1911.911	1941.276	1921.423	1944.697
219	2133.924	1879.467	1836.578	1873.999	2017.178	1957.692	1890.840	1897.945	1983.061
220	2122.384	1910.212	1804.602	1866.786	2007.323	1925.457	1850.847	1915.139	1924.847
221	2050.071	1808.297	1830.356	1908.035	1952.947	1882.061	1894.576	1925.669	2005.592
222	2064.101	1822.227	1818.557	1922.427	2011.213	1924.375	1853.943	1845.808	1907.799
223	1989.330	1854.343	1771.735	1875.049	2001.661	1879.914	1843.791	1864.564	1863.274
224	1997.988	1891.809	1798.192	1892.708	2016.747	1944.073	1855.344	1917.535	1969.738
225	1951.370	1882.348	1806.723	1882.710	1999.032	1996.726	1847.560	1869.175	1990.442
226	1957.699	1873.644	1847.707	1920.334	2027.947	1865.435	1832.111	1800.572	1921.313
227	1985.751	1840.474	1852.882	1858.894	2027.583	1899.248	1858.656	1844.175	1889.839
228	1971.389	1899.388	1824.394	1885.924	1997.398	1851.194	1855.616	1869.425	1888.021
229	1983.030	1818.495	1862.368	1912.072	1977.452	1813.673	1909.953	1806.051	1918.957
230	1935.986	1904.259	1897.990	1746.447	1913.415	1951.065	1923.036	1848.763	1818.507
231	1916.617	1854.352	1827.988	1778.146	1904.173	1919.484	1873.549	1840.429	1845.484
232	1938.947	1845.872	1820.481	1774.346	1909.870	1890.264	1895.660	1882.801	1856.094
233	2036.710	1827.615	1838.148	1835.440	1999.000	1839.422	1881.626	1897.468	1944.305
234	1908.811	1942.363	1789.285	1903.211	1984.347	1870.885	1833.218	1881.810	1814.911
235	1861.042	1923.655	1752.972	1903.423	1962.562	1928.603	1865.256	1863.706	1819.588
236	1974.035	1887.665	1795.653	1944.299	1984.376	1814.622	1879.094	1830.480	1895.759
237	2013.225	1853.824	1874.321	1869.461	1941.900	1898.704	1882.667	1761.156	1858.775
238	1938.804	1868.859	1764.238	1902.131	1914.029	1870.572	1919.015	1823.267	1800.504
239	1890.615	1839.014	1823.094	1800.533	1949.134	1807.630	1821.827	1784.874	1798.425
240	1908.126	1837.756	1867.411	1796.301	1973.772	1850.849	1788.658	1791.356	1821.308
241	1942.275	1935.409	1887.335	1837.779	1921.656	1885.874	1831.821	1716.438	1798.169
242	1952.989	1882.131	1804.675	1775.895	1969.407	1871.829	1808.312	1795.209	1831.207
243	1902.808	1908.587	1889.182	1886.241	1953.454	1818.790	1802.120	1841.522	1850.965
244	1959.507	1924.534	1857.008	1924.408	1958.124	1843.353	1906.497	1795.566	1865.438
245	1959.372	1948.122	1811.057	1828.544	2030.827	1822.382	1925.047	1760.016	1756.589
246	1912.197	1911.392	1828.110	1861.051	1896.024	1949.401	1843.041	1845.670	1771.818
247	1961.416	1967.661	1868.706	1883.494	1959.105	1926.361	1837.568	1827.747	1910.809
248	1892.741	1903.193	1894.747	1873.007	1968.474	1897.333	1907.994	1829.484	1855.322
249	1889.037	1929.495	1893.608	1847.032	1888.329	1862.896	1906.620	1800.510	1798.760
250	1923.311	1976.099	1793.873	1894.014	1904.127	1939.186	1865.520	1801.375	1919.503
251	1879.000	1996.288	1909.168	1820.801	1931.277	1892.499	1911.626	1825.943	1832.755
252	1853.205	1900.603	1970.661	1838.106	1927.377	1811.212	1923.646	1840.907	1778.463
253	1808.628	1920.705	1947.014	1910.684	1888.109	1854.494	1881.488	1842.339	1843.143
254	1872.535	1905.146	1874.427	1883.289	1930.236	1854.508	1876.880	1886.060	1815.430
255	1873.107	1967.119	1857.638	1834.904	1978.828	1839.866	1890.013	1874.292	1702.164
256	1930.964	1975.118	1892.612	1899.082	1965.228	1847.866	1829.631	1884.319	1725.408
257	1899.658	1967.077	1886.882	1819.462	1938.674	1824.774	1846.957	1893.940	1782.353
258	1850.000	2140.000	1932.000	1852.000	1867.000	1753.000	1790.000	1875.000	1799.000
